trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,target_locations,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,targets_found_by_robot,robot_start_locations,robot_end_locations,events_processed,stall_recoveries_total,trial_status
0,known_visit,PI,bernoulli,drop_0.25,34,1156,24,10,pi_g34_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(20,5);(28,1);(11,25);(20,24);(25,8);(3,5);(1,16);(23,30);(33,13);(24,22)",10,True,78.40270629740407,78.40270629740407,00:0;01:1;02:0;03:0;04:1;05:0;06:2;07:0;08:0;09:0;10:0;11:2;12:0;13:1;14:0;15:0;16:0;17:1;18:1;19:0;20:1;21:0;22:0;23:0,"(0,0);(0,1);(0,3);(0,4);(0,6);(0,7);(0,9);(0,10);(0,11);(0,13);(0,14);(0,16);(0,17);(0,19);(0,20);(0,22);(0,23);(0,24);(0,26);(0,27);(0,29);(0,30);(0,32);(0,33)","(19,2);(25,8);(10,25);(6,13);(29,1);(20,5);(28,1);(21,8);(12,22);(22,14);(11,25);(33,13);(15,17);(24,22);(18,24);(26,14);(1,16);(24,21);(22,20);(24,23);(24,25);(23,27);(9,22);(21,33)",2829,0,completed
1,known_visit,PI,bernoulli,drop_0.25,34,1156,24,10,pi_g34_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(19,17);(14,6);(17,16);(16,15);(5,33);(11,30);(26,23);(24,33);(27,21);(19,32)",10,True,63.64129401174391,63.64129401174391,00:0;01:0;02:0;03:0;04:1;05:0;06:0;07:0;08:0;09:0;10:1;11:1;12:1;13:0;14:0;15:0;16:0;17:2;18:0;19:0;20:2;21:1;22:0;23:1,"(0,0);(0,1);(0,3);(0,4);(0,6);(0,7);(0,9);(0,10);(0,11);(0,13);(0,14);(0,16);(0,17);(0,19);(0,20);(0,22);(0,23);(0,24);(0,26);(0,27);(0,29);(0,30);(0,32);(0,33)","(3,0);(14,8);(22,3);(7,4);(19,15);(5,14);(19,19);(18,16);(19,18);(18,13);(27,19);(16,15);(25,26);(19,16);(21,19);(18,25);(11,30);(27,21);(17,26);(14,32);(24,33);(23,30);(7,28);(11,33)",2345,0,completed
2,known_visit,PI,bernoulli,drop_0.25,34,1156,24,10,pi_g34_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(3,32);(26,0);(14,7);(19,20);(29,15);(24,23);(11,8);(21,32);(22,8);(10,12)",10,True,65.28219854509874,65.28219854509874,00:0;01:0;02:0;03:2;04:2;05:0;06:0;07:1;08:0;09:1;10:0;11:0;12:0;13:0;14:0;15:1;16:1;17:0;18:0;19:0;20:1;21:0;22:1;23:0,"(0,0);(0,1);(0,3);(0,4);(0,6);(0,7);(0,9);(0,10);(0,11);(0,13);(0,14);(0,16);(0,17);(0,19);(0,20);(0,22);(0,23);(0,24);(0,26);(0,27);(0,29);(0,30);(0,32);(0,33)","(18,3);(19,5);(12,12);(13,8);(26,0);(10,8);(20,11);(23,11);(28,18);(30,9);(19,18);(11,11);(17,17);(18,18);(10,18);(22,19);(21,23);(9,21);(19,24);(7,27);(23,31);(8,32);(13,31);(6,33)",2376,0,completed
3,known_visit,PI,bernoulli,drop_0.25,34,1156,24,10,pi_g34_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(18,8);(19,29);(2,31);(11,10);(20,22);(32,21);(14,23);(9,2);(6,3);(3,22)",10,True,76.73989699176059,76.73989699176059,00:0;01:1;02:1;03:0;04:0;05:1;06:2;07:0;08:1;09:0;10:0;11:0;12:0;13:0;14:0;15:2;16:0;17:0;18:0;19:0;20:0;21:1;22:1;23:0,"(0,0);(0,1);(0,3);(0,4);(0,6);(0,7);(0,9);(0,10);(0,11);(0,13);(0,14);(0,16);(0,17);(0,19);(0,20);(0,22);(0,23);(0,24);(0,26);(0,27);(0,29);(0,30);(0,32);(0,33)","(7,17);(20,11);(17,27);(3,12);(4,22);(18,11);(32,21);(5,15);(20,22);(4,13);(10,14);(6,15);(7,18);(12,19);(14,21);(14,8);(20,26);(9,12);(8,23);(14,2);(8,30);(19,23);(18,22);(2,31)",2970,0,completed
4,known_visit,PI,bernoulli,drop_0.25,34,1156,24,10,pi_g34_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(17,0);(33,1);(26,29);(15,17);(9,10);(17,18);(23,29);(13,30);(6,0);(29,29)",10,True,65.64044553747345,65.64044553747345,00:3;01:0;02:0;03:0;04:0;05:0;06:0;07:1;08:0;09:0;10:0;11:1;12:0;13:1;14:0;15:0;16:0;17:0;18:0;19:1;20:1;21:2;22:0;23:0,"(0,0);(0,1);(0,3);(0,4);(0,6);(0,7);(0,9);(0,10);(0,11);(0,13);(0,14);(0,16);(0,17);(0,19);(0,20);(0,22);(0,23);(0,24);(0,26);(0,27);(0,29);(0,30);(0,32);(0,33)","(31,1);(11,2);(24,5);(20,0);(23,19);(14,1);(10,1);(15,14);(8,6);(17,12);(9,19);(17,15);(14,17);(20,18);(17,17);(23,28);(16,17);(19,24);(22,26);(26,29);(29,29);(25,29);(13,32);(15,33)",2393,0,completed
5,known_visit,PI,bernoulli,drop_0.25,34,1156,24,10,pi_g34_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(21,6);(4,2);(16,26);(9,17);(5,0);(19,7);(31,31);(15,20);(30,27);(22,11)",10,True,62.31838812099711,62.31838812099711,00:2;01:1;02:0;03:1;04:0;05:0;06:0;07:1;08:0;09:0;10:0;11:0;12:1;13:0;14:0;15:0;16:1;17:0;18:0;19:2;20:1;21:0;22:0;23:0,"(0,0);(0,1);(0,3);(0,4);(0,6);(0,7);(0,9);(0,10);(0,11);(0,13);(0,14);(0,16);(0,17);(0,19);(0,20);(0,22);(0,23);(0,24);(0,26);(0,27);(0,29);(0,30);(0,32);(0,33)","(21,9);(8,3);(7,6);(21,7);(21,6);(18,7);(19,7);(22,14);(23,11);(10,17);(7,21);(20,15);(16,26);(19,21);(13,17);(31,22);(18,21);(19,26);(17,24);(31,31);(21,25);(23,28);(15,31);(8,29)",2295,0,completed
6,known_visit,PI,bernoulli,drop_0.25,34,1156,24,10,pi_g34_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(21,15);(1,18);(14,25);(6,19);(4,11);(20,18);(16,2);(23,22);(33,20);(23,9)",10,True,74.62481350291742,74.62481350291742,00:1;01:1;02:0;03:0;04:0;05:0;06:0;07:1;08:1;09:0;10:0;11:0;12:2;13:1;14:0;15:0;16:0;17:2;18:1;19:0;20:0;21:0;22:0;23:0,"(0,0);(0,1);(0,3);(0,4);(0,6);(0,7);(0,9);(0,10);(0,11);(0,13);(0,14);(0,16);(0,17);(0,19);(0,20);(0,22);(0,23);(0,24);(0,26);(0,27);(0,29);(0,30);(0,32);(0,33)","(29,7);(17,2);(18,4);(19,3);(6,8);(16,2);(14,25);(2,19);(21,15);(21,10);(12,25);(10,11);(28,18);(15,14);(30,22);(6,16);(20,23);(33,20);(17,18);(11,27);(6,29);(11,12);(9,32);(13,21)",2814,0,completed
7,known_visit,PI,bernoulli,drop_0.25,34,1156,24,10,pi_g34_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(11,6);(22,28);(9,12);(33,20);(16,10);(15,3);(24,5);(9,8);(18,10);(4,26)",10,True,66.02337746955504,66.02337746955504,00:0;01:1;02:1;03:0;04:1;05:0;06:1;07:2;08:0;09:1;10:0;11:0;12:0;13:1;14:0;15:0;16:0;17:0;18:1;19:0;20:1;21:0;22:0;23:0,"(0,0);(0,1);(0,3);(0,4);(0,6);(0,7);(0,9);(0,10);(0,11);(0,13);(0,14);(0,16);(0,17);(0,19);(0,20);(0,22);(0,23);(0,24);(0,26);(0,27);(0,29);(0,30);(0,32);(0,33)","(14,6);(21,3);(24,5);(16,7);(12,10);(15,3);(18,20);(24,6);(11,6);(16,10);(8,12);(15,12);(10,8);(33,20);(11,15);(22,21);(4,27);(21,25);(13,19);(10,17);(22,28);(9,10);(9,13);(7,11)",2421,0,completed
8,known_visit,PI,bernoulli,drop_0.25,34,1156,24,10,pi_g34_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(10,22);(29,12);(29,17);(17,15);(11,32);(24,29);(25,3);(5,8);(6,23);(18,30)",10,True,90.63986738815676,90.63986738815676,00:0;01:1;02:0;03:0;04:0;05:1;06:0;07:0;08:0;09:1;10:1;11:0;12:0;13:1;14:0;15:0;16:2;17:0;18:0;19:2;20:0;21:0;22:1;23:0,"(0,0);(0,1);(0,3);(0,4);(0,6);(0,7);(0,9);(0,10);(0,11);(0,13);(0,14);(0,16);(0,17);(0,19);(0,20);(0,22);(0,23);(0,24);(0,26);(0,27);(0,29);(0,30);(0,32);(0,33)","(26,17);(25,3);(28,12);(14,4);(24,8);(5,10);(6,15);(7,23);(10,22);(23,17);(27,3);(25,5);(14,15);(29,17);(23,20);(11,22);(18,30);(25,18);(18,27);(24,29);(11,32);(6,23);(25,27);(23,29)",3524,0,completed
9,known_visit,PI,bernoulli,drop_0.25,34,1156,24,10,pi_g34_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(18,24);(6,0);(2,8);(22,15);(23,3);(22,26);(14,7);(29,27);(31,19);(17,25)",10,True,94.12864740965844,94.12864740965844,00:1;01:0;02:0;03:2;04:0;05:1;06:0;07:1;08:0;09:0;10:1;11:0;12:0;13:1;14:0;15:0;16:0;17:0;18:1;19:1;20:1;21:0;22:0;23:0,"(0,0);(0,1);(0,3);(0,4);(0,6);(0,7);(0,9);(0,10);(0,11);(0,13);(0,14);(0,16);(0,17);(0,19);(0,20);(0,22);(0,23);(0,24);(0,26);(0,27);(0,29);(0,30);(0,32);(0,33)","(19,0);(15,1);(28,8);(31,19);(2,16);(26,8);(28,18);(5,8);(15,25);(19,14);(22,15);(6,0);(19,22);(17,25);(5,17);(16,25);(15,21);(6,24);(29,27);(18,25);(21,15);(5,30);(18,24);(4,33)",3641,0,completed
