trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,target_locations,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,targets_found_by_robot,robot_start_locations,robot_end_locations,events_processed,stall_recoveries_total,trial_status
0,known_visit,ACBBA,bernoulli,drop_0.25,34,1156,24,10,acbba_g34_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(20,5);(28,1);(11,25);(20,24);(25,8);(3,5);(1,16);(23,30);(33,13);(24,22)",10,True,108.74601362562733,108.74601362562733,00:1;01:1;02:0;03:0;04:1;05:0;06:0;07:1;08:0;09:0;10:1;11:1;12:0;13:0;14:0;15:1;16:0;17:1;18:0;19:0;20:1;21:0;22:1;23:0,"(0,0);(0,1);(0,3);(0,4);(0,6);(0,7);(0,9);(0,10);(0,11);(0,13);(0,14);(0,16);(0,17);(0,19);(0,20);(0,22);(0,23);(0,24);(0,26);(0,27);(0,29);(0,30);(0,32);(0,33)","(25,8);(28,7);(6,3);(23,2);(1,16);(7,8);(9,9);(28,1);(8,11);(20,24);(33,12);(12,16);(13,17);(26,13);(7,20);(27,22);(28,18);(23,25);(19,23);(18,27);(15,25);(7,28);(24,22);(23,30)",4428,0,completed
1,known_visit,ACBBA,bernoulli,drop_0.25,34,1156,24,10,acbba_g34_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(19,17);(14,6);(17,16);(16,15);(5,33);(11,30);(26,23);(24,33);(27,21);(19,32)",10,True,60.27550229178258,60.27550229178258,00:1;01:0;02:0;03:2;04:1;05:0;06:0;07:0;08:0;09:0;10:0;11:0;12:0;13:1;14:0;15:0;16:0;17:2;18:0;19:0;20:0;21:0;22:2;23:1,"(0,0);(0,1);(0,3);(0,4);(0,6);(0,7);(0,9);(0,10);(0,11);(0,13);(0,14);(0,16);(0,17);(0,19);(0,20);(0,22);(0,23);(0,24);(0,26);(0,27);(0,29);(0,30);(0,32);(0,33)","(17,16);(13,1);(7,3);(17,15);(11,30);(5,7);(18,14);(15,10);(14,6);(12,13);(14,17);(6,16);(9,20);(19,16);(13,22);(7,21);(6,23);(27,20);(7,24);(5,33);(4,29);(23,33);(25,33);(19,32)",2362,0,completed
2,known_visit,ACBBA,bernoulli,drop_0.25,34,1156,24,10,acbba_g34_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(3,32);(26,0);(14,7);(19,20);(29,15);(24,23);(11,8);(21,32);(22,8);(10,12)",10,True,74.54939925812148,74.54939925812148,00:1;01:0;02:1;03:1;04:0;05:0;06:0;07:1;08:0;09:0;10:1;11:0;12:1;13:0;14:1;15:0;16:1;17:0;18:0;19:0;20:0;21:1;22:1;23:0,"(0,0);(0,1);(0,3);(0,4);(0,6);(0,7);(0,9);(0,10);(0,11);(0,13);(0,14);(0,16);(0,17);(0,19);(0,20);(0,22);(0,23);(0,24);(0,26);(0,27);(0,29);(0,30);(0,32);(0,33)","(27,1);(13,7);(12,8);(14,7);(15,6);(10,11);(26,12);(19,9);(12,12);(8,17);(10,8);(3,32);(30,17);(15,19);(19,20);(10,12);(24,22);(9,24);(24,24);(14,8);(11,28);(21,32);(18,32);(10,18)",2844,0,completed
3,known_visit,ACBBA,bernoulli,drop_0.25,34,1156,24,10,acbba_g34_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(18,8);(19,29);(2,31);(11,10);(20,22);(32,21);(14,23);(9,2);(6,3);(3,22)",10,True,74.13200706813629,74.13200706813629,00:1;01:0;02:2;03:1;04:0;05:0;06:0;07:0;08:0;09:0;10:0;11:0;12:0;13:0;14:0;15:2;16:0;17:2;18:0;19:0;20:1;21:0;22:1;23:0,"(0,0);(0,1);(0,3);(0,4);(0,6);(0,7);(0,9);(0,10);(0,11);(0,13);(0,14);(0,16);(0,17);(0,19);(0,20);(0,22);(0,23);(0,24);(0,26);(0,27);(0,29);(0,30);(0,32);(0,33)","(18,8);(14,1);(11,2);(26,10);(7,3);(10,3);(14,8);(13,10);(3,22);(8,13);(8,14);(14,11);(11,10);(11,32);(13,29);(20,22);(4,21);(32,21);(16,26);(19,29);(14,23);(5,30);(2,27);(8,33)",3013,0,completed
4,known_visit,ACBBA,bernoulli,drop_0.25,34,1156,24,10,acbba_g34_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(17,0);(33,1);(26,29);(15,17);(9,10);(17,18);(23,29);(13,30);(6,0);(29,29)",10,True,70.70968689828153,70.70968689828153,00:1;01:0;02:0;03:0;04:2;05:1;06:0;07:0;08:0;09:0;10:2;11:0;12:0;13:0;14:3;15:0;16:0;17:0;18:0;19:0;20:0;21:1;22:0;23:0,"(0,0);(0,1);(0,3);(0,4);(0,6);(0,7);(0,9);(0,10);(0,11);(0,13);(0,14);(0,16);(0,17);(0,19);(0,20);(0,22);(0,23);(0,24);(0,26);(0,27);(0,29);(0,30);(0,32);(0,33)","(15,17);(9,6);(12,15);(7,0);(33,1);(9,14);(8,12);(17,1);(15,10);(9,28);(22,23);(6,0);(10,17);(10,19);(29,29);(18,29);(7,22);(13,20);(16,17);(13,18);(18,21);(14,30);(16,32);(13,28)",2707,0,completed
5,known_visit,ACBBA,bernoulli,drop_0.25,34,1156,24,10,acbba_g34_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(21,6);(4,2);(16,26);(9,17);(5,0);(19,7);(31,31);(15,20);(30,27);(22,11)",10,True,94.1666845354777,94.1666845354777,00:1;01:1;02:1;03:2;04:0;05:0;06:0;07:0;08:1;09:3;10:0;11:0;12:0;13:0;14:1;15:0;16:0;17:0;18:0;19:0;20:0;21:0;22:0;23:0,"(0,0);(0,1);(0,3);(0,4);(0,6);(0,7);(0,9);(0,10);(0,11);(0,13);(0,14);(0,16);(0,17);(0,19);(0,20);(0,22);(0,23);(0,24);(0,26);(0,27);(0,29);(0,30);(0,32);(0,33)","(11,8);(15,20);(16,26);(21,6);(14,6);(9,6);(10,8);(9,17);(22,11);(31,31);(10,15);(10,16);(7,15);(12,17);(19,7);(10,22);(6,0);(13,23);(12,25);(15,26);(18,29);(5,2);(11,32);(15,21)",3847,0,completed
6,known_visit,ACBBA,bernoulli,drop_0.25,34,1156,24,10,acbba_g34_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(21,15);(1,18);(14,25);(6,19);(4,11);(20,18);(16,2);(23,22);(33,20);(23,9)",10,True,65.25697986610405,65.25697986610405,00:1;01:0;02:0;03:2;04:0;05:1;06:1;07:0;08:0;09:0;10:0;11:0;12:0;13:2;14:0;15:2;16:0;17:0;18:1;19:0;20:0;21:0;22:0;23:0,"(0,0);(0,1);(0,3);(0,4);(0,6);(0,7);(0,9);(0,10);(0,11);(0,13);(0,14);(0,16);(0,17);(0,19);(0,20);(0,22);(0,23);(0,24);(0,26);(0,27);(0,29);(0,30);(0,32);(0,33)","(16,2);(8,11);(15,2);(21,15);(16,3);(3,18);(19,16);(5,13);(8,14);(18,13);(17,25);(5,19);(13,24);(21,18);(3,16);(33,16);(16,24);(12,12);(15,24);(7,27);(3,26);(16,30);(1,18);(4,31)",2541,0,completed
7,known_visit,ACBBA,bernoulli,drop_0.25,34,1156,24,10,acbba_g34_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(11,6);(22,28);(9,12);(33,20);(16,10);(15,3);(24,5);(9,8);(18,10);(4,26)",10,True,82.8004736098767,82.8004736098767,00:4;01:0;02:1;03:0;04:1;05:0;06:0;07:0;08:0;09:1;10:0;11:0;12:0;13:0;14:0;15:0;16:0;17:0;18:0;19:1;20:0;21:1;22:0;23:1,"(0,0);(0,1);(0,3);(0,4);(0,6);(0,7);(0,9);(0,10);(0,11);(0,13);(0,14);(0,16);(0,17);(0,19);(0,20);(0,22);(0,23);(0,24);(0,26);(0,27);(0,29);(0,30);(0,32);(0,33)","(11,9);(18,10);(11,6);(4,26);(12,10);(24,5);(10,9);(8,10);(8,11);(16,8);(14,11);(21,27);(15,7);(5,19);(12,20);(15,12);(7,23);(9,25);(9,26);(14,26);(7,29);(22,14);(6,32);(33,20)",3326,0,completed
8,known_visit,ACBBA,bernoulli,drop_0.25,34,1156,24,10,acbba_g34_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(10,22);(29,12);(29,17);(17,15);(11,32);(24,29);(25,3);(5,8);(6,23);(18,30)",10,True,100.88833999866642,100.88833999866642,00:2;01:1;02:0;03:0;04:0;05:0;06:0;07:0;08:1;09:0;10:0;11:0;12:1;13:0;14:1;15:0;16:1;17:0;18:0;19:2;20:0;21:0;22:1;23:0,"(0,0);(0,1);(0,3);(0,4);(0,6);(0,7);(0,9);(0,10);(0,11);(0,13);(0,14);(0,16);(0,17);(0,19);(0,20);(0,22);(0,23);(0,24);(0,26);(0,27);(0,29);(0,30);(0,32);(0,33)","(29,12);(25,3);(6,24);(12,4);(5,7);(3,10);(17,11);(24,3);(23,29);(5,8);(6,14);(7,16);(29,13);(8,17);(15,23);(8,22);(14,28);(10,24);(7,25);(24,29);(14,30);(5,17);(11,11);(11,33)",4182,0,completed
9,known_visit,ACBBA,bernoulli,drop_0.25,34,1156,24,10,acbba_g34_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(18,24);(6,0);(2,8);(22,15);(23,3);(22,26);(14,7);(29,27);(31,19);(17,25)",10,True,82.25644232832104,82.25644232832104,00:1;01:2;02:0;03:0;04:1;05:1;06:0;07:0;08:0;09:0;10:0;11:0;12:0;13:0;14:0;15:0;16:1;17:0;18:2;19:2;20:0;21:0;22:0;23:0,"(0,0);(0,1);(0,3);(0,4);(0,6);(0,7);(0,9);(0,10);(0,11);(0,13);(0,14);(0,16);(0,17);(0,19);(0,20);(0,22);(0,23);(0,24);(0,26);(0,27);(0,29);(0,30);(0,32);(0,33)","(4,7);(17,25);(14,7);(1,13);(23,3);(23,15);(14,8);(21,0);(11,11);(5,22);(9,13);(11,15);(8,0);(23,26);(11,20);(15,21);(21,16);(14,24);(13,9);(31,19);(12,29);(13,25);(10,32);(10,33)",3219,0,completed
