trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,target_locations,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,targets_found_by_robot,robot_start_locations,robot_end_locations,events_processed,stall_recoveries_total,trial_status
0,known_visit,ACBBA,ideal,1.0,14,196,1,10,acbba_g14_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,"(1,3);(11,7);(6,7);(5,8);(6,3);(13,10);(0,8);(0,10);(4,3);(4,9)",10,True,75.29541204674003,75.29541204674003,00:10,"(0,6)","(13,10)",96,0,completed
1,known_visit,ACBBA,ideal,1.0,14,196,1,10,acbba_g14_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,"(10,8);(3,9);(6,2);(13,10);(10,2);(11,2);(1,5);(11,3);(8,3);(3,4)",10,True,70.31373340160916,70.31373340160916,00:10,"(0,6)","(6,2)",93,0,completed
2,known_visit,ACBBA,ideal,1.0,14,196,1,10,acbba_g14_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,"(9,5);(1,6);(3,2);(12,7);(9,13);(9,10);(4,1);(2,13);(2,2);(1,11)",10,True,84.75275756006592,84.75275756006592,00:10,"(0,6)","(4,1)",108,0,completed
3,known_visit,ACBBA,ideal,1.0,14,196,1,10,acbba_g14_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,"(0,12);(7,11);(9,6);(12,13);(1,5);(8,8);(12,6);(5,2);(13,11);(9,8)",10,True,100.78598301651476,100.78598301651476,00:10,"(0,6)","(0,12)",128,0,completed
4,known_visit,ACBBA,ideal,1.0,14,196,1,10,acbba_g14_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,"(6,0);(12,4);(0,10);(6,10);(10,8);(7,2);(3,0);(2,1);(6,9);(3,5)",10,True,73.40628444678579,73.40628444678579,00:10,"(0,6)","(3,5)",94,0,completed
5,known_visit,ACBBA,ideal,1.0,14,196,1,10,acbba_g14_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,"(6,3);(11,2);(4,7);(0,7);(8,0);(1,0);(5,12);(10,9);(7,2);(12,5)",10,True,89.37934494251174,89.37934494251174,00:10,"(0,6)","(1,0)",117,0,completed
6,known_visit,ACBBA,ideal,1.0,14,196,1,10,acbba_g14_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,"(8,9);(2,9);(1,9);(5,3);(2,10);(1,0);(2,0);(1,11);(0,5);(4,6)",10,True,82.92422835979741,82.92422835979741,00:10,"(0,6)","(8,9)",109,0,completed
7,known_visit,ACBBA,ideal,1.0,14,196,1,10,acbba_g14_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,"(4,0);(2,13);(8,0);(6,13);(4,6);(9,12);(3,0);(6,12);(1,11);(7,9)",10,True,81.29087114929432,81.29087114929432,00:10,"(0,6)","(9,12)",105,0,completed
8,known_visit,ACBBA,ideal,1.0,14,196,1,10,acbba_g14_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,"(11,5);(1,6);(5,7);(13,5);(4,2);(11,0);(1,7);(8,13);(7,1);(12,13)",10,True,80.02607965805592,80.02607965805592,00:10,"(0,6)","(8,13)",106,0,completed
9,known_visit,ACBBA,ideal,1.0,14,196,1,10,acbba_g14_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,"(10,8);(8,13);(2,13);(10,6);(13,4);(13,7);(6,7);(9,2);(6,2);(7,9)",10,True,89.07851188227849,89.07851188227849,00:10,"(0,6)","(2,13)",114,0,completed
10,known_visit,ACBBA,ideal,1.0,14,196,1,10,acbba_g14_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,"(2,4);(12,12);(11,9);(7,13);(9,8);(4,10);(2,8);(3,2);(12,9);(5,6)",10,True,73.13890820541637,73.13890820541637,00:10,"(0,6)","(7,13)",94,0,completed
11,known_visit,ACBBA,ideal,1.0,14,196,1,10,acbba_g14_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,"(5,6);(11,1);(7,4);(7,5);(2,4);(13,2);(12,13);(5,11);(10,10);(4,5)",10,True,84.03108354582284,84.03108354582284,00:10,"(0,6)","(5,11)",108,0,completed
12,known_visit,ACBBA,ideal,1.0,14,196,1,10,acbba_g14_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,"(11,0);(6,2);(6,7);(9,9);(10,7);(1,7);(12,4);(6,9);(1,12);(4,6)",10,True,86.62715461809171,86.62715461809171,00:10,"(0,6)","(1,12)",112,0,completed
13,known_visit,ACBBA,ideal,1.0,14,196,1,10,acbba_g14_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid14_targets10_trials50.csv,"(5,13);(11,13);(13,13);(8,10);(2,7);(6,3);(12,3);(5,3);(8,11);(3,6)",10,True,87.66364344778935,87.66364344778935,00:10,"(0,6)","(5,13)",113,0,completed
