trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,duplicate_target_visits,target_conflicts,task_cell_revisits_total,total_team_steps,max_robot_steps,unique_cells_visited,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,events_processed,stall_recoveries_total,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,message_drop_fraction,messages_per_completed_target,allocation_messages_per_completed_target,messages_sent_by_topic,workload_gini_targets_found,workload_gini_unique_cells_contributed,benchmark_suite,num_targets,num_robots,commitment_horizon
0,known_visit,PI,rayleigh_style,-37.79,19,361,4,10,pi_rayleigh_style_sens_neg37_79,known_visit_g19_t10_n500.csv,10,True,64.07719419645417,64.07719419645417,6,6,6,135,37,119,20,1,3,3,345,0,442,863,463,141,301,280,162,0.512735326688815,44.2,16.2,collision_intent:141;pi_clear_path:3;pi_entry:159;state:139,0.25,0.0399159663865547,known_visit_core_500,10,4,8
1,known_visit,PI,rayleigh_style,-37.79,19,361,4,10,pi_rayleigh_style_sens_neg37_79,known_visit_g19_t10_n500.csv,10,True,103.39776519604703,103.39776519604703,13,13,13,176,60,121,59,4,1,1,602,0,513,1014,524,182,331,362,151,0.5282258064516129,51.3,15.1,collision_intent:182;pi_clear_path:6;pi_entry:145;state:180,0.10000000000000009,0.20454545454545459,known_visit_core_500,10,4,8
2,known_visit,PI,rayleigh_style,-37.79,19,361,4,10,pi_rayleigh_style_sens_neg37_79,known_visit_g19_t10_n500.csv,10,True,49.078314566824304,49.078314566824304,0,0,0,76,29,79,1,1,27,1,263,0,301,490,413,78,223,158,143,0.617339312406577,30.1,14.3,collision_intent:78;pi_clear_path:1;pi_entry:142;state:80,0.30000000000000004,0.27531645569620244,known_visit_core_500,10,4,8
3,known_visit,PI,rayleigh_style,-37.79,19,361,4,10,pi_rayleigh_style_sens_neg37_79,known_visit_g19_t10_n500.csv,10,True,37.95728548310699,37.95728548310699,1,1,1,83,22,84,3,4,0,0,200,0,312,468,465,85,227,172,140,0.6858407079646017,31.2,14.0,collision_intent:85;pi_clear_path:2;pi_entry:138;state:87,0.25,0.0535714285714286,known_visit_core_500,10,4,8
4,known_visit,PI,rayleigh_style,-37.79,19,361,4,10,pi_rayleigh_style_sens_neg37_79,known_visit_g19_t10_n500.csv,10,True,63.50357535548094,63.50357535548094,6,6,6,96,37,76,24,4,15,1,361,0,372,796,320,104,268,204,168,0.39800995024875624,37.2,16.8,collision_intent:104;pi_clear_path:7;pi_entry:161;state:100,0.5,0.29605263157894735,known_visit_core_500,10,4,8
5,known_visit,PI,rayleigh_style,-37.79,19,361,4,10,pi_rayleigh_style_sens_neg37_79,known_visit_g19_t10_n500.csv,10,True,68.9275309883027,68.9275309883027,6,6,6,110,40,99,15,4,0,0,413,0,344,639,393,112,232,226,118,0.5646551724137931,34.4,11.8,collision_intent:112;pi_clear_path:2;pi_entry:116;state:114,0.6000000000000001,0.26515151515151514,known_visit_core_500,10,4,8
6,known_visit,PI,rayleigh_style,-37.79,19,361,4,10,pi_rayleigh_style_sens_neg37_79,known_visit_g19_t10_n500.csv,10,True,73.0058117635177,73.0058117635177,9,9,9,136,43,111,29,1,1,1,411,0,441,796,525,142,299,282,159,0.5865921787709497,44.1,15.9,collision_intent:142;pi_clear_path:5;pi_entry:154;state:140,0.30000000000000004,0.12387387387387383,known_visit_core_500,10,4,8
7,known_visit,PI,rayleigh_style,-37.79,19,361,4,10,pi_rayleigh_style_sens_neg37_79,known_visit_g19_t10_n500.csv,10,True,54.697130928348635,54.697130928348635,4,4,4,113,32,100,17,0,0,0,295,0,378,645,489,115,263,232,146,0.6197718631178707,37.8,14.6,collision_intent:115;pi_clear_path:2;pi_entry:144;state:117,0.25,0.16500000000000004,known_visit_core_500,10,4,8
8,known_visit,PI,rayleigh_style,-37.79,19,361,4,10,pi_rayleigh_style_sens_neg37_79,known_visit_g19_t10_n500.csv,10,True,63.311507377147805,63.311507377147805,4,4,4,136,37,122,18,1,6,4,328,0,439,739,574,144,295,284,155,0.6493212669683258,43.9,15.5,collision_intent:144;pi_clear_path:1;pi_entry:154;state:140,0.25,0.06557377049180335,known_visit_core_500,10,4,8
9,known_visit,PI,rayleigh_style,-37.79,19,361,4,10,pi_rayleigh_style_sens_neg37_79,known_visit_g19_t10_n500.csv,10,True,65.38819669612685,65.38819669612685,5,5,5,138,38,112,30,3,1,1,350,0,432,803,493,142,290,284,148,0.5666666666666667,43.2,14.8,collision_intent:142;pi_clear_path:3;pi_entry:145;state:142,0.3500000000000001,0.12053571428571419,known_visit_core_500,10,4,8
