trial_id,logic_revision,study_profile,scenario_file_sha256,scenario_selection_sha256,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,target_x,target_y,clue_locations,first_clue_robot,first_clue_x,first_clue_y,robot_start_locations,robot_end_locations,clues_detected_by_robot,target_found_by_robot,trial_status
0,dcta_parity_v1,custom,0690372b5c8441436ded53746c6b370f1aa18ebb7a7f2c9268e393591b984742,7dc2228f3c50b39b18dcc2d6aa0e782f452a5e52aac7edce7bf586c910277b48,PI,ideal,1.0,25,625,13,50.0,48.076923,pi_g25_d50_ideal,reruns\grid_density\scenarios\clips\scaling_grid25_trials50.csv,clue_search,14,0,"(9,0);(6,18);(19,8);(12,1)",09,6,18,"00:(0,0);01:(0,2);02:(0,4);03:(0,6);04:(0,8);05:(0,10);06:(0,12);07:(0,14);08:(0,16);09:(0,18);10:(0,20);11:(0,22);12:(0,24)","00:(13,2);01:(9,0);02:(10,0);03:(14,0);04:(15,24);05:(16,22);06:(15,20);07:(13,6);08:(16,23);09:(14,10);10:(16,17);11:(17,20);12:(17,23)",00:0;01:1;02:0;03:1;04:0;05:0;06:0;07:0;08:0;09:1;10:0;11:0;12:0,03,completed
1,dcta_parity_v1,custom,0690372b5c8441436ded53746c6b370f1aa18ebb7a7f2c9268e393591b984742,7dc2228f3c50b39b18dcc2d6aa0e782f452a5e52aac7edce7bf586c910277b48,PI,ideal,1.0,25,625,13,50.0,48.076923,pi_g25_d50_ideal,reruns\grid_density\scenarios\clips\scaling_grid25_trials50.csv,clue_search,12,13,"(12,14);(16,14);(9,1);(18,8)",07,12,14,"00:(0,0);01:(0,2);02:(0,4);03:(0,6);04:(0,8);05:(0,10);06:(0,12);07:(0,14);08:(0,16);09:(0,18);10:(0,20);11:(0,22);12:(0,24)","00:(12,0);01:(12,2);02:(12,4);03:(11,7);04:(13,8);05:(13,10);06:(12,13);07:(12,14);08:(12,16);09:(13,18);10:(13,20);11:(13,22);12:(12,24)",00:0;01:0;02:0;03:0;04:0;05:0;06:0;07:1;08:0;09:0;10:0;11:0;12:0,06,completed
2,dcta_parity_v1,custom,0690372b5c8441436ded53746c6b370f1aa18ebb7a7f2c9268e393591b984742,7dc2228f3c50b39b18dcc2d6aa0e782f452a5e52aac7edce7bf586c910277b48,PI,ideal,1.0,25,625,13,50.0,48.076923,pi_g25_d50_ideal,reruns\grid_density\scenarios\clips\scaling_grid25_trials50.csv,clue_search,16,1,"(9,12);(17,8);(15,4);(7,14)",07,7,14,"00:(0,0);01:(0,2);02:(0,4);03:(0,6);04:(0,8);05:(0,10);06:(0,12);07:(0,14);08:(0,16);09:(0,18);10:(0,20);11:(0,22);12:(0,24)","00:(15,6);01:(18,16);02:(16,1);03:(17,3);04:(18,8);05:(18,9);06:(16,6);07:(16,2);08:(18,21);09:(6,0);10:(18,23);11:(16,21);12:(17,22)",00:0;01:0;02:0;03:0;04:1;05:1;06:1;07:1;08:0;09:0;10:0;11:0;12:0,02,completed
3,dcta_parity_v1,custom,0690372b5c8441436ded53746c6b370f1aa18ebb7a7f2c9268e393591b984742,7dc2228f3c50b39b18dcc2d6aa0e782f452a5e52aac7edce7bf586c910277b48,PI,ideal,1.0,25,625,13,50.0,48.076923,pi_g25_d50_ideal,reruns\grid_density\scenarios\clips\scaling_grid25_trials50.csv,clue_search,2,18,"(4,16);(13,22);(5,17);(3,18)",,,,"00:(0,0);01:(0,2);02:(0,4);03:(0,6);04:(0,8);05:(0,10);06:(0,12);07:(0,14);08:(0,16);09:(0,18);10:(0,20);11:(0,22);12:(0,24)","00:(1,0);01:(1,2);02:(2,4);03:(1,6);04:(2,8);05:(1,10);06:(2,12);07:(2,14);08:(1,16);09:(2,18);10:(2,20);11:(2,22);12:(2,24)",00:0;01:0;02:0;03:0;04:0;05:0;06:0;07:0;08:0;09:0;10:0;11:0;12:0,09,completed
4,dcta_parity_v1,custom,0690372b5c8441436ded53746c6b370f1aa18ebb7a7f2c9268e393591b984742,7dc2228f3c50b39b18dcc2d6aa0e782f452a5e52aac7edce7bf586c910277b48,PI,ideal,1.0,25,625,13,50.0,48.076923,pi_g25_d50_ideal,reruns\grid_density\scenarios\clips\scaling_grid25_trials50.csv,clue_search,8,18,"(7,23);(17,17);(19,8);(12,6)",,,,"00:(0,0);01:(0,2);02:(0,4);03:(0,6);04:(0,8);05:(0,10);06:(0,12);07:(0,14);08:(0,16);09:(0,18);10:(0,20);11:(0,22);12:(0,24)","00:(8,0);01:(8,2);02:(8,4);03:(7,6);04:(8,8);05:(8,10);06:(8,12);07:(7,14);08:(8,16);09:(8,18);10:(8,20);11:(7,22);12:(8,24)",00:0;01:0;02:0;03:0;04:0;05:0;06:0;07:0;08:0;09:0;10:0;11:0;12:0,09,completed
5,dcta_parity_v1,custom,0690372b5c8441436ded53746c6b370f1aa18ebb7a7f2c9268e393591b984742,7dc2228f3c50b39b18dcc2d6aa0e782f452a5e52aac7edce7bf586c910277b48,PI,ideal,1.0,25,625,13,50.0,48.076923,pi_g25_d50_ideal,reruns\grid_density\scenarios\clips\scaling_grid25_trials50.csv,clue_search,15,13,"(19,6);(19,17);(17,5);(11,10)",05,11,10,"00:(0,0);01:(0,2);02:(0,4);03:(0,6);04:(0,8);05:(0,10);06:(0,12);07:(0,14);08:(0,16);09:(0,18);10:(0,20);11:(0,22);12:(0,24)","00:(4,1);01:(10,5);02:(6,7);03:(15,10);04:(15,13);05:(4,9);06:(4,11);07:(12,12);08:(8,13);09:(15,14);10:(8,19);11:(14,17);12:(13,22)",00:0;01:0;02:0;03:0;04:0;05:1;06:0;07:0;08:0;09:0;10:0;11:0;12:0,04,completed
6,dcta_parity_v1,custom,0690372b5c8441436ded53746c6b370f1aa18ebb7a7f2c9268e393591b984742,7dc2228f3c50b39b18dcc2d6aa0e782f452a5e52aac7edce7bf586c910277b48,PI,ideal,1.0,25,625,13,50.0,48.076923,pi_g25_d50_ideal,reruns\grid_density\scenarios\clips\scaling_grid25_trials50.csv,clue_search,10,15,"(1,5);(8,15);(13,17);(14,10)",05,14,10,"00:(0,0);01:(0,2);02:(0,4);03:(0,6);04:(0,8);05:(0,10);06:(0,12);07:(0,14);08:(0,16);09:(0,18);10:(0,20);11:(0,22);12:(0,24)","00:(16,0);01:(16,2);02:(15,7);03:(16,8);04:(8,9);05:(17,11);06:(11,11);07:(11,13);08:(10,15);09:(11,17);10:(9,19);11:(8,21);12:(15,21)",00:0;01:0;02:0;03:0;04:0;05:1;06:0;07:0;08:0;09:1;10:0;11:0;12:0,08,completed
7,dcta_parity_v1,custom,0690372b5c8441436ded53746c6b370f1aa18ebb7a7f2c9268e393591b984742,7dc2228f3c50b39b18dcc2d6aa0e782f452a5e52aac7edce7bf586c910277b48,PI,ideal,1.0,25,625,13,50.0,48.076923,pi_g25_d50_ideal,reruns\grid_density\scenarios\clips\scaling_grid25_trials50.csv,clue_search,4,19,"(5,18);(4,18);(11,9);(17,11)",09,4,18,"00:(0,0);01:(0,2);02:(0,4);03:(0,6);04:(0,8);05:(0,10);06:(0,12);07:(0,14);08:(0,16);09:(0,18);10:(0,20);11:(0,22);12:(0,24)","00:(4,1);01:(4,3);02:(4,5);03:(4,7);04:(4,9);05:(3,11);06:(5,12);07:(5,14);08:(5,16);09:(4,18);10:(4,19);11:(5,22);12:(5,24)",00:0;01:0;02:0;03:0;04:0;05:0;06:0;07:0;08:0;09:1;10:0;11:0;12:0,10,completed
8,dcta_parity_v1,custom,0690372b5c8441436ded53746c6b370f1aa18ebb7a7f2c9268e393591b984742,7dc2228f3c50b39b18dcc2d6aa0e782f452a5e52aac7edce7bf586c910277b48,PI,ideal,1.0,25,625,13,50.0,48.076923,pi_g25_d50_ideal,reruns\grid_density\scenarios\clips\scaling_grid25_trials50.csv,clue_search,21,3,"(18,22);(17,17);(17,1);(24,1)",11,18,22,"00:(0,0);01:(0,2);02:(0,4);03:(0,6);04:(0,8);05:(0,10);06:(0,12);07:(0,14);08:(0,16);09:(0,18);10:(0,20);11:(0,22);12:(0,24)","00:(24,20);01:(23,10);02:(21,3);03:(21,1);04:(21,12);05:(20,11);06:(24,18);07:(18,12);08:(24,12);09:(18,23);10:(21,20);11:(23,16);12:(23,22)",00:1;01:1;02:0;03:0;04:0;05:0;06:0;07:0;08:1;09:0;10:0;11:1;12:0,02,completed
9,dcta_parity_v1,custom,0690372b5c8441436ded53746c6b370f1aa18ebb7a7f2c9268e393591b984742,7dc2228f3c50b39b18dcc2d6aa0e782f452a5e52aac7edce7bf586c910277b48,PI,ideal,1.0,25,625,13,50.0,48.076923,pi_g25_d50_ideal,reruns\grid_density\scenarios\clips\scaling_grid25_trials50.csv,clue_search,1,0,"(6,17);(10,3);(2,18);(16,8)",,,,"00:(0,0);01:(0,2);02:(0,4);03:(0,6);04:(0,8);05:(0,10);06:(0,12);07:(0,14);08:(0,16);09:(0,18);10:(0,20);11:(0,22);12:(0,24)","00:(1,0);01:(1,2);02:(1,4);03:(1,6);04:(1,8);05:(1,10);06:(0,12);07:(1,14);08:(0,16);09:(1,18);10:(1,20);11:(1,22);12:(1,24)",00:0;01:0;02:0;03:0;04:0;05:0;06:0;07:0;08:0;09:0;10:0;11:0;12:0,00,completed
