trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,robot_id,steps_total,targets_found,task_cell_revisits,unique_cells_contributed,system_revisits_by_robot,task_cell_replans,path_replans,collision_prevention_events,blocked_task_quarantines,blocked_task_quarantine_time_s,maximum_quarantine_level,stall_recoveries,messages_sent,core_messages_sent,allocation_messages_sent,messages_delivered_to_robot,messages_dropped_to_robot,benchmark_suite,num_targets,num_robots,commitment_horizon
306,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,02,20,4,0,21,0,0,0,0,0,0.0,0,0,41,41,0,70,47,known_visit_core_500,10,4,8
306,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,03,19,3,0,20,0,0,0,0,0,0.0,0,0,39,39,0,63,55,known_visit_core_500,10,4,8
307,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,00,47,1,4,22,26,0,3,3,0,0.0,0,0,98,98,0,179,102,known_visit_core_500,10,4,8
307,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,01,48,1,4,38,11,0,0,0,0,0.0,0,0,97,97,0,176,105,known_visit_core_500,10,4,8
307,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,02,41,4,2,31,11,2,4,1,1,5.0,1,0,87,87,0,186,106,known_visit_core_500,10,4,8
307,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,03,48,4,3,35,14,0,0,0,0,0.0,0,0,97,97,0,157,125,known_visit_core_500,10,4,8
308,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,00,33,2,1,30,4,0,0,0,0,0.0,0,0,68,68,0,126,71,known_visit_core_500,10,4,8
308,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,01,30,3,2,28,3,0,0,0,0,0.0,0,0,62,62,0,143,60,known_visit_core_500,10,4,8
308,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,02,33,1,3,29,5,0,0,0,0,0.0,0,0,68,68,0,132,64,known_visit_core_500,10,4,8
308,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,03,33,4,0,34,0,0,0,0,0,0.0,0,0,67,67,0,117,80,known_visit_core_500,10,4,8
309,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,00,26,4,0,27,0,0,0,0,0,0.0,0,0,53,53,0,89,66,known_visit_core_500,10,4,8
309,known_visit,DMCHBA,rayleigh_style,-32.58,19,361,4,10,dmchba_rayleigh_style_sens_neg32_58,scenarios/known_visit_g19_t10_n500.csv,01,26,2,0,27,0,1,0,0,0,0.0,0,0,53,53,0,112,42,known_visit_core_500,10,4,8
