study,condition,out_dir,system_rows,trial_rows,robot_rows,target_rows,last_trial_id,failed_trials,duplicate_trial_ids,complete_file,expected_trials,resume_from_next_missing_trial
clue_horizon,dga_h1_bernoulli_025,clue_sensitivity_test_results\horizon_results\raw\h1\bernoulli\dga_h1_bernoulli_025,80,80,320,,79,0,0,False,300,80
clue_horizon,dga_h1_ideal,clue_sensitivity_test_results\horizon_results\raw\h1\ideal\dga_h1_ideal,82,82,328,,81,0,0,False,300,82
clue_horizon,acbba_h12_bernoulli_025,clue_sensitivity_test_results\horizon_results\raw\h12\bernoulli\acbba_h12_bernoulli_025,300,300,1200,,299,0,0,True,300,300
clue_horizon,dga_h12_bernoulli_025,clue_sensitivity_test_results\horizon_results\raw\h12\bernoulli\dga_h12_bernoulli_025,300,300,1200,,299,0,0,True,300,300
clue_horizon,dmchba_h12_bernoulli_025,clue_sensitivity_test_results\horizon_results\raw\h12\bernoulli\dmchba_h12_bernoulli_025,300,300,1200,,299,0,0,True,300,300
clue_horizon,hipc_h12_bernoulli_025,clue_sensitivity_test_results\horizon_results\raw\h12\bernoulli\hipc_h12_bernoulli_025,300,300,1200,,299,0,0,True,300,300
clue_horizon,pi_h12_bernoulli_025,clue_sensitivity_test_results\horizon_results\raw\h12\bernoulli\pi_h12_bernoulli_025,300,300,1200,,299,0,0,True,300,300
clue_horizon,acbba_h12_ideal,clue_sensitivity_test_results\horizon_results\raw\h12\ideal\acbba_h12_ideal,263,263,1052,,262,0,0,False,300,263
clue_horizon,dga_h12_ideal,clue_sensitivity_test_results\horizon_results\raw\h12\ideal\dga_h12_ideal,228,228,912,,227,0,0,False,300,228
clue_horizon,dmchba_h12_ideal,clue_sensitivity_test_results\horizon_results\raw\h12\ideal\dmchba_h12_ideal,1,1,4,,0,0,0,False,300,1
clue_horizon,dga_h2_bernoulli_025,clue_sensitivity_test_results\horizon_results\raw\h2\bernoulli\dga_h2_bernoulli_025,119,119,476,,118,0,0,False,300,119
clue_horizon,dga_h2_ideal,clue_sensitivity_test_results\horizon_results\raw\h2\ideal\dga_h2_ideal,218,218,872,,217,0,0,False,300,218
clue_horizon,dga_h3_bernoulli_025,clue_sensitivity_test_results\horizon_results\raw\h3\bernoulli\dga_h3_bernoulli_025,126,126,504,,125,1,0,False,300,126
clue_horizon,dmchba_h3_bernoulli_025,clue_sensitivity_test_results\horizon_results\raw\h3\bernoulli\dmchba_h3_bernoulli_025,300,300,1200,,299,0,0,True,300,300
clue_horizon,dga_h3_ideal,clue_sensitivity_test_results\horizon_results\raw\h3\ideal\dga_h3_ideal,126,126,504,,125,0,0,False,300,126
clue_horizon,dga_h5_bernoulli_025,clue_sensitivity_test_results\horizon_results\raw\h5\bernoulli\dga_h5_bernoulli_025,182,182,728,,181,1,0,False,300,182
clue_horizon,dga_h5_ideal,clue_sensitivity_test_results\horizon_results\raw\h5\ideal\dga_h5_ideal,146,146,584,,145,0,0,False,300,146
clue_horizon,dga_h8_bernoulli_025,clue_sensitivity_test_results\horizon_results\raw\h8\bernoulli\dga_h8_bernoulli_025,266,266,1064,,265,0,0,False,300,266
clue_horizon,dga_h8_ideal,clue_sensitivity_test_results\horizon_results\raw\h8\ideal\dga_h8_ideal,209,209,836,,208,0,0,False,300,209
known_target_dga_iteration,<root missing>,known_target_sensitivity_test_results\dga_iteration\raw,0,0,0,,,0,0,False,300,0
coverage_horizon,<root missing>,coverage_sensitivity_test_results\horizon_results\raw,0,0,0,,,0,0,False,50,0
