trial_id,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,trial_status,failure_type,failure_message,total_team_steps,steps_before_first_clue,post_clue_steps_to_find,unique_cells_searched,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,messages_sent_total,messages_delivered_total,messages_dropped_total,debug_max_events,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,post_clue_messages_sent_total,post_clue_allocation_messages_sent_total,message_drop_fraction,messages_per_unique_cell,messages_per_post_clue_step,allocation_messages_per_step,allocation_messages_per_post_clue_step,allocation_messages_per_unique_cell,messages_sent_by_topic,max_steps_any_robot,max_messages_any_robot,workload_gini_unique_cells_contributed
0,CBAA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,cbaa_gilbert_elliott_drop_0_70_rho_0_8,,coverage,failed,RuntimeError,Debug safety cap reached in trial 0. This usually means the allocator is stuck or returning no reachable goals.,,,,,,,,,,,,100000,,,,,,,,,,,,,,,,
1,CBAA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,cbaa_gilbert_elliott_drop_0_70_rho_0_8,,coverage,completed,,,395,395,0,361,38,0,0,0,1991,2522,3447,,401,1590,796,1195,0,0,0.7232480067142257,5.515235457063712,0.0,3.0253164556962027,0.0,3.3102493074792245,cbaa_entry:1195;collision_intent:401;state:395,352,1416,0.675207756232687
2,CBAA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,cbaa_gilbert_elliott_drop_0_70_rho_0_8,,coverage,completed,,,394,394,0,361,37,0,0,0,2049,2810,3333,,401,1648,795,1254,0,0,0.6746963562753037,5.67590027700831,0.0,3.182741116751269,0.0,3.473684210526316,cbaa_entry:1254;collision_intent:401;state:394,352,1426,0.6918282548476453
3,CBAA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,cbaa_gilbert_elliott_drop_0_70_rho_0_8,,coverage,completed,,,366,366,0,361,9,0,0,0,1942,2535,3287,,370,1572,736,1206,0,0,0.6975806451612904,5.379501385041551,0.0,3.2950819672131146,0.0,3.3407202216066483,cbaa_entry:1206;collision_intent:370;state:366,354,1425,0.7181440443213296
4,CBAA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,cbaa_gilbert_elliott_drop_0_70_rho_0_8,,coverage,completed,,,478,478,0,361,121,0,0,0,2484,3335,4117,,494,1990,972,1512,0,0,0.6896147403685092,6.880886426592798,0.0,3.1631799163179917,0.0,4.188365650969529,cbaa_entry:1512;collision_intent:494;state:478,334,1387,0.5657894736842106
5,CBAA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,cbaa_gilbert_elliott_drop_0_70_rho_0_8,,coverage,completed,,,413,413,0,361,56,0,0,0,2120,2689,3669,,420,1700,833,1287,0,0,0.7196939976461357,5.872576177285318,0.0,3.116222760290557,0.0,3.565096952908587,cbaa_entry:1287;collision_intent:420;state:413,368,1481,0.6821329639889198
6,CBAA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,cbaa_gilbert_elliott_drop_0_70_rho_0_8,,coverage,completed,,,367,367,0,361,10,0,0,0,1956,2671,3195,,371,1585,738,1218,0,0,0.6722070271407532,5.418282548476454,0.0,3.318801089918256,0.0,3.3739612188365653,cbaa_entry:1218;collision_intent:371;state:367,354,1428,0.7181440443213296
7,CBAA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,cbaa_gilbert_elliott_drop_0_70_rho_0_8,,coverage,completed,,,402,402,0,361,45,0,0,0,2114,2774,3566,,413,1701,815,1299,0,0,0.6990786120368555,5.85595567867036,0.0,3.2313432835820897,0.0,3.598337950138504,cbaa_entry:1299;collision_intent:413;state:402,354,1435,0.6544321329639888
8,CBAA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,cbaa_gilbert_elliott_drop_0_70_rho_0_8,,coverage,completed,,,637,637,0,361,280,0,0,0,3137,4103,5305,,647,2490,1284,1853,0,0,0.7104593544931029,8.689750692520775,0.0,2.9089481946624804,0.0,5.132963988919667,cbaa_entry:1853;collision_intent:647;state:637,316,1349,0.4882271468144044
9,CBAA,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,cbaa_gilbert_elliott_drop_0_70_rho_0_8,,coverage,completed,,,494,494,0,361,137,0,0,0,2532,3291,4303,,511,2021,1005,1527,0,0,0.709948853324534,7.013850415512465,0.0,3.091093117408907,0.0,4.229916897506925,cbaa_entry:1527;collision_intent:511;state:494,352,1439,0.5865650969529086
