trial_id,logic_revision,study_profile,scenario_file_sha256,scenario_selection_sha256,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,target_x,target_y,clue_locations,first_clue_robot,first_clue_x,first_clue_y,robot_start_locations,robot_end_locations,clues_detected_by_robot,target_found_by_robot,trial_status,stage,environment,algorithm_key,commitment_horizon,dga_iterations,comm_label,out_dir,run_id,failure_type,failure_message
0,dcta_parity_v1,custom,15fa9fa5875bd61c24f36bb1e913aef60bd3d3e1969832b4422adfd9ff2b4216,1a3167c2e86052e1d9feb3f8ef286a1af2673479c60fab2d5278fb966ca758bb,CBAA,ideal,1.0,14,196,1,220.0,196.0,g14_d220_ideal_cbaa,T:\DCTA_GRID_SHARDS_20260801_153110_JLOTT\shards\shard_021_10c_5h\scenarios\grid_clue\g14_d220_ideal_cbaa\task_0001_g14_d220_ideal_cbaa_t00_24.csv,clue_search,1,5,"(5,0);(10,12);(1,2);(2,11)",00,2,11,"00:(0,6)","00:(1,5)",00:2,00,completed,grid_clue,clue,cbaa,,,ideal,runs/sensitivity_grid_density_50/raw/grid14/density220/ideal/cbaa,g14_d220_ideal_cbaa,,
1,dcta_parity_v1,custom,15fa9fa5875bd61c24f36bb1e913aef60bd3d3e1969832b4422adfd9ff2b4216,1a3167c2e86052e1d9feb3f8ef286a1af2673479c60fab2d5278fb966ca758bb,CBAA,ideal,1.0,14,196,1,220.0,196.0,g14_d220_ideal_cbaa,T:\DCTA_GRID_SHARDS_20260801_153110_JLOTT\shards\shard_021_10c_5h\scenarios\grid_clue\g14_d220_ideal_cbaa\task_0001_g14_d220_ideal_cbaa_t00_24.csv,clue_search,12,2,"(3,0);(2,0);(13,3);(8,1)",00,2,0,"00:(0,6)","00:(12,2)",00:3,00,completed,grid_clue,clue,cbaa,,,ideal,runs/sensitivity_grid_density_50/raw/grid14/density220/ideal/cbaa,g14_d220_ideal_cbaa,,
2,dcta_parity_v1,custom,15fa9fa5875bd61c24f36bb1e913aef60bd3d3e1969832b4422adfd9ff2b4216,1a3167c2e86052e1d9feb3f8ef286a1af2673479c60fab2d5278fb966ca758bb,CBAA,ideal,1.0,14,196,1,220.0,196.0,g14_d220_ideal_cbaa,T:\DCTA_GRID_SHARDS_20260801_153110_JLOTT\shards\shard_021_10c_5h\scenarios\grid_clue\g14_d220_ideal_cbaa\task_0001_g14_d220_ideal_cbaa_t00_24.csv,clue_search,3,2,"(1,2);(8,12);(13,13);(8,10)",00,8,10,"00:(0,6)","00:(3,2)",00:4,00,completed,grid_clue,clue,cbaa,,,ideal,runs/sensitivity_grid_density_50/raw/grid14/density220/ideal/cbaa,g14_d220_ideal_cbaa,,
3,dcta_parity_v1,custom,15fa9fa5875bd61c24f36bb1e913aef60bd3d3e1969832b4422adfd9ff2b4216,1a3167c2e86052e1d9feb3f8ef286a1af2673479c60fab2d5278fb966ca758bb,CBAA,ideal,1.0,14,196,1,220.0,196.0,g14_d220_ideal_cbaa,T:\DCTA_GRID_SHARDS_20260801_153110_JLOTT\shards\shard_021_10c_5h\scenarios\grid_clue\g14_d220_ideal_cbaa\task_0001_g14_d220_ideal_cbaa_t00_24.csv,clue_search,10,12,"(13,10);(11,11);(3,12);(8,12)",00,13,10,"00:(0,6)","00:(10,12)",00:2,00,completed,grid_clue,clue,cbaa,,,ideal,runs/sensitivity_grid_density_50/raw/grid14/density220/ideal/cbaa,g14_d220_ideal_cbaa,,
4,dcta_parity_v1,custom,15fa9fa5875bd61c24f36bb1e913aef60bd3d3e1969832b4422adfd9ff2b4216,1a3167c2e86052e1d9feb3f8ef286a1af2673479c60fab2d5278fb966ca758bb,CBAA,ideal,1.0,14,196,1,220.0,196.0,g14_d220_ideal_cbaa,T:\DCTA_GRID_SHARDS_20260801_153110_JLOTT\shards\shard_021_10c_5h\scenarios\grid_clue\g14_d220_ideal_cbaa\task_0001_g14_d220_ideal_cbaa_t00_24.csv,clue_search,1,6,"(13,12);(9,3);(3,10);(0,1)",,,,"00:(0,6)","00:(1,6)",00:0,00,completed,grid_clue,clue,cbaa,,,ideal,runs/sensitivity_grid_density_50/raw/grid14/density220/ideal/cbaa,g14_d220_ideal_cbaa,,
5,dcta_parity_v1,custom,15fa9fa5875bd61c24f36bb1e913aef60bd3d3e1969832b4422adfd9ff2b4216,1a3167c2e86052e1d9feb3f8ef286a1af2673479c60fab2d5278fb966ca758bb,CBAA,ideal,1.0,14,196,1,220.0,196.0,g14_d220_ideal_cbaa,T:\DCTA_GRID_SHARDS_20260801_153110_JLOTT\shards\shard_021_10c_5h\scenarios\grid_clue\g14_d220_ideal_cbaa\task_0001_g14_d220_ideal_cbaa_t00_24.csv,clue_search,12,6,"(13,10);(2,0);(12,5);(4,5)",,,,"00:(0,6)","00:(12,6)",00:0,00,completed,grid_clue,clue,cbaa,,,ideal,runs/sensitivity_grid_density_50/raw/grid14/density220/ideal/cbaa,g14_d220_ideal_cbaa,,
6,dcta_parity_v1,custom,15fa9fa5875bd61c24f36bb1e913aef60bd3d3e1969832b4422adfd9ff2b4216,1a3167c2e86052e1d9feb3f8ef286a1af2673479c60fab2d5278fb966ca758bb,CBAA,ideal,1.0,14,196,1,220.0,196.0,g14_d220_ideal_cbaa,T:\DCTA_GRID_SHARDS_20260801_153110_JLOTT\shards\shard_021_10c_5h\scenarios\grid_clue\g14_d220_ideal_cbaa\task_0001_g14_d220_ideal_cbaa_t00_24.csv,clue_search,2,7,"(8,4);(8,0);(2,2);(6,10)",,,,"00:(0,6)","00:(2,7)",00:0,00,completed,grid_clue,clue,cbaa,,,ideal,runs/sensitivity_grid_density_50/raw/grid14/density220/ideal/cbaa,g14_d220_ideal_cbaa,,
7,dcta_parity_v1,custom,15fa9fa5875bd61c24f36bb1e913aef60bd3d3e1969832b4422adfd9ff2b4216,1a3167c2e86052e1d9feb3f8ef286a1af2673479c60fab2d5278fb966ca758bb,CBAA,ideal,1.0,14,196,1,220.0,196.0,g14_d220_ideal_cbaa,T:\DCTA_GRID_SHARDS_20260801_153110_JLOTT\shards\shard_021_10c_5h\scenarios\grid_clue\g14_d220_ideal_cbaa\task_0001_g14_d220_ideal_cbaa_t00_24.csv,clue_search,8,12,"(12,3);(4,4);(4,11);(12,12)",00,4,11,"00:(0,6)","00:(8,12)",00:1,00,completed,grid_clue,clue,cbaa,,,ideal,runs/sensitivity_grid_density_50/raw/grid14/density220/ideal/cbaa,g14_d220_ideal_cbaa,,
8,dcta_parity_v1,custom,15fa9fa5875bd61c24f36bb1e913aef60bd3d3e1969832b4422adfd9ff2b4216,1a3167c2e86052e1d9feb3f8ef286a1af2673479c60fab2d5278fb966ca758bb,CBAA,ideal,1.0,14,196,1,220.0,196.0,g14_d220_ideal_cbaa,T:\DCTA_GRID_SHARDS_20260801_153110_JLOTT\shards\shard_021_10c_5h\scenarios\grid_clue\g14_d220_ideal_cbaa\task_0001_g14_d220_ideal_cbaa_t00_24.csv,clue_search,11,6,"(9,0);(12,6);(9,11);(13,6)",,,,"00:(0,6)","00:(11,6)",00:0,00,completed,grid_clue,clue,cbaa,,,ideal,runs/sensitivity_grid_density_50/raw/grid14/density220/ideal/cbaa,g14_d220_ideal_cbaa,,
9,dcta_parity_v1,custom,15fa9fa5875bd61c24f36bb1e913aef60bd3d3e1969832b4422adfd9ff2b4216,1a3167c2e86052e1d9feb3f8ef286a1af2673479c60fab2d5278fb966ca758bb,CBAA,ideal,1.0,14,196,1,220.0,196.0,g14_d220_ideal_cbaa,T:\DCTA_GRID_SHARDS_20260801_153110_JLOTT\shards\shard_021_10c_5h\scenarios\grid_clue\g14_d220_ideal_cbaa\task_0001_g14_d220_ideal_cbaa_t00_24.csv,clue_search,10,7,"(0,7);(11,13);(9,11);(4,8)",,,,"00:(0,6)","00:(10,7)",00:0,00,completed,grid_clue,clue,cbaa,,,ideal,runs/sensitivity_grid_density_50/raw/grid14/density220/ideal/cbaa,g14_d220_ideal_cbaa,,
