trial_id,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,robot_id,steps_total,steps_after_first_clue,unique_cells_contributed,system_revisits_by_robot,task_cell_replans,path_replans,collision_prevention_events,messages_sent,protected_messages_sent,unprotected_messages_sent,core_messages_sent,allocation_messages_sent,post_clue_messages_sent,messages_sent_by_topic,messages_delivered_to_robot,messages_dropped_to_robot,trial_status,stage,environment,algorithm_key,commitment_horizon,dga_iterations,comm_label,out_dir,run_id
10,DMCHBA,ideal,1.0,14,196,1,220,196.0,g14_d220_ideal_dmchba,/home/agxorin/dcta_benchmark_sim/runs/sensitivity_grid_density_50/scenarios/scaling_grid14_trials50.csv,clue_search,00,59,0,60,0,0,0,0,119,60,59,119,0,0,collision_intent:59;state:59;target:1,0,0,completed,grid_clue,clue,dmchba,5,,ideal,runs/sensitivity_grid_density_50/raw/grid14/density220/ideal/dmchba,g14_d220_ideal_dmchba
11,DMCHBA,ideal,1.0,14,196,1,220,196.0,g14_d220_ideal_dmchba,/home/agxorin/dcta_benchmark_sim/runs/sensitivity_grid_density_50/scenarios/scaling_grid14_trials50.csv,clue_search,00,186,119,175,12,0,0,0,376,187,189,376,0,242,clue:3;collision_intent:186;state:186;target:1,0,0,completed,grid_clue,clue,dmchba,5,,ideal,runs/sensitivity_grid_density_50/raw/grid14/density220/ideal/dmchba,g14_d220_ideal_dmchba
12,DMCHBA,ideal,1.0,14,196,1,220,196.0,g14_d220_ideal_dmchba,/home/agxorin/dcta_benchmark_sim/runs/sensitivity_grid_density_50/scenarios/scaling_grid14_trials50.csv,clue_search,00,169,139,154,16,0,0,0,342,170,172,342,0,282,clue:3;collision_intent:169;state:169;target:1,0,0,completed,grid_clue,clue,dmchba,5,,ideal,runs/sensitivity_grid_density_50/raw/grid14/density220/ideal/dmchba,g14_d220_ideal_dmchba
13,DMCHBA,ideal,1.0,14,196,1,220,196.0,g14_d220_ideal_dmchba,/home/agxorin/dcta_benchmark_sim/runs/sensitivity_grid_density_50/scenarios/scaling_grid14_trials50.csv,clue_search,00,44,0,45,0,0,0,0,89,45,44,89,0,0,collision_intent:44;state:44;target:1,0,0,completed,grid_clue,clue,dmchba,5,,ideal,runs/sensitivity_grid_density_50/raw/grid14/density220/ideal/dmchba,g14_d220_ideal_dmchba
14,DMCHBA,ideal,1.0,14,196,1,220,196.0,g14_d220_ideal_dmchba,/home/agxorin/dcta_benchmark_sim/runs/sensitivity_grid_density_50/scenarios/scaling_grid14_trials50.csv,clue_search,00,48,0,49,0,0,0,0,97,49,48,97,0,0,collision_intent:48;state:48;target:1,0,0,completed,grid_clue,clue,dmchba,5,,ideal,runs/sensitivity_grid_density_50/raw/grid14/density220/ideal/dmchba,g14_d220_ideal_dmchba
15,DMCHBA,ideal,1.0,14,196,1,220,196.0,g14_d220_ideal_dmchba,/home/agxorin/dcta_benchmark_sim/runs/sensitivity_grid_density_50/scenarios/scaling_grid14_trials50.csv,clue_search,00,43,11,44,0,0,0,0,89,44,45,89,0,25,clue:2;collision_intent:43;state:43;target:1,0,0,completed,grid_clue,clue,dmchba,5,,ideal,runs/sensitivity_grid_density_50/raw/grid14/density220/ideal/dmchba,g14_d220_ideal_dmchba
16,DMCHBA,ideal,1.0,14,196,1,220,196.0,g14_d220_ideal_dmchba,/home/agxorin/dcta_benchmark_sim/runs/sensitivity_grid_density_50/scenarios/scaling_grid14_trials50.csv,clue_search,00,131,98,120,12,0,0,0,266,132,134,266,0,200,clue:3;collision_intent:131;state:131;target:1,0,0,completed,grid_clue,clue,dmchba,5,,ideal,runs/sensitivity_grid_density_50/raw/grid14/density220/ideal/dmchba,g14_d220_ideal_dmchba
17,DMCHBA,ideal,1.0,14,196,1,220,196.0,g14_d220_ideal_dmchba,/home/agxorin/dcta_benchmark_sim/runs/sensitivity_grid_density_50/scenarios/scaling_grid14_trials50.csv,clue_search,00,71,5,72,0,0,0,0,145,72,73,145,0,13,clue:2;collision_intent:71;state:71;target:1,0,0,completed,grid_clue,clue,dmchba,5,,ideal,runs/sensitivity_grid_density_50/raw/grid14/density220/ideal/dmchba,g14_d220_ideal_dmchba
18,DMCHBA,ideal,1.0,14,196,1,220,196.0,g14_d220_ideal_dmchba,/home/agxorin/dcta_benchmark_sim/runs/sensitivity_grid_density_50/scenarios/scaling_grid14_trials50.csv,clue_search,00,89,31,90,0,0,0,0,180,90,90,180,0,64,clue:1;collision_intent:89;state:89;target:1,0,0,completed,grid_clue,clue,dmchba,5,,ideal,runs/sensitivity_grid_density_50/raw/grid14/density220/ideal/dmchba,g14_d220_ideal_dmchba
19,DMCHBA,ideal,1.0,14,196,1,220,196.0,g14_d220_ideal_dmchba,/home/agxorin/dcta_benchmark_sim/runs/sensitivity_grid_density_50/scenarios/scaling_grid14_trials50.csv,clue_search,00,112,40,105,8,0,0,0,227,113,114,227,0,83,clue:2;collision_intent:112;state:112;target:1,0,0,completed,grid_clue,clue,dmchba,5,,ideal,runs/sensitivity_grid_density_50/raw/grid14/density220/ideal/dmchba,g14_d220_ideal_dmchba
