trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,target_locations,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,targets_found_by_robot,robot_start_locations,robot_end_locations,events_processed,stall_recoveries_total,trial_status
0,known_visit,HIPC,bernoulli,drop_0.25,19,361,2,10,hipc_g19_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(2,13);(13,1);(5,17);(8,3);(1,6);(12,13);(15,15);(10,3);(14,4);(17,0)",10,True,61.04062684791534,61.04062684791534,00:6;01:4,"(0,0);(0,18)","(17,0);(15,10)",157,0,completed
1,known_visit,HIPC,bernoulli,drop_0.25,19,361,2,10,hipc_g19_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(11,9);(17,15);(15,3);(11,10);(11,14);(7,15);(0,17);(7,1);(5,0);(14,3)",10,True,54.35754310855342,54.35754310855342,00:4;01:6,"(0,0);(0,18)","(16,3);(17,15)",152,0,completed
2,known_visit,HIPC,bernoulli,drop_0.25,19,361,2,10,hipc_g19_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(12,16);(18,6);(17,7);(6,13);(2,15);(12,0);(15,2);(4,14);(9,11);(5,3)",10,True,55.23385642085863,55.23385642085863,00:5;01:5,"(0,0);(0,18)","(18,6);(12,16)",152,0,completed
3,known_visit,HIPC,bernoulli,drop_0.25,19,361,2,10,hipc_g19_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(1,13);(13,13);(12,3);(17,18);(16,3);(14,6);(7,15);(10,1);(13,15);(10,10)",10,True,66.80869640420846,66.80869640420846,00:5;01:5,"(0,0);(0,18)","(17,18);(13,6)",173,0,completed
4,known_visit,HIPC,bernoulli,drop_0.25,19,361,2,10,hipc_g19_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(8,9);(4,2);(12,9);(14,3);(2,12);(12,1);(5,17);(6,1);(2,15);(8,16)",10,True,48.49064821722788,48.49064821722788,00:5;01:5,"(0,0);(0,18)","(11,9);(8,9)",127,0,completed
5,known_visit,HIPC,bernoulli,drop_0.25,19,361,2,10,hipc_g19_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(11,3);(11,15);(17,18);(6,10);(11,6);(14,0);(14,2);(2,17);(3,13);(10,13)",10,True,56.28986213577585,56.28986213577585,00:4;01:6,"(0,0);(0,18)","(14,0);(17,18)",151,0,completed
6,known_visit,HIPC,bernoulli,drop_0.25,19,361,2,10,hipc_g19_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(2,3);(9,7);(10,17);(18,9);(11,7);(17,18);(12,8);(4,16);(16,1);(13,15)",10,True,62.97687259417503,62.97687259417503,00:6;01:4,"(0,0);(0,18)","(16,1);(18,8)",161,0,completed
7,known_visit,HIPC,bernoulli,drop_0.25,19,361,2,10,hipc_g19_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(4,0);(9,6);(12,13);(13,18);(0,1);(2,12);(14,3);(4,2);(9,13);(8,16)",10,True,55.07966589997614,55.07966589997614,00:5;01:5,"(0,0);(0,18)","(14,3);(8,16)",147,0,completed
8,known_visit,HIPC,bernoulli,drop_0.25,19,361,2,10,hipc_g19_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(6,14);(17,0);(15,18);(5,4);(6,9);(8,0);(5,7);(2,4);(10,8);(7,0)",10,True,67.86841026668881,67.86841026668881,00:6;01:4,"(0,0);(0,18)","(17,0);(15,18)",178,0,completed
9,known_visit,HIPC,bernoulli,drop_0.25,19,361,2,10,hipc_g19_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(15,15);(12,3);(3,11);(13,3);(17,3);(3,0);(11,15);(7,4);(12,0);(15,11)",10,True,52.37109339732773,52.37109339732773,00:6;01:4,"(0,0);(0,18)","(17,3);(15,11)",134,0,completed
10,known_visit,HIPC,bernoulli,drop_0.25,19,361,2,10,hipc_g19_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(1,14);(12,11);(1,18);(18,7);(10,9);(5,13);(7,14);(16,1);(7,16);(17,2)",10,True,49.99509375863752,49.99509375863752,00:3;01:7,"(0,0);(0,18)","(18,11);(12,11)",128,0,completed
11,known_visit,HIPC,bernoulli,drop_0.25,19,361,2,10,hipc_g19_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(18,12);(18,5);(15,11);(9,10);(6,13);(6,5);(12,4);(7,9);(15,4);(9,17)",10,True,67.87148571935167,67.87148571935167,00:5;01:5,"(0,0);(0,18)","(11,10);(18,5)",174,0,completed
12,known_visit,HIPC,bernoulli,drop_0.25,19,361,2,10,hipc_g19_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(5,17);(17,17);(17,1);(12,7);(14,2);(13,7);(13,15);(9,0);(14,11);(6,12)",10,True,75.33606403777638,75.33606403777638,00:5;01:5,"(0,0);(0,18)","(13,15);(12,7)",210,0,completed
13,known_visit,HIPC,bernoulli,drop_0.25,19,361,2,10,hipc_g19_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(15,8);(13,1);(7,12);(7,16);(2,13);(11,9);(5,14);(1,10);(11,2);(1,12)",10,True,51.282089422096966,51.282089422096966,00:4;01:6,"(0,0);(0,18)","(11,9);(7,16)",133,0,completed
14,known_visit,HIPC,bernoulli,drop_0.25,19,361,2,10,hipc_g19_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(13,9);(11,15);(4,1);(14,14);(18,7);(9,0);(15,17);(12,12);(5,15);(4,10)",10,True,92.49444764891723,92.49444764891723,00:5;01:5,"(0,0);(0,18)","(18,7);(9,8)",238,0,completed
15,known_visit,HIPC,bernoulli,drop_0.25,19,361,2,10,hipc_g19_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(7,5);(5,4);(8,4);(18,17);(2,16);(5,8);(7,14);(2,3);(15,0);(15,8)",10,True,116.18028032471152,116.18028032471152,00:7;01:3,"(0,0);(0,18)","(18,17);(15,8)",328,0,completed
16,known_visit,HIPC,bernoulli,drop_0.25,19,361,2,10,hipc_g19_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(9,7);(1,5);(15,1);(0,17);(9,0);(10,11);(5,16);(1,9);(1,14);(18,18)",10,True,79.40441749992664,79.40441749992664,00:6;01:4,"(0,0);(0,18)","(15,1);(18,15)",223,0,completed
17,known_visit,HIPC,bernoulli,drop_0.25,19,361,2,10,hipc_g19_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(3,4);(5,2);(4,8);(6,0);(14,5);(17,18);(8,8);(13,1);(3,15);(10,3)",10,True,87.38657241114711,87.38657241114711,00:3;01:7,"(0,0);(0,18)","(14,5);(17,18)",221,0,completed
18,known_visit,HIPC,bernoulli,drop_0.25,19,361,2,10,hipc_g19_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(1,16);(18,10);(12,4);(15,17);(7,15);(4,14);(4,18);(15,8);(8,18);(15,3)",10,True,55.45003262486198,55.45003262486198,00:4;01:6,"(0,0);(0,18)","(18,10);(15,17)",145,0,completed
19,known_visit,HIPC,bernoulli,drop_0.25,19,361,2,10,hipc_g19_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(15,5);(11,12);(17,13);(12,2);(2,8);(18,9);(5,0);(10,9);(2,15);(14,4)",10,True,54.60479982687109,54.60479982687109,00:6;01:4,"(0,0);(0,18)","(17,13);(11,12)",147,0,completed
20,known_visit,HIPC,bernoulli,drop_0.25,19,361,2,10,hipc_g19_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(3,9);(17,15);(11,16);(16,5);(18,18);(18,1);(8,5);(10,0);(5,5);(11,15)",10,True,66.49509975908455,66.49509975908455,00:5;01:5,"(0,0);(0,18)","(18,1);(18,18)",167,0,completed
21,known_visit,HIPC,bernoulli,drop_0.25,19,361,2,10,hipc_g19_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(3,15);(4,17);(6,8);(12,16);(18,6);(2,3);(1,1);(16,0);(13,1);(9,3)",10,True,74.97924025844748,74.97924025844748,00:7;01:3,"(0,0);(0,18)","(6,8);(12,16)",213,0,completed
