trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,duplicate_target_visits,target_conflicts,task_cell_revisits_total,total_team_steps,max_robot_steps,unique_cells_visited,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,events_processed,stall_recoveries_total,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,message_drop_fraction,messages_per_completed_target,allocation_messages_per_completed_target,messages_sent_by_topic,workload_gini_targets_found,workload_gini_unique_cells_contributed,benchmark_suite,num_targets,num_robots,commitment_horizon
0,known_visit,PI,gilbert_elliot,0.4,19,361,4,10,pi_gilbert_elliot_pGG_0_4_pBB_0_6,known_visit_g19_t10_n500.csv,10,True,112.35003511292872,112.35003511292872,8,8,8,179,63,141,42,3,19,8,664,0,506,966,551,191,315,374,132,0.5836864406779662,50.6,13.2,collision_intent:191;pi_clear_path:5;pi_entry:127;state:183,0.10000000000000009,0.1648936170212767,known_visit_core_500,10,4,8
1,known_visit,PI,gilbert_elliot,0.4,19,361,4,10,pi_gilbert_elliot_pGG_0_4_pBB_0_6,known_visit_g19_t10_n500.csv,10,True,54.723325277898724,54.723325277898724,10,10,10,120,32,88,36,1,0,0,286,0,384,693,458,123,261,247,137,0.5856777493606138,38.4,13.7,collision_intent:123;pi_clear_path:3;pi_entry:134;state:124,0.3500000000000001,0.125,known_visit_core_500,10,4,8
2,known_visit,PI,gilbert_elliot,0.4,19,361,4,10,pi_gilbert_elliot_pGG_0_4_pBB_0_6,known_visit_g19_t10_n500.csv,10,True,79.11176017085849,79.11176017085849,7,7,7,153,46,119,38,4,2,2,439,0,468,840,562,161,307,318,150,0.6115342763873776,46.8,15.0,collision_intent:161;pi_clear_path:5;pi_entry:145;state:157,0.3500000000000001,0.13655462184873945,known_visit_core_500,10,4,8
3,known_visit,PI,gilbert_elliot,0.4,19,361,4,10,pi_gilbert_elliot_pGG_0_4_pBB_0_6,known_visit_g19_t10_n500.csv,10,True,83.85180237331898,83.85180237331898,9,9,9,156,48,123,37,5,23,5,456,0,493,865,613,164,329,324,169,0.6217038539553753,49.3,16.9,collision_intent:164;pi_clear_path:4;pi_entry:165;state:160,0.44999999999999996,0.10365853658536595,known_visit_core_500,10,4,8
4,known_visit,PI,gilbert_elliot,0.4,19,361,4,10,pi_gilbert_elliot_pGG_0_4_pBB_0_6,known_visit_g19_t10_n500.csv,10,True,58.298542058485175,58.298542058485175,8,8,8,108,34,87,25,1,1,1,333,0,343,635,392,114,229,226,117,0.5722627737226277,34.3,11.7,collision_intent:114;pi_clear_path:5;pi_entry:112;state:112,0.5,0.16954022988505746,known_visit_core_500,10,4,8
5,known_visit,PI,gilbert_elliot,0.4,19,361,4,10,pi_gilbert_elliot_pGG_0_4_pBB_0_6,known_visit_g19_t10_n500.csv,10,True,172.98036415084874,172.98036415084874,7,7,7,129,44,106,27,3,208,6,991,2,671,1051,960,137,534,270,401,0.6,67.1,40.1,collision_intent:137;pi_clear_path:5;pi_entry:396;state:133,0.1499999999999999,0.2264150943396226,known_visit_core_500,10,4,8
6,known_visit,PI,gilbert_elliot,0.4,19,361,4,10,pi_gilbert_elliot_pGG_0_4_pBB_0_6,known_visit_g19_t10_n500.csv,10,True,38.37598032341542,38.37598032341542,3,3,3,89,23,82,11,0,0,0,197,0,302,538,367,89,213,182,120,0.5752351097178683,30.2,12.0,collision_intent:89;pi_entry:120;state:93,0.30000000000000004,0.0792682926829269,known_visit_core_500,10,4,8
7,known_visit,PI,gilbert_elliot,0.4,19,361,4,10,pi_gilbert_elliot_pGG_0_4_pBB_0_6,known_visit_g19_t10_n500.csv,10,True,47.71881651781196,47.71881651781196,5,5,5,103,27,86,21,1,3,3,258,0,342,610,413,108,234,215,127,0.5908440629470673,34.2,12.7,collision_intent:108;pi_clear_path:2;pi_entry:125;state:107,0.30000000000000004,0.10465116279069764,known_visit_core_500,10,4,8
8,known_visit,PI,gilbert_elliot,0.4,19,361,4,10,pi_gilbert_elliot_pGG_0_4_pBB_0_6,known_visit_g19_t10_n500.csv,10,True,67.07352793017598,67.07352793017598,5,5,5,149,39,128,25,6,5,5,345,0,447,853,487,154,293,307,140,0.5546697038724373,44.7,14.0,collision_intent:154;pi_clear_path:3;pi_entry:137;state:153,0.30000000000000004,0.11328125,known_visit_core_500,10,4,8
9,known_visit,PI,gilbert_elliot,0.4,19,361,4,10,pi_gilbert_elliot_pGG_0_4_pBB_0_6,known_visit_g19_t10_n500.csv,10,True,211.88264281017283,211.88264281017283,9,9,9,206,53,152,58,3,141,10,1271,1,857,1450,1121,219,638,429,428,0.5856844305120167,85.7,42.8,collision_intent:219;pi_clear_path:5;pi_entry:423;state:210,0.30000000000000004,0.05263157894736836,known_visit_core_500,10,4,8
