trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,target_index,target_x,target_y,first_completion_time_s,first_completion_sim_time_s,first_found_by_robot,first_finder_robot_id,total_visits,duplicate_visits,completed,benchmark_suite,num_targets,num_robots,commitment_horizon
0,known_visit,CBAA,gilbert_elliot,0.8,19,361,4,10,cbaa_gilbert_elliot_pGG_0_8_pBB_0_2,known_visit_g19_t10_n500.csv,1,18,9,42.60517962457333,42.60517962457333,02,02,1,0,True,known_visit_core_500,10,4,8
0,known_visit,CBAA,gilbert_elliot,0.8,19,361,4,10,cbaa_gilbert_elliot_pGG_0_8_pBB_0_2,known_visit_g19_t10_n500.csv,2,8,12,22.530709080668668,22.530709080668668,03,03,1,0,True,known_visit_core_500,10,4,8
0,known_visit,CBAA,gilbert_elliot,0.8,19,361,4,10,cbaa_gilbert_elliot_pGG_0_8_pBB_0_2,known_visit_g19_t10_n500.csv,3,16,10,37.29613875937482,37.29613875937482,02,02,1,0,True,known_visit_core_500,10,4,8
0,known_visit,CBAA,gilbert_elliot,0.8,19,361,4,10,cbaa_gilbert_elliot_pGG_0_8_pBB_0_2,known_visit_g19_t10_n500.csv,4,4,10,8.991393178862054,8.991393178862054,02,02,1,0,True,known_visit_core_500,10,4,8
0,known_visit,CBAA,gilbert_elliot,0.8,19,361,4,10,cbaa_gilbert_elliot_pGG_0_8_pBB_0_2,known_visit_g19_t10_n500.csv,5,6,1,10.632825398207066,10.632825398207066,00,00,1,0,True,known_visit_core_500,10,4,8
0,known_visit,CBAA,gilbert_elliot,0.8,19,361,4,10,cbaa_gilbert_elliot_pGG_0_8_pBB_0_2,known_visit_g19_t10_n500.csv,6,4,8,12.518927520276735,12.518927520276735,02,02,1,0,True,known_visit_core_500,10,4,8
0,known_visit,CBAA,gilbert_elliot,0.8,19,361,4,10,cbaa_gilbert_elliot_pGG_0_8_pBB_0_2,known_visit_g19_t10_n500.csv,7,17,1,29.5222101279155,29.5222101279155,00,00,1,0,True,known_visit_core_500,10,4,8
0,known_visit,CBAA,gilbert_elliot,0.8,19,361,4,10,cbaa_gilbert_elliot_pGG_0_8_pBB_0_2,known_visit_g19_t10_n500.csv,8,3,4,7.207997254129669,7.207997254129669,01,01,1,0,True,known_visit_core_500,10,4,8
0,known_visit,CBAA,gilbert_elliot,0.8,19,361,4,10,cbaa_gilbert_elliot_pGG_0_8_pBB_0_2,known_visit_g19_t10_n500.csv,9,12,1,21.078889365430236,21.078889365430236,00,00,2,1,True,known_visit_core_500,10,4,8
0,known_visit,CBAA,gilbert_elliot,0.8,19,361,4,10,cbaa_gilbert_elliot_pGG_0_8_pBB_0_2,known_visit_g19_t10_n500.csv,10,11,9,26.618701298663076,26.618701298663076,02,02,1,0,True,known_visit_core_500,10,4,8
1,known_visit,CBAA,gilbert_elliot,0.8,19,361,4,10,cbaa_gilbert_elliot_pGG_0_8_pBB_0_2,known_visit_g19_t10_n500.csv,1,9,9,19.714269892398946,19.714269892398946,02,02,1,0,True,known_visit_core_500,10,4,8
1,known_visit,CBAA,gilbert_elliot,0.8,19,361,4,10,cbaa_gilbert_elliot_pGG_0_8_pBB_0_2,known_visit_g19_t10_n500.csv,2,9,6,24.978658731635022,24.978658731635022,02,02,1,0,True,known_visit_core_500,10,4,8
1,known_visit,CBAA,gilbert_elliot,0.8,19,361,4,10,cbaa_gilbert_elliot_pGG_0_8_pBB_0_2,known_visit_g19_t10_n500.csv,3,3,18,3.664923894484867,3.664923894484867,03,03,1,0,True,known_visit_core_500,10,4,8
1,known_visit,CBAA,gilbert_elliot,0.8,19,361,4,10,cbaa_gilbert_elliot_pGG_0_8_pBB_0_2,known_visit_g19_t10_n500.csv,4,9,5,26.663906749860548,26.663906749860548,02,02,1,0,True,known_visit_core_500,10,4,8
1,known_visit,CBAA,gilbert_elliot,0.8,19,361,4,10,cbaa_gilbert_elliot_pGG_0_8_pBB_0_2,known_visit_g19_t10_n500.csv,5,14,0,26.86108846104342,26.86108846104342,00,00,1,0,True,known_visit_core_500,10,4,8
1,known_visit,CBAA,gilbert_elliot,0.8,19,361,4,10,cbaa_gilbert_elliot_pGG_0_8_pBB_0_2,known_visit_g19_t10_n500.csv,6,8,5,28.712669571592684,28.712669571592684,02,02,1,0,True,known_visit_core_500,10,4,8
1,known_visit,CBAA,gilbert_elliot,0.8,19,361,4,10,cbaa_gilbert_elliot_pGG_0_8_pBB_0_2,known_visit_g19_t10_n500.csv,7,8,9,18.003063647957823,18.003063647957823,02,02,2,1,True,known_visit_core_500,10,4,8
1,known_visit,CBAA,gilbert_elliot,0.8,19,361,4,10,cbaa_gilbert_elliot_pGG_0_8_pBB_0_2,known_visit_g19_t10_n500.csv,8,11,12,42.12063261577286,42.12063261577286,01,01,1,0,True,known_visit_core_500,10,4,8
1,known_visit,CBAA,gilbert_elliot,0.8,19,361,4,10,cbaa_gilbert_elliot_pGG_0_8_pBB_0_2,known_visit_g19_t10_n500.csv,9,11,1,19.525051026196067,19.525051026196067,00,00,1,0,True,known_visit_core_500,10,4,8
1,known_visit,CBAA,gilbert_elliot,0.8,19,361,4,10,cbaa_gilbert_elliot_pGG_0_8_pBB_0_2,known_visit_g19_t10_n500.csv,10,0,9,3.965816344998173,3.965816344998173,02,02,2,1,True,known_visit_core_500,10,4,8
2,known_visit,CBAA,gilbert_elliot,0.8,19,361,4,10,cbaa_gilbert_elliot_pGG_0_8_pBB_0_2,known_visit_g19_t10_n500.csv,1,4,17,7.394910541451986,7.394910541451986,03,03,1,0,True,known_visit_core_500,10,4,8
