trial_id,logic_revision,study_profile,scenario_file_sha256,scenario_selection_sha256,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,total_team_steps,steps_before_first_clue,post_clue_steps_to_find,unique_cells_searched,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,post_clue_messages_sent_total,post_clue_allocation_messages_sent_total,message_drop_fraction,messages_per_unique_cell,messages_per_post_clue_step,allocation_messages_per_step,allocation_messages_per_post_clue_step,allocation_messages_per_unique_cell,messages_sent_by_topic,max_steps_any_robot,max_messages_any_robot,workload_gini_unique_cells_contributed,trial_status
0,dcta_parity_v1,custom,2d78c6afcbcd65a18a1929ad87f91a1fc887754325485ab63fe3780cf2dd2c89,594c6ef4147d245b2d14387e5b1e6356d0a15a78178ccc9d5b7e58fddad8d2de,PI,ideal,1.0,19,361,2,220.0,180.5,pi_g19_d220_ideal,reruns\grid_density\scenarios\clips\scaling_grid19_trials50.csv,clue_search,14,14,0,16,0,0,0,0,29,28,0,15,14,29,0,0,0,0.0,1.8125,0.0,0.0,0.0,0.0,collision_intent:14;state:14;target:1,7,15,0.0,completed
1,dcta_parity_v1,custom,2d78c6afcbcd65a18a1929ad87f91a1fc887754325485ab63fe3780cf2dd2c89,594c6ef4147d245b2d14387e5b1e6356d0a15a78178ccc9d5b7e58fddad8d2de,PI,ideal,1.0,19,361,2,220.0,180.5,pi_g19_d220_ideal,reruns\grid_density\scenarios\clips\scaling_grid19_trials50.csv,clue_search,374,12,362,356,20,0,2,2,1269,1268,0,377,892,759,510,1245,510,0.0,3.5646067415730336,3.4392265193370166,1.3636363636363635,1.408839779005525,1.4325842696629214,clue:8;collision_intent:376;pi_entry:510;state:374;target:1,189,653,0.02528089887640439,completed
2,dcta_parity_v1,custom,2d78c6afcbcd65a18a1929ad87f91a1fc887754325485ab63fe3780cf2dd2c89,594c6ef4147d245b2d14387e5b1e6356d0a15a78178ccc9d5b7e58fddad8d2de,PI,ideal,1.0,19,361,2,220.0,180.5,pi_g19_d220_ideal,reruns\grid_density\scenarios\clips\scaling_grid19_trials50.csv,clue_search,62,55,7,64,0,1,0,0,134,134,0,63,71,127,7,23,7,0.0,2.09375,3.2857142857142856,0.11290322580645161,1.0,0.109375,clue:2;collision_intent:62;pi_entry:7;state:62;target:1,31,68,0.0,completed
3,dcta_parity_v1,custom,2d78c6afcbcd65a18a1929ad87f91a1fc887754325485ab63fe3780cf2dd2c89,594c6ef4147d245b2d14387e5b1e6356d0a15a78178ccc9d5b7e58fddad8d2de,PI,ideal,1.0,19,361,2,220.0,180.5,pi_g19_d220_ideal,reruns\grid_density\scenarios\clips\scaling_grid19_trials50.csv,clue_search,166,58,108,167,1,1,0,0,483,482,0,168,315,340,143,367,143,0.0,2.8922155688622753,3.3981481481481484,0.8614457831325302,1.3240740740740742,0.8562874251497006,clue:6;collision_intent:167;pi_entry:143;state:166;target:1,83,245,0.0029940119760478723,completed
4,dcta_parity_v1,custom,2d78c6afcbcd65a18a1929ad87f91a1fc887754325485ab63fe3780cf2dd2c89,594c6ef4147d245b2d14387e5b1e6356d0a15a78178ccc9d5b7e58fddad8d2de,PI,ideal,1.0,19,361,2,220.0,180.5,pi_g19_d220_ideal,reruns\grid_density\scenarios\clips\scaling_grid19_trials50.csv,clue_search,231,49,182,224,9,1,0,0,712,712,0,232,480,469,243,614,243,0.0,3.1785714285714284,3.3736263736263736,1.051948051948052,1.335164835164835,1.0848214285714286,clue:6;collision_intent:231;pi_entry:243;state:231;target:1,116,356,0.0,completed
5,dcta_parity_v1,custom,2d78c6afcbcd65a18a1929ad87f91a1fc887754325485ab63fe3780cf2dd2c89,594c6ef4147d245b2d14387e5b1e6356d0a15a78178ccc9d5b7e58fddad8d2de,PI,ideal,1.0,19,361,2,220.0,180.5,pi_g19_d220_ideal,reruns\grid_density\scenarios\clips\scaling_grid19_trials50.csv,clue_search,241,220,21,243,0,1,0,0,515,513,0,242,273,487,28,75,28,0.0,2.119341563786008,3.5714285714285716,0.11618257261410789,1.3333333333333333,0.11522633744855967,clue:4;collision_intent:241;pi_entry:28;state:241;target:1,121,259,0.002057613168724215,completed
6,dcta_parity_v1,custom,2d78c6afcbcd65a18a1929ad87f91a1fc887754325485ab63fe3780cf2dd2c89,594c6ef4147d245b2d14387e5b1e6356d0a15a78178ccc9d5b7e58fddad8d2de,PI,ideal,1.0,19,361,2,220.0,180.5,pi_g19_d220_ideal,reruns\grid_density\scenarios\clips\scaling_grid19_trials50.csv,clue_search,154,91,63,149,7,1,0,0,399,399,0,156,243,314,85,217,85,0.0,2.6778523489932886,3.4444444444444446,0.551948051948052,1.3492063492063493,0.5704697986577181,clue:4;collision_intent:155;pi_entry:85;state:154;target:1,77,202,0.016778523489932917,completed
7,dcta_parity_v1,custom,2d78c6afcbcd65a18a1929ad87f91a1fc887754325485ab63fe3780cf2dd2c89,594c6ef4147d245b2d14387e5b1e6356d0a15a78178ccc9d5b7e58fddad8d2de,PI,ideal,1.0,19,361,2,220.0,180.5,pi_g19_d220_ideal,reruns\grid_density\scenarios\clips\scaling_grid19_trials50.csv,clue_search,147,60,87,144,5,1,0,0,404,404,0,148,256,299,105,284,105,0.0,2.8055555555555554,3.264367816091954,0.7142857142857143,1.206896551724138,0.7291666666666666,clue:4;collision_intent:147;pi_entry:105;state:147;target:1,74,204,0.01388888888888884,completed
8,dcta_parity_v1,custom,2d78c6afcbcd65a18a1929ad87f91a1fc887754325485ab63fe3780cf2dd2c89,594c6ef4147d245b2d14387e5b1e6356d0a15a78178ccc9d5b7e58fddad8d2de,PI,ideal,1.0,19,361,2,220.0,180.5,pi_g19_d220_ideal,reruns\grid_density\scenarios\clips\scaling_grid19_trials50.csv,clue_search,12,12,0,14,0,0,0,0,25,24,0,13,12,25,0,0,0,0.0,1.7857142857142858,0.0,0.0,0.0,0.0,collision_intent:12;state:12;target:1,6,13,0.0,completed
9,dcta_parity_v1,custom,2d78c6afcbcd65a18a1929ad87f91a1fc887754325485ab63fe3780cf2dd2c89,594c6ef4147d245b2d14387e5b1e6356d0a15a78178ccc9d5b7e58fddad8d2de,PI,ideal,1.0,19,361,2,220.0,180.5,pi_g19_d220_ideal,reruns\grid_density\scenarios\clips\scaling_grid19_trials50.csv,clue_search,188,175,13,190,0,1,0,0,394,393,0,189,205,379,15,44,15,0.0,2.0736842105263156,3.3846153846153846,0.0797872340425532,1.1538461538461537,0.07894736842105263,clue:2;collision_intent:188;pi_entry:15;state:188;target:1,94,198,0.0,completed
10,dcta_parity_v1,custom,2d78c6afcbcd65a18a1929ad87f91a1fc887754325485ab63fe3780cf2dd2c89,594c6ef4147d245b2d14387e5b1e6356d0a15a78178ccc9d5b7e58fddad8d2de,PI,ideal,1.0,19,361,2,220.0,180.5,pi_g19_d220_ideal,reruns\grid_density\scenarios\clips\scaling_grid19_trials50.csv,clue_search,299,27,272,288,13,0,7,4,992,990,0,308,684,613,379,937,379,0.0,3.4444444444444446,3.4448529411764706,1.2675585284280937,1.3933823529411764,1.3159722222222223,clue:6;collision_intent:307;pi_entry:379;state:299;target:1,150,511,0.003472222222222321,completed
11,dcta_parity_v1,custom,2d78c6afcbcd65a18a1929ad87f91a1fc887754325485ab63fe3780cf2dd2c89,594c6ef4147d245b2d14387e5b1e6356d0a15a78178ccc9d5b7e58fddad8d2de,PI,ideal,1.0,19,361,2,220.0,180.5,pi_g19_d220_ideal,reruns\grid_density\scenarios\clips\scaling_grid19_trials50.csv,clue_search,126,73,53,128,0,1,0,0,293,293,0,127,166,255,38,147,38,0.0,2.2890625,2.7735849056603774,0.30158730158730157,0.7169811320754716,0.296875,clue:2;collision_intent:126;pi_entry:38;state:126;target:1,63,147,0.0,completed
