trial_id,logic_revision,study_profile,scenario_file_sha256,scenario_selection_sha256,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,target_x,target_y,clue_locations,first_clue_robot,first_clue_x,first_clue_y,robot_start_locations,robot_end_locations,clues_detected_by_robot,target_found_by_robot,trial_status
0,dcta_parity_v1,custom,2d78c6afcbcd65a18a1929ad87f91a1fc887754325485ab63fe3780cf2dd2c89,594c6ef4147d245b2d14387e5b1e6356d0a15a78178ccc9d5b7e58fddad8d2de,PI,ideal,1.0,19,361,8,50.0,45.125,pi_g19_d50_ideal,reruns\grid_density\scenarios\clips\scaling_grid19_trials50.csv,clue_search,7,18,"(5,13);(7,12);(7,17);(15,8)",05,5,13,"00:(0,0);01:(0,3);02:(0,5);03:(0,8);04:(0,10);05:(0,13);06:(0,15);07:(0,18)","00:(7,3);01:(8,3);02:(9,4);03:(10,13);04:(9,14);05:(7,18);06:(8,15);07:(2,14)",00:0;01:0;02:0;03:0;04:0;05:3;06:0;07:0,05,completed
1,dcta_parity_v1,custom,2d78c6afcbcd65a18a1929ad87f91a1fc887754325485ab63fe3780cf2dd2c89,594c6ef4147d245b2d14387e5b1e6356d0a15a78178ccc9d5b7e58fddad8d2de,PI,ideal,1.0,19,361,8,50.0,45.125,pi_g19_d50_ideal,reruns\grid_density\scenarios\clips\scaling_grid19_trials50.csv,clue_search,16,17,"(6,18);(2,3);(18,15);(17,7)",01,2,3,"00:(0,0);01:(0,3);02:(0,5);03:(0,8);04:(0,10);05:(0,13);06:(0,15);07:(0,18)","00:(1,1);01:(14,14);02:(1,2);03:(15,16);04:(15,18);05:(16,17);06:(10,15);07:(8,15)",00:0;01:1;02:0;03:0;04:0;05:0;06:1;07:0,05,completed
2,dcta_parity_v1,custom,2d78c6afcbcd65a18a1929ad87f91a1fc887754325485ab63fe3780cf2dd2c89,594c6ef4147d245b2d14387e5b1e6356d0a15a78178ccc9d5b7e58fddad8d2de,PI,ideal,1.0,19,361,8,50.0,45.125,pi_g19_d50_ideal,reruns\grid_density\scenarios\clips\scaling_grid19_trials50.csv,clue_search,16,11,"(16,10);(6,10);(5,3);(14,11)",01,5,3,"00:(0,0);01:(0,3);02:(0,5);03:(0,8);04:(0,10);05:(0,13);06:(0,15);07:(0,18)","00:(15,4);01:(15,8);02:(14,14);03:(16,10);04:(16,11);05:(15,5);06:(12,0);07:(16,14)",00:0;01:1;02:1;03:2;04:1;05:0;06:0;07:0,04,completed
3,dcta_parity_v1,custom,2d78c6afcbcd65a18a1929ad87f91a1fc887754325485ab63fe3780cf2dd2c89,594c6ef4147d245b2d14387e5b1e6356d0a15a78178ccc9d5b7e58fddad8d2de,PI,ideal,1.0,19,361,8,50.0,45.125,pi_g19_d50_ideal,reruns\grid_density\scenarios\clips\scaling_grid19_trials50.csv,clue_search,2,11,"(4,9);(8,14);(8,10);(15,10)",,,,"00:(0,0);01:(0,3);02:(0,5);03:(0,8);04:(0,10);05:(0,13);06:(0,15);07:(0,18)","00:(3,0);01:(3,3);02:(1,6);03:(1,9);04:(2,11);05:(3,13);06:(3,15);07:(1,17)",00:0;01:0;02:0;03:0;04:0;05:0;06:0;07:0,04,completed
4,dcta_parity_v1,custom,2d78c6afcbcd65a18a1929ad87f91a1fc887754325485ab63fe3780cf2dd2c89,594c6ef4147d245b2d14387e5b1e6356d0a15a78178ccc9d5b7e58fddad8d2de,PI,ideal,1.0,19,361,8,50.0,45.125,pi_g19_d50_ideal,reruns\grid_density\scenarios\clips\scaling_grid19_trials50.csv,clue_search,6,14,"(5,12);(12,1);(6,17);(7,1)",07,6,17,"00:(0,0);01:(0,3);02:(0,5);03:(0,8);04:(0,10);05:(0,13);06:(0,15);07:(0,18)","00:(5,1);01:(6,3);02:(8,6);03:(7,10);04:(6,14);05:(7,14);06:(8,17);07:(6,17)",00:1;01:0;02:0;03:0;04:0;05:0;06:0;07:1,04,completed
5,dcta_parity_v1,custom,2d78c6afcbcd65a18a1929ad87f91a1fc887754325485ab63fe3780cf2dd2c89,594c6ef4147d245b2d14387e5b1e6356d0a15a78178ccc9d5b7e58fddad8d2de,PI,ideal,1.0,19,361,8,50.0,45.125,pi_g19_d50_ideal,reruns\grid_density\scenarios\clips\scaling_grid19_trials50.csv,clue_search,3,16,"(1,5);(1,17);(3,5);(7,9)",02,1,5,"00:(0,0);01:(0,3);02:(0,5);03:(0,8);04:(0,10);05:(0,13);06:(0,15);07:(0,18)","00:(8,4);01:(4,5);02:(8,0);03:(9,3);04:(6,13);05:(8,8);06:(7,9);07:(3,16)",00:0;01:0;02:2;03:1;04:1;05:0;06:1;07:0,07,completed
6,dcta_parity_v1,custom,2d78c6afcbcd65a18a1929ad87f91a1fc887754325485ab63fe3780cf2dd2c89,594c6ef4147d245b2d14387e5b1e6356d0a15a78178ccc9d5b7e58fddad8d2de,PI,ideal,1.0,19,361,8,50.0,45.125,pi_g19_d50_ideal,reruns\grid_density\scenarios\clips\scaling_grid19_trials50.csv,clue_search,5,8,"(11,17);(1,11);(12,2);(4,3)",04,1,11,"00:(0,0);01:(0,3);02:(0,5);03:(0,8);04:(0,10);05:(0,13);06:(0,15);07:(0,18)","00:(2,3);01:(2,4);02:(3,7);03:(1,14);04:(4,11);05:(3,4);06:(5,8);07:(2,14)",00:0;01:0;02:0;03:1;04:1;05:0;06:0;07:0,06,completed
7,dcta_parity_v1,custom,2d78c6afcbcd65a18a1929ad87f91a1fc887754325485ab63fe3780cf2dd2c89,594c6ef4147d245b2d14387e5b1e6356d0a15a78178ccc9d5b7e58fddad8d2de,PI,ideal,1.0,19,361,8,50.0,45.125,pi_g19_d50_ideal,reruns\grid_density\scenarios\clips\scaling_grid19_trials50.csv,clue_search,16,8,"(14,10);(11,7);(16,12);(17,2)",04,16,12,"00:(0,0);01:(0,3);02:(0,5);03:(0,8);04:(0,10);05:(0,13);06:(0,15);07:(0,18)","00:(15,2);01:(15,5);02:(16,8);03:(15,10);04:(15,12);05:(15,13);06:(14,16);07:(15,18)",00:0;01:0;02:0;03:0;04:1;05:0;06:0;07:0,02,completed
8,dcta_parity_v1,custom,2d78c6afcbcd65a18a1929ad87f91a1fc887754325485ab63fe3780cf2dd2c89,594c6ef4147d245b2d14387e5b1e6356d0a15a78178ccc9d5b7e58fddad8d2de,PI,ideal,1.0,19,361,8,50.0,45.125,pi_g19_d50_ideal,reruns\grid_density\scenarios\clips\scaling_grid19_trials50.csv,clue_search,6,18,"(10,18);(4,4);(13,14);(5,12)",05,13,14,"00:(0,0);01:(0,3);02:(0,5);03:(0,8);04:(0,10);05:(0,13);06:(0,15);07:(0,18)","00:(7,2);01:(7,5);02:(7,8);03:(7,10);04:(6,12);05:(5,14);06:(7,17);07:(6,18)",00:0;01:0;02:0;03:0;04:0;05:1;06:0;07:1,07,completed
9,dcta_parity_v1,custom,2d78c6afcbcd65a18a1929ad87f91a1fc887754325485ab63fe3780cf2dd2c89,594c6ef4147d245b2d14387e5b1e6356d0a15a78178ccc9d5b7e58fddad8d2de,PI,ideal,1.0,19,361,8,50.0,45.125,pi_g19_d50_ideal,reruns\grid_density\scenarios\clips\scaling_grid19_trials50.csv,clue_search,11,5,"(6,9);(8,5);(12,4);(1,17)",07,1,17,"00:(0,0);01:(0,3);02:(0,5);03:(0,8);04:(0,10);05:(0,13);06:(0,15);07:(0,18)","00:(7,1);01:(8,0);02:(10,7);03:(14,12);04:(11,5);05:(13,10);06:(12,7);07:(11,6)",00:0;01:0;02:1;03:0;04:1;05:0;06:1;07:1,04,completed
