trial_id,logic_revision,study_profile,scenario_file_sha256,scenario_selection_sha256,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,target_x,target_y,clue_locations,first_clue_robot,first_clue_x,first_clue_y,robot_start_locations,robot_end_locations,clues_detected_by_robot,target_found_by_robot,trial_status
0,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,ideal,1.0,34,1156,14,85.0,82.571429,pi_g34_d85_ideal,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,7,21,"(6,8);(16,11);(7,28);(10,19)",11,7,28,"00:(0,0);01:(0,3);02:(0,5);03:(0,8);04:(0,10);05:(0,13);06:(0,15);07:(0,18);08:(0,20);09:(0,23);10:(0,25);11:(0,28);12:(0,30);13:(0,33)","00:(7,5);01:(7,8);02:(7,9);03:(6,13);04:(6,14);05:(6,17);06:(6,21);07:(7,21);08:(8,24);09:(9,26);10:(4,27);11:(9,27);12:(10,28);13:(4,29)",00:0;01:0;02:1;03:0;04:0;05:0;06:0;07:0;08:0;09:0;10:0;11:1;12:0;13:0,07,completed
1,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,ideal,1.0,34,1156,14,85.0,82.571429,pi_g34_d85_ideal,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,2,25,"(23,16);(10,8);(12,24);(12,30)",12,12,30,"00:(0,0);01:(0,3);02:(0,5);03:(0,8);04:(0,10);05:(0,13);06:(0,15);07:(0,18);08:(0,20);09:(0,23);10:(0,25);11:(0,28);12:(0,30);13:(0,33)","00:(1,16);01:(5,6);02:(9,2);03:(4,14);04:(4,5);05:(15,11);06:(15,16);07:(8,21);08:(18,22);09:(14,8);10:(2,25);11:(15,32);12:(0,19);13:(12,27)",00:0;01:0;02:1;03:0;04:1;05:0;06:0;07:0;08:1;09:0;10:0;11:0;12:1;13:0,10,completed
2,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,ideal,1.0,34,1156,14,85.0,82.571429,pi_g34_d85_ideal,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,8,12,"(7,9);(28,30);(10,9);(10,14)",03,7,9,"00:(0,0);01:(0,3);02:(0,5);03:(0,8);04:(0,10);05:(0,13);06:(0,15);07:(0,18);08:(0,20);09:(0,23);10:(0,25);11:(0,28);12:(0,30);13:(0,33)","00:(5,2);01:(9,7);02:(6,8);03:(7,11);04:(3,10);05:(8,12);06:(3,17);07:(7,16);08:(7,18);09:(8,21);10:(8,23);11:(8,25);12:(4,29);13:(3,31)",00:0;01:0;02:0;03:1;04:0;05:0;06:0;07:0;08:0;09:0;10:0;11:0;12:0;13:0,05,completed
3,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,ideal,1.0,34,1156,14,85.0,82.571429,pi_g34_d85_ideal,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,22,31,"(13,29);(29,24);(26,25);(26,31)",09,29,24,"00:(0,0);01:(0,3);02:(0,5);03:(0,8);04:(0,10);05:(0,13);06:(0,15);07:(0,18);08:(0,20);09:(0,23);10:(0,25);11:(0,28);12:(0,30);13:(0,33)","00:(22,2);01:(22,5);02:(31,13);03:(32,15);04:(33,16);05:(32,18);06:(30,20);07:(33,20);08:(25,26);09:(33,24);10:(33,22);11:(26,28);12:(27,25);13:(22,31)",00:0;01:0;02:0;03:0;04:0;05:0;06:0;07:0;08:0;09:1;10:0;11:1;12:0;13:1,13,completed
4,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,ideal,1.0,34,1156,14,85.0,82.571429,pi_g34_d85_ideal,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,24,4,"(13,0);(7,9);(23,3);(22,4)",03,7,9,"00:(0,0);01:(0,3);02:(0,5);03:(0,8);04:(0,10);05:(0,13);06:(0,15);07:(0,18);08:(0,20);09:(0,23);10:(0,25);11:(0,28);12:(0,30);13:(0,33)","00:(22,7);01:(21,3);02:(22,1);03:(20,9);04:(19,15);05:(22,16);06:(24,4);07:(23,8);08:(12,32);09:(14,31);10:(19,21);11:(21,0);12:(18,27);13:(10,32)",00:0;01:1;02:0;03:1;04:0;05:0;06:2;07:0;08:0;09:0;10:0;11:1;12:0;13:0,06,completed
5,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,ideal,1.0,34,1156,14,85.0,82.571429,pi_g34_d85_ideal,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,24,5,"(22,31);(25,6);(22,19);(29,3)",02,25,6,"00:(0,0);01:(0,3);02:(0,5);03:(0,8);04:(0,10);05:(0,13);06:(0,15);07:(0,18);08:(0,20);09:(0,23);10:(0,25);11:(0,28);12:(0,30);13:(0,33)","00:(24,2);01:(23,4);02:(24,5);03:(27,5);04:(24,8);05:(26,13);06:(26,15);07:(26,18);08:(23,19);09:(27,19);10:(19,25);11:(20,27);12:(20,29);13:(22,33)",00:0;01:0;02:1;03:0;04:0;05:0;06:0;07:0;08:0;09:0;10:0;11:0;12:0;13:0,02,completed
6,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,ideal,1.0,34,1156,14,85.0,82.571429,pi_g34_d85_ideal,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,1,24,"(4,14);(5,22);(3,24);(20,8)",,,,"00:(0,0);01:(0,3);02:(0,5);03:(0,8);04:(0,10);05:(0,13);06:(0,15);07:(0,18);08:(0,20);09:(0,23);10:(0,25);11:(0,28);12:(0,30);13:(0,33)","00:(2,0);01:(2,3);02:(1,6);03:(1,9);04:(1,11);05:(2,13);06:(2,15);07:(2,18);08:(1,21);09:(1,24);10:(1,26);11:(2,28);12:(2,30);13:(0,32)",00:0;01:0;02:0;03:0;04:0;05:0;06:0;07:0;08:0;09:0;10:0;11:0;12:0;13:0,09,completed
7,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,ideal,1.0,34,1156,14,85.0,82.571429,pi_g34_d85_ideal,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,29,17,"(31,3);(12,10);(10,28);(18,1)",11,10,28,"00:(0,0);01:(0,3);02:(0,5);03:(0,8);04:(0,10);05:(0,13);06:(0,15);07:(0,18);08:(0,20);09:(0,23);10:(0,25);11:(0,28);12:(0,30);13:(0,33)","00:(15,1);01:(32,1);02:(31,8);03:(28,0);04:(31,4);05:(30,7);06:(24,27);07:(16,2);08:(28,15);09:(24,30);10:(5,1);11:(29,17);12:(12,0);13:(12,2)",00:1;01:1;02:2;03:0;04:1;05:0;06:0;07:0;08:0;09:0;10:0;11:1;12:0;13:0,11,completed
8,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,ideal,1.0,34,1156,14,85.0,82.571429,pi_g34_d85_ideal,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,4,32,"(16,7);(1,25);(6,22);(5,23)",10,1,25,"00:(0,0);01:(0,3);02:(0,5);03:(0,8);04:(0,10);05:(0,13);06:(0,15);07:(0,18);08:(0,20);09:(0,23);10:(0,25);11:(0,28);12:(0,30);13:(0,33)","00:(4,7);01:(4,10);02:(4,12);03:(4,15);04:(4,17);05:(5,19);06:(4,21);07:(5,21);08:(6,22);09:(7,22);10:(5,27);11:(3,22);12:(4,32);13:(3,31)",00:0;01:0;02:0;03:0;04:0;05:0;06:0;07:0;08:2;09:1;10:1;11:0;12:0;13:0,12,completed
9,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,ideal,1.0,34,1156,14,85.0,82.571429,pi_g34_d85_ideal,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,27,24,"(26,19);(27,27);(30,10);(12,27)",,,,"00:(0,0);01:(0,3);02:(0,5);03:(0,8);04:(0,10);05:(0,13);06:(0,15);07:(0,18);08:(0,20);09:(0,23);10:(0,25);11:(0,28);12:(0,30);13:(0,33)","00:(28,0);01:(28,3);02:(27,6);03:(26,9);04:(25,12);05:(26,15);06:(24,18);07:(25,20);08:(25,22);09:(27,24);10:(26,26);11:(28,28);12:(28,30);13:(27,32)",00:0;01:0;02:0;03:0;04:0;05:0;06:0;07:0;08:0;09:0;10:0;11:0;12:0;13:0,09,completed
