trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,duplicate_target_visits,target_conflicts,task_cell_revisits_total,total_team_steps,max_robot_steps,unique_cells_visited,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,events_processed,stall_recoveries_total,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,message_drop_fraction,messages_per_completed_target,allocation_messages_per_completed_target,messages_sent_by_topic,workload_gini_targets_found,workload_gini_unique_cells_contributed,benchmark_suite,num_targets,num_robots,commitment_horizon,blocked_task_quarantines_total,blocked_task_quarantine_time_s_total,maximum_quarantine_level
0,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,10,True,116.70445167661683,116.70445167661683,13,13,13,183,68,130,57,0,62,5,600,0,544,899,732,189,355,376,168,0.6879699248120301,54.4,16.8,collision_intent:189;pi_clear_path:3;pi_entry:165;state:187,0.44999999999999996,0.21538461538461529,known_visit_core_500,10,4,8,0,0.0,0
1,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,10,True,53.602554738518286,53.602554738518286,6,6,6,123,32,103,24,2,3,2,270,0,396,616,572,126,270,253,143,0.7061728395061728,39.6,14.3,collision_intent:126;pi_entry:143;state:127,0.30000000000000004,0.08980582524271852,known_visit_core_500,10,4,8,0,0.0,0
2,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,10,True,82.2555525061028,82.2555525061028,10,10,10,164,48,120,48,3,14,14,464,0,502,810,695,173,329,341,161,0.704868154158215,50.2,16.1,collision_intent:173;pi_clear_path:2;pi_entry:159;state:168,0.1499999999999999,0.0625,known_visit_core_500,10,4,8,0,0.0,0
3,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,10,True,40.87490317025795,40.87490317025795,3,3,3,91,24,88,7,3,4,2,210,0,326,492,486,94,232,189,137,0.6982758620689655,32.6,13.7,collision_intent:94;pi_clear_path:2;pi_entry:135;state:95,0.3500000000000001,0.051136363636363535,known_visit_core_500,10,4,8,0,0.0,0
4,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,10,True,51.24328941465962,51.24328941465962,6,6,6,103,29,80,27,4,0,0,283,0,341,543,480,107,234,214,127,0.6837606837606838,34.1,12.7,collision_intent:107;pi_clear_path:3;pi_entry:124;state:107,0.55,0.1875,known_visit_core_500,10,4,8,0,0.0,0
5,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,10,True,47.30963972103091,47.30963972103091,6,6,6,98,27,87,15,5,2,2,262,0,348,522,521,100,248,202,146,0.7012113055181696,34.8,14.6,collision_intent:100;pi_clear_path:1;pi_entry:145;state:102,0.3999999999999999,0.09482758620689657,known_visit_core_500,10,4,8,0,0.0,0
6,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,10,True,67.82086331568362,67.82086331568362,6,6,6,149,40,120,33,1,4,4,353,0,418,682,572,150,268,303,115,0.7114427860696517,41.8,11.5,collision_intent:150;pi_clear_path:1;pi_entry:114;state:153,0.3500000000000001,0.10833333333333339,known_visit_core_500,10,4,8,0,0.0,0
7,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,10,True,45.77600476849829,45.77600476849829,6,6,6,105,27,87,22,0,8,1,237,0,395,560,623,107,288,216,179,0.722737819025522,39.5,17.9,collision_intent:107;pi_entry:179;state:109,0.3500000000000001,0.14655172413793105,known_visit_core_500,10,4,8,0,0.0,0
8,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,10,True,71.99413191355038,71.99413191355038,9,9,9,164,42,122,46,1,5,3,365,0,489,786,677,168,321,336,153,0.7037422037422038,48.9,15.3,collision_intent:168;pi_entry:153;state:168,0.30000000000000004,0.10655737704918034,known_visit_core_500,10,4,8,0,0.0,0
9,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,10,True,116.2878541696957,116.2878541696957,11,11,11,194,67,148,50,4,47,10,649,0,646,1022,915,207,439,405,241,0.6952887537993921,64.6,24.1,collision_intent:207;pi_clear_path:3;pi_entry:238;state:198,0.1499999999999999,0.09459459459459452,known_visit_core_500,10,4,8,0,0.0,0
