trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,duplicate_target_visits,target_conflicts,task_cell_revisits_total,total_team_steps,max_robot_steps,unique_cells_visited,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,events_processed,stall_recoveries_total,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,message_drop_fraction,messages_per_completed_target,allocation_messages_per_completed_target,messages_sent_by_topic,workload_gini_targets_found,workload_gini_unique_cells_contributed,benchmark_suite,num_targets,num_robots,commitment_horizon,blocked_task_quarantines_total,blocked_task_quarantine_time_s_total,maximum_quarantine_level
10,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,10,True,87.70883446465402,87.70883446465402,8,8,8,167,51,128,43,1,6,6,496,0,507,820,700,174,333,345,162,0.7014028056112225,50.7,16.2,collision_intent:174;pi_clear_path:2;pi_entry:160;state:171,0.25,0.1171875,known_visit_core_500,10,4,8,0,0.0,0
11,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,10,True,61.65009446201671,61.65009446201671,7,7,7,131,36,98,37,2,2,1,320,0,400,624,573,135,265,270,130,0.720754716981132,40.0,13.0,collision_intent:135;pi_clear_path:2;pi_entry:128;state:135,0.5,0.05612244897959173,known_visit_core_500,10,4,8,0,0.0,0
12,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,10,True,67.10546605065021,67.10546605065021,8,8,8,148,39,116,36,1,2,1,345,0,426,695,581,151,275,303,123,0.7059538274605103,42.6,12.3,collision_intent:151;pi_clear_path:1;pi_entry:122;state:152,0.3500000000000001,0.13793103448275867,known_visit_core_500,10,4,8,0,0.0,0
13,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,10,True,66.41587212019589,66.41587212019589,9,9,9,151,38,112,43,4,3,3,342,0,484,745,706,153,331,308,176,0.7116935483870968,48.4,17.6,collision_intent:153;pi_entry:176;state:155,0.55,0.1607142857142858,known_visit_core_500,10,4,8,0,0.0,0
14,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,10,True,89.45938645019275,89.45938645019275,9,9,9,196,52,152,48,4,3,3,467,0,612,958,875,198,414,398,214,0.7062146892655368,61.2,21.4,collision_intent:198;pi_clear_path:1;pi_entry:213;state:200,0.3500000000000001,0.09539473684210531,known_visit_core_500,10,4,8,0,0.0,0
15,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,10,True,114.00272984060312,114.00272984060312,12,12,12,212,65,159,57,3,9,8,634,0,619,1031,825,221,398,437,182,0.691533948030176,61.9,18.2,collision_intent:221;pi_clear_path:4;pi_entry:178;state:216,0.30000000000000004,0.07389937106918243,known_visit_core_500,10,4,8,0,0.0,0
16,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,10,True,42.79506305661593,42.79506305661593,5,5,5,98,26,86,16,3,0,0,219,0,369,539,566,100,269,202,167,0.7031055900621118,36.9,16.7,collision_intent:100;pi_entry:167;state:102,0.3500000000000001,0.11627906976744184,known_visit_core_500,10,4,8,0,0.0,0
17,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,10,True,69.49058016531853,69.49058016531853,9,9,9,151,41,132,23,8,6,6,370,0,477,753,677,156,321,311,166,0.7037422037422038,47.7,16.6,collision_intent:156;pi_clear_path:2;pi_entry:164;state:155,0.10000000000000009,0.022727272727272707,known_visit_core_500,10,4,8,0,0.0,0
18,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,10,True,64.83952688911748,64.83952688911748,9,9,9,148,38,119,33,2,2,2,332,0,447,705,635,150,297,302,145,0.7134831460674157,44.7,14.5,collision_intent:150;pi_clear_path:1;pi_entry:144;state:152,0.30000000000000004,0.08193277310924363,known_visit_core_500,10,4,8,0,0.0,0
19,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,10,True,69.98582356431038,69.98582356431038,7,7,7,155,40,133,26,2,5,4,363,0,478,747,686,160,318,319,159,0.7198321091290661,47.8,15.9,collision_intent:160;pi_clear_path:2;pi_entry:157;state:159,0.3999999999999999,0.05451127819548862,known_visit_core_500,10,4,8,0,0.0,0
20,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,10,True,47.914584694460814,47.914584694460814,2,2,2,110,28,101,13,1,5,3,244,0,358,550,522,113,245,227,131,0.7121418826739427,35.8,13.1,collision_intent:113;pi_entry:131;state:114,0.30000000000000004,0.0767326732673268,known_visit_core_500,10,4,8,0,0.0,0
21,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,10,True,66.063660003906,66.063660003906,6,6,6,124,38,106,22,5,10,3,355,0,427,677,604,137,290,265,162,0.6942528735632184,42.7,16.2,collision_intent:137;pi_clear_path:6;pi_entry:156;state:128,0.3500000000000001,0.14150943396226423,known_visit_core_500,10,4,8,0,0.0,0
22,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,10,True,55.47070377745563,55.47070377745563,7,7,7,106,32,92,18,1,4,4,316,0,385,574,579,112,273,222,163,0.7086903304773562,38.5,16.3,collision_intent:112;pi_clear_path:3;pi_entry:160;state:110,0.3999999999999999,0.1467391304347827,known_visit_core_500,10,4,8,0,0.0,0
23,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,10,True,65.44717803116644,65.44717803116644,6,6,6,135,38,116,23,2,7,3,343,0,447,689,651,141,306,280,167,0.7099236641221374,44.7,16.7,collision_intent:141;pi_clear_path:1;pi_entry:166;state:139,0.25,0.09482758620689657,known_visit_core_500,10,4,8,0,0.0,0
24,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,10,True,66.59640627408201,66.59640627408201,7,7,7,152,38,124,32,1,6,6,347,0,481,764,678,158,323,314,167,0.7004132231404959,48.1,16.7,collision_intent:158;pi_entry:167;state:156,0.25,0.0766129032258065,known_visit_core_500,10,4,8,0,0.0,0
25,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,10,True,86.59449298910766,86.59449298910766,12,12,12,152,50,127,29,2,3,2,493,0,454,742,619,158,296,314,140,0.6978579481397971,45.4,14.0,collision_intent:158;pi_clear_path:3;pi_entry:137;state:156,0.3500000000000001,0.1082677165354331,known_visit_core_500,10,4,8,0,0.0,0
26,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,10,True,51.399883214201,51.399883214201,4,4,4,105,30,98,11,3,0,0,277,0,374,561,559,107,267,216,158,0.6996245306633292,37.4,15.8,collision_intent:107;pi_clear_path:2;pi_entry:156;state:109,0.3999999999999999,0.12755102040816335,known_visit_core_500,10,4,8,0,0.0,0
27,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,10,True,94.68660833412295,94.68660833412295,12,12,12,133,53,98,39,3,5,5,603,0,431,721,571,145,286,282,149,0.6662777129521587,43.1,14.9,collision_intent:145;pi_clear_path:6;pi_entry:143;state:137,0.25,0.22959183673469385,known_visit_core_500,10,4,8,0,0.0,0
28,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,10,True,60.890185972399614,60.890185972399614,7,7,7,136,35,103,37,2,13,13,325,0,410,666,561,145,265,285,125,0.7056603773584905,41.0,12.5,collision_intent:145;pi_entry:125;state:140,0.1499999999999999,0.050970873786407855,known_visit_core_500,10,4,8,0,0.0,0
29,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,10,True,74.76301322232536,74.76301322232536,10,10,10,158,44,128,34,1,12,1,380,0,495,789,695,160,335,322,173,0.6922310756972112,49.5,17.3,collision_intent:160;pi_clear_path:1;pi_entry:172;state:162,0.3999999999999999,0.140625,known_visit_core_500,10,4,8,0,0.0,0
30,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,10,True,47.81339645592118,47.81339645592118,4,4,4,96,28,86,14,1,4,4,267,0,334,502,500,101,233,201,133,0.7153075822603719,33.4,13.3,collision_intent:101;pi_clear_path:3;pi_entry:130;state:100,0.3999999999999999,0.19186046511627897,known_visit_core_500,10,4,8,0,0.0,0
31,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,10,True,72.59963644277133,72.59963644277133,9,9,9,150,42,118,36,3,0,0,390,0,487,762,698,154,333,308,179,0.6993987975951904,48.7,17.9,collision_intent:154;pi_clear_path:3;pi_entry:176;state:154,0.10000000000000009,0.07203389830508478,known_visit_core_500,10,4,8,0,0.0,0
32,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,10,True,90.53936352117765,90.53936352117765,8,8,8,161,52,142,23,2,11,3,498,0,482,776,669,168,314,333,149,0.7109458023379384,48.2,14.9,collision_intent:168;pi_clear_path:5;pi_entry:144;state:165,0.55,0.221830985915493,known_visit_core_500,10,4,8,0,0.0,0
33,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,10,True,64.2739440697335,64.2739440697335,10,10,10,141,37,106,39,2,5,5,342,0,437,692,617,147,290,292,145,0.7108294930875576,43.7,14.5,collision_intent:147;pi_clear_path:2;pi_entry:143;state:145,0.1499999999999999,0.08490566037735858,known_visit_core_500,10,4,8,0,0.0,0
34,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,10,True,48.83081731823541,48.83081731823541,5,5,5,106,28,93,17,2,6,4,257,0,342,544,482,110,232,220,122,0.6925287356321839,34.2,12.2,collision_intent:110;pi_clear_path:1;pi_entry:121;state:110,0.3500000000000001,0.07258064516129026,known_visit_core_500,10,4,8,0,0.0,0
35,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,10,True,57.777680561531106,57.777680561531106,4,4,4,132,34,117,19,2,8,8,302,0,414,668,573,136,278,272,142,0.687875150060024,41.4,14.2,collision_intent:136;pi_clear_path:1;pi_entry:141;state:136,0.25,0.09615384615384626,known_visit_core_500,10,4,8,0,0.0,0
36,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,10,True,86.14733896639174,86.14733896639174,10,10,10,178,50,120,62,0,20,18,460,0,507,856,664,187,320,369,138,0.6923879040667362,50.7,13.8,collision_intent:187;pi_clear_path:2;pi_entry:136;state:182,0.3500000000000001,0.1625000000000001,known_visit_core_500,10,4,8,0,0.0,0
37,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,10,True,55.744940245570724,55.744940245570724,11,11,11,118,33,99,23,1,4,3,301,0,438,640,674,124,314,246,192,0.7154989384288747,43.8,19.2,collision_intent:124;pi_clear_path:4;pi_entry:188;state:122,0.25,0.07828282828282829,known_visit_core_500,10,4,8,0,0.0,0
38,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,10,True,70.13047570299491,70.13047570299491,10,10,10,145,41,116,33,1,7,5,367,0,465,741,654,150,315,299,166,0.692063492063492,46.5,16.6,collision_intent:150;pi_clear_path:2;pi_entry:164;state:149,0.3999999999999999,0.14224137931034475,known_visit_core_500,10,4,8,0,0.0,0
39,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,10,True,64.2382103028927,64.2382103028927,5,5,5,148,38,126,26,3,2,2,331,0,459,717,659,150,309,302,157,0.7116630669546437,45.9,15.7,collision_intent:150;pi_clear_path:1;pi_entry:156;state:152,0.1499999999999999,0.11904761904761907,known_visit_core_500,10,4,8,0,0.0,0
40,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,10,True,80.66976011651599,80.66976011651599,9,9,9,183,46,144,43,1,12,12,421,0,535,868,736,188,347,375,160,0.7076923076923077,53.5,16.0,collision_intent:188;pi_entry:160;state:187,0.3999999999999999,0.08680555555555558,known_visit_core_500,10,4,8,0,0.0,0
41,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,10,True,45.30766773317402,45.30766773317402,3,3,3,103,27,97,10,2,2,2,236,0,335,533,471,106,229,213,122,0.6865889212827988,33.5,12.2,collision_intent:106;pi_clear_path:1;pi_entry:121;state:107,0.1499999999999999,0.0489690721649485,known_visit_core_500,10,4,8,0,0.0,0
42,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,10,True,118.2264709543892,118.2264709543892,12,12,12,163,59,117,50,1,17,5,705,0,489,817,649,174,315,341,148,0.6875,48.9,14.8,collision_intent:174;pi_clear_path:7;pi_entry:141;state:167,0.55,0.2713675213675213,known_visit_core_500,10,4,8,0,0.0,0
43,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,10,True,142.41815270787126,142.41815270787126,10,10,10,201,57,153,52,7,58,12,825,0,675,1025,999,215,460,420,255,0.7244379985496737,67.5,25.5,collision_intent:215;pi_clear_path:8;pi_entry:247;state:205,0.10000000000000009,0.06372549019607843,known_visit_core_500,10,4,8,0,0.0,0
44,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,10,True,84.94764798577417,84.94764798577417,7,7,7,165,50,133,36,2,19,9,454,0,494,809,671,175,319,344,150,0.7026178010471205,49.4,15.0,collision_intent:175;pi_clear_path:3;pi_entry:147;state:169,0.5,0.1484962406015038,known_visit_core_500,10,4,8,0,0.0,0
45,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,10,True,63.947083590899624,63.947083590899624,5,5,5,138,37,126,16,2,2,2,338,0,454,717,644,143,311,285,169,0.6902465166130761,45.4,16.9,collision_intent:143;pi_clear_path:3;pi_entry:166;state:142,0.3500000000000001,0.08730158730158721,known_visit_core_500,10,4,8,0,0.0,0
46,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,10,True,104.8849927028945,104.8849927028945,9,9,9,196,61,154,46,4,15,10,585,0,551,922,729,208,343,408,143,0.7098344693281402,55.1,14.3,collision_intent:208;pi_clear_path:4;pi_entry:139;state:200,0.5,0.08766233766233755,known_visit_core_500,10,4,8,0,0.0,0
47,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,10,True,40.39463559202708,40.39463559202708,3,3,3,93,24,83,14,3,0,0,207,0,328,511,473,95,233,192,136,0.6766809728183119,32.8,13.6,collision_intent:95;pi_clear_path:1;pi_entry:135;state:97,0.44999999999999996,0.09939759036144569,known_visit_core_500,10,4,8,0,0.0,0
48,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,10,True,51.105915051040974,51.105915051040974,4,4,4,115,30,108,11,3,7,2,258,0,372,622,494,119,253,238,134,0.6508563899868248,37.2,13.4,collision_intent:119;pi_entry:134;state:119,0.25,0.06481481481481488,known_visit_core_500,10,4,8,0,0.0,0
49,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,10,True,89.5090170290554,89.5090170290554,13,13,13,182,51,132,54,0,4,2,483,0,536,858,749,186,350,372,164,0.7140133460438512,53.6,16.4,collision_intent:186;pi_clear_path:1;pi_entry:163;state:186,0.3999999999999999,0.05303030303030298,known_visit_core_500,10,4,8,0,0.0,0
50,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,10,True,97.89639069537203,97.89639069537203,12,12,12,177,57,142,39,3,1,1,557,0,518,858,696,183,335,364,154,0.6925373134328359,51.8,15.4,collision_intent:183;pi_clear_path:5;pi_entry:149;state:181,0.25,0.1795774647887325,known_visit_core_500,10,4,8,0,0.0,0
51,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,10,True,75.97309535871976,75.97309535871976,12,12,12,162,44,131,35,1,3,2,396,0,473,792,626,168,305,334,139,0.6849015317286652,47.3,13.9,collision_intent:168;pi_clear_path:3;pi_entry:136;state:166,0.5,0.14694656488549618,known_visit_core_500,10,4,8,0,0.0,0
52,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,10,True,76.88711160783797,76.88711160783797,12,12,12,152,43,110,46,0,7,2,422,0,499,778,718,156,343,312,187,0.6984435797665369,49.9,18.7,collision_intent:156;pi_clear_path:2;pi_entry:185;state:156,0.6499999999999999,0.1499999999999999,known_visit_core_500,10,4,8,0,0.0,0
53,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,10,True,76.79271854572232,76.79271854572232,9,9,9,170,44,137,37,4,0,0,394,0,479,787,650,172,307,346,133,0.7057546145494028,47.9,13.3,collision_intent:172;pi_clear_path:2;pi_entry:131;state:174,0.30000000000000004,0.12591240875912413,known_visit_core_500,10,4,8,0,0.0,0
54,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,10,True,50.62195530565058,50.62195530565058,2,2,2,117,30,108,13,1,0,0,261,0,389,611,556,118,271,239,150,0.6838868388683886,38.9,15.0,collision_intent:118;pi_entry:150;state:121,0.25,0.06018518518518512,known_visit_core_500,10,4,8,0,0.0,0
55,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,10,True,87.0076488026585,87.0076488026585,15,15,15,167,50,126,45,0,4,3,482,0,514,831,711,172,342,343,171,0.6929824561403509,51.4,17.1,collision_intent:172;pi_clear_path:3;pi_entry:168;state:171,0.30000000000000004,0.09523809523809534,known_visit_core_500,10,4,8,0,0.0,0
56,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,10,True,95.58207699067738,95.58207699067738,10,10,10,154,54,118,40,1,4,4,572,0,453,746,613,162,291,320,133,0.702176403207331,45.3,13.3,collision_intent:162;pi_clear_path:4;pi_entry:129;state:158,0.10000000000000009,0.04661016949152552,known_visit_core_500,10,4,8,0,0.0,0
57,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,10,True,104.31930623682572,104.31930623682572,6,6,6,116,58,95,25,2,78,9,600,0,521,711,851,124,397,244,277,0.7151260504201681,52.1,27.7,collision_intent:124;pi_clear_path:4;pi_entry:273;state:120,0.55,0.3710526315789473,known_visit_core_500,10,4,8,0,0.0,0
58,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,10,True,92.15596400097553,92.15596400097553,9,9,9,166,51,126,44,2,20,6,513,0,545,880,754,179,366,349,196,0.6873290793072014,54.5,19.6,collision_intent:179;pi_clear_path:3;pi_entry:193;state:170,0.25,0.1428571428571428,known_visit_core_500,10,4,8,0,0.0,0
59,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,10,True,48.654161567110506,48.654161567110506,4,4,4,112,29,103,13,3,2,2,247,0,378,574,558,113,265,229,149,0.7036569987389659,37.8,14.9,collision_intent:113;pi_clear_path:1;pi_entry:148;state:116,0.25,0.031553398058252524,known_visit_core_500,10,4,8,0,0.0,0
60,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,10,True,53.56594998011195,53.56594998011195,3,3,3,123,32,111,16,2,5,1,268,0,415,634,607,126,289,253,162,0.7009237875288684,41.5,16.2,collision_intent:126;pi_entry:162;state:127,0.44999999999999996,0.09684684684684686,known_visit_core_500,10,4,8,0,0.0,0
61,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,10,True,85.0103100597647,85.0103100597647,11,11,11,158,47,116,46,2,35,9,445,0,517,832,719,168,349,330,187,0.6867239732569246,51.7,18.7,collision_intent:168;pi_clear_path:3;pi_entry:184;state:162,0.6499999999999999,0.2456896551724137,known_visit_core_500,10,4,8,0,0.0,0
62,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,10,True,78.71805854729567,78.71805854729567,8,8,8,142,45,120,26,4,4,2,447,0,445,718,617,145,300,291,154,0.6855555555555556,44.5,15.4,collision_intent:145;pi_clear_path:2;pi_entry:152;state:146,0.3500000000000001,0.10000000000000009,known_visit_core_500,10,4,8,0,0.0,0
63,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,10,True,66.48807971288977,66.48807971288977,5,5,5,145,38,128,21,3,11,9,346,0,473,731,686,151,322,300,173,0.7116182572614108,47.3,17.3,collision_intent:151;pi_clear_path:2;pi_entry:171;state:149,0.30000000000000004,0.09765625,known_visit_core_500,10,4,8,0,0.0,0
