trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,robot_id,steps_total,targets_found,task_cell_revisits,unique_cells_contributed,system_revisits_by_robot,task_cell_replans,path_replans,collision_prevention_events,stall_recoveries,messages_sent,core_messages_sent,allocation_messages_sent,messages_delivered_to_robot,messages_dropped_to_robot,benchmark_suite,num_targets,num_robots,commitment_horizon,blocked_task_quarantines,blocked_task_quarantine_time_s,maximum_quarantine_level
0,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,00,36,1,5,18,19,0,33,1,0,124,75,49,240,179,known_visit_core_500,10,4,8,0,0.0,0
0,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,01,33,5,2,23,11,0,0,0,0,98,68,30,252,194,known_visit_core_500,10,4,8,0,0.0,0
0,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,02,68,4,4,50,19,0,0,0,0,175,137,38,200,169,known_visit_core_500,10,4,8,0,0.0,0
0,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,03,46,0,2,39,8,0,29,4,0,147,96,51,207,190,known_visit_core_500,10,4,8,0,0.0,0
1,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,00,31,4,2,25,7,0,0,0,0,100,63,37,153,143,known_visit_core_500,10,4,8,0,0.0,0
1,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,01,29,0,3,21,9,0,2,1,0,90,61,29,155,151,known_visit_core_500,10,4,8,0,0.0,0
1,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,02,31,3,1,24,8,1,1,1,0,100,64,36,152,144,known_visit_core_500,10,4,8,0,0.0,0
1,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,03,32,3,0,33,0,1,0,0,0,106,65,41,156,134,known_visit_core_500,10,4,8,0,0.0,0
2,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,00,48,2,4,33,16,1,0,0,0,163,97,66,185,154,known_visit_core_500,10,4,8,0,0.0,0
2,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,01,43,2,2,30,14,1,4,4,0,113,91,22,203,186,known_visit_core_500,10,4,8,0,0.0,0
2,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,02,45,2,3,33,13,1,7,7,0,130,95,35,197,174,known_visit_core_500,10,4,8,0,0.0,0
2,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,03,28,4,1,24,5,0,3,3,0,96,58,38,225,181,known_visit_core_500,10,4,8,0,0.0,0
3,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,00,22,1,1,18,5,0,3,1,0,81,46,35,122,123,known_visit_core_500,10,4,8,0,0.0,0
3,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,01,24,3,1,24,1,1,0,0,0,81,49,32,118,127,known_visit_core_500,10,4,8,0,0.0,0
3,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,02,22,5,0,23,0,1,0,0,0,82,46,36,127,117,known_visit_core_500,10,4,8,0,0.0,0
3,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,03,23,1,1,23,1,1,1,1,0,82,48,34,125,119,known_visit_core_500,10,4,8,0,0.0,0
4,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,00,29,2,4,20,10,0,0,0,0,93,59,34,135,113,known_visit_core_500,10,4,8,0,0.0,0
4,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,01,29,7,0,30,0,1,0,0,0,95,60,35,132,114,known_visit_core_500,10,4,8,0,0.0,0
4,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,02,24,1,1,20,5,1,0,0,0,78,50,28,129,134,known_visit_core_500,10,4,8,0,0.0,0
4,known_visit,PI,bernoulli,0.7,19,361,4,10,pi_bernoulli_drop_0_7,known_visit_g19_t10_n500.csv,03,21,0,1,10,12,2,0,0,0,75,45,30,147,119,known_visit_core_500,10,4,8,0,0.0,0
