experiment,algorithm,task_load,outcome,unit_of_analysis,terminal_jobs,completed_jobs,failed_jobs,timeout_jobs,completion_rate,n,mean,median,std,p95,minimum,maximum
experiment2,HIPC,5,maximum_cumulative_robot_allocator_time_ms,scenario_trial,50,50,0,0,1.0,50,21.60367,22.48755,6.33497359130652,30.72215,4.0272,36.2383
experiment2,HIPC,5,allocator_calls_total,scenario_trial,50,50,0,0,1.0,50,148.72,140.5,50.85274459311967,241.99999999999994,26.0,265.0
experiment2,HIPC,5,maximum_robot_allocator_calls,scenario_trial,50,50,0,0,1.0,50,65.72,68.0,16.62189360267883,93.1,15.0,96.0
experiment2,HIPC,5,median_of_robot_call_medians_ms,scenario_trial,50,50,0,0,1.0,50,0.292437,0.27205,0.06306694799648892,0.42472624999999997,0.200175,0.4471
experiment2,HIPC,5,maximum_robot_call_p95_ms,scenario_trial,50,50,0,0,1.0,50,0.620386,0.61015,0.15419654964508442,0.8427549999999999,0.3446,1.0585
experiment2,DMCHBA,5,cumulative_team_allocator_time_ms,scenario_trial,50,50,0,0,1.0,50,26.999807999999998,25.92015,10.64173850983811,46.906195000000004,5.313,48.0162
experiment2,DMCHBA,5,maximum_cumulative_robot_allocator_time_ms,scenario_trial,50,50,0,0,1.0,50,15.042898000000001,14.9003,6.900297606137088,25.122429999999994,1.7163,30.6074
experiment2,DMCHBA,5,allocator_calls_total,scenario_trial,50,50,0,0,1.0,50,69.68,64.5,28.39620555278325,124.04999999999997,14.0,151.0
experiment2,DMCHBA,5,maximum_robot_allocator_calls,scenario_trial,50,50,0,0,1.0,50,34.8,35.0,14.537776266524059,58.099999999999994,4.0,61.0
experiment2,DMCHBA,5,median_of_robot_call_medians_ms,scenario_trial,50,50,0,0,1.0,50,0.228797,0.2228,0.07456507834894074,0.33681874999999994,0.04535,0.490025
experiment2,DMCHBA,5,maximum_robot_call_p95_ms,scenario_trial,50,50,0,0,1.0,50,1.018798,1.041,0.17568958768352827,1.158275,0.642,1.7713
