trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,target_index,target_x,target_y,first_completion_time_s,first_completion_sim_time_s,first_found_by_robot,first_finder_robot_id,total_visits,duplicate_visits,completed,sensitivity_suite,sensitivity_parameter,sensitivity_value,sensitivity_label,num_targets,num_robots
2,known_visit,PI,rayleigh_style,-50.66,19,361,4,10,pi_h1_rayleigh_m50_66,known_visit_10target_300.csv,3,13,2,24.52408879510522,24.52408879510522,00,00,1,0,True,known_visit_horizon,commitment_horizon,1,h1,10,4
2,known_visit,PI,rayleigh_style,-50.66,19,361,4,10,pi_h1_rayleigh_m50_66,known_visit_10target_300.csv,4,0,2,2.20496500342248,2.20496500342248,00,00,2,1,True,known_visit_horizon,commitment_horizon,1,h1,10,4
2,known_visit,PI,rayleigh_style,-50.66,19,361,4,10,pi_h1_rayleigh_m50_66,known_visit_10target_300.csv,5,12,18,55.44104883069632,55.44104883069632,02,02,1,0,True,known_visit_horizon,commitment_horizon,1,h1,10,4
2,known_visit,PI,rayleigh_style,-50.66,19,361,4,10,pi_h1_rayleigh_m50_66,known_visit_10target_300.csv,6,0,9,3.8217621628072838,3.8217621628072838,02,02,1,0,True,known_visit_horizon,commitment_horizon,1,h1,10,4
2,known_visit,PI,rayleigh_style,-50.66,19,361,4,10,pi_h1_rayleigh_m50_66,known_visit_10target_300.csv,7,16,12,37.03753223508867,37.03753223508867,02,02,1,0,True,known_visit_horizon,commitment_horizon,1,h1,10,4
2,known_visit,PI,rayleigh_style,-50.66,19,361,4,10,pi_h1_rayleigh_m50_66,known_visit_10target_300.csv,8,4,15,10.77437248499998,10.77437248499998,03,03,1,0,True,known_visit_horizon,commitment_horizon,1,h1,10,4
2,known_visit,PI,rayleigh_style,-50.66,19,361,4,10,pi_h1_rayleigh_m50_66,known_visit_10target_300.csv,9,14,2,30.166864821394903,30.166864821394903,01,01,1,0,True,known_visit_horizon,commitment_horizon,1,h1,10,4
2,known_visit,PI,rayleigh_style,-50.66,19,361,4,10,pi_h1_rayleigh_m50_66,known_visit_10target_300.csv,10,12,9,24.69214324820879,24.69214324820879,02,02,2,1,True,known_visit_horizon,commitment_horizon,1,h1,10,4
3,known_visit,PI,rayleigh_style,-50.66,19,361,4,10,pi_h1_rayleigh_m50_66,known_visit_10target_300.csv,1,15,11,40.84616077444271,40.84616077444271,01,01,1,0,True,known_visit_horizon,commitment_horizon,1,h1,10,4
3,known_visit,PI,rayleigh_style,-50.66,19,361,4,10,pi_h1_rayleigh_m50_66,known_visit_10target_300.csv,2,11,8,28.75156443265553,28.75156443265553,01,01,1,0,True,known_visit_horizon,commitment_horizon,1,h1,10,4
3,known_visit,PI,rayleigh_style,-50.66,19,361,4,10,pi_h1_rayleigh_m50_66,known_visit_10target_300.csv,3,11,16,24.74310221755268,24.74310221755268,02,02,1,0,True,known_visit_horizon,commitment_horizon,1,h1,10,4
3,known_visit,PI,rayleigh_style,-50.66,19,361,4,10,pi_h1_rayleigh_m50_66,known_visit_10target_300.csv,4,7,17,19.651723945708163,19.651723945708163,03,03,1,0,True,known_visit_horizon,commitment_horizon,1,h1,10,4
