experiment,algorithm,task_load,outcome,unit_of_analysis,terminal_jobs,completed_jobs,mean,median,p95,minimum,maximum
experiment1,PI,50,team_summed_call_time_ms,scenario_trial,100,100,36.422653,37.04405,41.3396,27.8627,42.3675
experiment2,ACBBA,5,cumulative_team_allocator_time_ms,scenario_trial,50,50,31.126998,28.67055,57.0474,5.0765,81.21
experiment2,ACBBA,5,maximum_cumulative_robot_allocator_time_ms,scenario_trial,50,50,13.259468,13.1323,23.5835,1.6322,29.2389
experiment2,ACBBA,5,allocator_calls_total,scenario_trial,50,50,123.34,116.5,240.0,15.0,257.0
experiment2,ACBBA,5,maximum_robot_allocator_calls,scenario_trial,50,50,52.42,52.0,83.0,5.0,95.0
experiment2,ACBBA,5,median_of_robot_call_medians_ms,scenario_trial,50,50,0.252169,0.2329125,0.4107,0.14905000000000002,0.490525
experiment2,ACBBA,5,maximum_robot_call_p95_ms,scenario_trial,50,50,0.470006,0.45389999999999997,0.7788,0.2345,0.8153
experiment2,ACBBA,10,cumulative_team_allocator_time_ms,scenario_trial,100,100,29.866383,27.873350000000002,49.0193,13.421,64.8135
experiment2,ACBBA,10,maximum_cumulative_robot_allocator_time_ms,scenario_trial,100,100,10.752775999999999,10.1127,17.9991,4.0955,20.4103
experiment2,ACBBA,10,allocator_calls_total,scenario_trial,100,100,108.2,105.5,188.0,42.0,237.0
experiment2,ACBBA,10,maximum_robot_allocator_calls,scenario_trial,100,100,40.44,40.0,64.0,14.0,78.0
experiment2,ACBBA,10,median_of_robot_call_medians_ms,scenario_trial,100,100,0.25125,0.2510625,0.3376,0.15,0.386375
experiment2,ACBBA,10,maximum_robot_call_p95_ms,scenario_trial,100,100,0.6434099999999999,0.6413,0.9154,0.325,1.0678
experiment2,ACBBA,25,cumulative_team_allocator_time_ms,scenario_trial,50,50,97.227398,96.07235,127.999,58.7832,145.7692
experiment2,ACBBA,25,maximum_cumulative_robot_allocator_time_ms,scenario_trial,50,50,30.021729999999998,30.4144,40.0475,19.9777,43.6169
experiment2,ACBBA,25,allocator_calls_total,scenario_trial,50,50,137.34,133.5,205.0,87.0,257.0
experiment2,ACBBA,25,maximum_robot_allocator_calls,scenario_trial,50,50,45.86,44.0,70.0,26.0,82.0
experiment2,ACBBA,25,median_of_robot_call_medians_ms,scenario_trial,50,50,0.5105525,0.504625,0.6194999999999999,0.392,0.848025
experiment2,ACBBA,25,maximum_robot_call_p95_ms,scenario_trial,50,50,2.124466,2.10115,2.4964,1.4921,3.0596
experiment2,ACBBA,50,cumulative_team_allocator_time_ms,scenario_trial,25,25,258.08234799999997,250.0958,321.3936,204.9196,370.6749
experiment2,ACBBA,50,maximum_cumulative_robot_allocator_time_ms,scenario_trial,25,25,74.028508,71.2,94.8467,59.3695,107.4827
experiment2,ACBBA,50,allocator_calls_total,scenario_trial,25,25,230.0,219.0,364.0,157.0,371.0
experiment2,ACBBA,50,maximum_robot_allocator_calls,scenario_trial,25,25,70.56,69.0,118.0,46.0,120.0
experiment2,ACBBA,50,median_of_robot_call_medians_ms,scenario_trial,25,25,0.63412,0.626925,0.70625,0.52305,0.747
experiment2,ACBBA,50,maximum_robot_call_p95_ms,scenario_trial,25,25,4.644244,4.6784,5.3002,2.9966,5.8962
experiment2,CBAA,5,cumulative_team_allocator_time_ms,scenario_trial,50,50,15.466412,14.08005,29.6942,1.4991,34.7291
experiment2,CBAA,5,maximum_cumulative_robot_allocator_time_ms,scenario_trial,50,50,7.236874,6.946199999999999,12.0409,0.3954,14.6483
experiment2,CBAA,5,allocator_calls_total,scenario_trial,50,50,85.36,85.0,139.0,14.0,195.0
experiment2,CBAA,5,maximum_robot_allocator_calls,scenario_trial,50,50,37.68,37.5,57.0,4.0,67.0
experiment2,CBAA,5,median_of_robot_call_medians_ms,scenario_trial,50,50,0.17820049999999998,0.17145,0.262025,0.10675000000000001,0.33715
experiment2,CBAA,5,maximum_robot_call_p95_ms,scenario_trial,50,50,0.313988,0.30345,0.4443,0.1853,0.6172
experiment2,CBAA,10,cumulative_team_allocator_time_ms,scenario_trial,100,100,13.595343,12.87655,22.2468,5.3069,31.2082
experiment2,CBAA,10,maximum_cumulative_robot_allocator_time_ms,scenario_trial,100,100,5.486554,5.32175,9.2977,1.9839,12.1702
experiment2,CBAA,10,allocator_calls_total,scenario_trial,100,100,81.07,76.0,126.0,36.0,166.0
