trial_id,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,robot_id,steps_total,steps_after_first_clue,unique_cells_contributed,system_revisits_by_robot,task_cell_replans,path_replans,collision_prevention_events,messages_sent,protected_messages_sent,unprotected_messages_sent,core_messages_sent,allocation_messages_sent,post_clue_messages_sent,messages_sent_by_topic,messages_delivered_to_robot,messages_dropped_to_robot,trial_status,failure_type,failure_message
63,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,01,121,0,69,53,0,0,0,784,124,660,245,539,0,cbaa_entry:539;collision_intent:124;state:121,1977,373,completed,,
63,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,02,125,0,94,32,0,0,0,790,129,661,254,536,0,cbaa_entry:536;collision_intent:129;state:125,1892,451,completed,,
63,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,03,119,0,90,30,0,0,0,773,124,649,243,530,0,cbaa_entry:530;collision_intent:124;state:119,1968,394,completed,,
64,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,00,130,0,101,30,0,0,0,826,137,689,267,559,0,cbaa_entry:559;collision_intent:137;state:130,2102,452,completed,,
64,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,01,133,0,84,50,0,0,0,861,141,720,274,587,0,cbaa_entry:587;collision_intent:141;state:133,2129,388,completed,,
64,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,02,132,0,80,53,0,0,0,845,136,709,268,577,0,cbaa_entry:577;collision_intent:136;state:132,2094,438,completed,,
64,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,03,133,0,96,38,0,0,0,851,137,714,270,581,0,cbaa_entry:581;collision_intent:137;state:133,2069,463,completed,,
65,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,00,159,0,136,24,0,0,0,912,163,749,322,590,0,cbaa_entry:590;collision_intent:163;state:159,2363,432,completed,,
65,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,01,159,0,63,97,0,0,0,941,165,776,324,617,0,cbaa_entry:617;collision_intent:165;state:159,2270,496,completed,,
65,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,02,153,0,72,82,0,0,0,948,163,785,316,632,0,cbaa_entry:632;collision_intent:163;state:153,2329,432,completed,,
65,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,03,149,0,90,60,0,0,0,908,161,747,310,598,0,cbaa_entry:598;collision_intent:161;state:149,2288,513,completed,,
66,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,00,98,0,62,37,0,0,0,709,106,603,204,505,0,cbaa_entry:505;collision_intent:106;state:98,2024,388,completed,,
66,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,01,192,0,150,43,0,0,0,994,194,800,386,608,0,cbaa_entry:608;collision_intent:194;state:192,1779,348,completed,,
66,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,02,101,0,77,25,0,0,0,712,107,605,208,504,0,cbaa_entry:504;collision_intent:107;state:101,2025,384,completed,,
66,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,03,103,0,72,32,0,0,0,706,107,599,210,496,0,cbaa_entry:496;collision_intent:107;state:103,1981,432,completed,,
67,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,00,16,0,17,0,0,0,0,435,18,417,34,401,0,cbaa_entry:401;collision_intent:18;state:16,2071,420,completed,,
67,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,01,210,0,175,36,0,0,0,1037,211,826,421,616,0,cbaa_entry:616;collision_intent:211;state:210,1598,291,completed,,
67,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,02,15,0,10,6,0,0,0,415,17,398,32,383,0,cbaa_entry:383;collision_intent:17;state:15,1983,528,completed,,
67,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,03,207,0,159,49,0,0,0,1041,211,830,418,623,0,cbaa_entry:623;collision_intent:211;state:207,1586,301,completed,,
68,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,00,46,0,47,0,0,0,0,511,47,464,93,418,0,cbaa_entry:418;collision_intent:47;state:46,1804,385,completed,,
68,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,01,24,0,16,9,0,0,0,466,25,441,49,417,0,cbaa_entry:417;collision_intent:25;state:24,1944,292,completed,,
68,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,02,300,0,273,28,0,0,0,1292,301,991,601,691,0,cbaa_entry:691;collision_intent:301;state:300,1100,310,completed,,
68,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,03,25,0,25,1,0,0,0,433,27,406,52,381,0,cbaa_entry:381;collision_intent:27;state:25,1830,439,completed,,
69,CBAA,gilbert_elliot,pGG_0.96_pBB_0.84,19,361,4,,,cbaa_gilbert_elliott_drop_0_20_rho_0_8,,coverage,00,118,0,59,60,0,0,0,772,126,646,244,528,0,cbaa_entry:528;collision_intent:126;state:118,1981,398,completed,,
