trial_id,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,total_team_steps,steps_before_first_clue,post_clue_steps_to_find,unique_cells_searched,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,post_clue_messages_sent_total,post_clue_allocation_messages_sent_total,message_drop_fraction,messages_per_unique_cell,messages_per_post_clue_step,allocation_messages_per_step,allocation_messages_per_post_clue_step,allocation_messages_per_unique_cell,messages_sent_by_topic,max_steps_any_robot,max_messages_any_robot,workload_gini_unique_cells_contributed,trial_status,failure_type,failure_message,debug_max_events
45,CBAA,gilbert_elliot,pGG_0.88_pBB_0.92,19,361,4,,,cbaa_gilbert_elliott_drop_0_60_rho_0_8,,coverage,400,400,0,361,43,0,0,0,2227,3349,3329,407,1820,807,1420,0,0,0.6100421477002016,6.1689750692520775,0.0,3.55,0.0,3.9335180055401664,cbaa_entry:1420;collision_intent:407;state:400,352,1419,0.6668975069252077,completed,,,
46,CBAA,gilbert_elliot,pGG_0.88_pBB_0.92,19,361,4,,,cbaa_gilbert_elliott_drop_0_60_rho_0_8,,coverage,367,367,0,361,10,0,0,0,2054,3078,3078,371,1683,738,1316,0,0,0.6103509815585961,5.689750692520776,0.0,3.5858310626703,0.0,3.6454293628808863,cbaa_entry:1316;collision_intent:371;state:367,354,1428,0.7181440443213296,completed,,,
47,CBAA,gilbert_elliot,pGG_0.88_pBB_0.92,19,361,4,,,cbaa_gilbert_elliott_drop_0_60_rho_0_8,,coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,failed,RuntimeError,Debug safety cap reached in trial 47. This usually means the allocator is stuck or returning no reachable goals.,100000
48,CBAA,gilbert_elliot,pGG_0.88_pBB_0.92,19,361,4,,,cbaa_gilbert_elliott_drop_0_60_rho_0_8,,coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,failed,RuntimeError,Debug safety cap reached in trial 48. This usually means the allocator is stuck or returning no reachable goals.,100000
49,CBAA,gilbert_elliot,pGG_0.88_pBB_0.92,19,361,4,,,cbaa_gilbert_elliott_drop_0_60_rho_0_8,,coverage,588,588,0,361,231,0,0,0,3196,5209,4376,596,2600,1184,2012,0,0,0.5612415031422342,8.853185595567867,0.0,3.421768707482993,0.0,5.573407202216067,cbaa_entry:2012;collision_intent:596;state:588,298,1293,0.5214681440443214,completed,,,
50,CBAA,gilbert_elliot,pGG_0.88_pBB_0.92,19,361,4,,,cbaa_gilbert_elliott_drop_0_60_rho_0_8,,coverage,440,440,0,361,83,0,0,0,2489,3910,3555,451,2038,891,1598,0,0,0.581642670157068,6.894736842105263,0.0,3.631818181818182,0.0,4.426592797783933,cbaa_entry:1598;collision_intent:451;state:440,321,1359,0.5574792243767313,completed,,,
51,CBAA,gilbert_elliot,pGG_0.88_pBB_0.92,19,361,4,,,cbaa_gilbert_elliott_drop_0_60_rho_0_8,,coverage,588,588,0,361,231,0,0,0,3084,4622,4628,611,2473,1199,1885,0,0,0.62397195631657,8.542936288088642,0.0,3.20578231292517,0.0,5.221606648199446,cbaa_entry:1885;collision_intent:611;state:588,296,1279,0.4826869806094183,completed,,,
52,CBAA,gilbert_elliot,pGG_0.88_pBB_0.92,19,361,4,,,cbaa_gilbert_elliott_drop_0_60_rho_0_8,,coverage,380,380,0,361,23,0,0,0,2171,3374,3135,386,1785,766,1405,0,0,0.5858717996636142,6.013850415512465,0.0,3.6973684210526314,0.0,3.89196675900277,cbaa_entry:1405;collision_intent:386;state:380,352,1429,0.7029085872576177,completed,,,
53,CBAA,gilbert_elliot,pGG_0.88_pBB_0.92,19,361,4,,,cbaa_gilbert_elliott_drop_0_60_rho_0_8,,coverage,443,443,0,361,86,0,0,0,2438,3696,3614,453,1985,896,1542,0,0,0.6072928919509326,6.753462603878116,0.0,3.4808126410835216,0.0,4.271468144044321,cbaa_entry:1542;collision_intent:453;state:443,350,1429,0.6253462603878117,completed,,,
54,CBAA,gilbert_elliot,pGG_0.88_pBB_0.92,19,361,4,,,cbaa_gilbert_elliott_drop_0_60_rho_0_8,,coverage,380,380,0,361,23,0,0,0,2063,3103,3083,384,1679,764,1299,0,0,0.6124354390147,5.714681440443213,0.0,3.418421052631579,0.0,3.598337950138504,cbaa_entry:1299;collision_intent:384;state:380,356,1433,0.7098337950138505,completed,,,
