trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,robot_id,steps_total,targets_found,task_cell_revisits,unique_cells_contributed,system_revisits_by_robot,task_cell_replans,path_replans,collision_prevention_events,stall_recoveries,messages_sent,core_messages_sent,allocation_messages_sent,messages_delivered_to_robot,messages_dropped_to_robot,sensitivity_suite,sensitivity_parameter,sensitivity_value,sensitivity_label,num_targets,num_robots
0,known_visit,HIPC,rayleigh_style,-50.66,19,361,4,10,hipc_h1_rayleigh_m50_66,known_visit_10target_300.csv,00,22,1,1,18,5,3,0,0,0,52,46,6,142,8,known_visit_horizon,commitment_horizon,1,h1,10,4
0,known_visit,HIPC,rayleigh_style,-50.66,19,361,4,10,hipc_h1_rayleigh_m50_66,known_visit_10target_300.csv,01,21,5,0,22,0,0,0,0,0,50,44,6,150,2,known_visit_horizon,commitment_horizon,1,h1,10,4
0,known_visit,HIPC,rayleigh_style,-50.66,19,361,4,10,hipc_h1_rayleigh_m50_66,known_visit_10target_300.csv,02,22,3,0,23,0,3,2,2,0,53,47,6,147,3,known_visit_horizon,commitment_horizon,1,h1,10,4
0,known_visit,HIPC,rayleigh_style,-50.66,19,361,4,10,hipc_h1_rayleigh_m50_66,known_visit_10target_300.csv,03,19,1,3,13,7,4,0,0,0,48,40,8,145,9,known_visit_horizon,commitment_horizon,1,h1,10,4
1,known_visit,HIPC,rayleigh_style,-50.66,19,361,4,10,hipc_h1_rayleigh_m50_66,known_visit_10target_300.csv,00,18,2,0,19,0,0,0,0,0,41,38,3,121,8,known_visit_horizon,commitment_horizon,1,h1,10,4
1,known_visit,HIPC,rayleigh_style,-50.66,19,361,4,10,hipc_h1_rayleigh_m50_66,known_visit_10target_300.csv,01,20,3,0,21,0,0,0,0,0,44,41,3,124,3,known_visit_horizon,commitment_horizon,1,h1,10,4
1,known_visit,HIPC,rayleigh_style,-50.66,19,361,4,10,hipc_h1_rayleigh_m50_66,known_visit_10target_300.csv,02,18,2,0,19,0,0,0,0,0,42,38,4,122,6,known_visit_horizon,commitment_horizon,1,h1,10,4
1,known_visit,HIPC,rayleigh_style,-50.66,19,361,4,10,hipc_h1_rayleigh_m50_66,known_visit_10target_300.csv,03,19,3,0,20,0,0,0,0,0,44,40,4,119,7,known_visit_horizon,commitment_horizon,1,h1,10,4
2,known_visit,HIPC,rayleigh_style,-50.66,19,361,4,10,hipc_h1_rayleigh_m50_66,known_visit_10target_300.csv,00,16,3,0,17,0,0,0,0,0,38,34,4,136,7,known_visit_horizon,commitment_horizon,1,h1,10,4
2,known_visit,HIPC,rayleigh_style,-50.66,19,361,4,10,hipc_h1_rayleigh_m50_66,known_visit_10target_300.csv,01,17,1,0,18,0,2,0,0,0,41,36,5,134,6,known_visit_horizon,commitment_horizon,1,h1,10,4
2,known_visit,HIPC,rayleigh_style,-50.66,19,361,4,10,hipc_h1_rayleigh_m50_66,known_visit_10target_300.csv,02,24,4,0,25,0,0,0,0,0,53,49,4,126,3,known_visit_horizon,commitment_horizon,1,h1,10,4
2,known_visit,HIPC,rayleigh_style,-50.66,19,361,4,10,hipc_h1_rayleigh_m50_66,known_visit_10target_300.csv,03,23,2,0,24,0,0,0,0,0,50,47,3,116,15,known_visit_horizon,commitment_horizon,1,h1,10,4
3,known_visit,HIPC,rayleigh_style,-50.66,19,361,4,10,hipc_h1_rayleigh_m50_66,known_visit_10target_300.csv,00,22,0,0,23,0,5,0,0,0,51,45,6,124,12,known_visit_horizon,commitment_horizon,1,h1,10,4
3,known_visit,HIPC,rayleigh_style,-50.66,19,361,4,10,hipc_h1_rayleigh_m50_66,known_visit_10target_300.csv,01,17,3,0,18,0,0,0,0,0,40,36,4,140,7,known_visit_horizon,commitment_horizon,1,h1,10,4
3,known_visit,HIPC,rayleigh_style,-50.66,19,361,4,10,hipc_h1_rayleigh_m50_66,known_visit_10target_300.csv,02,22,4,0,23,0,1,0,0,0,50,45,5,132,6,known_visit_horizon,commitment_horizon,1,h1,10,4
3,known_visit,HIPC,rayleigh_style,-50.66,19,361,4,10,hipc_h1_rayleigh_m50_66,known_visit_10target_300.csv,03,19,3,0,20,0,2,0,0,0,47,41,6,132,8,known_visit_horizon,commitment_horizon,1,h1,10,4
4,known_visit,HIPC,rayleigh_style,-50.66,19,361,4,10,hipc_h1_rayleigh_m50_66,known_visit_10target_300.csv,00,16,4,0,17,0,0,0,0,0,39,34,5,138,16,known_visit_horizon,commitment_horizon,1,h1,10,4
4,known_visit,HIPC,rayleigh_style,-50.66,19,361,4,10,hipc_h1_rayleigh_m50_66,known_visit_10target_300.csv,01,22,1,0,23,0,3,0,0,0,52,47,5,139,2,known_visit_horizon,commitment_horizon,1,h1,10,4
4,known_visit,HIPC,rayleigh_style,-50.66,19,361,4,10,hipc_h1_rayleigh_m50_66,known_visit_10target_300.csv,02,23,3,0,24,0,1,0,0,0,51,47,4,136,7,known_visit_horizon,commitment_horizon,1,h1,10,4
4,known_visit,HIPC,rayleigh_style,-50.66,19,361,4,10,hipc_h1_rayleigh_m50_66,known_visit_10target_300.csv,03,22,2,0,23,0,2,1,1,0,52,46,6,124,18,known_visit_horizon,commitment_horizon,1,h1,10,4
5,known_visit,HIPC,rayleigh_style,-50.66,19,361,4,10,hipc_h1_rayleigh_m50_66,known_visit_10target_300.csv,00,19,1,0,19,1,2,1,1,0,53,41,12,158,7,known_visit_horizon,commitment_horizon,1,h1,10,4
5,known_visit,HIPC,rayleigh_style,-50.66,19,361,4,10,hipc_h1_rayleigh_m50_66,known_visit_10target_300.csv,01,25,5,0,26,0,0,0,0,0,63,51,12,153,3,known_visit_horizon,commitment_horizon,1,h1,10,4
5,known_visit,HIPC,rayleigh_style,-50.66,19,361,4,10,hipc_h1_rayleigh_m50_66,known_visit_10target_300.csv,02,25,2,0,26,0,3,1,1,0,57,52,5,160,1,known_visit_horizon,commitment_horizon,1,h1,10,4
5,known_visit,HIPC,rayleigh_style,-50.66,19,361,4,10,hipc_h1_rayleigh_m50_66,known_visit_10target_300.csv,03,19,2,0,20,0,1,0,0,0,46,41,5,160,12,known_visit_horizon,commitment_horizon,1,h1,10,4
6,known_visit,HIPC,rayleigh_style,-50.66,19,361,4,10,hipc_h1_rayleigh_m50_66,known_visit_10target_300.csv,00,25,4,0,26,0,0,0,0,0,55,51,4,142,11,known_visit_horizon,commitment_horizon,1,h1,10,4
6,known_visit,HIPC,rayleigh_style,-50.66,19,361,4,10,hipc_h1_rayleigh_m50_66,known_visit_10target_300.csv,01,23,3,0,24,0,0,0,0,0,54,48,6,151,2,known_visit_horizon,commitment_horizon,1,h1,10,4
6,known_visit,HIPC,rayleigh_style,-50.66,19,361,4,10,hipc_h1_rayleigh_m50_66,known_visit_10target_300.csv,02,21,3,0,22,0,1,0,0,0,51,44,7,153,3,known_visit_horizon,commitment_horizon,1,h1,10,4
6,known_visit,HIPC,rayleigh_style,-50.66,19,361,4,10,hipc_h1_rayleigh_m50_66,known_visit_10target_300.csv,03,19,0,0,20,0,3,0,0,0,48,42,6,149,10,known_visit_horizon,commitment_horizon,1,h1,10,4
7,known_visit,HIPC,rayleigh_style,-50.66,19,361,4,10,hipc_h1_rayleigh_m50_66,known_visit_10target_300.csv,00,20,3,0,21,0,0,0,0,0,45,41,4,124,12,known_visit_horizon,commitment_horizon,1,h1,10,4
7,known_visit,HIPC,rayleigh_style,-50.66,19,361,4,10,hipc_h1_rayleigh_m50_66,known_visit_10target_300.csv,01,21,2,0,22,0,1,0,0,0,46,43,3,134,1,known_visit_horizon,commitment_horizon,1,h1,10,4
7,known_visit,HIPC,rayleigh_style,-50.66,19,361,4,10,hipc_h1_rayleigh_m50_66,known_visit_10target_300.csv,02,21,4,0,22,0,0,0,0,0,47,43,4,130,5,known_visit_horizon,commitment_horizon,1,h1,10,4
7,known_visit,HIPC,rayleigh_style,-50.66,19,361,4,10,hipc_h1_rayleigh_m50_66,known_visit_10target_300.csv,03,18,1,1,18,1,2,0,0,0,44,38,6,130,7,known_visit_horizon,commitment_horizon,1,h1,10,4
