trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,target_locations,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,targets_found_by_robot,robot_start_locations,robot_end_locations,events_processed,stall_recoveries_total,trial_status
23,known_visit,ACBBA,ideal,1.0,25,625,8,10,acbba_g25_d85_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(7,9);(17,17);(21,11);(24,6);(7,15);(15,9);(18,0);(13,12);(12,23);(3,13)",10,True,62.736338662948334,62.736338662948334,00:1;01:0;02:4;03:0;04:2;05:1;06:1;07:1,"(0,0);(0,3);(0,7);(0,10);(0,14);(0,17);(0,21);(0,24)","(20,0);(15,7);(24,6);(18,8);(13,12);(9,14);(17,17);(12,22)",801,0,completed
24,known_visit,ACBBA,ideal,1.0,25,625,8,10,acbba_g25_d85_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(19,14);(14,3);(19,23);(22,23);(6,15);(18,24);(20,16);(2,16);(9,4);(4,16)",10,True,40.96962762442103,40.96962762442103,00:1;01:1;02:0;03:0;04:1;05:4;06:2;07:1,"(0,0);(0,3);(0,7);(0,10);(0,14);(0,17);(0,21);(0,24)","(9,4);(14,3);(4,9);(2,14);(13,15);(19,14);(22,23);(18,24)",505,0,completed
25,known_visit,ACBBA,ideal,1.0,25,625,8,10,acbba_g25_d85_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(12,11);(23,9);(9,19);(17,21);(21,8);(5,4);(21,11);(2,10);(18,22);(17,9)",10,True,50.2473438489149,50.2473438489149,00:1;01:3;02:0;03:1;04:2;05:0;06:1;07:2,"(0,0);(0,3);(0,7);(0,10);(0,14);(0,17);(0,21);(0,24)","(17,9);(23,9);(12,10);(11,10);(21,11);(9,17);(9,19);(17,21)",617,0,completed
26,known_visit,ACBBA,ideal,1.0,25,625,8,10,acbba_g25_d85_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(22,7);(4,6);(1,13);(7,8);(20,21);(13,6);(17,3);(14,1);(14,5);(14,13)",10,True,48.94353068573343,48.94353068573343,00:3;01:1;02:2;03:1;04:1;05:0;06:1;07:1,"(0,0);(0,3);(0,7);(0,10);(0,14);(0,17);(0,21);(0,24)","(22,7);(14,5);(14,6);(10,7);(9,8);(17,17);(14,13);(20,21)",586,0,completed
27,known_visit,ACBBA,ideal,1.0,25,625,8,10,acbba_g25_d85_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(3,4);(2,11);(21,7);(5,3);(3,19);(3,10);(20,8);(7,0);(4,19);(2,15)",10,True,38.71919976440356,38.71919976440356,00:1;01:2;02:2;03:2;04:1;05:0;06:2;07:0,"(0,0);(0,3);(0,7);(0,10);(0,14);(0,17);(0,21);(0,24)","(7,0);(5,3);(21,7);(2,11);(2,16);(4,18);(4,19);(2,24)",553,0,completed
28,known_visit,ACBBA,ideal,1.0,25,625,8,10,acbba_g25_d85_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(5,21);(20,18);(20,23);(23,3);(12,14);(20,19);(0,9);(4,4);(5,3);(13,8)",10,True,48.68044664998663,48.68044664998663,00:0;01:2;02:1;03:2;04:1;05:2;06:1;07:1,"(0,0);(0,3);(0,7);(0,10);(0,14);(0,17);(0,21);(0,24)","(4,0);(23,3);(5,4);(13,8);(13,14);(20,19);(20,22);(20,23)",608,0,completed
29,known_visit,ACBBA,ideal,1.0,25,625,8,10,acbba_g25_d85_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(20,20);(2,17);(23,18);(11,20);(1,21);(19,18);(10,19);(16,20);(8,16);(16,0)",10,True,56.806623724480275,56.806623724480275,00:1;01:0;02:2;03:0;04:1;05:2;06:2;07:2,"(0,0);(0,3);(0,7);(0,10);(0,14);(0,17);(0,21);(0,24)","(16,0);(10,5);(23,18);(9,12);(8,16);(10,20);(11,19);(21,20)",732,0,completed
30,known_visit,ACBBA,ideal,1.0,25,625,8,10,acbba_g25_d85_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(7,1);(19,11);(2,0);(23,14);(23,17);(19,13);(9,1);(13,4);(8,1);(24,11)",10,True,57.814923249167165,57.814923249167165,00:5;01:0;02:0;03:2;04:2;05:0;06:0;07:1,"(0,0);(0,3);(0,7);(0,10);(0,14);(0,17);(0,21);(0,24)","(13,4);(8,2);(7,5);(24,11);(23,17);(10,17);(6,21);(19,13)",750,0,completed
31,known_visit,ACBBA,ideal,1.0,25,625,8,10,acbba_g25_d85_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(1,1);(13,22);(10,8);(2,17);(3,23);(16,15);(19,20);(12,10);(2,3);(11,9)",10,True,36.33929838155875,36.33929838155875,00:1;01:4;02:0;03:0;04:1;05:2;06:0;07:2,"(0,0);(0,3);(0,7);(0,10);(0,14);(0,17);(0,21);(0,24)","(7,8);(12,10);(4,7);(5,10);(16,15);(19,20);(4,22);(13,22)",453,0,completed
32,known_visit,ACBBA,ideal,1.0,25,625,8,10,acbba_g25_d85_ideal,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(8,20);(13,4);(19,14);(18,4);(11,24);(15,8);(10,10);(12,5);(2,18);(24,19)",10,True,48.404057314009506,48.404057314009506,00:2;01:0;02:2;03:1;04:2;05:1;06:1;07:1,"(0,0);(0,3);(0,7);(0,10);(0,14);(0,17);(0,21);(0,24)","(18,4);(9,3);(15,8);(10,10);(24,19);(7,19);(8,20);(11,24)",620,0,completed
