stage,environment,algorithm_key,algorithm,commitment_horizon,dga_iterations,comm_label,comm_model,comm_level,grid_size,target_cells_per_robot,robot_count,scenario_file,out_dir,run_id,expected_trials,command
grid_coverage,coverage,cbaa,CBAA,,,ideal,ideal,1.0,14,220,1,,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/cbaa,coverage_g14_d220_ideal_cbaa,50,
grid_coverage,coverage,acbba,ACBBA,5,,ideal,ideal,1.0,14,220,1,,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/acbba,coverage_g14_d220_ideal_acbba,50,
grid_coverage,coverage,dmchba,DMCHBA,3,,ideal,ideal,1.0,14,220,1,,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/dmchba,coverage_g14_d220_ideal_dmchba,50,
grid_coverage,coverage,hipc,HIPC,3,,ideal,ideal,1.0,14,220,1,,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/hipc,coverage_g14_d220_ideal_hipc,50,
grid_coverage,coverage,pi,PI,1,,ideal,ideal,1.0,14,220,1,,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/pi,coverage_g14_d220_ideal_pi,50,
grid_coverage,coverage,dga,DGA,5,,ideal,ideal,1.0,14,220,1,,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/dga,coverage_g14_d220_ideal_dga,50,
grid_coverage,coverage,cbaa,CBAA,,,bernoulli_025,bernoulli,0.25,14,220,1,,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/bernoulli_025/cbaa,coverage_g14_d220_bernoulli_025_cbaa,50,
grid_coverage,coverage,acbba,ACBBA,5,,bernoulli_025,bernoulli,0.25,14,220,1,,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/bernoulli_025/acbba,coverage_g14_d220_bernoulli_025_acbba,50,
grid_coverage,coverage,dmchba,DMCHBA,3,,bernoulli_025,bernoulli,0.25,14,220,1,,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/bernoulli_025/dmchba,coverage_g14_d220_bernoulli_025_dmchba,50,
grid_coverage,coverage,hipc,HIPC,3,,bernoulli_025,bernoulli,0.25,14,220,1,,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/bernoulli_025/hipc,coverage_g14_d220_bernoulli_025_hipc,50,
grid_coverage,coverage,pi,PI,1,,bernoulli_025,bernoulli,0.25,14,220,1,,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/bernoulli_025/pi,coverage_g14_d220_bernoulli_025_pi,50,
grid_coverage,coverage,dga,DGA,5,,bernoulli_025,bernoulli,0.25,14,220,1,,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/bernoulli_025/dga,coverage_g14_d220_bernoulli_025_dga,50,
grid_coverage,coverage,cbaa,CBAA,,,ideal,ideal,1.0,14,140,2,,runs/sensitivity_grid_density_coverage_50/raw/grid14/density140/ideal/cbaa,coverage_g14_d140_ideal_cbaa,50,
grid_coverage,coverage,acbba,ACBBA,5,,ideal,ideal,1.0,14,140,2,,runs/sensitivity_grid_density_coverage_50/raw/grid14/density140/ideal/acbba,coverage_g14_d140_ideal_acbba,50,
grid_coverage,coverage,dmchba,DMCHBA,3,,ideal,ideal,1.0,14,140,2,,runs/sensitivity_grid_density_coverage_50/raw/grid14/density140/ideal/dmchba,coverage_g14_d140_ideal_dmchba,50,
