trial_id,logic_revision,study_profile,scenario_file_sha256,scenario_selection_sha256,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,target_x,target_y,clue_locations,first_clue_robot,first_clue_x,first_clue_y,robot_start_locations,robot_end_locations,clues_detected_by_robot,target_found_by_robot,trial_status,stage,environment,algorithm_key,commitment_horizon,dga_iterations,comm_label,out_dir,run_id,failure_type,failure_message
0,dcta_parity_v1,custom,,e2d18f2463f2206c259277f61e40aff095f8696dcffa98bb70597a1186a4af8c,CBAA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_cbaa,,coverage,,,,,,,"00:(0,6)","00:(13,13)",00:0,,completed,grid_coverage,coverage,cbaa,,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/cbaa,coverage_g14_d220_ideal_cbaa,,
1,dcta_parity_v1,custom,,e2d18f2463f2206c259277f61e40aff095f8696dcffa98bb70597a1186a4af8c,CBAA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_cbaa,,coverage,,,,,,,"00:(0,6)","00:(13,13)",00:0,,completed,grid_coverage,coverage,cbaa,,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/cbaa,coverage_g14_d220_ideal_cbaa,,
2,dcta_parity_v1,custom,,e2d18f2463f2206c259277f61e40aff095f8696dcffa98bb70597a1186a4af8c,CBAA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_cbaa,,coverage,,,,,,,"00:(0,6)","00:(13,13)",00:0,,completed,grid_coverage,coverage,cbaa,,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/cbaa,coverage_g14_d220_ideal_cbaa,,
3,dcta_parity_v1,custom,,e2d18f2463f2206c259277f61e40aff095f8696dcffa98bb70597a1186a4af8c,CBAA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_cbaa,,coverage,,,,,,,"00:(0,6)","00:(13,13)",00:0,,completed,grid_coverage,coverage,cbaa,,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/cbaa,coverage_g14_d220_ideal_cbaa,,
4,dcta_parity_v1,custom,,e2d18f2463f2206c259277f61e40aff095f8696dcffa98bb70597a1186a4af8c,CBAA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_cbaa,,coverage,,,,,,,"00:(0,6)","00:(13,13)",00:0,,completed,grid_coverage,coverage,cbaa,,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/cbaa,coverage_g14_d220_ideal_cbaa,,
5,dcta_parity_v1,custom,,e2d18f2463f2206c259277f61e40aff095f8696dcffa98bb70597a1186a4af8c,CBAA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_cbaa,,coverage,,,,,,,"00:(0,6)","00:(13,13)",00:0,,completed,grid_coverage,coverage,cbaa,,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/cbaa,coverage_g14_d220_ideal_cbaa,,
6,dcta_parity_v1,custom,,e2d18f2463f2206c259277f61e40aff095f8696dcffa98bb70597a1186a4af8c,CBAA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_cbaa,,coverage,,,,,,,"00:(0,6)","00:(13,13)",00:0,,completed,grid_coverage,coverage,cbaa,,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/cbaa,coverage_g14_d220_ideal_cbaa,,
7,dcta_parity_v1,custom,,e2d18f2463f2206c259277f61e40aff095f8696dcffa98bb70597a1186a4af8c,CBAA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_cbaa,,coverage,,,,,,,"00:(0,6)","00:(13,13)",00:0,,completed,grid_coverage,coverage,cbaa,,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/cbaa,coverage_g14_d220_ideal_cbaa,,
8,dcta_parity_v1,custom,,e2d18f2463f2206c259277f61e40aff095f8696dcffa98bb70597a1186a4af8c,CBAA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_cbaa,,coverage,,,,,,,"00:(0,6)","00:(13,13)",00:0,,completed,grid_coverage,coverage,cbaa,,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/cbaa,coverage_g14_d220_ideal_cbaa,,
9,dcta_parity_v1,custom,,e2d18f2463f2206c259277f61e40aff095f8696dcffa98bb70597a1186a4af8c,CBAA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_cbaa,,coverage,,,,,,,"00:(0,6)","00:(13,13)",00:0,,completed,grid_coverage,coverage,cbaa,,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/cbaa,coverage_g14_d220_ideal_cbaa,,
10,dcta_parity_v1,custom,,e2d18f2463f2206c259277f61e40aff095f8696dcffa98bb70597a1186a4af8c,CBAA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_cbaa,,coverage,,,,,,,"00:(0,6)","00:(13,13)",00:0,,completed,grid_coverage,coverage,cbaa,,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/cbaa,coverage_g14_d220_ideal_cbaa,,
11,dcta_parity_v1,custom,,e2d18f2463f2206c259277f61e40aff095f8696dcffa98bb70597a1186a4af8c,CBAA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_cbaa,,coverage,,,,,,,"00:(0,6)","00:(13,13)",00:0,,completed,grid_coverage,coverage,cbaa,,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/cbaa,coverage_g14_d220_ideal_cbaa,,
12,dcta_parity_v1,custom,,e2d18f2463f2206c259277f61e40aff095f8696dcffa98bb70597a1186a4af8c,CBAA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_cbaa,,coverage,,,,,,,"00:(0,6)","00:(13,13)",00:0,,completed,grid_coverage,coverage,cbaa,,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/cbaa,coverage_g14_d220_ideal_cbaa,,
13,dcta_parity_v1,custom,,e2d18f2463f2206c259277f61e40aff095f8696dcffa98bb70597a1186a4af8c,CBAA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_cbaa,,coverage,,,,,,,"00:(0,6)","00:(13,13)",00:0,,completed,grid_coverage,coverage,cbaa,,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/cbaa,coverage_g14_d220_ideal_cbaa,,
14,dcta_parity_v1,custom,,e2d18f2463f2206c259277f61e40aff095f8696dcffa98bb70597a1186a4af8c,CBAA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_cbaa,,coverage,,,,,,,"00:(0,6)","00:(13,13)",00:0,,completed,grid_coverage,coverage,cbaa,,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/cbaa,coverage_g14_d220_ideal_cbaa,,
15,dcta_parity_v1,custom,,e2d18f2463f2206c259277f61e40aff095f8696dcffa98bb70597a1186a4af8c,CBAA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_cbaa,,coverage,,,,,,,"00:(0,6)","00:(13,13)",00:0,,completed,grid_coverage,coverage,cbaa,,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/cbaa,coverage_g14_d220_ideal_cbaa,,
16,dcta_parity_v1,custom,,e2d18f2463f2206c259277f61e40aff095f8696dcffa98bb70597a1186a4af8c,CBAA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_cbaa,,coverage,,,,,,,"00:(0,6)","00:(13,13)",00:0,,completed,grid_coverage,coverage,cbaa,,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/cbaa,coverage_g14_d220_ideal_cbaa,,
17,dcta_parity_v1,custom,,e2d18f2463f2206c259277f61e40aff095f8696dcffa98bb70597a1186a4af8c,CBAA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_cbaa,,coverage,,,,,,,"00:(0,6)","00:(13,13)",00:0,,completed,grid_coverage,coverage,cbaa,,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/cbaa,coverage_g14_d220_ideal_cbaa,,
18,dcta_parity_v1,custom,,e2d18f2463f2206c259277f61e40aff095f8696dcffa98bb70597a1186a4af8c,CBAA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_cbaa,,coverage,,,,,,,"00:(0,6)","00:(13,13)",00:0,,completed,grid_coverage,coverage,cbaa,,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/cbaa,coverage_g14_d220_ideal_cbaa,,
19,dcta_parity_v1,custom,,e2d18f2463f2206c259277f61e40aff095f8696dcffa98bb70597a1186a4af8c,CBAA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_cbaa,,coverage,,,,,,,"00:(0,6)","00:(13,13)",00:0,,completed,grid_coverage,coverage,cbaa,,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/cbaa,coverage_g14_d220_ideal_cbaa,,
20,dcta_parity_v1,custom,,e2d18f2463f2206c259277f61e40aff095f8696dcffa98bb70597a1186a4af8c,CBAA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_cbaa,,coverage,,,,,,,"00:(0,6)","00:(13,13)",00:0,,completed,grid_coverage,coverage,cbaa,,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/cbaa,coverage_g14_d220_ideal_cbaa,,
21,dcta_parity_v1,custom,,e2d18f2463f2206c259277f61e40aff095f8696dcffa98bb70597a1186a4af8c,CBAA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_cbaa,,coverage,,,,,,,"00:(0,6)","00:(13,13)",00:0,,completed,grid_coverage,coverage,cbaa,,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/cbaa,coverage_g14_d220_ideal_cbaa,,
22,dcta_parity_v1,custom,,e2d18f2463f2206c259277f61e40aff095f8696dcffa98bb70597a1186a4af8c,CBAA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_cbaa,,coverage,,,,,,,"00:(0,6)","00:(13,13)",00:0,,completed,grid_coverage,coverage,cbaa,,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/cbaa,coverage_g14_d220_ideal_cbaa,,
23,dcta_parity_v1,custom,,e2d18f2463f2206c259277f61e40aff095f8696dcffa98bb70597a1186a4af8c,CBAA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_cbaa,,coverage,,,,,,,"00:(0,6)","00:(13,13)",00:0,,completed,grid_coverage,coverage,cbaa,,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/cbaa,coverage_g14_d220_ideal_cbaa,,
24,dcta_parity_v1,custom,,e2d18f2463f2206c259277f61e40aff095f8696dcffa98bb70597a1186a4af8c,CBAA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_cbaa,,coverage,,,,,,,"00:(0,6)","00:(13,13)",00:0,,completed,grid_coverage,coverage,cbaa,,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/cbaa,coverage_g14_d220_ideal_cbaa,,
25,dcta_parity_v1,custom,,8ad3d62870b47129971bfca79e27a2e397049f63b3c5ba04672643cbb52f811a,CBAA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_cbaa,,coverage,,,,,,,"00:(0,6)","00:(13,13)",00:0,,completed,grid_coverage,coverage,cbaa,,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/cbaa,coverage_g14_d220_ideal_cbaa,,
26,dcta_parity_v1,custom,,8ad3d62870b47129971bfca79e27a2e397049f63b3c5ba04672643cbb52f811a,CBAA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_cbaa,,coverage,,,,,,,"00:(0,6)","00:(13,13)",00:0,,completed,grid_coverage,coverage,cbaa,,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/cbaa,coverage_g14_d220_ideal_cbaa,,
27,dcta_parity_v1,custom,,8ad3d62870b47129971bfca79e27a2e397049f63b3c5ba04672643cbb52f811a,CBAA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_cbaa,,coverage,,,,,,,"00:(0,6)","00:(13,13)",00:0,,completed,grid_coverage,coverage,cbaa,,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/cbaa,coverage_g14_d220_ideal_cbaa,,
28,dcta_parity_v1,custom,,8ad3d62870b47129971bfca79e27a2e397049f63b3c5ba04672643cbb52f811a,CBAA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_cbaa,,coverage,,,,,,,"00:(0,6)","00:(13,13)",00:0,,completed,grid_coverage,coverage,cbaa,,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/cbaa,coverage_g14_d220_ideal_cbaa,,
29,dcta_parity_v1,custom,,8ad3d62870b47129971bfca79e27a2e397049f63b3c5ba04672643cbb52f811a,CBAA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_cbaa,,coverage,,,,,,,"00:(0,6)","00:(13,13)",00:0,,completed,grid_coverage,coverage,cbaa,,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/cbaa,coverage_g14_d220_ideal_cbaa,,
30,dcta_parity_v1,custom,,8ad3d62870b47129971bfca79e27a2e397049f63b3c5ba04672643cbb52f811a,CBAA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_cbaa,,coverage,,,,,,,"00:(0,6)","00:(13,13)",00:0,,completed,grid_coverage,coverage,cbaa,,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/cbaa,coverage_g14_d220_ideal_cbaa,,
31,dcta_parity_v1,custom,,8ad3d62870b47129971bfca79e27a2e397049f63b3c5ba04672643cbb52f811a,CBAA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_cbaa,,coverage,,,,,,,"00:(0,6)","00:(13,13)",00:0,,completed,grid_coverage,coverage,cbaa,,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/cbaa,coverage_g14_d220_ideal_cbaa,,
32,dcta_parity_v1,custom,,8ad3d62870b47129971bfca79e27a2e397049f63b3c5ba04672643cbb52f811a,CBAA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_cbaa,,coverage,,,,,,,"00:(0,6)","00:(13,13)",00:0,,completed,grid_coverage,coverage,cbaa,,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/cbaa,coverage_g14_d220_ideal_cbaa,,
33,dcta_parity_v1,custom,,8ad3d62870b47129971bfca79e27a2e397049f63b3c5ba04672643cbb52f811a,CBAA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_cbaa,,coverage,,,,,,,"00:(0,6)","00:(13,13)",00:0,,completed,grid_coverage,coverage,cbaa,,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/cbaa,coverage_g14_d220_ideal_cbaa,,
34,dcta_parity_v1,custom,,8ad3d62870b47129971bfca79e27a2e397049f63b3c5ba04672643cbb52f811a,CBAA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_cbaa,,coverage,,,,,,,"00:(0,6)","00:(13,13)",00:0,,completed,grid_coverage,coverage,cbaa,,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/cbaa,coverage_g14_d220_ideal_cbaa,,
35,dcta_parity_v1,custom,,8ad3d62870b47129971bfca79e27a2e397049f63b3c5ba04672643cbb52f811a,CBAA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_cbaa,,coverage,,,,,,,"00:(0,6)","00:(13,13)",00:0,,completed,grid_coverage,coverage,cbaa,,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/cbaa,coverage_g14_d220_ideal_cbaa,,
36,dcta_parity_v1,custom,,8ad3d62870b47129971bfca79e27a2e397049f63b3c5ba04672643cbb52f811a,CBAA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_cbaa,,coverage,,,,,,,"00:(0,6)","00:(13,13)",00:0,,completed,grid_coverage,coverage,cbaa,,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/cbaa,coverage_g14_d220_ideal_cbaa,,
37,dcta_parity_v1,custom,,8ad3d62870b47129971bfca79e27a2e397049f63b3c5ba04672643cbb52f811a,CBAA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_cbaa,,coverage,,,,,,,"00:(0,6)","00:(13,13)",00:0,,completed,grid_coverage,coverage,cbaa,,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/cbaa,coverage_g14_d220_ideal_cbaa,,
38,dcta_parity_v1,custom,,8ad3d62870b47129971bfca79e27a2e397049f63b3c5ba04672643cbb52f811a,CBAA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_cbaa,,coverage,,,,,,,"00:(0,6)","00:(13,13)",00:0,,completed,grid_coverage,coverage,cbaa,,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/cbaa,coverage_g14_d220_ideal_cbaa,,
39,dcta_parity_v1,custom,,8ad3d62870b47129971bfca79e27a2e397049f63b3c5ba04672643cbb52f811a,CBAA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_cbaa,,coverage,,,,,,,"00:(0,6)","00:(13,13)",00:0,,completed,grid_coverage,coverage,cbaa,,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/cbaa,coverage_g14_d220_ideal_cbaa,,
40,dcta_parity_v1,custom,,8ad3d62870b47129971bfca79e27a2e397049f63b3c5ba04672643cbb52f811a,CBAA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_cbaa,,coverage,,,,,,,"00:(0,6)","00:(13,13)",00:0,,completed,grid_coverage,coverage,cbaa,,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/cbaa,coverage_g14_d220_ideal_cbaa,,
41,dcta_parity_v1,custom,,8ad3d62870b47129971bfca79e27a2e397049f63b3c5ba04672643cbb52f811a,CBAA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_cbaa,,coverage,,,,,,,"00:(0,6)","00:(13,13)",00:0,,completed,grid_coverage,coverage,cbaa,,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/cbaa,coverage_g14_d220_ideal_cbaa,,
42,dcta_parity_v1,custom,,8ad3d62870b47129971bfca79e27a2e397049f63b3c5ba04672643cbb52f811a,CBAA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_cbaa,,coverage,,,,,,,"00:(0,6)","00:(13,13)",00:0,,completed,grid_coverage,coverage,cbaa,,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/cbaa,coverage_g14_d220_ideal_cbaa,,
43,dcta_parity_v1,custom,,8ad3d62870b47129971bfca79e27a2e397049f63b3c5ba04672643cbb52f811a,CBAA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_cbaa,,coverage,,,,,,,"00:(0,6)","00:(13,13)",00:0,,completed,grid_coverage,coverage,cbaa,,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/cbaa,coverage_g14_d220_ideal_cbaa,,
44,dcta_parity_v1,custom,,8ad3d62870b47129971bfca79e27a2e397049f63b3c5ba04672643cbb52f811a,CBAA,ideal,1.0,14,196,1,220.0,196.0,coverage_g14_d220_ideal_cbaa,,coverage,,,,,,,"00:(0,6)","00:(13,13)",00:0,,completed,grid_coverage,coverage,cbaa,,,ideal,runs/sensitivity_grid_density_coverage_50/raw/grid14/density220/ideal/cbaa,coverage_g14_d220_ideal_cbaa,,
