trial_id,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,robot_id,steps_total,steps_after_first_clue,unique_cells_contributed,system_revisits_by_robot,task_cell_replans,path_replans,collision_prevention_events,messages_sent,protected_messages_sent,unprotected_messages_sent,core_messages_sent,allocation_messages_sent,post_clue_messages_sent,messages_sent_by_topic,messages_delivered_to_robot,messages_dropped_to_robot,trial_status
40,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,02,119,0,84,36,0,0,0,331,119,212,238,93,0,collision_intent:119;pi_entry:93;state:119,1011,16,completed
40,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,03,117,0,93,25,0,0,0,341,119,222,236,105,0,collision_intent:119;pi_entry:105;state:117,977,42,completed
41,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,00,115,0,95,21,0,0,0,342,120,222,235,107,0,collision_intent:120;pi_entry:107;state:115,979,21,completed
41,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,01,111,0,96,16,0,0,0,333,114,219,225,108,0,collision_intent:114;pi_entry:108;state:111,956,52,completed
41,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,02,114,0,95,20,0,0,0,337,117,220,231,106,0,collision_intent:117;pi_entry:106;state:114,968,36,completed
41,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,03,112,0,75,38,0,0,0,330,113,217,225,105,0,collision_intent:113;pi_clear_path:1;pi_entry:104;state:112,915,96,completed
42,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,00,104,0,87,18,0,0,0,306,107,199,211,95,0,collision_intent:107;pi_entry:95;state:104,832,96,completed
42,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,01,106,0,104,3,0,0,0,319,108,211,214,105,0,collision_intent:108;pi_entry:105;state:106,887,29,completed
42,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,02,105,0,75,31,0,0,0,296,106,190,211,85,0,collision_intent:106;pi_entry:85;state:105,903,35,completed
42,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,03,104,0,95,10,0,0,0,314,111,203,215,99,0,collision_intent:111;pi_entry:99;state:104,899,22,completed
43,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,00,123,0,98,26,0,0,0,365,128,237,251,114,0,collision_intent:128;pi_clear_path:1;pi_entry:113;state:123,977,76,completed
43,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,01,122,0,86,37,0,0,0,347,125,222,247,100,0,collision_intent:125;pi_entry:100;state:122,1017,53,completed
43,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,02,124,0,94,31,0,0,0,365,129,236,253,112,0,collision_intent:129;pi_entry:112;state:124,1005,47,completed
43,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,03,124,0,83,42,0,0,0,341,127,214,251,90,0,collision_intent:127;pi_entry:90;state:124,1048,28,completed
44,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,00,104,0,90,15,0,0,0,301,104,197,208,93,0,collision_intent:104;pi_entry:93;state:104,883,10,completed
44,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,01,103,0,96,8,0,0,0,301,105,196,208,93,0,collision_intent:105;pi_entry:93;state:103,876,18,completed
44,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,02,103,0,86,18,0,0,0,294,103,191,206,88,0,collision_intent:103;pi_entry:88;state:103,876,25,completed
44,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,03,102,0,89,14,0,0,0,299,106,193,208,91,0,collision_intent:106;pi_clear_path:1;pi_entry:90;state:102,886,10,completed
45,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,00,122,0,93,30,0,0,0,354,129,225,251,103,0,collision_intent:129;pi_entry:103;state:122,1049,47,completed
45,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,01,125,0,78,48,0,0,0,352,134,218,259,93,0,collision_intent:134;pi_entry:93;state:125,1056,42,completed
45,PI,gilbert_elliot,pGG_0.99_pBB_0.81,19,361,4,,,pi_gilbert_elliott_drop_0_05_rho_0_8,,coverage,02,127,0,88,40,0,0,0,372,132,240,259,113,0,collision_intent:132;pi_entry:113;state:127,1019,59,completed
