algorithm,communication_condition,source_out_dir,system_rows,trial_rows,robot_rows,target_rows,complete
ACBBA,gilbert_elliot_pGG_0_9_pBB_0_1,runs/known_visit_core_500/raw/acbba/gilbert_elliot_pGG_0_9_pBB_0_1,500,500,2000,5000,no
ACBBA,ideal_1_0,runs/known_visit_core_500/raw/acbba/ideal_1_0,500,500,2000,5000,no
ACBBA,rayleigh_style_sens_neg32_58,runs/known_visit_core_500/raw/acbba/rayleigh_style_sens_neg32_58,500,500,2000,5000,no
ACBBA,rayleigh_style_sens_neg37_79,runs/known_visit_core_500/raw/acbba/rayleigh_style_sens_neg37_79,500,500,2000,5000,no
ACBBA,rayleigh_style_sens_neg42_16,runs/known_visit_core_500/raw/acbba/rayleigh_style_sens_neg42_16,500,500,2000,5000,no
ACBBA,rayleigh_style_sens_neg46_04,runs/known_visit_core_500/raw/acbba/rayleigh_style_sens_neg46_04,500,500,2000,5000,no
ACBBA,rayleigh_style_sens_neg49_17,runs/known_visit_core_500/raw/acbba/rayleigh_style_sens_neg49_17,500,500,2000,5000,no
ACBBA,rayleigh_style_sens_neg52_15,runs/known_visit_core_500/raw/acbba/rayleigh_style_sens_neg52_15,500,500,2000,5000,no
ACBBA,rayleigh_style_sens_neg56_04,runs/known_visit_core_500/raw/acbba/rayleigh_style_sens_neg56_04,500,500,2000,5000,no
ACBBA,rayleigh_style_sens_neg59_4,runs/known_visit_core_500/raw/acbba/rayleigh_style_sens_neg59_4,500,500,2000,5000,no
CBAA,bernoulli_drop_0_05,runs/known_visit_core_500/raw/cbaa/bernoulli_drop_0_05,500,500,2000,5000,no
CBAA,bernoulli_drop_0_1,runs/known_visit_core_500/raw/cbaa/bernoulli_drop_0_1,500,500,2000,5000,no
CBAA,bernoulli_drop_0_2,runs/known_visit_core_500/raw/cbaa/bernoulli_drop_0_2,500,500,2000,5000,no
CBAA,bernoulli_drop_0_3,runs/known_visit_core_500/raw/cbaa/bernoulli_drop_0_3,500,500,2000,5000,no
CBAA,bernoulli_drop_0_4,runs/known_visit_core_500/raw/cbaa/bernoulli_drop_0_4,500,500,2000,5000,no
CBAA,bernoulli_drop_0_5,runs/known_visit_core_500/raw/cbaa/bernoulli_drop_0_5,500,500,2000,5000,no
CBAA,bernoulli_drop_0_6,runs/known_visit_core_500/raw/cbaa/bernoulli_drop_0_6,500,500,2000,5000,no
CBAA,bernoulli_drop_0_7,runs/known_visit_core_500/raw/cbaa/bernoulli_drop_0_7,500,500,2000,5000,no
CBAA,gilbert_elliot_pGG_0_3_pBB_0_7,runs/known_visit_core_500/raw/cbaa/gilbert_elliot_pGG_0_3_pBB_0_7,500,500,2000,5000,no
CBAA,gilbert_elliot_pGG_0_4_pBB_0_6,runs/known_visit_core_500/raw/cbaa/gilbert_elliot_pGG_0_4_pBB_0_6,500,500,2000,5000,no
CBAA,gilbert_elliot_pGG_0_5_pBB_0_5,runs/known_visit_core_500/raw/cbaa/gilbert_elliot_pGG_0_5_pBB_0_5,500,500,2000,5000,no
CBAA,gilbert_elliot_pGG_0_6_pBB_0_4,runs/known_visit_core_500/raw/cbaa/gilbert_elliot_pGG_0_6_pBB_0_4,500,500,2000,5000,no
CBAA,gilbert_elliot_pGG_0_7_pBB_0_3,runs/known_visit_core_500/raw/cbaa/gilbert_elliot_pGG_0_7_pBB_0_3,500,500,2000,5000,no
CBAA,gilbert_elliot_pGG_0_8_pBB_0_2,runs/known_visit_core_500/raw/cbaa/gilbert_elliot_pGG_0_8_pBB_0_2,500,500,2000,5000,no
CBAA,gilbert_elliot_pGG_0_95_pBB_0_05,runs/known_visit_core_500/raw/cbaa/gilbert_elliot_pGG_0_95_pBB_0_05,500,500,2000,5000,no
CBAA,gilbert_elliot_pGG_0_9_pBB_0_1,runs/known_visit_core_500/raw/cbaa/gilbert_elliot_pGG_0_9_pBB_0_1,500,500,2000,5000,no
CBAA,ideal_1_0,runs/known_visit_core_500/raw/cbaa/ideal_1_0,500,500,2000,5000,no
CBAA,rayleigh_style_sens_neg32_58,runs/known_visit_core_500/raw/cbaa/rayleigh_style_sens_neg32_58,500,500,2000,5000,no
CBAA,rayleigh_style_sens_neg37_79,runs/known_visit_core_500/raw/cbaa/rayleigh_style_sens_neg37_79,500,500,2000,5000,no
CBAA,rayleigh_style_sens_neg42_16,runs/known_visit_core_500/raw/cbaa/rayleigh_style_sens_neg42_16,500,500,2000,5000,no
CBAA,rayleigh_style_sens_neg46_04,runs/known_visit_core_500/raw/cbaa/rayleigh_style_sens_neg46_04,500,500,2000,5000,no
CBAA,rayleigh_style_sens_neg49_17,runs/known_visit_core_500/raw/cbaa/rayleigh_style_sens_neg49_17,500,500,2000,5000,no
CBAA,rayleigh_style_sens_neg52_15,runs/known_visit_core_500/raw/cbaa/rayleigh_style_sens_neg52_15,500,500,2000,5000,no
CBAA,rayleigh_style_sens_neg56_04,runs/known_visit_core_500/raw/cbaa/rayleigh_style_sens_neg56_04,500,500,2000,5000,no
CBAA,rayleigh_style_sens_neg59_4,runs/known_visit_core_500/raw/cbaa/rayleigh_style_sens_neg59_4,500,500,2000,5000,no
DGA,bernoulli_drop_0_05,runs/known_visit_core_500/raw/dga/bernoulli_drop_0_05,500,500,2000,5000,no
DGA,bernoulli_drop_0_1,runs/known_visit_core_500/raw/dga/bernoulli_drop_0_1,500,500,2000,5000,no
DGA,bernoulli_drop_0_2,runs/known_visit_core_500/raw/dga/bernoulli_drop_0_2,500,500,2000,5000,no
DGA,bernoulli_drop_0_3,runs/known_visit_core_500/raw/dga/bernoulli_drop_0_3,500,500,2000,5000,no
DGA,bernoulli_drop_0_4,runs/known_visit_core_500/raw/dga/bernoulli_drop_0_4,500,500,2000,5000,no
DGA,bernoulli_drop_0_5,runs/known_visit_core_500/raw/dga/bernoulli_drop_0_5,500,500,2000,5000,no
DGA,bernoulli_drop_0_6,runs/known_visit_core_500/raw/dga/bernoulli_drop_0_6,500,500,2000,5000,no
DGA,bernoulli_drop_0_7,runs/known_visit_core_500/raw/dga/bernoulli_drop_0_7,500,500,2000,5000,no
DGA,gilbert_elliot_pGG_0_3_pBB_0_7,runs/known_visit_core_500/raw/dga/gilbert_elliot_pGG_0_3_pBB_0_7,500,500,2000,5000,no
DGA,gilbert_elliot_pGG_0_4_pBB_0_6,runs/known_visit_core_500/raw/dga/gilbert_elliot_pGG_0_4_pBB_0_6,500,500,2000,5000,no
DGA,gilbert_elliot_pGG_0_5_pBB_0_5,runs/known_visit_core_500/raw/dga/gilbert_elliot_pGG_0_5_pBB_0_5,500,500,2000,5000,no
DGA,gilbert_elliot_pGG_0_6_pBB_0_4,runs/known_visit_core_500/raw/dga/gilbert_elliot_pGG_0_6_pBB_0_4,500,500,2000,5000,no
DGA,gilbert_elliot_pGG_0_7_pBB_0_3,runs/known_visit_core_500/raw/dga/gilbert_elliot_pGG_0_7_pBB_0_3,500,500,2000,5000,no
DGA,gilbert_elliot_pGG_0_8_pBB_0_2,runs/known_visit_core_500/raw/dga/gilbert_elliot_pGG_0_8_pBB_0_2,500,500,2000,5000,no
DGA,gilbert_elliot_pGG_0_95_pBB_0_05,runs/known_visit_core_500/raw/dga/gilbert_elliot_pGG_0_95_pBB_0_05,500,500,2000,5000,no
DGA,gilbert_elliot_pGG_0_9_pBB_0_1,runs/known_visit_core_500/raw/dga/gilbert_elliot_pGG_0_9_pBB_0_1,500,500,2000,5000,no
DGA,ideal_1_0,runs/known_visit_core_500/raw/dga/ideal_1_0,500,500,2000,5000,no
DGA,rayleigh_style_sens_neg32_58,runs/known_visit_core_500/raw/dga/rayleigh_style_sens_neg32_58,500,500,2000,5000,no
DGA,rayleigh_style_sens_neg37_79,runs/known_visit_core_500/raw/dga/rayleigh_style_sens_neg37_79,500,500,2000,5000,no
DGA,rayleigh_style_sens_neg42_16,runs/known_visit_core_500/raw/dga/rayleigh_style_sens_neg42_16,500,500,2000,5000,no
DGA,rayleigh_style_sens_neg46_04,runs/known_visit_core_500/raw/dga/rayleigh_style_sens_neg46_04,500,500,2000,5000,no
DGA,rayleigh_style_sens_neg49_17,runs/known_visit_core_500/raw/dga/rayleigh_style_sens_neg49_17,500,500,2000,5000,no
DGA,rayleigh_style_sens_neg52_15,runs/known_visit_core_500/raw/dga/rayleigh_style_sens_neg52_15,500,500,2000,5000,no
DGA,rayleigh_style_sens_neg56_04,runs/known_visit_core_500/raw/dga/rayleigh_style_sens_neg56_04,500,500,2000,5000,no
DGA,rayleigh_style_sens_neg59_4,runs/known_visit_core_500/raw/dga/rayleigh_style_sens_neg59_4,500,500,2000,5000,no
DMCHBA,bernoulli_drop_0_05,runs/known_visit_core_500/raw/dmchba/bernoulli_drop_0_05,500,500,2000,5000,yes
DMCHBA,bernoulli_drop_0_1,runs/known_visit_core_500/raw/dmchba/bernoulli_drop_0_1,500,500,2000,5000,yes
DMCHBA,bernoulli_drop_0_2,runs/known_visit_core_500/raw/dmchba/bernoulli_drop_0_2,500,500,2000,5000,yes
DMCHBA,bernoulli_drop_0_3,runs/known_visit_core_500/raw/dmchba/bernoulli_drop_0_3,500,500,2000,5000,yes
DMCHBA,bernoulli_drop_0_4,runs/known_visit_core_500/raw/dmchba/bernoulli_drop_0_4,500,500,2000,5000,yes
DMCHBA,bernoulli_drop_0_5,runs/known_visit_core_500/raw/dmchba/bernoulli_drop_0_5,500,500,2000,5000,yes
DMCHBA,bernoulli_drop_0_6,runs/known_visit_core_500/raw/dmchba/bernoulli_drop_0_6,500,500,2000,5000,yes
DMCHBA,bernoulli_drop_0_7,runs/known_visit_core_500/raw/dmchba/bernoulli_drop_0_7,500,500,2000,5000,yes
DMCHBA,gilbert_elliot_pGG_0_3_pBB_0_7,runs/known_visit_core_500/raw/dmchba/gilbert_elliot_pGG_0_3_pBB_0_7,500,500,2000,5000,yes
DMCHBA,gilbert_elliot_pGG_0_4_pBB_0_6,runs/known_visit_core_500/raw/dmchba/gilbert_elliot_pGG_0_4_pBB_0_6,500,500,2000,5000,yes
DMCHBA,gilbert_elliot_pGG_0_5_pBB_0_5,runs/known_visit_core_500/raw/dmchba/gilbert_elliot_pGG_0_5_pBB_0_5,500,500,2000,5000,yes
DMCHBA,gilbert_elliot_pGG_0_6_pBB_0_4,runs/known_visit_core_500/raw/dmchba/gilbert_elliot_pGG_0_6_pBB_0_4,500,500,2000,5000,yes
DMCHBA,gilbert_elliot_pGG_0_7_pBB_0_3,runs/known_visit_core_500/raw/dmchba/gilbert_elliot_pGG_0_7_pBB_0_3,500,500,2000,5000,yes
DMCHBA,gilbert_elliot_pGG_0_8_pBB_0_2,runs/known_visit_core_500/raw/dmchba/gilbert_elliot_pGG_0_8_pBB_0_2,500,500,2000,5000,yes
DMCHBA,gilbert_elliot_pGG_0_95_pBB_0_05,runs/known_visit_core_500/raw/dmchba/gilbert_elliot_pGG_0_95_pBB_0_05,500,500,2000,5000,yes
DMCHBA,gilbert_elliot_pGG_0_9_pBB_0_1,runs/known_visit_core_500/raw/dmchba/gilbert_elliot_pGG_0_9_pBB_0_1,500,500,2000,5000,yes
DMCHBA,ideal_1_0,runs/known_visit_core_500/raw/dmchba/ideal_1_0,500,500,2000,5000,yes
DMCHBA,rayleigh_style_sens_neg32_58,runs/known_visit_core_500/raw/dmchba/rayleigh_style_sens_neg32_58,500,500,2000,5000,yes
DMCHBA,rayleigh_style_sens_neg37_79,runs/known_visit_core_500/raw/dmchba/rayleigh_style_sens_neg37_79,500,500,2000,5000,yes
DMCHBA,rayleigh_style_sens_neg42_16,runs/known_visit_core_500/raw/dmchba/rayleigh_style_sens_neg42_16,500,500,2000,5000,yes
DMCHBA,rayleigh_style_sens_neg46_04,runs/known_visit_core_500/raw/dmchba/rayleigh_style_sens_neg46_04,500,500,2000,5000,yes
DMCHBA,rayleigh_style_sens_neg49_17,runs/known_visit_core_500/raw/dmchba/rayleigh_style_sens_neg49_17,500,500,2000,5000,yes
DMCHBA,rayleigh_style_sens_neg52_15,runs/known_visit_core_500/raw/dmchba/rayleigh_style_sens_neg52_15,500,500,2000,5000,yes
DMCHBA,rayleigh_style_sens_neg56_04,runs/known_visit_core_500/raw/dmchba/rayleigh_style_sens_neg56_04,500,500,2000,5000,yes
DMCHBA,rayleigh_style_sens_neg59_4,runs/known_visit_core_500/raw/dmchba/rayleigh_style_sens_neg59_4,500,500,2000,5000,yes
HIPC,bernoulli_drop_0_05,runs/known_visit_core_500/raw/hipc/bernoulli_drop_0_05,500,500,2000,5000,no
HIPC,bernoulli_drop_0_1,runs/known_visit_core_500/raw/hipc/bernoulli_drop_0_1,500,500,2000,5000,no
HIPC,bernoulli_drop_0_2,runs/known_visit_core_500/raw/hipc/bernoulli_drop_0_2,500,500,2000,5000,no
HIPC,bernoulli_drop_0_3,runs/known_visit_core_500/raw/hipc/bernoulli_drop_0_3,500,500,2000,5000,no
HIPC,bernoulli_drop_0_4,runs/known_visit_core_500/raw/hipc/bernoulli_drop_0_4,500,500,2000,5000,no
HIPC,bernoulli_drop_0_5,runs/known_visit_core_500/raw/hipc/bernoulli_drop_0_5,500,500,2000,5000,no
HIPC,bernoulli_drop_0_6,runs/known_visit_core_500/raw/hipc/bernoulli_drop_0_6,500,500,2000,5000,no
HIPC,bernoulli_drop_0_7,runs/known_visit_core_500/raw/hipc/bernoulli_drop_0_7,500,500,2000,5000,no
HIPC,gilbert_elliot_pGG_0_3_pBB_0_7,runs/known_visit_core_500/raw/hipc/gilbert_elliot_pGG_0_3_pBB_0_7,500,500,2000,5000,no
HIPC,gilbert_elliot_pGG_0_4_pBB_0_6,runs/known_visit_core_500/raw/hipc/gilbert_elliot_pGG_0_4_pBB_0_6,500,500,2000,5000,no
HIPC,gilbert_elliot_pGG_0_5_pBB_0_5,runs/known_visit_core_500/raw/hipc/gilbert_elliot_pGG_0_5_pBB_0_5,500,500,2000,5000,no
HIPC,gilbert_elliot_pGG_0_6_pBB_0_4,runs/known_visit_core_500/raw/hipc/gilbert_elliot_pGG_0_6_pBB_0_4,500,500,2000,5000,no
HIPC,gilbert_elliot_pGG_0_7_pBB_0_3,runs/known_visit_core_500/raw/hipc/gilbert_elliot_pGG_0_7_pBB_0_3,500,500,2000,5000,no
HIPC,gilbert_elliot_pGG_0_8_pBB_0_2,runs/known_visit_core_500/raw/hipc/gilbert_elliot_pGG_0_8_pBB_0_2,500,500,2000,5000,no
HIPC,gilbert_elliot_pGG_0_95_pBB_0_05,runs/known_visit_core_500/raw/hipc/gilbert_elliot_pGG_0_95_pBB_0_05,500,500,2000,5000,no
HIPC,gilbert_elliot_pGG_0_9_pBB_0_1,runs/known_visit_core_500/raw/hipc/gilbert_elliot_pGG_0_9_pBB_0_1,500,500,2000,5000,no
HIPC,ideal_1_0,runs/known_visit_core_500/raw/hipc/ideal_1_0,500,500,2000,5000,no
