algorithm,folder,model,label,level,run_id,out_dir
CBAA,gilbert_elliot_pGG_0_8_pBB_0_2,gilbert_elliot,pGG_0.8_pBB_0.2,0.8,cbaa_gilbert_elliot_pGG_0_8_pBB_0_2,runs/known_visit_core_500/raw/cbaa/gilbert_elliot_pGG_0_8_pBB_0_2
CBAA,gilbert_elliot_pGG_0_9_pBB_0_1,gilbert_elliot,pGG_0.9_pBB_0.1,0.9,cbaa_gilbert_elliot_pGG_0_9_pBB_0_1,runs/known_visit_core_500/raw/cbaa/gilbert_elliot_pGG_0_9_pBB_0_1
CBAA,gilbert_elliot_pGG_0_95_pBB_0_05,gilbert_elliot,pGG_0.95_pBB_0.05,0.95,cbaa_gilbert_elliot_pGG_0_95_pBB_0_05,runs/known_visit_core_500/raw/cbaa/gilbert_elliot_pGG_0_95_pBB_0_05
CBAA,rayleigh_style_sens_neg32_58,rayleigh_style,sens_-32.58,-32.58,cbaa_rayleigh_style_sens_neg32_58,runs/known_visit_core_500/raw/cbaa/rayleigh_style_sens_neg32_58
CBAA,rayleigh_style_sens_neg37_79,rayleigh_style,sens_-37.79,-37.79,cbaa_rayleigh_style_sens_neg37_79,runs/known_visit_core_500/raw/cbaa/rayleigh_style_sens_neg37_79
CBAA,rayleigh_style_sens_neg42_16,rayleigh_style,sens_-42.16,-42.16,cbaa_rayleigh_style_sens_neg42_16,runs/known_visit_core_500/raw/cbaa/rayleigh_style_sens_neg42_16
CBAA,rayleigh_style_sens_neg46_04,rayleigh_style,sens_-46.04,-46.04,cbaa_rayleigh_style_sens_neg46_04,runs/known_visit_core_500/raw/cbaa/rayleigh_style_sens_neg46_04
CBAA,rayleigh_style_sens_neg49_17,rayleigh_style,sens_-49.17,-49.17,cbaa_rayleigh_style_sens_neg49_17,runs/known_visit_core_500/raw/cbaa/rayleigh_style_sens_neg49_17
CBAA,rayleigh_style_sens_neg52_15,rayleigh_style,sens_-52.15,-52.15,cbaa_rayleigh_style_sens_neg52_15,runs/known_visit_core_500/raw/cbaa/rayleigh_style_sens_neg52_15
CBAA,rayleigh_style_sens_neg56_04,rayleigh_style,sens_-56.04,-56.04,cbaa_rayleigh_style_sens_neg56_04,runs/known_visit_core_500/raw/cbaa/rayleigh_style_sens_neg56_04
CBAA,rayleigh_style_sens_neg59_4,rayleigh_style,sens_-59.4,-59.4,cbaa_rayleigh_style_sens_neg59_4,runs/known_visit_core_500/raw/cbaa/rayleigh_style_sens_neg59_4
ACBBA,ideal_1_0,ideal,1.0,,acbba_ideal_1_0,runs/known_visit_core_500/raw/acbba/ideal_1_0
ACBBA,bernoulli_drop_0_05,bernoulli,drop_0.05,0.05,acbba_bernoulli_drop_0_05,runs/known_visit_core_500/raw/acbba/bernoulli_drop_0_05
ACBBA,bernoulli_drop_0_1,bernoulli,drop_0.1,0.1,acbba_bernoulli_drop_0_1,runs/known_visit_core_500/raw/acbba/bernoulli_drop_0_1
ACBBA,bernoulli_drop_0_2,bernoulli,drop_0.2,0.2,acbba_bernoulli_drop_0_2,runs/known_visit_core_500/raw/acbba/bernoulli_drop_0_2
ACBBA,bernoulli_drop_0_3,bernoulli,drop_0.3,0.3,acbba_bernoulli_drop_0_3,runs/known_visit_core_500/raw/acbba/bernoulli_drop_0_3
ACBBA,bernoulli_drop_0_4,bernoulli,drop_0.4,0.4,acbba_bernoulli_drop_0_4,runs/known_visit_core_500/raw/acbba/bernoulli_drop_0_4
ACBBA,bernoulli_drop_0_5,bernoulli,drop_0.5,0.5,acbba_bernoulli_drop_0_5,runs/known_visit_core_500/raw/acbba/bernoulli_drop_0_5
ACBBA,bernoulli_drop_0_6,bernoulli,drop_0.6,0.6,acbba_bernoulli_drop_0_6,runs/known_visit_core_500/raw/acbba/bernoulli_drop_0_6
ACBBA,bernoulli_drop_0_7,bernoulli,drop_0.7,0.7,acbba_bernoulli_drop_0_7,runs/known_visit_core_500/raw/acbba/bernoulli_drop_0_7
ACBBA,gilbert_elliot_pGG_0_3_pBB_0_7,gilbert_elliot,pGG_0.3_pBB_0.7,0.3,acbba_gilbert_elliot_pGG_0_3_pBB_0_7,runs/known_visit_core_500/raw/acbba/gilbert_elliot_pGG_0_3_pBB_0_7
ACBBA,gilbert_elliot_pGG_0_4_pBB_0_6,gilbert_elliot,pGG_0.4_pBB_0.6,0.4,acbba_gilbert_elliot_pGG_0_4_pBB_0_6,runs/known_visit_core_500/raw/acbba/gilbert_elliot_pGG_0_4_pBB_0_6
ACBBA,gilbert_elliot_pGG_0_5_pBB_0_5,gilbert_elliot,pGG_0.5_pBB_0.5,0.5,acbba_gilbert_elliot_pGG_0_5_pBB_0_5,runs/known_visit_core_500/raw/acbba/gilbert_elliot_pGG_0_5_pBB_0_5
ACBBA,gilbert_elliot_pGG_0_6_pBB_0_4,gilbert_elliot,pGG_0.6_pBB_0.4,0.6,acbba_gilbert_elliot_pGG_0_6_pBB_0_4,runs/known_visit_core_500/raw/acbba/gilbert_elliot_pGG_0_6_pBB_0_4
ACBBA,gilbert_elliot_pGG_0_7_pBB_0_3,gilbert_elliot,pGG_0.7_pBB_0.3,0.7,acbba_gilbert_elliot_pGG_0_7_pBB_0_3,runs/known_visit_core_500/raw/acbba/gilbert_elliot_pGG_0_7_pBB_0_3
ACBBA,gilbert_elliot_pGG_0_8_pBB_0_2,gilbert_elliot,pGG_0.8_pBB_0.2,0.8,acbba_gilbert_elliot_pGG_0_8_pBB_0_2,runs/known_visit_core_500/raw/acbba/gilbert_elliot_pGG_0_8_pBB_0_2
ACBBA,gilbert_elliot_pGG_0_9_pBB_0_1,gilbert_elliot,pGG_0.9_pBB_0.1,0.9,acbba_gilbert_elliot_pGG_0_9_pBB_0_1,runs/known_visit_core_500/raw/acbba/gilbert_elliot_pGG_0_9_pBB_0_1
ACBBA,gilbert_elliot_pGG_0_95_pBB_0_05,gilbert_elliot,pGG_0.95_pBB_0.05,0.95,acbba_gilbert_elliot_pGG_0_95_pBB_0_05,runs/known_visit_core_500/raw/acbba/gilbert_elliot_pGG_0_95_pBB_0_05
ACBBA,rayleigh_style_sens_neg32_58,rayleigh_style,sens_-32.58,-32.58,acbba_rayleigh_style_sens_neg32_58,runs/known_visit_core_500/raw/acbba/rayleigh_style_sens_neg32_58
ACBBA,rayleigh_style_sens_neg37_79,rayleigh_style,sens_-37.79,-37.79,acbba_rayleigh_style_sens_neg37_79,runs/known_visit_core_500/raw/acbba/rayleigh_style_sens_neg37_79
ACBBA,rayleigh_style_sens_neg42_16,rayleigh_style,sens_-42.16,-42.16,acbba_rayleigh_style_sens_neg42_16,runs/known_visit_core_500/raw/acbba/rayleigh_style_sens_neg42_16
ACBBA,rayleigh_style_sens_neg46_04,rayleigh_style,sens_-46.04,-46.04,acbba_rayleigh_style_sens_neg46_04,runs/known_visit_core_500/raw/acbba/rayleigh_style_sens_neg46_04
ACBBA,rayleigh_style_sens_neg49_17,rayleigh_style,sens_-49.17,-49.17,acbba_rayleigh_style_sens_neg49_17,runs/known_visit_core_500/raw/acbba/rayleigh_style_sens_neg49_17
