run_id,comm_model_folder,system_rows,trial_rows,robot_rows,complete_marker,out_dir
ag_rayleigh_m37_79,rayleigh_style,100,100,400,True,runs/coverage_100_all/raw/rayleigh_style/ag_rayleigh_m37_79
ag_rayleigh_m42_16,rayleigh_style,100,100,400,True,runs/coverage_100_all/raw/rayleigh_style/ag_rayleigh_m42_16
ag_rayleigh_m46_04,rayleigh_style,100,100,400,True,runs/coverage_100_all/raw/rayleigh_style/ag_rayleigh_m46_04
ag_rayleigh_m49_17,rayleigh_style,100,100,400,True,runs/coverage_100_all/raw/rayleigh_style/ag_rayleigh_m49_17
ag_rayleigh_m52_15,rayleigh_style,100,100,400,True,runs/coverage_100_all/raw/rayleigh_style/ag_rayleigh_m52_15
ag_rayleigh_m56_04,rayleigh_style,100,100,400,True,runs/coverage_100_all/raw/rayleigh_style/ag_rayleigh_m56_04
ag_rayleigh_m59_40,rayleigh_style,100,100,400,True,runs/coverage_100_all/raw/rayleigh_style/ag_rayleigh_m59_40
cbaa_rayleigh_m32_58,rayleigh_style,100,100,400,True,runs/coverage_100_all/raw/rayleigh_style/cbaa_rayleigh_m32_58
cbaa_rayleigh_m37_79,rayleigh_style,100,100,400,True,runs/coverage_100_all/raw/rayleigh_style/cbaa_rayleigh_m37_79
cbaa_rayleigh_m42_16,rayleigh_style,100,100,400,True,runs/coverage_100_all/raw/rayleigh_style/cbaa_rayleigh_m42_16
cbaa_rayleigh_m46_04,rayleigh_style,100,100,400,True,runs/coverage_100_all/raw/rayleigh_style/cbaa_rayleigh_m46_04
cbaa_rayleigh_m49_17,rayleigh_style,100,100,400,True,runs/coverage_100_all/raw/rayleigh_style/cbaa_rayleigh_m49_17
cbaa_rayleigh_m52_15,rayleigh_style,100,100,400,True,runs/coverage_100_all/raw/rayleigh_style/cbaa_rayleigh_m52_15
cbaa_rayleigh_m56_04,rayleigh_style,100,100,400,True,runs/coverage_100_all/raw/rayleigh_style/cbaa_rayleigh_m56_04
cbaa_rayleigh_m59_40,rayleigh_style,100,100,400,True,runs/coverage_100_all/raw/rayleigh_style/cbaa_rayleigh_m59_40
dmchba_rayleigh_m32_58,rayleigh_style,100,100,400,True,runs/coverage_100_all/raw/rayleigh_style/dmchba_rayleigh_m32_58
dmchba_rayleigh_m37_79,rayleigh_style,100,100,400,True,runs/coverage_100_all/raw/rayleigh_style/dmchba_rayleigh_m37_79
dmchba_rayleigh_m42_16,rayleigh_style,100,100,400,True,runs/coverage_100_all/raw/rayleigh_style/dmchba_rayleigh_m42_16
dmchba_rayleigh_m46_04,rayleigh_style,100,100,400,True,runs/coverage_100_all/raw/rayleigh_style/dmchba_rayleigh_m46_04
dmchba_rayleigh_m49_17,rayleigh_style,100,100,400,True,runs/coverage_100_all/raw/rayleigh_style/dmchba_rayleigh_m49_17
dmchba_rayleigh_m52_15,rayleigh_style,100,100,400,True,runs/coverage_100_all/raw/rayleigh_style/dmchba_rayleigh_m52_15
dmchba_rayleigh_m56_04,rayleigh_style,100,100,400,True,runs/coverage_100_all/raw/rayleigh_style/dmchba_rayleigh_m56_04
dmchba_rayleigh_m59_40,rayleigh_style,100,100,400,True,runs/coverage_100_all/raw/rayleigh_style/dmchba_rayleigh_m59_40
hipc_rayleigh_m32_58,rayleigh_style,100,100,400,True,runs/coverage_100_all/raw/rayleigh_style/hipc_rayleigh_m32_58
hipc_rayleigh_m37_79,rayleigh_style,100,100,400,True,runs/coverage_100_all/raw/rayleigh_style/hipc_rayleigh_m37_79
hipc_rayleigh_m42_16,rayleigh_style,100,100,400,True,runs/coverage_100_all/raw/rayleigh_style/hipc_rayleigh_m42_16
hipc_rayleigh_m46_04,rayleigh_style,100,100,400,True,runs/coverage_100_all/raw/rayleigh_style/hipc_rayleigh_m46_04
hipc_rayleigh_m49_17,rayleigh_style,100,100,400,True,runs/coverage_100_all/raw/rayleigh_style/hipc_rayleigh_m49_17
hipc_rayleigh_m52_15,rayleigh_style,100,100,400,True,runs/coverage_100_all/raw/rayleigh_style/hipc_rayleigh_m52_15
hipc_rayleigh_m56_04,rayleigh_style,100,100,400,True,runs/coverage_100_all/raw/rayleigh_style/hipc_rayleigh_m56_04
hipc_rayleigh_m59_40,rayleigh_style,100,100,400,True,runs/coverage_100_all/raw/rayleigh_style/hipc_rayleigh_m59_40
pi_rayleigh_m32_58,rayleigh_style,100,100,400,True,runs/coverage_100_all/raw/rayleigh_style/pi_rayleigh_m32_58
pi_rayleigh_m37_79,rayleigh_style,100,100,400,True,runs/coverage_100_all/raw/rayleigh_style/pi_rayleigh_m37_79
pi_rayleigh_m42_16,rayleigh_style,100,100,400,True,runs/coverage_100_all/raw/rayleigh_style/pi_rayleigh_m42_16
pi_rayleigh_m46_04,rayleigh_style,100,100,400,True,runs/coverage_100_all/raw/rayleigh_style/pi_rayleigh_m46_04
pi_rayleigh_m49_17,rayleigh_style,100,100,400,True,runs/coverage_100_all/raw/rayleigh_style/pi_rayleigh_m49_17
pi_rayleigh_m52_15,rayleigh_style,100,100,400,True,runs/coverage_100_all/raw/rayleigh_style/pi_rayleigh_m52_15
pi_rayleigh_m56_04,rayleigh_style,100,100,400,True,runs/coverage_100_all/raw/rayleigh_style/pi_rayleigh_m56_04
pi_rayleigh_m59_40,rayleigh_style,100,100,400,True,runs/coverage_100_all/raw/rayleigh_style/pi_rayleigh_m59_40
