trial_id,logic_revision,study_profile,scenario_file_sha256,scenario_selection_sha256,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,target_x,target_y,clue_locations,first_clue_robot,first_clue_x,first_clue_y,robot_start_locations,robot_end_locations,clues_detected_by_robot,target_found_by_robot,trial_status
11,dcta_parity_v1,custom,0690372b5c8441436ded53746c6b370f1aa18ebb7a7f2c9268e393591b984742,7dc2228f3c50b39b18dcc2d6aa0e782f452a5e52aac7edce7bf586c910277b48,PI,bernoulli,drop_0.25,25,625,3,220.0,208.333333,pi_g25_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid25_trials50.csv,clue_search,18,10,"(15,19);(15,10);(18,9);(12,7)",02,15,19,"00:(0,0);01:(0,12);02:(0,24)","00:(18,10);01:(18,12);02:(10,22)",00:1;01:1;02:1,00,completed
12,dcta_parity_v1,custom,0690372b5c8441436ded53746c6b370f1aa18ebb7a7f2c9268e393591b984742,7dc2228f3c50b39b18dcc2d6aa0e782f452a5e52aac7edce7bf586c910277b48,PI,bernoulli,drop_0.25,25,625,3,220.0,208.333333,pi_g25_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid25_trials50.csv,clue_search,14,19,"(15,17);(6,20);(15,5);(7,18)",02,15,17,"00:(0,0);01:(0,12);02:(0,24)","00:(15,5);01:(16,19);02:(14,19)",00:1;01:0;02:1,02,completed
13,dcta_parity_v1,custom,0690372b5c8441436ded53746c6b370f1aa18ebb7a7f2c9268e393591b984742,7dc2228f3c50b39b18dcc2d6aa0e782f452a5e52aac7edce7bf586c910277b48,PI,bernoulli,drop_0.25,25,625,3,220.0,208.333333,pi_g25_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid25_trials50.csv,clue_search,4,15,"(10,6);(3,12);(6,22);(7,17)",02,7,17,"00:(0,0);01:(0,12);02:(0,24)","00:(7,15);01:(4,15);02:(5,20)",00:0;01:1;02:1,01,completed
14,dcta_parity_v1,custom,0690372b5c8441436ded53746c6b370f1aa18ebb7a7f2c9268e393591b984742,7dc2228f3c50b39b18dcc2d6aa0e782f452a5e52aac7edce7bf586c910277b48,PI,bernoulli,drop_0.25,25,625,3,220.0,208.333333,pi_g25_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid25_trials50.csv,clue_search,1,10,"(4,8);(2,12);(6,8);(20,8)",,,,"00:(0,0);01:(0,12);02:(0,24)","00:(5,6);01:(1,10);02:(3,23)",00:0;01:0;02:0,01,completed
15,dcta_parity_v1,custom,0690372b5c8441436ded53746c6b370f1aa18ebb7a7f2c9268e393591b984742,7dc2228f3c50b39b18dcc2d6aa0e782f452a5e52aac7edce7bf586c910277b48,PI,bernoulli,drop_0.25,25,625,3,220.0,208.333333,pi_g25_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid25_trials50.csv,clue_search,23,1,"(7,8);(18,17);(10,7);(18,11)",02,18,17,"00:(0,0);01:(0,12);02:(0,24)","00:(23,1);01:(23,14);02:(18,17)",00:0;01:0;02:1,00,completed
16,dcta_parity_v1,custom,0690372b5c8441436ded53746c6b370f1aa18ebb7a7f2c9268e393591b984742,7dc2228f3c50b39b18dcc2d6aa0e782f452a5e52aac7edce7bf586c910277b48,PI,bernoulli,drop_0.25,25,625,3,220.0,208.333333,pi_g25_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid25_trials50.csv,clue_search,9,3,"(9,2);(4,7);(7,5);(14,3)",00,9,2,"00:(0,0);01:(0,12);02:(0,24)","00:(9,3);01:(9,16);02:(7,19)",00:1;01:0;02:0,00,completed
17,dcta_parity_v1,custom,0690372b5c8441436ded53746c6b370f1aa18ebb7a7f2c9268e393591b984742,7dc2228f3c50b39b18dcc2d6aa0e782f452a5e52aac7edce7bf586c910277b48,PI,bernoulli,drop_0.25,25,625,3,220.0,208.333333,pi_g25_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid25_trials50.csv,clue_search,1,19,"(15,11);(21,18);(8,16);(8,19)",02,21,18,"00:(0,0);01:(0,12);02:(0,24)","00:(5,13);01:(6,12);02:(1,19)",00:1;01:3;02:3,02,completed
18,dcta_parity_v1,custom,0690372b5c8441436ded53746c6b370f1aa18ebb7a7f2c9268e393591b984742,7dc2228f3c50b39b18dcc2d6aa0e782f452a5e52aac7edce7bf586c910277b48,PI,bernoulli,drop_0.25,25,625,3,220.0,208.333333,pi_g25_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid25_trials50.csv,clue_search,24,21,"(20,14);(16,11);(24,20);(24,24)",01,20,14,"00:(0,0);01:(0,12);02:(0,24)","00:(13,13);01:(14,11);02:(24,21)",00:2;01:1;02:0,02,completed
19,dcta_parity_v1,custom,0690372b5c8441436ded53746c6b370f1aa18ebb7a7f2c9268e393591b984742,7dc2228f3c50b39b18dcc2d6aa0e782f452a5e52aac7edce7bf586c910277b48,PI,bernoulli,drop_0.25,25,625,3,220.0,208.333333,pi_g25_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid25_trials50.csv,clue_search,16,4,"(16,6);(5,6);(4,3);(17,9)",00,4,3,"00:(0,0);01:(0,12);02:(0,24)","00:(16,4);01:(5,2);02:(13,8)",00:2;01:1;02:0,00,completed
20,dcta_parity_v1,custom,0690372b5c8441436ded53746c6b370f1aa18ebb7a7f2c9268e393591b984742,7dc2228f3c50b39b18dcc2d6aa0e782f452a5e52aac7edce7bf586c910277b48,PI,bernoulli,drop_0.25,25,625,3,220.0,208.333333,pi_g25_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid25_trials50.csv,clue_search,7,23,"(7,24);(10,19);(11,23);(9,1)",00,9,1,"00:(0,0);01:(0,12);02:(0,24)","00:(5,4);01:(5,19);02:(7,23)",00:1;01:0;02:1,02,completed
