trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,target_locations,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,targets_found_by_robot,robot_start_locations,robot_end_locations,events_processed,stall_recoveries_total,trial_status
0,known_visit,ACBBA,ideal,1.0,19,361,5,10,acbba_g19_d85_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(2,13);(13,1);(5,17);(8,3);(1,6);(12,13);(15,15);(10,3);(14,4);(17,0)",10,True,39.738274584661355,39.738274584661355,00:1;01:3;02:2;03:3;04:1,"(0,0);(0,4);(0,9);(0,14);(0,18)","(8,3);(17,0);(14,4);(15,15);(8,15)",299,0,completed
1,known_visit,ACBBA,ideal,1.0,19,361,5,10,acbba_g19_d85_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(11,9);(17,15);(15,3);(11,10);(11,14);(7,15);(0,17);(7,1);(5,0);(14,3)",10,True,29.989207130385463,29.989207130385463,00:4;01:0;02:2;03:2;04:2,"(0,0);(0,4);(0,9);(0,14);(0,18)","(15,3);(12,4);(11,9);(17,15);(11,14)",209,0,completed
2,known_visit,ACBBA,ideal,1.0,19,361,5,10,acbba_g19_d85_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(12,16);(18,6);(17,7);(6,13);(2,15);(12,0);(15,2);(4,14);(9,11);(5,3)",10,True,42.442258250914286,42.442258250914286,00:2;01:1;02:3;03:2;04:2,"(0,0);(0,4);(0,9);(0,14);(0,18)","(15,2);(14,2);(18,6);(10,12);(12,16)",315,0,completed
3,known_visit,ACBBA,ideal,1.0,19,361,5,10,acbba_g19_d85_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(1,13);(13,13);(12,3);(17,18);(16,3);(14,6);(7,15);(10,1);(13,15);(10,10)",10,True,39.101376441022055,39.101376441022055,00:2;01:2;02:2;03:2;04:2,"(0,0);(0,4);(0,9);(0,14);(0,18)","(14,6);(17,3);(13,13);(17,17);(17,18)",263,0,completed
4,known_visit,ACBBA,ideal,1.0,19,361,5,10,acbba_g19_d85_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(8,9);(4,2);(12,9);(14,3);(2,12);(12,1);(5,17);(6,1);(2,15);(8,16)",10,True,33.1001621894896,33.1001621894896,00:3;01:1;02:3;03:2;04:1,"(0,0);(0,4);(0,9);(0,14);(0,18)","(14,3);(9,2);(12,9);(8,16);(6,16)",251,0,completed
5,known_visit,ACBBA,ideal,1.0,19,361,5,10,acbba_g19_d85_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(11,3);(11,15);(17,18);(6,10);(11,6);(14,0);(14,2);(2,17);(3,13);(10,13)",10,True,44.28031072048586,44.28031072048586,00:2;01:1;02:2;03:2;04:3,"(0,0);(0,4);(0,9);(0,14);(0,18)","(14,2);(12,3);(10,13);(11,6);(17,18)",334,0,completed
6,known_visit,ACBBA,ideal,1.0,19,361,5,10,acbba_g19_d85_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(2,3);(9,7);(10,17);(18,9);(11,7);(17,18);(12,8);(4,16);(16,1);(13,15)",10,True,36.66083267812224,36.66083267812224,00:1;01:3;02:2;03:2;04:2,"(0,0);(0,4);(0,9);(0,14);(0,18)","(16,1);(11,7);(18,9);(13,15);(17,18)",255,0,completed
7,known_visit,ACBBA,ideal,1.0,19,361,5,10,acbba_g19_d85_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(4,0);(9,6);(12,13);(13,18);(0,1);(2,12);(14,3);(4,2);(9,13);(8,16)",10,True,31.831785780177768,31.831785780177768,00:3;01:2;02:2;03:2;04:1,"(0,0);(0,4);(0,9);(0,14);(0,18)","(4,0);(14,3);(12,13);(8,16);(13,18)",229,0,completed
8,known_visit,ACBBA,ideal,1.0,19,361,5,10,acbba_g19_d85_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(6,14);(17,0);(15,18);(5,4);(6,9);(8,0);(5,7);(2,4);(10,8);(7,0)",10,True,27.28295238560245,27.28295238560245,00:3;01:3;02:2;03:1;04:1,"(0,0);(0,4);(0,9);(0,14);(0,18)","(17,0);(5,7);(10,8);(7,14);(15,18)",197,0,completed
9,known_visit,ACBBA,ideal,1.0,19,361,5,10,acbba_g19_d85_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(15,15);(12,3);(3,11);(13,3);(17,3);(3,0);(11,15);(7,4);(12,0);(15,11)",10,True,35.35753509039112,35.35753509039112,00:2;01:4;02:1;03:3;04:0,"(0,0);(0,4);(0,9);(0,14);(0,18)","(13,2);(17,3);(5,11);(15,11);(12,16)",262,0,completed
