trial_id,logic_revision,study_profile,scenario_file_sha256,scenario_selection_sha256,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,total_team_steps,steps_before_first_clue,post_clue_steps_to_find,unique_cells_searched,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,post_clue_messages_sent_total,post_clue_allocation_messages_sent_total,message_drop_fraction,messages_per_unique_cell,messages_per_post_clue_step,allocation_messages_per_step,allocation_messages_per_post_clue_step,allocation_messages_per_unique_cell,messages_sent_by_topic,max_steps_any_robot,max_messages_any_robot,workload_gini_unique_cells_contributed,trial_status
10,dcta_parity_v1,custom,95fe4e46f3c15da64ab8656605a5093c082d79e6c7f43859e3752dc255ac3760,2e16b45d85197d093ced9da2c3d2ff8f1d35a252c10278fc936bff1dcc2782e6,PI,ideal,1.0,14,196,3,85.0,65.333333,pi_g14_d85_ideal,reruns\grid_density\scenarios\clips\scaling_grid14_trials50.csv,clue_search,17,17,0,20,0,0,0,0,35,68,0,18,17,35,0,0,0,0.0,1.75,0.0,0.0,0.0,0.0,collision_intent:17;state:17;target:1,6,13,0.03333333333333344,completed
11,dcta_parity_v1,custom,95fe4e46f3c15da64ab8656605a5093c082d79e6c7f43859e3752dc255ac3760,2e16b45d85197d093ced9da2c3d2ff8f1d35a252c10278fc936bff1dcc2782e6,PI,ideal,1.0,14,196,3,85.0,65.333333,pi_g14_d85_ideal,reruns\grid_density\scenarios\clips\scaling_grid14_trials50.csv,clue_search,52,34,18,55,0,0,0,0,132,262,0,53,79,108,24,64,24,0.0,2.4,3.5555555555555554,0.46153846153846156,1.3333333333333333,0.43636363636363634,clue:3;collision_intent:52;pi_entry:24;state:52;target:1,18,46,0.0121212121212122,completed
12,dcta_parity_v1,custom,95fe4e46f3c15da64ab8656605a5093c082d79e6c7f43859e3752dc255ac3760,2e16b45d85197d093ced9da2c3d2ff8f1d35a252c10278fc936bff1dcc2782e6,PI,ideal,1.0,14,196,3,85.0,65.333333,pi_g14_d85_ideal,reruns\grid_density\scenarios\clips\scaling_grid14_trials50.csv,clue_search,168,59,109,146,25,0,1,1,448,893,0,171,277,342,106,330,106,0.0,3.0684931506849313,3.0275229357798166,0.6309523809523809,0.9724770642201835,0.726027397260274,clue:3;collision_intent:170;pi_clear_path:1;pi_entry:105;state:168;target:1,57,155,0.027397260273972712,completed
13,dcta_parity_v1,custom,95fe4e46f3c15da64ab8656605a5093c082d79e6c7f43859e3752dc255ac3760,2e16b45d85197d093ced9da2c3d2ff8f1d35a252c10278fc936bff1dcc2782e6,PI,ideal,1.0,14,196,3,85.0,65.333333,pi_g14_d85_ideal,reruns\grid_density\scenarios\clips\scaling_grid14_trials50.csv,clue_search,118,99,19,121,0,0,0,0,273,545,0,120,153,244,29,75,29,0.0,2.256198347107438,3.9473684210526314,0.2457627118644068,1.5263157894736843,0.2396694214876033,clue:6;collision_intent:119;pi_entry:29;state:118;target:1,40,94,0.005509641873278293,completed
14,dcta_parity_v1,custom,95fe4e46f3c15da64ab8656605a5093c082d79e6c7f43859e3752dc255ac3760,2e16b45d85197d093ced9da2c3d2ff8f1d35a252c10278fc936bff1dcc2782e6,PI,ideal,1.0,14,196,3,85.0,65.333333,pi_g14_d85_ideal,reruns\grid_density\scenarios\clips\scaling_grid14_trials50.csv,clue_search,122,80,42,117,8,0,0,0,304,606,0,123,181,251,53,144,53,0.0,2.5982905982905984,3.4285714285714284,0.4344262295081967,1.2619047619047619,0.452991452991453,clue:6;collision_intent:122;pi_clear_path:1;pi_entry:52;state:122;target:1,42,104,0.028490028490028463,completed
15,dcta_parity_v1,custom,95fe4e46f3c15da64ab8656605a5093c082d79e6c7f43859e3752dc255ac3760,2e16b45d85197d093ced9da2c3d2ff8f1d35a252c10278fc936bff1dcc2782e6,PI,ideal,1.0,14,196,3,85.0,65.333333,pi_g14_d85_ideal,reruns\grid_density\scenarios\clips\scaling_grid14_trials50.csv,clue_search,93,65,28,91,5,1,0,0,224,446,0,94,130,193,31,94,31,0.0,2.4615384615384617,3.357142857142857,0.3333333333333333,1.1071428571428572,0.34065934065934067,clue:6;collision_intent:93;pi_entry:31;state:93;target:1,31,77,0.029304029304029422,completed
16,dcta_parity_v1,custom,95fe4e46f3c15da64ab8656605a5093c082d79e6c7f43859e3752dc255ac3760,2e16b45d85197d093ced9da2c3d2ff8f1d35a252c10278fc936bff1dcc2782e6,PI,ideal,1.0,14,196,3,85.0,65.333333,pi_g14_d85_ideal,reruns\grid_density\scenarios\clips\scaling_grid14_trials50.csv,clue_search,106,8,98,106,3,0,0,0,358,714,0,107,251,219,139,342,139,0.0,3.3773584905660377,3.489795918367347,1.3113207547169812,1.4183673469387754,1.3113207547169812,clue:6;collision_intent:106;pi_entry:139;state:106;target:1,37,127,0.02515723270440251,completed
17,dcta_parity_v1,custom,95fe4e46f3c15da64ab8656605a5093c082d79e6c7f43859e3752dc255ac3760,2e16b45d85197d093ced9da2c3d2ff8f1d35a252c10278fc936bff1dcc2782e6,PI,ideal,1.0,14,196,3,85.0,65.333333,pi_g14_d85_ideal,reruns\grid_density\scenarios\clips\scaling_grid14_trials50.csv,clue_search,70,39,31,69,4,0,2,2,180,357,0,73,107,149,31,102,31,0.0,2.608695652173913,3.2903225806451615,0.44285714285714284,1.0,0.4492753623188406,clue:6;collision_intent:72;pi_entry:31;state:70;target:1,24,66,0.019323671497584627,completed
18,dcta_parity_v1,custom,95fe4e46f3c15da64ab8656605a5093c082d79e6c7f43859e3752dc255ac3760,2e16b45d85197d093ced9da2c3d2ff8f1d35a252c10278fc936bff1dcc2782e6,PI,ideal,1.0,14,196,3,85.0,65.333333,pi_g14_d85_ideal,reruns\grid_density\scenarios\clips\scaling_grid14_trials50.csv,clue_search,74,14,60,62,15,0,0,0,215,429,0,76,139,153,62,186,62,0.0,3.467741935483871,3.1,0.8378378378378378,1.0333333333333334,1.0,clue:3;collision_intent:75;pi_entry:62;state:74;target:1,25,75,0.04301075268817223,completed
19,dcta_parity_v1,custom,95fe4e46f3c15da64ab8656605a5093c082d79e6c7f43859e3752dc255ac3760,2e16b45d85197d093ced9da2c3d2ff8f1d35a252c10278fc936bff1dcc2782e6,PI,ideal,1.0,14,196,3,85.0,65.333333,pi_g14_d85_ideal,reruns\grid_density\scenarios\clips\scaling_grid14_trials50.csv,clue_search,84,57,27,83,4,1,0,0,205,407,0,85,120,175,30,91,30,0.0,2.4698795180722892,3.3703703703703702,0.35714285714285715,1.1111111111111112,0.3614457831325301,clue:6;collision_intent:84;pi_entry:30;state:84;target:1,29,74,0.008032128514056325,completed
