stage,environment,algorithm_key,algorithm,commitment_horizon,dga_iterations,comm_label,comm_model,comm_level,grid_size,target_cells_per_robot,robot_count,scenario_file,out_dir,run_id,expected_trials,command
grid_known,known,hipc,HIPC,8,,ideal,ideal,1.0,14,50,4,scenarios/grid_known/g14_d50_t10_ideal_hipc/task_0838_g14_d50_t10_ideal_hipc_t20_29.csv,runs/known_visit_sensitivity_grid_density_50/raw/grid14/density50/ideal/hipc,g14_d50_t10_ideal_hipc,50,
grid_known,known,pi,PI,5,,ideal,ideal,1.0,14,50,4,scenarios/grid_known/g14_d50_t10_ideal_pi/task_0831_g14_d50_t10_ideal_pi_t00_09.csv,runs/known_visit_sensitivity_grid_density_50/raw/grid14/density50/ideal/pi,g14_d50_t10_ideal_pi,50,
grid_known,known,dga,DGA,3,25,ideal,ideal,1.0,14,50,4,scenarios/grid_known/g14_d50_t10_ideal_dga/task_0850_g14_d50_t10_ideal_dga_t40_49.csv,runs/known_visit_sensitivity_grid_density_50/raw/grid14/density50/ideal/dga,g14_d50_t10_ideal_dga,50,
grid_known,known,cbaa,CBAA,,,bernoulli_025,bernoulli,0.25,14,50,4,scenarios/grid_known/g14_d50_t10_bernoulli_025_cbaa/task_0852_g14_d50_t10_bernoulli_025_cbaa_t25_49.csv,runs/known_visit_sensitivity_grid_density_50/raw/grid14/density50/bernoulli_025/cbaa,g14_d50_t10_bernoulli_025_cbaa,50,
grid_known,known,acbba,ACBBA,3,,bernoulli_025,bernoulli,0.25,14,50,4,scenarios/grid_known/g14_d50_t10_bernoulli_025_acbba/task_0853_g14_d50_t10_bernoulli_025_acbba_t00_09.csv,runs/known_visit_sensitivity_grid_density_50/raw/grid14/density50/bernoulli_025/acbba,g14_d50_t10_bernoulli_025_acbba,50,
grid_known,known,dmchba,DMCHBA,3,,bernoulli_025,bernoulli,0.25,14,50,4,scenarios/grid_known/g14_d50_t10_bernoulli_025_dmchba/task_0872_g14_d50_t10_bernoulli_025_dmchba_t40_49.csv,runs/known_visit_sensitivity_grid_density_50/raw/grid14/density50/bernoulli_025/dmchba,g14_d50_t10_bernoulli_025_dmchba,50,
grid_known,known,hipc,HIPC,8,,bernoulli_025,bernoulli,0.25,14,50,4,scenarios/grid_known/g14_d50_t10_bernoulli_025_hipc/task_0867_g14_d50_t10_bernoulli_025_hipc_t40_49.csv,runs/known_visit_sensitivity_grid_density_50/raw/grid14/density50/bernoulli_025/hipc,g14_d50_t10_bernoulli_025_hipc,50,
grid_known,known,pi,PI,5,,bernoulli_025,bernoulli,0.25,14,50,4,scenarios/grid_known/g14_d50_t10_bernoulli_025_pi/task_0862_g14_d50_t10_bernoulli_025_pi_t40_49.csv,runs/known_visit_sensitivity_grid_density_50/raw/grid14/density50/bernoulli_025/pi,g14_d50_t10_bernoulli_025_pi,50,
grid_known,known,dga,DGA,3,25,bernoulli_025,bernoulli,0.25,14,50,4,scenarios/grid_known/g14_d50_t10_bernoulli_025_dga/task_0877_g14_d50_t10_bernoulli_025_dga_t40_49.csv,runs/known_visit_sensitivity_grid_density_50/raw/grid14/density50/bernoulli_025/dga,g14_d50_t10_bernoulli_025_dga,50,
grid_known,known,cbaa,CBAA,,,ideal,ideal,1.0,19,220,2,scenarios/grid_known/g19_d220_t10_ideal_cbaa/task_0879_g19_d220_t10_ideal_cbaa_t25_49.csv,runs/known_visit_sensitivity_grid_density_50/raw/grid19/density220/ideal/cbaa,g19_d220_t10_ideal_cbaa,50,
grid_known,known,acbba,ACBBA,3,,ideal,ideal,1.0,19,220,2,scenarios/grid_known/g19_d220_t10_ideal_acbba/task_0880_g19_d220_t10_ideal_acbba_t00_09.csv,runs/known_visit_sensitivity_grid_density_50/raw/grid19/density220/ideal/acbba,g19_d220_t10_ideal_acbba,50,
grid_known,known,dmchba,DMCHBA,3,,ideal,ideal,1.0,19,220,2,scenarios/grid_known/g19_d220_t10_ideal_dmchba/task_0899_g19_d220_t10_ideal_dmchba_t40_49.csv,runs/known_visit_sensitivity_grid_density_50/raw/grid19/density220/ideal/dmchba,g19_d220_t10_ideal_dmchba,50,
grid_known,known,hipc,HIPC,8,,ideal,ideal,1.0,19,220,2,scenarios/grid_known/g19_d220_t10_ideal_hipc/task_0890_g19_d220_t10_ideal_hipc_t00_09.csv,runs/known_visit_sensitivity_grid_density_50/raw/grid19/density220/ideal/hipc,g19_d220_t10_ideal_hipc,50,
grid_known,known,pi,PI,5,,ideal,ideal,1.0,19,220,2,scenarios/grid_known/g19_d220_t10_ideal_pi/task_0887_g19_d220_t10_ideal_pi_t20_29.csv,runs/known_visit_sensitivity_grid_density_50/raw/grid19/density220/ideal/pi,g19_d220_t10_ideal_pi,50,
grid_known,known,dga,DGA,3,25,ideal,ideal,1.0,19,220,2,scenarios/grid_known/g19_d220_t10_ideal_dga/task_0902_g19_d220_t10_ideal_dga_t20_29.csv,runs/known_visit_sensitivity_grid_density_50/raw/grid19/density220/ideal/dga,g19_d220_t10_ideal_dga,50,
grid_known,known,cbaa,CBAA,,,bernoulli_025,bernoulli,0.25,19,220,2,scenarios/grid_known/g19_d220_t10_bernoulli_025_cbaa/task_0906_g19_d220_t10_bernoulli_025_cbaa_t25_49.csv,runs/known_visit_sensitivity_grid_density_50/raw/grid19/density220/bernoulli_025/cbaa,g19_d220_t10_bernoulli_025_cbaa,50,
grid_known,known,acbba,ACBBA,3,,bernoulli_025,bernoulli,0.25,19,220,2,scenarios/grid_known/g19_d220_t10_bernoulli_025_acbba/task_0911_g19_d220_t10_bernoulli_025_acbba_t40_49.csv,runs/known_visit_sensitivity_grid_density_50/raw/grid19/density220/bernoulli_025/acbba,g19_d220_t10_bernoulli_025_acbba,50,
grid_known,known,dmchba,DMCHBA,3,,bernoulli_025,bernoulli,0.25,19,220,2,scenarios/grid_known/g19_d220_t10_bernoulli_025_dmchba/task_0923_g19_d220_t10_bernoulli_025_dmchba_t10_19.csv,runs/known_visit_sensitivity_grid_density_50/raw/grid19/density220/bernoulli_025/dmchba,g19_d220_t10_bernoulli_025_dmchba,50,
grid_known,known,hipc,HIPC,8,,bernoulli_025,bernoulli,0.25,19,220,2,scenarios/grid_known/g19_d220_t10_bernoulli_025_hipc/task_0917_g19_d220_t10_bernoulli_025_hipc_t00_09.csv,runs/known_visit_sensitivity_grid_density_50/raw/grid19/density220/bernoulli_025/hipc,g19_d220_t10_bernoulli_025_hipc,50,
grid_known,known,pi,PI,5,,bernoulli_025,bernoulli,0.25,19,220,2,scenarios/grid_known/g19_d220_t10_bernoulli_025_pi/task_0916_g19_d220_t10_bernoulli_025_pi_t40_49.csv,runs/known_visit_sensitivity_grid_density_50/raw/grid19/density220/bernoulli_025/pi,g19_d220_t10_bernoulli_025_pi,50,
grid_known,known,dga,DGA,3,25,bernoulli_025,bernoulli,0.25,19,220,2,scenarios/grid_known/g19_d220_t10_bernoulli_025_dga/task_0931_g19_d220_t10_bernoulli_025_dga_t40_49.csv,runs/known_visit_sensitivity_grid_density_50/raw/grid19/density220/bernoulli_025/dga,g19_d220_t10_bernoulli_025_dga,50,
grid_known,known,cbaa,CBAA,,,ideal,ideal,1.0,19,140,3,scenarios/grid_known/g19_d140_t10_ideal_cbaa/task_0933_g19_d140_t10_ideal_cbaa_t25_49.csv,runs/known_visit_sensitivity_grid_density_50/raw/grid19/density140/ideal/cbaa,g19_d140_t10_ideal_cbaa,50,
grid_known,known,acbba,ACBBA,3,,ideal,ideal,1.0,19,140,3,scenarios/grid_known/g19_d140_t10_ideal_acbba/task_0936_g19_d140_t10_ideal_acbba_t20_29.csv,runs/known_visit_sensitivity_grid_density_50/raw/grid19/density140/ideal/acbba,g19_d140_t10_ideal_acbba,50,
grid_known,known,dmchba,DMCHBA,3,,ideal,ideal,1.0,19,140,3,scenarios/grid_known/g19_d140_t10_ideal_dmchba/task_0949_g19_d140_t10_ideal_dmchba_t00_09.csv,runs/known_visit_sensitivity_grid_density_50/raw/grid19/density140/ideal/dmchba,g19_d140_t10_ideal_dmchba,50,
grid_known,known,hipc,HIPC,8,,ideal,ideal,1.0,19,140,3,scenarios/grid_known/g19_d140_t10_ideal_hipc/task_0948_g19_d140_t10_ideal_hipc_t40_49.csv,runs/known_visit_sensitivity_grid_density_50/raw/grid19/density140/ideal/hipc,g19_d140_t10_ideal_hipc,50,
grid_known,known,pi,PI,5,,ideal,ideal,1.0,19,140,3,scenarios/grid_known/g19_d140_t10_ideal_pi/task_0939_g19_d140_t10_ideal_pi_t00_09.csv,runs/known_visit_sensitivity_grid_density_50/raw/grid19/density140/ideal/pi,g19_d140_t10_ideal_pi,50,
grid_known,known,dga,DGA,3,25,ideal,ideal,1.0,19,140,3,scenarios/grid_known/g19_d140_t10_ideal_dga/task_0954_g19_d140_t10_ideal_dga_t00_09.csv,runs/known_visit_sensitivity_grid_density_50/raw/grid19/density140/ideal/dga,g19_d140_t10_ideal_dga,50,
grid_known,known,cbaa,CBAA,,,bernoulli_025,bernoulli,0.25,19,140,3,scenarios/grid_known/g19_d140_t10_bernoulli_025_cbaa/task_0960_g19_d140_t10_bernoulli_025_cbaa_t25_49.csv,runs/known_visit_sensitivity_grid_density_50/raw/grid19/density140/bernoulli_025/cbaa,g19_d140_t10_bernoulli_025_cbaa,50,
grid_known,known,acbba,ACBBA,3,,bernoulli_025,bernoulli,0.25,19,140,3,scenarios/grid_known/g19_d140_t10_bernoulli_025_acbba/task_0965_g19_d140_t10_bernoulli_025_acbba_t40_49.csv,runs/known_visit_sensitivity_grid_density_50/raw/grid19/density140/bernoulli_025/acbba,g19_d140_t10_bernoulli_025_acbba,50,
grid_known,known,dmchba,DMCHBA,3,,bernoulli_025,bernoulli,0.25,19,140,3,scenarios/grid_known/g19_d140_t10_bernoulli_025_dmchba/task_0980_g19_d140_t10_bernoulli_025_dmchba_t40_49.csv,runs/known_visit_sensitivity_grid_density_50/raw/grid19/density140/bernoulli_025/dmchba,g19_d140_t10_bernoulli_025_dmchba,50,
grid_known,known,hipc,HIPC,8,,bernoulli_025,bernoulli,0.25,19,140,3,scenarios/grid_known/g19_d140_t10_bernoulli_025_hipc/task_0973_g19_d140_t10_bernoulli_025_hipc_t20_29.csv,runs/known_visit_sensitivity_grid_density_50/raw/grid19/density140/bernoulli_025/hipc,g19_d140_t10_bernoulli_025_hipc,50,
grid_known,known,pi,PI,5,,bernoulli_025,bernoulli,0.25,19,140,3,scenarios/grid_known/g19_d140_t10_bernoulli_025_pi/task_0966_g19_d140_t10_bernoulli_025_pi_t00_09.csv,runs/known_visit_sensitivity_grid_density_50/raw/grid19/density140/bernoulli_025/pi,g19_d140_t10_bernoulli_025_pi,50,
grid_known,known,dga,DGA,3,25,bernoulli_025,bernoulli,0.25,19,140,3,scenarios/grid_known/g19_d140_t10_bernoulli_025_dga/task_0985_g19_d140_t10_bernoulli_025_dga_t40_49.csv,runs/known_visit_sensitivity_grid_density_50/raw/grid19/density140/bernoulli_025/dga,g19_d140_t10_bernoulli_025_dga,50,
