status,run_id,comm_model,system_rows,trial_rows,robot_rows,complete_marker,failed_marker,issues,path
OK,acbba_bernoulli_005,bernoulli,500,500,2000,True,False,,runs/final_500_all/raw/bernoulli/acbba_bernoulli_005
OK,acbba_bernoulli_010,bernoulli,500,500,2000,True,False,,runs/final_500_all/raw/bernoulli/acbba_bernoulli_010
OK,acbba_bernoulli_020,bernoulli,500,500,2000,True,False,,runs/final_500_all/raw/bernoulli/acbba_bernoulli_020
OK,acbba_bernoulli_030,bernoulli,500,500,2000,True,False,,runs/final_500_all/raw/bernoulli/acbba_bernoulli_030
OK,acbba_bernoulli_040,bernoulli,500,500,2000,True,False,,runs/final_500_all/raw/bernoulli/acbba_bernoulli_040
OK,acbba_bernoulli_050,bernoulli,500,500,2000,True,False,,runs/final_500_all/raw/bernoulli/acbba_bernoulli_050
OK,acbba_bernoulli_060,bernoulli,500,500,2000,True,False,,runs/final_500_all/raw/bernoulli/acbba_bernoulli_060
OK,acbba_bernoulli_070,bernoulli,500,500,2000,True,False,,runs/final_500_all/raw/bernoulli/acbba_bernoulli_070
OK,acbba_ge_030,gilbert_elliot,500,500,2000,True,False,,runs/final_500_all/raw/gilbert_elliot/acbba_ge_030
OK,acbba_ge_040,gilbert_elliot,500,500,2000,True,False,,runs/final_500_all/raw/gilbert_elliot/acbba_ge_040
OK,acbba_ge_050,gilbert_elliot,500,500,2000,True,False,,runs/final_500_all/raw/gilbert_elliot/acbba_ge_050
OK,acbba_ge_060,gilbert_elliot,500,500,2000,True,False,,runs/final_500_all/raw/gilbert_elliot/acbba_ge_060
OK,acbba_ge_070,gilbert_elliot,500,500,2000,True,False,,runs/final_500_all/raw/gilbert_elliot/acbba_ge_070
OK,acbba_ge_080,gilbert_elliot,500,500,2000,True,False,,runs/final_500_all/raw/gilbert_elliot/acbba_ge_080
OK,acbba_ge_090,gilbert_elliot,500,500,2000,True,False,,runs/final_500_all/raw/gilbert_elliot/acbba_ge_090
OK,acbba_ge_095,gilbert_elliot,500,500,2000,True,False,,runs/final_500_all/raw/gilbert_elliot/acbba_ge_095
OK,acbba_ideal,ideal,500,500,2000,True,False,,runs/final_500_all/raw/ideal/acbba_ideal
OK,acbba_rayleigh_m32_58,rayleigh_style,500,500,2000,True,False,,runs/final_500_all/raw/rayleigh_style/acbba_rayleigh_m32_58
OK,acbba_rayleigh_m37_79,rayleigh_style,500,500,2000,True,False,,runs/final_500_all/raw/rayleigh_style/acbba_rayleigh_m37_79
OK,acbba_rayleigh_m42_16,rayleigh_style,500,500,2000,True,False,,runs/final_500_all/raw/rayleigh_style/acbba_rayleigh_m42_16
OK,acbba_rayleigh_m46_04,rayleigh_style,500,500,2000,True,False,,runs/final_500_all/raw/rayleigh_style/acbba_rayleigh_m46_04
OK,acbba_rayleigh_m49_17,rayleigh_style,500,500,2000,True,False,,runs/final_500_all/raw/rayleigh_style/acbba_rayleigh_m49_17
OK,acbba_rayleigh_m52_15,rayleigh_style,500,500,2000,True,False,,runs/final_500_all/raw/rayleigh_style/acbba_rayleigh_m52_15
OK,acbba_rayleigh_m56_04,rayleigh_style,500,500,2000,True,False,,runs/final_500_all/raw/rayleigh_style/acbba_rayleigh_m56_04
OK,acbba_rayleigh_m59_40,rayleigh_style,500,500,2000,True,False,,runs/final_500_all/raw/rayleigh_style/acbba_rayleigh_m59_40
OK,auctiongreedy_bernoulli_005,bernoulli,500,500,2000,True,False,,runs/final_500_all/raw/bernoulli/auctiongreedy_bernoulli_005
OK,auctiongreedy_bernoulli_010,bernoulli,500,500,2000,True,False,,runs/final_500_all/raw/bernoulli/auctiongreedy_bernoulli_010
OK,auctiongreedy_bernoulli_020,bernoulli,500,500,2000,True,False,,runs/final_500_all/raw/bernoulli/auctiongreedy_bernoulli_020
OK,auctiongreedy_bernoulli_030,bernoulli,500,500,2000,True,False,,runs/final_500_all/raw/bernoulli/auctiongreedy_bernoulli_030
OK,auctiongreedy_bernoulli_040,bernoulli,500,500,2000,True,False,,runs/final_500_all/raw/bernoulli/auctiongreedy_bernoulli_040
OK,auctiongreedy_bernoulli_050,bernoulli,500,500,2000,True,False,,runs/final_500_all/raw/bernoulli/auctiongreedy_bernoulli_050
OK,auctiongreedy_bernoulli_060,bernoulli,500,500,2000,True,False,,runs/final_500_all/raw/bernoulli/auctiongreedy_bernoulli_060
OK,auctiongreedy_bernoulli_070,bernoulli,500,500,2000,True,False,,runs/final_500_all/raw/bernoulli/auctiongreedy_bernoulli_070
OK,auctiongreedy_ge_030,gilbert_elliot,500,500,2000,True,False,,runs/final_500_all/raw/gilbert_elliot/auctiongreedy_ge_030
OK,auctiongreedy_ge_040,gilbert_elliot,500,500,2000,True,False,,runs/final_500_all/raw/gilbert_elliot/auctiongreedy_ge_040
OK,auctiongreedy_ge_050,gilbert_elliot,500,500,2000,True,False,,runs/final_500_all/raw/gilbert_elliot/auctiongreedy_ge_050
