run_id,comm_model_folder,system_rows,trial_rows,robot_rows,complete_marker,out_dir
acbba_bernoulli_005,bernoulli,500,500,2000,True,runs/final_500_all/raw/bernoulli/acbba_bernoulli_005
acbba_bernoulli_010,bernoulli,500,500,2000,True,runs/final_500_all/raw/bernoulli/acbba_bernoulli_010
acbba_bernoulli_020,bernoulli,500,500,2000,True,runs/final_500_all/raw/bernoulli/acbba_bernoulli_020
acbba_bernoulli_030,bernoulli,500,500,2000,True,runs/final_500_all/raw/bernoulli/acbba_bernoulli_030
acbba_bernoulli_040,bernoulli,500,500,2000,True,runs/final_500_all/raw/bernoulli/acbba_bernoulli_040
acbba_bernoulli_050,bernoulli,500,500,2000,True,runs/final_500_all/raw/bernoulli/acbba_bernoulli_050
acbba_bernoulli_060,bernoulli,500,500,2000,True,runs/final_500_all/raw/bernoulli/acbba_bernoulli_060
acbba_bernoulli_070,bernoulli,500,500,2000,True,runs/final_500_all/raw/bernoulli/acbba_bernoulli_070
acbba_ge_030,gilbert_elliot,500,500,2000,True,runs/final_500_all/raw/gilbert_elliot/acbba_ge_030
acbba_ge_040,gilbert_elliot,500,500,2000,True,runs/final_500_all/raw/gilbert_elliot/acbba_ge_040
acbba_ge_050,gilbert_elliot,500,500,2000,True,runs/final_500_all/raw/gilbert_elliot/acbba_ge_050
acbba_ge_060,gilbert_elliot,500,500,2000,True,runs/final_500_all/raw/gilbert_elliot/acbba_ge_060
acbba_ge_070,gilbert_elliot,500,500,2000,True,runs/final_500_all/raw/gilbert_elliot/acbba_ge_070
acbba_ge_080,gilbert_elliot,500,500,2000,True,runs/final_500_all/raw/gilbert_elliot/acbba_ge_080
acbba_ge_090,gilbert_elliot,500,500,2000,True,runs/final_500_all/raw/gilbert_elliot/acbba_ge_090
acbba_ge_095,gilbert_elliot,500,500,2000,True,runs/final_500_all/raw/gilbert_elliot/acbba_ge_095
acbba_ideal,ideal,500,500,2000,True,runs/final_500_all/raw/ideal/acbba_ideal
acbba_rayleigh_m32_58,rayleigh_style,500,500,2000,True,runs/final_500_all/raw/rayleigh_style/acbba_rayleigh_m32_58
acbba_rayleigh_m37_79,rayleigh_style,500,500,2000,True,runs/final_500_all/raw/rayleigh_style/acbba_rayleigh_m37_79
acbba_rayleigh_m42_16,rayleigh_style,500,500,2000,True,runs/final_500_all/raw/rayleigh_style/acbba_rayleigh_m42_16
acbba_rayleigh_m46_04,rayleigh_style,500,500,2000,True,runs/final_500_all/raw/rayleigh_style/acbba_rayleigh_m46_04
acbba_rayleigh_m49_17,rayleigh_style,500,500,2000,True,runs/final_500_all/raw/rayleigh_style/acbba_rayleigh_m49_17
acbba_rayleigh_m52_15,rayleigh_style,500,500,2000,True,runs/final_500_all/raw/rayleigh_style/acbba_rayleigh_m52_15
acbba_rayleigh_m56_04,rayleigh_style,500,500,2000,True,runs/final_500_all/raw/rayleigh_style/acbba_rayleigh_m56_04
acbba_rayleigh_m59_40,rayleigh_style,500,500,2000,True,runs/final_500_all/raw/rayleigh_style/acbba_rayleigh_m59_40
auctiongreedy_bernoulli_005,bernoulli,500,500,2000,True,runs/final_500_all/raw/bernoulli/auctiongreedy_bernoulli_005
auctiongreedy_bernoulli_010,bernoulli,500,500,2000,True,runs/final_500_all/raw/bernoulli/auctiongreedy_bernoulli_010
auctiongreedy_bernoulli_020,bernoulli,500,500,2000,True,runs/final_500_all/raw/bernoulli/auctiongreedy_bernoulli_020
auctiongreedy_bernoulli_030,bernoulli,500,500,2000,True,runs/final_500_all/raw/bernoulli/auctiongreedy_bernoulli_030
auctiongreedy_bernoulli_040,bernoulli,500,500,2000,True,runs/final_500_all/raw/bernoulli/auctiongreedy_bernoulli_040
auctiongreedy_bernoulli_050,bernoulli,500,500,2000,True,runs/final_500_all/raw/bernoulli/auctiongreedy_bernoulli_050
auctiongreedy_bernoulli_060,bernoulli,500,500,2000,True,runs/final_500_all/raw/bernoulli/auctiongreedy_bernoulli_060
auctiongreedy_bernoulli_070,bernoulli,500,500,2000,True,runs/final_500_all/raw/bernoulli/auctiongreedy_bernoulli_070
auctiongreedy_ge_030,gilbert_elliot,500,500,2000,True,runs/final_500_all/raw/gilbert_elliot/auctiongreedy_ge_030
auctiongreedy_ge_040,gilbert_elliot,500,500,2000,True,runs/final_500_all/raw/gilbert_elliot/auctiongreedy_ge_040
auctiongreedy_ge_050,gilbert_elliot,500,500,2000,True,runs/final_500_all/raw/gilbert_elliot/auctiongreedy_ge_050
auctiongreedy_ge_060,gilbert_elliot,500,500,2000,True,runs/final_500_all/raw/gilbert_elliot/auctiongreedy_ge_060
auctiongreedy_ge_070,gilbert_elliot,500,500,2000,True,runs/final_500_all/raw/gilbert_elliot/auctiongreedy_ge_070
