trial_id,logic_revision,study_profile,scenario_file_sha256,scenario_selection_sha256,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,target_x,target_y,clue_locations,first_clue_robot,first_clue_x,first_clue_y,robot_start_locations,robot_end_locations,clues_detected_by_robot,target_found_by_robot,trial_status
0,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,bernoulli,drop_0.25,34,1156,24,50.0,48.166667,pi_g34_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,7,21,"(6,8);(16,11);(7,28);(10,19)",18,7,28,"00:(0,0);01:(0,1);02:(0,3);03:(0,4);04:(0,6);05:(0,7);06:(0,9);07:(0,10);08:(0,11);09:(0,13);10:(0,14);11:(0,16);12:(0,17);13:(0,19);14:(0,20);15:(0,22);16:(0,23);17:(0,24);18:(0,26);19:(0,27);20:(0,29);21:(0,30);22:(0,32);23:(0,33)","00:(13,1);01:(11,3);02:(13,5);03:(11,8);04:(3,10);05:(8,10);06:(9,7);07:(7,16);08:(6,15);09:(5,18);10:(7,21);11:(3,20);12:(5,23);13:(5,21);14:(9,25);15:(6,25);16:(11,27);17:(9,27);18:(8,28);19:(11,28);20:(13,28);21:(12,31);22:(14,30);23:(15,32)",00:0;01:0;02:0;03:0;04:0;05:0;06:0;07:0;08:0;09:0;10:0;11:0;12:0;13:0;14:0;15:0;16:0;17:0;18:1;19:0;20:0;21:0;22:0;23:0,10,completed
1,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,bernoulli,drop_0.25,34,1156,24,50.0,48.166667,pi_g34_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,2,25,"(23,16);(10,8);(12,24);(12,30)",,,,"00:(0,0);01:(0,1);02:(0,3);03:(0,4);04:(0,6);05:(0,7);06:(0,9);07:(0,10);08:(0,11);09:(0,13);10:(0,14);11:(0,16);12:(0,17);13:(0,19);14:(0,20);15:(0,22);16:(0,23);17:(0,24);18:(0,26);19:(0,27);20:(0,29);21:(0,30);22:(0,32);23:(0,33)","00:(8,0);01:(7,2);02:(7,4);03:(4,5);04:(2,8);05:(2,10);06:(8,9);07:(8,10);08:(0,16);09:(8,13);10:(8,14);11:(4,18);12:(4,21);13:(7,20);14:(1,21);15:(4,24);16:(2,25);17:(5,26);18:(2,28);19:(6,29);20:(7,30);21:(7,31);22:(8,32);23:(8,33)",00:0;01:0;02:0;03:0;04:0;05:0;06:0;07:0;08:0;09:0;10:0;11:0;12:0;13:0;14:0;15:0;16:0;17:0;18:0;19:0;20:0;21:0;22:0;23:0,16,completed
2,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,bernoulli,drop_0.25,34,1156,24,50.0,48.166667,pi_g34_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,8,12,"(7,9);(28,30);(10,9);(10,14)",06,7,9,"00:(0,0);01:(0,1);02:(0,3);03:(0,4);04:(0,6);05:(0,7);06:(0,9);07:(0,10);08:(0,11);09:(0,13);10:(0,14);11:(0,16);12:(0,17);13:(0,19);14:(0,20);15:(0,22);16:(0,23);17:(0,24);18:(0,26);19:(0,27);20:(0,29);21:(0,30);22:(0,32);23:(0,33)","00:(8,4);01:(4,7);02:(9,5);03:(9,7);04:(7,7);05:(8,12);06:(9,8);07:(8,8);08:(10,9);09:(8,14);10:(9,12);11:(11,15);12:(12,16);13:(9,16);14:(6,16);15:(2,21);16:(9,26);17:(7,24);18:(6,26);19:(7,30);20:(8,27);21:(5,29);22:(6,31);23:(8,31)",00:0;01:0;02:0;03:0;04:0;05:1;06:1;07:0;08:1;09:0;10:1;11:0;12:0;13:0;14:0;15:0;16:0;17:0;18:0;19:0;20:0;21:0;22:0;23:0,05,completed
3,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,bernoulli,drop_0.25,34,1156,24,50.0,48.166667,pi_g34_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,22,31,"(13,29);(29,24);(26,25);(26,31)",19,13,29,"00:(0,0);01:(0,1);02:(0,3);03:(0,4);04:(0,6);05:(0,7);06:(0,9);07:(0,10);08:(0,11);09:(0,13);10:(0,14);11:(0,16);12:(0,17);13:(0,19);14:(0,20);15:(0,22);16:(0,23);17:(0,24);18:(0,26);19:(0,27);20:(0,29);21:(0,30);22:(0,32);23:(0,33)","00:(13,13);01:(15,10);02:(16,20);03:(16,19);04:(8,15);05:(7,3);06:(13,21);07:(1,33);08:(14,24);09:(12,16);10:(11,30);11:(7,24);12:(16,26);13:(11,31);14:(12,33);15:(22,31);16:(9,23);17:(17,31);18:(18,25);19:(19,30);20:(13,32);21:(19,25);22:(19,32);23:(11,26)",00:0;01:0;02:0;03:0;04:0;05:0;06:0;07:0;08:0;09:0;10:0;11:0;12:0;13:0;14:0;15:0;16:0;17:0;18:0;19:1;20:1;21:0;22:0;23:0,15,completed
4,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,bernoulli,drop_0.25,34,1156,24,50.0,48.166667,pi_g34_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,24,4,"(13,0);(7,9);(23,3);(22,4)",05,7,9,"00:(0,0);01:(0,1);02:(0,3);03:(0,4);04:(0,6);05:(0,7);06:(0,9);07:(0,10);08:(0,11);09:(0,13);10:(0,14);11:(0,16);12:(0,17);13:(0,19);14:(0,20);15:(0,22);16:(0,23);17:(0,24);18:(0,26);19:(0,27);20:(0,29);21:(0,30);22:(0,32);23:(0,33)","00:(21,9);01:(25,1);02:(13,10);03:(24,3);04:(18,0);05:(21,19);06:(25,6);07:(24,4);08:(21,26);09:(21,32);10:(22,24);11:(20,7);12:(18,7);13:(23,2);14:(20,31);15:(16,10);16:(23,7);17:(13,5);18:(21,2);19:(12,26);20:(19,32);21:(23,10);22:(22,1);23:(19,26)",00:0;01:0;02:0;03:3;04:0;05:1;06:0;07:1;08:0;09:0;10:0;11:0;12:0;13:1;14:0;15:0;16:0;17:0;18:0;19:0;20:0;21:0;22:0;23:0,07,completed
5,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,bernoulli,drop_0.25,34,1156,24,50.0,48.166667,pi_g34_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,24,5,"(22,31);(25,6);(22,19);(29,3)",21,22,31,"00:(0,0);01:(0,1);02:(0,3);03:(0,4);04:(0,6);05:(0,7);06:(0,9);07:(0,10);08:(0,11);09:(0,13);10:(0,14);11:(0,16);12:(0,17);13:(0,19);14:(0,20);15:(0,22);16:(0,23);17:(0,24);18:(0,26);19:(0,27);20:(0,29);21:(0,30);22:(0,32);23:(0,33)","00:(25,16);01:(24,5);02:(19,14);03:(26,25);04:(23,12);05:(9,17);06:(21,16);07:(17,32);08:(15,27);09:(7,27);10:(11,18);11:(10,23);12:(23,23);13:(16,32);14:(12,16);15:(13,15);16:(29,17);17:(5,29);18:(30,21);19:(31,30);20:(29,26);21:(21,11);22:(20,12);23:(29,24)",00:0;01:0;02:1;03:1;04:0;05:0;06:1;07:0;08:1;09:0;10:0;11:1;12:0;13:0;14:0;15:0;16:0;17:0;18:0;19:0;20:0;21:1;22:0;23:0,01,completed
6,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,bernoulli,drop_0.25,34,1156,24,50.0,48.166667,pi_g34_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,1,24,"(4,14);(5,22);(3,24);(20,8)",,,,"00:(0,0);01:(0,1);02:(0,3);03:(0,4);04:(0,6);05:(0,7);06:(0,9);07:(0,10);08:(0,11);09:(0,13);10:(0,14);11:(0,16);12:(0,17);13:(0,19);14:(0,20);15:(0,22);16:(0,23);17:(0,24);18:(0,26);19:(0,27);20:(0,29);21:(0,30);22:(0,32);23:(0,33)","00:(0,0);01:(0,1);02:(0,3);03:(0,4);04:(0,6);05:(0,7);06:(0,9);07:(0,10);08:(0,11);09:(0,13);10:(0,14);11:(0,16);12:(0,17);13:(0,19);14:(0,20);15:(0,22);16:(0,23);17:(1,24);18:(1,26);19:(0,27);20:(0,29);21:(0,30);22:(0,32);23:(0,33)",00:0;01:0;02:0;03:0;04:0;05:0;06:0;07:0;08:0;09:0;10:0;11:0;12:0;13:0;14:0;15:0;16:0;17:0;18:0;19:0;20:0;21:0;22:0;23:0,17,completed
7,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,bernoulli,drop_0.25,34,1156,24,50.0,48.166667,pi_g34_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,29,17,"(31,3);(12,10);(10,28);(18,1)",18,10,28,"00:(0,0);01:(0,1);02:(0,3);03:(0,4);04:(0,6);05:(0,7);06:(0,9);07:(0,10);08:(0,11);09:(0,13);10:(0,14);11:(0,16);12:(0,17);13:(0,19);14:(0,20);15:(0,22);16:(0,23);17:(0,24);18:(0,26);19:(0,27);20:(0,29);21:(0,30);22:(0,32);23:(0,33)","00:(4,21);01:(32,7);02:(29,17);03:(2,25);04:(24,18);05:(23,20);06:(31,3);07:(26,20);08:(23,26);09:(23,31);10:(0,10);11:(24,33);12:(31,0);13:(12,5);14:(9,5);15:(31,13);16:(31,10);17:(18,14);18:(20,18);19:(3,24);20:(16,27);21:(24,25);22:(18,18);23:(33,2)",00:1;01:0;02:0;03:1;04:1;05:1;06:1;07:0;08:0;09:0;10:1;11:0;12:0;13:0;14:0;15:2;16:0;17:0;18:1;19:1;20:0;21:0;22:1;23:0,02,completed
8,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,bernoulli,drop_0.25,34,1156,24,50.0,48.166667,pi_g34_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,4,32,"(16,7);(1,25);(6,22);(5,23)",,,,"00:(0,0);01:(0,1);02:(0,3);03:(0,4);04:(0,6);05:(0,7);06:(0,9);07:(0,10);08:(0,11);09:(0,13);10:(0,14);11:(0,16);12:(0,17);13:(0,19);14:(0,20);15:(0,22);16:(0,23);17:(0,24);18:(0,26);19:(0,27);20:(0,29);21:(0,30);22:(0,32);23:(0,33)","00:(3,0);01:(2,2);02:(3,3);03:(3,4);04:(3,6);05:(4,7);06:(4,9);07:(3,10);08:(2,12);09:(3,13);10:(3,14);11:(3,16);12:(3,17);13:(3,19);14:(3,20);15:(3,22);16:(3,23);17:(3,24);18:(1,26);19:(2,28);20:(2,30);21:(2,31);22:(4,32);23:(3,33)",00:0;01:0;02:0;03:0;04:0;05:0;06:0;07:0;08:0;09:0;10:0;11:0;12:0;13:0;14:0;15:0;16:0;17:0;18:0;19:0;20:0;21:0;22:0;23:0,22,completed
9,dcta_parity_v1,custom,6f5fe7366a3ce4add9caba9b97af08ed7c9d8c35a4c66c217609622f0547e170,29aa6abb1a38912438db390757dde9141bd7f9a9a2a6b031155074d026e9065b,PI,bernoulli,drop_0.25,34,1156,24,50.0,48.166667,pi_g34_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid34_trials50.csv,clue_search,27,24,"(26,19);(27,27);(30,10);(12,27)",17,12,27,"00:(0,0);01:(0,1);02:(0,3);03:(0,4);04:(0,6);05:(0,7);06:(0,9);07:(0,10);08:(0,11);09:(0,13);10:(0,14);11:(0,16);12:(0,17);13:(0,19);14:(0,20);15:(0,22);16:(0,23);17:(0,24);18:(0,26);19:(0,27);20:(0,29);21:(0,30);22:(0,32);23:(0,33)","00:(21,6);01:(19,3);02:(25,28);03:(23,24);04:(18,32);05:(9,7);06:(18,29);07:(27,21);08:(13,15);09:(9,1);10:(26,19);11:(7,20);12:(3,18);13:(27,24);14:(20,8);15:(26,22);16:(28,22);17:(3,2);18:(27,17);19:(1,14);20:(28,29);21:(28,18);22:(7,5);23:(19,10)",00:0;01:0;02:0;03:0;04:0;05:0;06:0;07:0;08:0;09:0;10:1;11:0;12:0;13:1;14:0;15:0;16:0;17:1;18:0;19:0;20:1;21:1;22:0;23:0,13,completed
