trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,duplicate_target_visits,target_conflicts,task_cell_revisits_total,total_team_steps,max_robot_steps,unique_cells_visited,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,events_processed,stall_recoveries_total,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,message_drop_fraction,messages_per_completed_target,allocation_messages_per_completed_target,messages_sent_by_topic,workload_gini_targets_found,workload_gini_unique_cells_contributed,sensitivity_suite,sensitivity_parameter,sensitivity_value,sensitivity_label,num_targets,num_robots
0,known_visit,PI,bernoulli,0.25,19,361,4,10,pi_h2_bernoulli_025,known_visit_10target_300.csv,10,True,53.018192381202866,53.018192381202866,3,3,3,78,30,75,7,0,26,3,306,0,219,558,96,84,135,166,53,0.23880597014925373,21.9,5.3,collision_intent:84;pi_clear_path:2;pi_entry:51;state:82,0.1499999999999999,0.15666666666666673,known_visit_horizon,commitment_horizon,2,h2,10,4
1,known_visit,PI,bernoulli,0.25,19,361,4,10,pi_h2_bernoulli_025,known_visit_10target_300.csv,10,True,53.56308321797442,53.56308321797442,2,2,2,102,31,99,7,0,0,0,297,0,242,633,90,104,138,210,32,0.21897810218978103,24.2,3.2,collision_intent:104;pi_clear_path:2;pi_entry:30;state:106,0.25,0.10353535353535359,known_visit_horizon,commitment_horizon,2,h2,10,4
2,known_visit,PI,bernoulli,0.25,19,361,4,10,pi_h2_bernoulli_025,known_visit_10target_300.csv,10,True,71.05654300797487,71.05654300797487,6,6,6,136,40,107,33,3,5,5,402,0,331,850,136,142,189,282,49,0.24156305506216696,33.1,4.9,collision_intent:142;pi_clear_path:4;pi_entry:45;state:140,0.25,0.17056074766355134,known_visit_horizon,commitment_horizon,2,h2,10,4
3,known_visit,PI,bernoulli,0.25,19,361,4,10,pi_h2_bernoulli_025,known_visit_10target_300.csv,10,True,43.35544256840851,43.35544256840851,2,2,2,86,26,81,9,3,3,1,235,0,231,576,114,90,141,180,51,0.2714285714285714,23.1,5.1,collision_intent:90;pi_clear_path:4;pi_entry:47;state:90,0.10000000000000009,0.13271604938271597,known_visit_horizon,commitment_horizon,2,h2,10,4
4,known_visit,PI,bernoulli,0.25,19,361,4,10,pi_h2_bernoulli_025,known_visit_10target_300.csv,10,True,75.07792526511336,75.07792526511336,1,1,1,138,44,134,8,3,6,6,429,0,340,873,145,147,193,289,51,0.2512998266897747,34.0,5.1,collision_intent:147;pi_clear_path:4;pi_entry:47;state:142,0.30000000000000004,0.15671641791044766,known_visit_horizon,commitment_horizon,2,h2,10,4
5,known_visit,PI,bernoulli,0.25,19,361,4,10,pi_h2_bernoulli_025,known_visit_10target_300.csv,10,True,53.6981702030592,53.6981702030592,4,4,4,114,31,98,20,4,6,6,290,0,273,696,120,119,154,237,36,0.26143790849673204,27.3,3.6,collision_intent:119;pi_clear_path:3;pi_entry:33;state:118,0.30000000000000004,0.1785714285714286,known_visit_horizon,commitment_horizon,2,h2,10,4
6,known_visit,PI,bernoulli,0.25,19,361,4,10,pi_h2_bernoulli_025,known_visit_10target_300.csv,10,True,61.07624370853452,61.07624370853452,3,3,3,138,36,123,19,1,7,7,318,0,333,831,162,143,190,285,48,0.2872340425531915,33.3,4.8,collision_intent:143;pi_clear_path:1;pi_entry:47;state:142,0.1499999999999999,0.0630081300813008,known_visit_horizon,commitment_horizon,2,h2,10,4
7,known_visit,PI,bernoulli,0.25,19,361,4,10,pi_h2_bernoulli_025,known_visit_10target_300.csv,10,True,52.27212165868929,52.27212165868929,3,3,3,116,31,108,12,0,1,1,273,0,280,700,140,118,162,238,42,0.2880658436213992,28.0,4.2,collision_intent:118;pi_clear_path:1;pi_entry:41;state:120,0.25,0.05555555555555558,known_visit_horizon,commitment_horizon,2,h2,10,4
8,known_visit,PI,bernoulli,0.25,19,361,4,10,pi_h2_bernoulli_025,known_visit_10target_300.csv,10,True,57.08919513147249,57.08919513147249,5,5,5,114,33,101,17,2,2,2,316,0,279,726,109,118,161,236,43,0.22661122661122662,27.9,4.3,collision_intent:118;pi_clear_path:2;pi_entry:41;state:118,0.3999999999999999,0.06683168316831689,known_visit_horizon,commitment_horizon,2,h2,10,4
9,known_visit,PI,bernoulli,0.25,19,361,4,10,pi_h2_bernoulli_025,known_visit_10target_300.csv,10,True,44.284343161429554,44.284343161429554,2,2,2,95,26,84,15,1,2,2,235,0,237,598,110,98,139,197,40,0.26570048309178745,23.7,4.0,collision_intent:98;pi_clear_path:2;pi_entry:38;state:99,0.25,0.13095238095238093,known_visit_horizon,commitment_horizon,2,h2,10,4
