trial_id,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,total_team_steps,steps_before_first_clue,post_clue_steps_to_find,unique_cells_searched,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,post_clue_messages_sent_total,post_clue_allocation_messages_sent_total,message_drop_fraction,messages_per_unique_cell,messages_per_post_clue_step,allocation_messages_per_step,allocation_messages_per_post_clue_step,allocation_messages_per_unique_cell,messages_sent_by_topic,max_steps_any_robot,max_messages_any_robot,workload_gini_unique_cells_contributed,trial_status,failure_type,failure_message,debug_max_events
0,DGA,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,dga_gilbert_elliott_drop_0_30_rho_0_8,,coverage,623,623,0,361,266,0,0,0,2030,4854,1230,657,1373,1280,750,0,0,0.2988338192419825,5.623268698060942,0.0,1.203852327447833,0.0,2.0775623268698062,collision_intent:657;dga_entry:750;state:623,159,584,0.14473684210526305,completed,,,
1,DGA,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,dga_gilbert_elliott_drop_0_30_rho_0_8,,coverage,752,752,0,361,395,0,0,0,2289,5448,1416,783,1506,1535,754,0,0,0.3136212624584718,6.340720221606648,0.0,1.002659574468085,0.0,2.0886426592797784,collision_intent:783;dga_entry:754;state:752,190,624,0.1461218836565097,completed,,,
2,DGA,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,dga_gilbert_elliott_drop_0_30_rho_0_8,,coverage,747,747,0,361,390,0,0,0,2311,5503,1427,774,1537,1521,790,0,0,0.3096788194444444,6.401662049861496,0.0,1.0575635876840697,0.0,2.188365650969529,collision_intent:774;dga_entry:790;state:747,194,630,0.04916897506925211,completed,,,
3,DGA,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,dga_gilbert_elliott_drop_0_30_rho_0_8,,coverage,620,620,0,361,263,0,0,0,1909,4598,1127,629,1280,1249,660,0,0,0.2936425221469515,5.28808864265928,0.0,1.064516129032258,0.0,1.8282548476454294,collision_intent:629;dga_entry:660;state:620,221,683,0.2610803324099722,completed,,,
4,DGA,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,dga_gilbert_elliott_drop_0_30_rho_0_8,,coverage,533,533,0,361,176,0,0,0,1622,3826,1038,544,1078,1077,545,0,0,0.32116336633663367,4.4930747922437675,0.0,1.022514071294559,0.0,1.5096952908587258,collision_intent:544;dga_entry:545;state:533,267,711,0.3137119113573408,completed,,,
5,DGA,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,dga_gilbert_elliott_drop_0_30_rho_0_8,,coverage,634,634,0,361,277,0,0,0,2076,4930,1295,647,1429,1281,795,0,0,0.3022875816993464,5.750692520775623,0.0,1.2539432176656151,0.0,2.2022160664819945,collision_intent:647;dga_entry:795;state:634,161,561,0.13919667590027696,completed,,,
6,DGA,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,dga_gilbert_elliott_drop_0_30_rho_0_8,,coverage,683,683,0,361,326,0,0,0,2177,5306,1223,704,1473,1387,790,0,0,0.27688476341408197,6.030470914127424,0.0,1.1566617862371888,0.0,2.188365650969529,collision_intent:704;dga_entry:790;state:683,176,583,0.1364265927977839,completed,,,
7,DGA,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,dga_gilbert_elliott_drop_0_30_rho_0_8,,coverage,679,679,0,361,322,0,0,0,2084,5160,1091,700,1384,1379,705,0,0,0.26282823416044326,5.772853185595568,0.0,1.0382916053019147,0.0,1.9529085872576177,collision_intent:700;dga_entry:705;state:679,172,540,0.10041551246537406,completed,,,
8,DGA,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,dga_gilbert_elliott_drop_0_30_rho_0_8,,coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,failed,RuntimeError,Debug safety cap reached in trial 8. This usually means the allocator is stuck or returning no reachable goals.,20000
9,DGA,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,dga_gilbert_elliott_drop_0_30_rho_0_8,,coverage,620,620,0,361,263,0,0,0,2059,4826,1349,639,1420,1259,800,0,0,0.31681540629403476,5.703601108033241,0.0,1.2903225806451613,0.0,2.21606648199446,collision_intent:639;dga_entry:800;state:620,212,645,0.1904432132963989,completed,,,
