trial_id,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,total_team_steps,steps_before_first_clue,post_clue_steps_to_find,unique_cells_searched,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,post_clue_messages_sent_total,post_clue_allocation_messages_sent_total,message_drop_fraction,messages_per_unique_cell,messages_per_post_clue_step,allocation_messages_per_step,allocation_messages_per_post_clue_step,allocation_messages_per_unique_cell,messages_sent_by_topic,max_steps_any_robot,max_messages_any_robot,workload_gini_unique_cells_contributed,trial_status,failure_type,failure_message,debug_max_events
0,PI,gilbert_elliot,pGG_0.92_pBB_0.88,19,361,4,,,pi_gilbert_elliott_drop_0_40_rho_0_8,,coverage,558,558,0,361,201,0,0,0,2281,4743,2099,579,1702,1137,1144,0,0,0.41116552399608225,6.3185595567867034,0.0,2.050179211469534,0.0,3.1689750692520775,collision_intent:579;pi_entry:1144;state:558,273,810,0.4688365650969528,completed,,,
1,PI,gilbert_elliot,pGG_0.92_pBB_0.88,19,361,4,,,pi_gilbert_elliott_drop_0_40_rho_0_8,,coverage,627,627,0,361,270,0,0,0,1870,4202,1407,670,1200,1297,573,0,0,0.3909419283134204,5.18005540166205,0.0,0.9138755980861244,0.0,1.5872576177285318,collision_intent:670;pi_entry:573;state:627,163,481,0.15581717451523547,completed,,,
2,PI,gilbert_elliot,pGG_0.92_pBB_0.88,19,361,4,,,pi_gilbert_elliott_drop_0_40_rho_0_8,,coverage,524,524,0,361,167,0,0,0,2043,4458,1670,550,1493,1074,969,0,0,0.3729343456900402,5.659279778393352,0.0,1.849236641221374,0.0,2.6842105263157894,collision_intent:550;pi_entry:969;state:524,234,690,0.3691135734072022,completed,,,
3,PI,gilbert_elliot,pGG_0.92_pBB_0.88,19,361,4,,,pi_gilbert_elliott_drop_0_40_rho_0_8,,coverage,521,521,0,361,164,0,0,0,2205,4652,1960,531,1674,1052,1153,0,0,0.3905160390516039,6.10803324099723,0.0,2.2130518234165066,0.0,3.193905817174515,collision_intent:531;pi_entry:1153;state:521,272,800,0.4840720221606649,completed,,,
4,PI,gilbert_elliot,pGG_0.92_pBB_0.88,19,361,4,,,pi_gilbert_elliott_drop_0_40_rho_0_8,,coverage,551,551,0,361,194,0,0,0,2272,4683,2131,564,1708,1115,1157,0,0,0.41604841858648967,6.293628808864266,0.0,2.0998185117967334,0.0,3.2049861495844874,collision_intent:564;pi_entry:1157;state:551,276,809,0.48545706371191133,completed,,,
5,PI,gilbert_elliot,pGG_0.92_pBB_0.88,19,361,4,,,pi_gilbert_elliott_drop_0_40_rho_0_8,,coverage,587,587,0,361,230,0,0,0,2408,4934,2288,601,1807,1188,1220,0,0,0.42221812142461707,6.670360110803324,0.0,2.078364565587734,0.0,3.3795013850415514,collision_intent:601;pi_entry:1220;state:587,295,869,0.5754847645429362,completed,,,
6,PI,gilbert_elliot,pGG_0.92_pBB_0.88,19,361,4,,,pi_gilbert_elliott_drop_0_40_rho_0_8,,coverage,590,590,0,361,233,0,0,0,2368,5080,2024,612,1756,1202,1166,0,0,0.384206529992407,6.5595567867036015,0.0,1.976271186440678,0.0,3.229916897506925,collision_intent:612;pi_clear_path:1;pi_entry:1165;state:590,285,832,0.47991689750692523,completed,,,
7,PI,gilbert_elliot,pGG_0.92_pBB_0.88,19,361,4,,,pi_gilbert_elliott_drop_0_40_rho_0_8,,coverage,525,525,0,361,168,0,0,0,2164,4582,1909,548,1616,1073,1091,0,0,0.39385186713430986,5.9944598337950135,0.0,2.078095238095238,0.0,3.0221606648199444,collision_intent:548;pi_entry:1091;state:525,250,757,0.43144044321329633,completed,,,
8,PI,gilbert_elliot,pGG_0.92_pBB_0.88,19,361,4,,,pi_gilbert_elliott_drop_0_40_rho_0_8,,coverage,670,670,0,361,313,0,0,0,1976,4387,1540,696,1280,1366,610,0,0,0.40114613180515757,5.473684210526316,0.0,0.9104477611940298,0.0,1.6897506925207757,collision_intent:696;pi_clear_path:2;pi_entry:608;state:670,174,505,0.08795013850415523,completed,,,
9,PI,gilbert_elliot,pGG_0.92_pBB_0.88,19,361,4,,,pi_gilbert_elliott_drop_0_40_rho_0_8,,coverage,586,586,0,361,229,0,0,0,2099,4460,1835,605,1494,1191,908,0,0,0.4095982142857143,5.814404432132964,0.0,1.5494880546075085,0.0,2.515235457063712,collision_intent:605;pi_clear_path:1;pi_entry:907;state:586,226,664,0.3414127423822715,completed,,,
10,PI,gilbert_elliot,pGG_0.92_pBB_0.88,19,361,4,,,pi_gilbert_elliott_drop_0_40_rho_0_8,,coverage,508,508,0,361,151,0,0,0,2105,4260,2054,519,1586,1027,1078,0,0,0.43178473828042885,5.8310249307479225,0.0,2.122047244094488,0.0,2.9861495844875345,collision_intent:519;pi_clear_path:1;pi_entry:1077;state:508,254,756,0.5283933518005539,completed,,,
11,PI,gilbert_elliot,pGG_0.92_pBB_0.88,19,361,4,,,pi_gilbert_elliott_drop_0_40_rho_0_8,,coverage,556,556,0,361,199,0,0,0,2241,4759,1963,570,1671,1126,1115,0,0,0.3916600159616919,6.207756232686981,0.0,2.0053956834532376,0.0,3.0886426592797784,collision_intent:570;pi_entry:1115;state:556,266,789,0.4716066481994461,completed,,,
12,PI,gilbert_elliot,pGG_0.92_pBB_0.88,19,361,4,,,pi_gilbert_elliott_drop_0_40_rho_0_8,,coverage,564,564,0,361,207,0,0,0,2030,4443,1645,582,1448,1146,884,0,0,0.37885766927683096,5.623268698060942,0.0,1.5673758865248226,0.0,2.4487534626038783,collision_intent:582;pi_clear_path:1;pi_entry:883;state:564,217,639,0.3054016620498614,completed,,,
13,PI,gilbert_elliot,pGG_0.92_pBB_0.88,19,361,4,,,pi_gilbert_elliott_drop_0_40_rho_0_8,,coverage,713,713,0,361,356,0,0,0,2088,4778,1484,743,1345,1456,632,0,0,0.3679642945697992,5.78393351800554,0.0,0.8863955119214586,0.0,1.7506925207756232,collision_intent:743;pi_entry:632;state:713,181,527,0.11703601108033235,completed,,,
14,PI,gilbert_elliot,pGG_0.92_pBB_0.88,19,361,4,,,pi_gilbert_elliott_drop_0_40_rho_0_8,,coverage,691,691,0,361,334,0,0,0,2323,5059,1908,706,1617,1397,926,0,0,0.39348319241080637,6.434903047091413,0.0,1.3400868306801736,0.0,2.565096952908587,collision_intent:706;pi_entry:926;state:691,250,709,0.1641274238227146,completed,,,
15,PI,gilbert_elliot,pGG_0.92_pBB_0.88,19,361,4,,,pi_gilbert_elliott_drop_0_40_rho_0_8,,coverage,530,530,0,361,173,0,0,0,1884,3985,1664,545,1339,1075,809,0,0,0.4145490782262083,5.218836565096953,0.0,1.5264150943396226,0.0,2.2409972299168976,collision_intent:545;pi_entry:809;state:530,205,592,0.30678670360110805,completed,,,
