trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,target_locations,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,targets_found_by_robot,robot_start_locations,robot_end_locations,events_processed,stall_recoveries_total,trial_status
0,known_visit,ACBBA,bernoulli,drop_0.25,34,1156,14,10,acbba_g34_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(20,5);(28,1);(11,25);(20,24);(25,8);(3,5);(1,16);(23,30);(33,13);(24,22)",10,True,77.55573566186287,77.55573566186287,00:0;01:1;02:3;03:0;04:0;05:1;06:1;07:0;08:0;09:1;10:1;11:1;12:1;13:0,"(0,0);(0,3);(0,5);(0,8);(0,10);(0,13);(0,15);(0,18);(0,20);(0,23);(0,25);(0,28);(0,30);(0,33)","(20,5);(28,1);(33,9);(14,26);(19,15);(33,13);(20,20);(17,18);(17,26);(24,22);(15,25);(20,24);(23,30);(25,30)",1675,0,completed
1,known_visit,ACBBA,bernoulli,drop_0.25,34,1156,14,10,acbba_g34_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(19,17);(14,6);(17,16);(16,15);(5,33);(11,30);(26,23);(24,33);(27,21);(19,32)",10,True,61.82464912548584,61.82464912548584,00:0;01:1;02:1;03:0;04:0;05:0;06:4;07:0;08:0;09:0;10:0;11:0;12:1;13:3,"(0,0);(0,3);(0,5);(0,8);(0,10);(0,13);(0,15);(0,18);(0,20);(0,23);(0,25);(0,28);(0,30);(0,33)","(14,6);(16,18);(14,12);(12,13);(15,10);(5,26);(26,23);(21,16);(19,32);(13,25);(13,33);(5,32);(12,30);(25,25)",1304,0,completed
2,known_visit,ACBBA,bernoulli,drop_0.25,34,1156,14,10,acbba_g34_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(3,32);(26,0);(14,7);(19,20);(29,15);(24,23);(11,8);(21,32);(22,8);(10,12)",10,True,64.87749316792282,64.87749316792282,00:1;01:2;02:1;03:1;04:0;05:0;06:0;07:2;08:1;09:1;10:0;11:0;12:0;13:1,"(0,0);(0,3);(0,5);(0,8);(0,10);(0,13);(0,15);(0,18);(0,20);(0,23);(0,25);(0,28);(0,30);(0,33)","(22,7);(22,17);(26,0);(16,13);(11,10);(17,20);(17,14);(29,15);(21,32);(24,23);(21,25);(12,28);(13,31);(15,13)",1307,0,completed
3,known_visit,ACBBA,bernoulli,drop_0.25,34,1156,14,10,acbba_g34_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(18,8);(19,29);(2,31);(11,10);(20,22);(32,21);(14,23);(9,2);(6,3);(3,22)",10,True,58.55846325773721,58.55846325773721,00:0;01:2;02:0;03:1;04:1;05:0;06:0;07:1;08:0;09:2;10:0;11:0;12:1;13:2,"(0,0);(0,3);(0,5);(0,8);(0,10);(0,13);(0,15);(0,18);(0,20);(0,23);(0,25);(0,28);(0,30);(0,33)","(6,9);(10,2);(18,8);(20,22);(9,19);(10,13);(3,28);(32,21);(13,20);(14,21);(10,22);(13,28);(19,29);(10,20)",1252,0,completed
4,known_visit,ACBBA,bernoulli,drop_0.25,34,1156,14,10,acbba_g34_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(17,0);(33,1);(26,29);(15,17);(9,10);(17,18);(23,29);(13,30);(6,0);(29,29)",10,True,56.61375573394191,56.61375573394191,00:3;01:0;02:1;03:0;04:0;05:2;06:0;07:0;08:0;09:0;10:3;11:0;12:1;13:0,"(0,0);(0,3);(0,5);(0,8);(0,10);(0,13);(0,15);(0,18);(0,20);(0,23);(0,25);(0,28);(0,30);(0,33)","(33,1);(10,7);(16,17);(7,0);(6,0);(20,17);(9,15);(12,10);(22,28);(13,30);(29,29);(15,29);(14,30);(10,18)",1186,0,completed
5,known_visit,ACBBA,bernoulli,drop_0.25,34,1156,14,10,acbba_g34_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(21,6);(4,2);(16,26);(9,17);(5,0);(19,7);(31,31);(15,20);(30,27);(22,11)",10,True,139.18687554497674,139.18687554497674,00:1;01:2;02:0;03:2;04:1;05:0;06:0;07:1;08:1;09:1;10:0;11:0;12:0;13:1,"(0,0);(0,3);(0,5);(0,8);(0,10);(0,13);(0,15);(0,18);(0,20);(0,23);(0,25);(0,28);(0,30);(0,33)","(4,2);(30,27);(17,26);(5,2);(15,20);(32,31);(14,20);(10,17);(21,6);(16,26);(22,11);(16,27);(6,30);(31,30)",3278,0,completed
6,known_visit,ACBBA,bernoulli,drop_0.25,34,1156,14,10,acbba_g34_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(21,15);(1,18);(14,25);(6,19);(4,11);(20,18);(16,2);(23,22);(33,20);(23,9)",10,True,101.75208218205258,101.75208218205258,00:1;01:1;02:1;03:2;04:0;05:1;06:0;07:2;08:0;09:1;10:0;11:1;12:0;13:0,"(0,0);(0,3);(0,5);(0,8);(0,10);(0,13);(0,15);(0,18);(0,20);(0,23);(0,25);(0,28);(0,30);(0,33)","(20,18);(4,11);(4,12);(33,20);(23,9);(21,17);(9,15);(16,2);(23,23);(21,15);(12,22);(1,18);(14,25);(6,19)",2309,0,completed
7,known_visit,ACBBA,bernoulli,drop_0.25,34,1156,14,10,acbba_g34_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(11,6);(22,28);(9,12);(33,20);(16,10);(15,3);(24,5);(9,8);(18,10);(4,26)",10,True,54.808672108409176,54.808672108409176,00:2;01:0;02:1;03:1;04:1;05:1;06:1;07:0;08:1;09:0;10:1;11:0;12:1;13:0,"(0,0);(0,3);(0,5);(0,8);(0,10);(0,13);(0,15);(0,18);(0,20);(0,23);(0,25);(0,28);(0,30);(0,33)","(23,7);(18,10);(10,8);(9,8);(7,17);(9,12);(15,5);(10,18);(33,20);(15,23);(7,10);(9,24);(22,27);(10,33)",1156,0,completed
8,known_visit,ACBBA,bernoulli,drop_0.25,34,1156,14,10,acbba_g34_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(10,22);(29,12);(29,17);(17,15);(11,32);(24,29);(25,3);(5,8);(6,23);(18,30)",10,True,66.32088543226926,66.32088543226926,00:1;01:1;02:0;03:3;04:0;05:0;06:0;07:0;08:0;09:2;10:0;11:0;12:2;13:1,"(0,0);(0,3);(0,5);(0,8);(0,10);(0,13);(0,15);(0,18);(0,20);(0,23);(0,25);(0,28);(0,30);(0,33)","(25,3);(17,15);(17,14);(29,17);(10,22);(4,13);(24,20);(6,20);(21,30);(15,31);(7,25);(24,29);(24,28);(12,32)",1422,0,completed
9,known_visit,ACBBA,bernoulli,drop_0.25,34,1156,14,10,acbba_g34_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(18,24);(6,0);(2,8);(22,15);(23,3);(22,26);(14,7);(29,27);(31,19);(17,25)",10,True,71.88560479772116,71.88560479772116,00:2;01:1;02:0;03:1;04:0;05:0;06:0;07:2;08:0;09:1;10:2;11:1;12:0;13:0,"(0,0);(0,3);(0,5);(0,8);(0,10);(0,13);(0,15);(0,18);(0,20);(0,23);(0,25);(0,28);(0,30);(0,33)","(14,7);(23,3);(11,0);(10,8);(23,4);(22,15);(13,7);(31,19);(22,20);(22,26);(23,26);(29,23);(8,30);(18,24)",1551,0,completed
