algorithm,condition_id,rows_present,failed_rows,missing_rows,missing_trial_ids,complete_100_trials,raw_dir
HIPC,hipc_gilbert_elliott_drop_0_10_rho_0_8,100,0,0,,true,runs/coverage_core_100_ge_bursty_rho08/raw/hipc/gilbert_elliott_drop_0_10_rho_0_8
HIPC,hipc_gilbert_elliott_drop_0_05_rho_0_8,100,0,0,,true,runs/coverage_core_100_ge_bursty_rho08/raw/hipc/gilbert_elliott_drop_0_05_rho_0_8
DMCHBA,dmchba_gilbert_elliott_drop_0_70_rho_0_8,12,2,88,12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99,false,runs/coverage_core_100_ge_bursty_rho08/raw/dmchba/gilbert_elliott_drop_0_70_rho_0_8
DMCHBA,dmchba_gilbert_elliott_drop_0_60_rho_0_8,28,2,72,25;27;29;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99,false,runs/coverage_core_100_ge_bursty_rho08/raw/dmchba/gilbert_elliott_drop_0_60_rho_0_8
DMCHBA,dmchba_gilbert_elliott_drop_0_50_rho_0_8,27,2,73,27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99,false,runs/coverage_core_100_ge_bursty_rho08/raw/dmchba/gilbert_elliott_drop_0_50_rho_0_8
DMCHBA,dmchba_gilbert_elliott_drop_0_40_rho_0_8,100,0,0,,true,runs/coverage_core_100_ge_bursty_rho08/raw/dmchba/gilbert_elliott_drop_0_40_rho_0_8
DMCHBA,dmchba_gilbert_elliott_drop_0_30_rho_0_8,74,1,26,74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99,false,runs/coverage_core_100_ge_bursty_rho08/raw/dmchba/gilbert_elliott_drop_0_30_rho_0_8
DMCHBA,dmchba_gilbert_elliott_drop_0_20_rho_0_8,100,0,0,,true,runs/coverage_core_100_ge_bursty_rho08/raw/dmchba/gilbert_elliott_drop_0_20_rho_0_8
DMCHBA,dmchba_gilbert_elliott_drop_0_10_rho_0_8,100,0,0,,true,runs/coverage_core_100_ge_bursty_rho08/raw/dmchba/gilbert_elliott_drop_0_10_rho_0_8
DMCHBA,dmchba_gilbert_elliott_drop_0_05_rho_0_8,100,0,0,,true,runs/coverage_core_100_ge_bursty_rho08/raw/dmchba/gilbert_elliott_drop_0_05_rho_0_8
DGA,dga_gilbert_elliott_drop_0_70_rho_0_8,100,23,0,,true,runs/coverage_core_100_ge_bursty_rho08/raw/dga/gilbert_elliott_drop_0_70_rho_0_8
DGA,dga_gilbert_elliott_drop_0_60_rho_0_8,100,16,0,,true,runs/coverage_core_100_ge_bursty_rho08/raw/dga/gilbert_elliott_drop_0_60_rho_0_8
DGA,dga_gilbert_elliott_drop_0_50_rho_0_8,99,20,1,97,false,runs/coverage_core_100_ge_bursty_rho08/raw/dga/gilbert_elliott_drop_0_50_rho_0_8
DGA,dga_gilbert_elliott_drop_0_40_rho_0_8,12,0,88,12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99,false,runs/coverage_core_100_ge_bursty_rho08/raw/dga/gilbert_elliott_drop_0_40_rho_0_8
DGA,dga_gilbert_elliott_drop_0_30_rho_0_8,10,1,90,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99,false,runs/coverage_core_100_ge_bursty_rho08/raw/dga/gilbert_elliott_drop_0_30_rho_0_8
DGA,dga_gilbert_elliott_drop_0_20_rho_0_8,26,0,74,26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99,false,runs/coverage_core_100_ge_bursty_rho08/raw/dga/gilbert_elliott_drop_0_20_rho_0_8
DGA,dga_gilbert_elliott_drop_0_10_rho_0_8,22,0,78,22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99,false,runs/coverage_core_100_ge_bursty_rho08/raw/dga/gilbert_elliott_drop_0_10_rho_0_8
DGA,dga_gilbert_elliott_drop_0_05_rho_0_8,15,0,85,15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99,false,runs/coverage_core_100_ge_bursty_rho08/raw/dga/gilbert_elliott_drop_0_05_rho_0_8
