trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,target_locations,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,targets_found_by_robot,robot_start_locations,robot_end_locations,events_processed,stall_recoveries_total,trial_status
0,known_visit,ACBBA,bernoulli,drop_0.25,25,625,13,10,acbba_g25_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(18,2);(11,22);(9,9);(21,1);(14,2);(7,9);(21,24);(11,3);(3,18);(22,18)",10,True,68.21664758994514,68.21664758994514,00:0;01:3;02:0;03:1;04:0;05:0;06:2;07:2;08:0;09:1;10:0;11:1;12:0,"(0,0);(0,2);(0,4);(0,6);(0,8);(0,10);(0,12);(0,14);(0,16);(0,18);(0,20);(0,22);(0,24)","(14,3);(22,1);(7,10);(21,1);(13,5);(10,12);(17,10);(21,24);(18,7);(16,18);(13,21);(17,22);(11,14)",1389,0,completed
1,known_visit,ACBBA,bernoulli,drop_0.25,25,625,13,10,acbba_g25_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(2,0);(22,23);(6,15);(23,23);(7,4);(12,6);(14,19);(20,4);(3,15);(10,16)",10,True,43.33154119829281,43.33154119829281,00:1;01:0;02:3;03:0;04:0;05:0;06:2;07:1;08:0;09:1;10:2;11:0;12:0,"(0,0);(0,2);(0,4);(0,6);(0,8);(0,10);(0,12);(0,14);(0,16);(0,18);(0,20);(0,22);(0,24)","(7,4);(7,6);(20,4);(6,15);(5,8);(5,14);(13,19);(4,15);(8,16);(14,19);(23,23);(7,22);(3,16)",891,0,completed
2,known_visit,ACBBA,bernoulli,drop_0.25,25,625,13,10,acbba_g25_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(17,10);(15,0);(16,1);(21,23);(11,7);(1,11);(6,14);(8,0);(15,22);(24,6)",10,True,71.67996598034135,71.67996598034135,00:4;01:0;02:1;03:0;04:0;05:2;06:0;07:1;08:2;09:0;10:0;11:0;12:0,"(0,0);(0,2);(0,4);(0,6);(0,8);(0,10);(0,12);(0,14);(0,16);(0,18);(0,20);(0,22);(0,24)","(24,6);(1,12);(11,7);(16,0);(10,8);(15,13);(6,14);(17,1);(21,23);(6,22);(10,7);(15,16);(8,5)",1456,0,completed
3,known_visit,ACBBA,bernoulli,drop_0.25,25,625,13,10,acbba_g25_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(14,2);(4,19);(6,15);(23,19);(22,10);(2,14);(17,16);(1,11);(9,14);(7,8)",10,True,57.96768145135943,57.96768145135943,00:0;01:1;02:1;03:0;04:0;05:0;06:1;07:4;08:1;09:0;10:1;11:1;12:0,"(0,0);(0,2);(0,4);(0,6);(0,8);(0,10);(0,12);(0,14);(0,16);(0,18);(0,20);(0,22);(0,24)","(14,2);(7,8);(21,11);(8,14);(7,14);(4,14);(9,17);(22,10);(6,13);(8,9);(9,14);(21,18);(17,18)",1161,0,completed
4,known_visit,ACBBA,bernoulli,drop_0.25,25,625,13,10,acbba_g25_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(2,13);(21,0);(16,9);(18,18);(20,1);(12,21);(8,20);(24,6);(20,12);(2,6)",10,True,48.80826755072764,48.80826755072764,00:2;01:0;02:1;03:1;04:1;05:1;06:0;07:1;08:0;09:0;10:2;11:0;12:1,"(0,0);(0,2);(0,4);(0,6);(0,8);(0,10);(0,12);(0,14);(0,16);(0,18);(0,20);(0,22);(0,24)","(21,0);(16,2);(16,9);(7,6);(24,6);(9,13);(11,13);(21,12);(8,16);(12,21);(18,17);(6,6);(11,14)",954,0,completed
5,known_visit,ACBBA,bernoulli,drop_0.25,25,625,13,10,acbba_g25_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(12,1);(2,6);(5,21);(7,2);(1,8);(16,3);(21,4);(24,20);(13,23);(5,6)",10,True,47.113323913363885,47.113323913363885,00:0;01:4;02:0;03:2;04:1;05:0;06:0;07:0;08:0;09:0;10:0;11:2;12:1,"(0,0);(0,2);(0,4);(0,6);(0,8);(0,10);(0,12);(0,14);(0,16);(0,18);(0,20);(0,22);(0,24)","(4,6);(23,4);(13,1);(13,3);(5,4);(13,21);(2,6);(0,7);(5,16);(3,13);(8,24);(24,20);(5,19)",965,0,completed
6,known_visit,ACBBA,bernoulli,drop_0.25,25,625,13,10,acbba_g25_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(5,9);(24,15);(3,8);(9,8);(8,0);(24,20);(10,3);(13,9);(12,24);(11,14)",10,True,47.69971348514136,47.69971348514136,00:2;01:0;02:0;03:1;04:3;05:1;06:0;07:0;08:0;09:0;10:2;11:0;12:1,"(0,0);(0,2);(0,4);(0,6);(0,8);(0,10);(0,12);(0,14);(0,16);(0,18);(0,20);(0,22);(0,24)","(10,3);(9,7);(6,7);(10,6);(13,10);(12,3);(5,10);(11,14);(3,5);(5,9);(24,15);(12,24);(12,10)",948,0,completed
7,known_visit,ACBBA,bernoulli,drop_0.25,25,625,13,10,acbba_g25_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(4,17);(9,16);(9,18);(24,1);(21,18);(9,19);(2,19);(14,19);(14,22);(2,6)",10,True,74.9499728368024,74.9499728368024,00:1;01:0;02:0;03:1;04:0;05:0;06:0;07:0;08:2;09:3;10:2;11:0;12:1,"(0,0);(0,2);(0,4);(0,6);(0,8);(0,10);(0,12);(0,14);(0,16);(0,18);(0,20);(0,22);(0,24)","(9,16);(2,19);(13,23);(10,16);(9,14);(7,13);(8,14);(4,17);(14,22);(24,1);(14,19);(21,18);(14,21)",1586,0,completed
8,known_visit,ACBBA,bernoulli,drop_0.25,25,625,13,10,acbba_g25_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(8,11);(22,0);(10,0);(12,12);(22,15);(7,8);(12,17);(5,8);(20,13);(11,13)",10,True,61.24154620454709,61.24154620454709,00:2;01:0;02:0;03:0;04:2;05:0;06:2;07:2;08:0;09:1;10:1;11:0;12:0,"(0,0);(0,2);(0,4);(0,6);(0,8);(0,10);(0,12);(0,14);(0,16);(0,18);(0,20);(0,22);(0,24)","(22,0);(20,11);(7,8);(8,12);(13,10);(11,11);(17,12);(20,13);(12,12);(8,11);(22,15);(15,17);(18,16)",1238,0,completed
9,known_visit,ACBBA,bernoulli,drop_0.25,25,625,13,10,acbba_g25_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(12,13);(0,15);(8,21);(12,5);(6,20);(1,10);(15,19);(2,11);(24,1);(15,2)",10,True,44.97586870302719,44.97586870302719,00:1;01:1;02:2;03:1;04:0;05:1;06:0;07:0;08:1;09:1;10:1;11:1;12:0,"(0,0);(0,2);(0,4);(0,6);(0,8);(0,10);(0,12);(0,14);(0,16);(0,18);(0,20);(0,22);(0,24)","(16,4);(2,17);(24,1);(12,13);(12,8);(2,11);(8,13);(3,13);(1,9);(10,19);(15,16);(8,20);(8,21)",905,0,completed
