trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,target_locations,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,targets_found_by_robot,robot_start_locations,robot_end_locations,events_processed,stall_recoveries_total,trial_status
25,known_visit,ACBBA,ideal,1.0,19,361,3,10,acbba_g19_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(6,0);(6,17);(16,15);(5,15);(2,15);(1,2);(2,8);(15,10);(9,4);(13,16)",10,True,39.17063105221057,39.17063105221057,00:3;01:2;02:5,"(0,0);(0,9);(0,18)","(9,4);(15,10);(16,15)",163,0,completed
26,known_visit,ACBBA,ideal,1.0,19,361,3,10,acbba_g19_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(2,7);(10,14);(10,1);(7,13);(18,10);(12,12);(8,7);(16,10);(13,10);(17,5)",10,True,39.21112875974644,39.21112875974644,00:2;01:5;02:3,"(0,0);(0,9);(0,18)","(17,5);(18,10);(12,12)",152,0,completed
27,known_visit,ACBBA,ideal,1.0,19,361,3,10,acbba_g19_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(2,15);(9,6);(13,15);(15,5);(14,8);(12,0);(10,14);(17,9);(13,2);(6,11)",10,True,47.67242795417092,47.67242795417092,00:5;01:2;02:3,"(0,0);(0,9);(0,18)","(17,9);(9,6);(14,14)",209,0,completed
28,known_visit,ACBBA,ideal,1.0,19,361,3,10,acbba_g19_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(4,16);(5,7);(9,10);(6,0);(15,15);(1,5);(14,4);(4,7);(13,7);(7,7)",10,True,46.96307682060048,46.96307682060048,00:2;01:5;02:3,"(0,0);(0,9);(0,18)","(14,5);(13,7);(15,15)",195,0,completed
29,known_visit,ACBBA,ideal,1.0,19,361,3,10,acbba_g19_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(15,14);(18,9);(9,9);(15,18);(10,1);(11,5);(18,2);(12,11);(5,18);(7,15)",10,True,48.51675569106759,48.51675569106759,00:2;01:4;02:4,"(0,0);(0,9);(0,18)","(11,5);(18,2);(15,18)",205,0,completed
30,known_visit,ACBBA,ideal,1.0,19,361,3,10,acbba_g19_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(15,8);(7,18);(3,15);(8,15);(16,13);(3,4);(13,17);(2,5);(11,0);(17,3)",10,True,60.69720129516071,60.69720129516071,00:2;01:2;02:6,"(0,0);(0,9);(0,18)","(11,0);(17,3);(15,8)",267,0,completed
31,known_visit,ACBBA,ideal,1.0,19,361,3,10,acbba_g19_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(10,3);(14,5);(8,4);(10,8);(4,13);(10,4);(0,2);(6,18);(8,15);(12,2)",10,True,38.718853926062266,38.718853926062266,00:6;01:2;02:2,"(0,0);(0,9);(0,18)","(14,5);(10,8);(8,11)",160,0,completed
32,known_visit,ACBBA,ideal,1.0,19,361,3,10,acbba_g19_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(16,8);(5,1);(14,15);(3,5);(11,17);(14,18);(14,0);(8,16);(1,16);(7,0)",10,True,45.15165750298113,45.15165750298113,00:4;01:2;02:4,"(0,0);(0,9);(0,18)","(16,8);(11,17);(14,18)",177,0,completed
33,known_visit,ACBBA,ideal,1.0,19,361,3,10,acbba_g19_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(14,10);(6,5);(13,0);(15,6);(2,2);(1,14);(17,17);(4,5);(3,18);(3,2)",10,True,46.840216657468375,46.840216657468375,00:5;01:3;02:2,"(0,0);(0,9);(0,18)","(13,0);(15,6);(17,17)",193,0,completed
34,known_visit,ACBBA,ideal,1.0,19,361,3,10,acbba_g19_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(5,13);(18,17);(3,1);(2,13);(6,2);(12,2);(14,9);(6,0);(11,3);(12,7)",10,True,43.95067127567949,43.95067127567949,00:5;01:4;02:1,"(0,0);(0,9);(0,18)","(11,7);(12,7);(18,16)",174,0,completed
35,known_visit,ACBBA,ideal,1.0,19,361,3,10,acbba_g19_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(6,13);(15,4);(6,0);(16,10);(10,0);(12,3);(8,9);(10,15);(2,8);(18,6)",10,True,40.02781840834816,40.02781840834816,00:5;01:3;02:2,"(0,0);(0,9);(0,18)","(18,6);(16,10);(10,15)",164,0,completed
36,known_visit,ACBBA,ideal,1.0,19,361,3,10,acbba_g19_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(12,13);(7,8);(3,16);(12,17);(14,15);(14,16);(9,16);(7,2);(2,9);(15,14)",10,True,41.49542485565258,41.49542485565258,00:2;01:2;02:6,"(0,0);(0,9);(0,18)","(12,13);(12,8);(15,14)",175,0,completed
37,known_visit,ACBBA,ideal,1.0,19,361,3,10,acbba_g19_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(0,17);(10,3);(3,8);(6,3);(17,6);(12,10);(6,1);(7,10);(3,5);(7,8)",10,True,39.10918631137549,39.10918631137549,00:4;01:3;02:3,"(0,0);(0,9);(0,18)","(17,6);(7,9);(12,10)",161,0,completed
38,known_visit,ACBBA,ideal,1.0,19,361,3,10,acbba_g19_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(15,3);(14,8);(15,9);(16,2);(14,15);(5,12);(12,17);(7,6);(9,3);(5,10)",10,True,49.12882050765546,49.12882050765546,00:2;01:5;02:3,"(0,0);(0,9);(0,18)","(13,4);(16,2);(14,5)",189,0,completed
39,known_visit,ACBBA,ideal,1.0,19,361,3,10,acbba_g19_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(9,8);(15,6);(12,8);(3,5);(4,2);(12,3);(16,17);(18,4);(5,3);(4,6)",10,True,44.0645628990377,44.0645628990377,00:5;01:4;02:1,"(0,0);(0,9);(0,18)","(18,4);(12,8);(16,17)",180,0,completed
40,known_visit,ACBBA,ideal,1.0,19,361,3,10,acbba_g19_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(2,4);(2,18);(1,7);(1,15);(6,5);(13,9);(17,17);(3,5);(8,18);(1,2)",10,True,48.42628579343863,48.42628579343863,00:2;01:4;02:4,"(0,0);(0,9);(0,18)","(6,4);(13,9);(17,17)",218,0,completed
41,known_visit,ACBBA,ideal,1.0,19,361,3,10,acbba_g19_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(4,18);(5,18);(11,12);(2,6);(8,10);(9,13);(3,1);(12,13);(13,16);(7,6)",10,True,34.885301811885384,34.885301811885384,00:1;01:4;02:5,"(0,0);(0,9);(0,18)","(7,7);(11,12);(13,16)",142,0,completed
42,known_visit,ACBBA,ideal,1.0,19,361,3,10,acbba_g19_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(15,3);(12,8);(17,10);(18,4);(11,8);(17,3);(10,16);(16,18);(15,8);(17,18)",10,True,36.69281782683478,36.69281782683478,00:3;01:4;02:3,"(0,0);(0,9);(0,18)","(18,4);(17,10);(17,18)",140,0,completed
43,known_visit,ACBBA,ideal,1.0,19,361,3,10,acbba_g19_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(2,17);(13,14);(15,3);(12,17);(12,4);(6,6);(3,4);(16,13);(5,9);(4,6)",10,True,37.263230428755215,37.263230428755215,00:3;01:3;02:4,"(0,0);(0,9);(0,18)","(15,3);(8,6);(16,13)",154,0,completed
44,known_visit,ACBBA,ideal,1.0,19,361,3,10,acbba_g19_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(4,14);(8,14);(17,17);(5,7);(8,15);(2,14);(12,5);(18,11);(3,12);(4,18)",10,True,58.34051739124513,58.34051739124513,00:2;01:5;02:3,"(0,0);(0,9);(0,18)","(12,5);(18,11);(8,14)",267,0,completed
45,known_visit,ACBBA,ideal,1.0,19,361,3,10,acbba_g19_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(18,10);(5,16);(11,17);(18,8);(5,18);(9,15);(18,7);(17,16);(1,9);(9,3)",10,True,59.8364337688556,59.8364337688556,00:3;01:4;02:3,"(0,0);(0,9);(0,18)","(18,8);(18,9);(18,11)",257,0,completed
46,known_visit,ACBBA,ideal,1.0,19,361,3,10,acbba_g19_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(9,16);(15,7);(13,0);(7,0);(4,9);(2,16);(18,14);(18,15);(18,13);(15,4)",10,True,43.68184407893702,43.68184407893702,00:3;01:3;02:4,"(0,0);(0,9);(0,18)","(15,4);(18,13);(18,14)",177,0,completed
47,known_visit,ACBBA,ideal,1.0,19,361,3,10,acbba_g19_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(12,10);(3,9);(12,4);(15,12);(4,10);(5,1);(9,7);(3,18);(14,15);(5,5)",10,True,36.90412549964613,36.90412549964613,00:4;01:4;02:2,"(0,0);(0,9);(0,18)","(12,4);(15,12);(14,15)",149,0,completed
48,known_visit,ACBBA,ideal,1.0,19,361,3,10,acbba_g19_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(10,5);(10,14);(9,2);(5,4);(4,4);(2,18);(8,18);(9,10);(13,3);(16,16)",10,True,36.62687335047711,36.62687335047711,00:4;01:2;02:4,"(0,0);(0,9);(0,18)","(13,3);(10,5);(16,16)",148,0,completed
49,known_visit,ACBBA,ideal,1.0,19,361,3,10,acbba_g19_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,"(3,18);(17,6);(7,11);(9,15);(6,14);(10,9);(3,0);(12,1);(7,2);(1,12)",10,True,42.35026164051791,42.35026164051791,00:4;01:3;02:3,"(0,0);(0,9);(0,18)","(17,6);(10,9);(9,15)",188,0,completed
