trial_id,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,total_team_steps,steps_before_first_clue,post_clue_steps_to_find,unique_cells_searched,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,post_clue_messages_sent_total,post_clue_allocation_messages_sent_total,message_drop_fraction,messages_per_unique_cell,messages_per_post_clue_step,allocation_messages_per_step,allocation_messages_per_post_clue_step,allocation_messages_per_unique_cell,messages_sent_by_topic,max_steps_any_robot,max_messages_any_robot,workload_gini_unique_cells_contributed,trial_status,failure_type,failure_message,debug_max_events
14,HIPC,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,hipc_gilbert_elliott_drop_0_30_rho_0_8,,coverage,640,640,0,361,283,0,0,0,2908,6763,1959,650,2258,1290,1618,0,0,0.2892793857058476,8.055401662049862,0.0,2.528125,0.0,4.481994459833795,collision_intent:650;hipc_clear_bundle:2;hipc_entry:1616;state:640,162,768,0.1572022160664821,completed,,,
15,HIPC,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,hipc_gilbert_elliott_drop_0_30_rho_0_8,,coverage,597,597,0,361,240,0,0,0,2742,6511,1714,611,2131,1208,1534,0,0,0.2681476846057572,7.595567867036011,0.0,2.5695142378559463,0.0,4.249307479224377,collision_intent:611;hipc_clear_bundle:2;hipc_entry:1532;state:597,153,716,0.1142659279778393,completed,,,
16,HIPC,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,hipc_gilbert_elliott_drop_0_30_rho_0_8,,coverage,525,525,0,361,168,0,0,0,3621,8212,2650,537,3084,1062,2559,0,0,0.2864555183223435,10.030470914127424,0.0,4.8742857142857146,0.0,7.088642659279778,collision_intent:537;hipc_clear_bundle:1;hipc_entry:2558;state:525,257,1204,0.4951523545706371,completed,,,
17,HIPC,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,hipc_gilbert_elliott_drop_0_30_rho_0_8,,coverage,614,614,0,361,257,0,0,0,2772,6525,1787,630,2142,1244,1528,0,0,0.2782189008251596,7.678670360110804,0.0,2.488599348534202,0.0,4.232686980609419,collision_intent:630;hipc_entry:1528;state:614,156,729,0.08379501385041555,completed,,,
18,HIPC,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,hipc_gilbert_elliott_drop_0_30_rho_0_8,,coverage,527,527,0,361,170,0,0,0,2550,5766,1884,550,2000,1077,1473,0,0,0.314,7.06371191135734,0.0,2.795066413662239,0.0,4.080332409972299,collision_intent:550;hipc_clear_bundle:1;hipc_entry:1472;state:527,132,648,0.08933518005540164,completed,,,
19,HIPC,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,hipc_gilbert_elliott_drop_0_30_rho_0_8,,coverage,621,621,0,361,264,0,0,0,2819,6482,1973,641,2178,1262,1557,0,0,0.3020514390691978,7.808864265927978,0.0,2.5072463768115942,0.0,4.313019390581718,collision_intent:641;hipc_clear_bundle:4;hipc_entry:1553;state:621,159,773,0.15443213296398883,completed,,,
20,HIPC,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,hipc_gilbert_elliott_drop_0_30_rho_0_8,,coverage,658,658,0,361,301,0,0,0,4229,9415,3269,678,3551,1336,2893,0,0,0.30694835680751176,11.714681440443213,0.0,4.396656534954407,0.0,8.013850415512465,collision_intent:678;hipc_clear_bundle:1;hipc_entry:2892;state:658,260,1094,0.22091412742382266,completed,,,
21,HIPC,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,hipc_gilbert_elliott_drop_0_30_rho_0_8,,coverage,624,624,0,361,267,0,0,0,2834,6383,2110,643,2191,1267,1567,0,0,0.3213524215656412,7.850415512465374,0.0,2.511217948717949,0.0,4.340720221606648,collision_intent:643;hipc_entry:1567;state:624,158,751,0.11703601108033235,completed,,,
22,HIPC,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,hipc_gilbert_elliott_drop_0_30_rho_0_8,,coverage,514,514,0,361,157,0,0,0,3904,8922,2787,521,3383,1035,2869,0,0,0.2746895328208161,10.814404432132964,0.0,5.581712062256809,0.0,7.947368421052632,collision_intent:521;hipc_entry:2869;state:514,230,1140,0.46468144044321336,completed,,,
23,HIPC,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,hipc_gilbert_elliott_drop_0_30_rho_0_8,,coverage,547,547,0,361,190,0,0,0,2572,6120,1595,559,2013,1106,1466,0,0,0.26416031798608813,7.124653739612189,0.0,2.680073126142596,0.0,4.0609418282548475,collision_intent:559;hipc_clear_bundle:1;hipc_entry:1465;state:547,142,664,0.1087257617728532,completed,,,
24,HIPC,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,hipc_gilbert_elliott_drop_0_30_rho_0_8,,coverage,638,638,0,361,281,0,0,0,2866,6571,2024,653,2213,1291,1575,0,0,0.3050030138637734,7.9390581717451525,0.0,2.468652037617555,0.0,4.362880886426593,collision_intent:653;hipc_entry:1575;state:638,162,783,0.17243767313019398,completed,,,
25,HIPC,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,hipc_gilbert_elliott_drop_0_30_rho_0_8,,coverage,607,607,0,361,250,0,0,0,2725,6360,1810,612,2113,1219,1506,0,0,0.2857593937480265,7.5484764542936285,0.0,2.481054365733114,0.0,4.17174515235457,collision_intent:612;hipc_clear_bundle:1;hipc_entry:1505;state:607,155,709,0.09487534626038774,completed,,,
26,HIPC,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,hipc_gilbert_elliott_drop_0_30_rho_0_8,,coverage,638,638,0,361,281,0,0,0,2903,6694,2013,647,2256,1285,1618,0,0,0.2975169967484481,8.041551246537397,0.0,2.5360501567398117,0.0,4.481994459833795,collision_intent:647;hipc_entry:1618;state:638,161,750,0.07409972299168976,completed,,,
27,HIPC,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,hipc_gilbert_elliott_drop_0_30_rho_0_8,,coverage,702,702,0,361,345,0,0,0,3088,7274,1987,718,2370,1420,1668,0,0,0.2795835092162657,8.554016620498615,0.0,2.376068376068376,0.0,4.620498614958449,collision_intent:718;hipc_clear_bundle:2;hipc_entry:1666;state:702,178,794,0.06717451523545703,completed,,,
28,HIPC,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,hipc_gilbert_elliott_drop_0_30_rho_0_8,,coverage,719,719,0,361,362,0,0,0,3057,7216,1952,737,2320,1456,1601,0,0,0.28058071007618224,8.46814404432133,0.0,2.2267037552155773,0.0,4.434903047091413,collision_intent:737;hipc_clear_bundle:2;hipc_entry:1599;state:719,183,840,0.13227146814404422,completed,,,
29,HIPC,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,hipc_gilbert_elliott_drop_0_30_rho_0_8,,coverage,495,495,0,361,138,0,0,0,4078,9029,3203,499,3579,994,3084,0,0,0.2983698183511877,11.296398891966758,0.0,6.2303030303030305,0.0,8.542936288088642,collision_intent:499;hipc_clear_bundle:1;hipc_entry:3083;state:495,245,1179,0.48684210526315796,completed,,,
30,HIPC,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,hipc_gilbert_elliott_drop_0_30_rho_0_8,,coverage,613,613,0,361,256,0,0,0,2819,6321,2136,619,2200,1232,1587,0,0,0.3236363636363636,7.808864265927978,0.0,2.5889070146818924,0.0,4.39612188365651,collision_intent:619;hipc_entry:1587;state:613,158,760,0.17520775623268703,completed,,,
31,HIPC,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,hipc_gilbert_elliott_drop_0_30_rho_0_8,,coverage,654,654,0,361,297,0,0,0,2916,6659,2084,674,2242,1328,1588,0,0,0.3100729058175867,8.077562326869806,0.0,2.4281345565749235,0.0,4.3988919667590025,collision_intent:674;hipc_clear_bundle:2;hipc_entry:1586;state:654,166,741,0.15166204986149578,completed,,,
32,HIPC,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,hipc_gilbert_elliott_drop_0_30_rho_0_8,,coverage,630,630,0,361,273,0,0,0,2797,6431,1959,642,2155,1272,1525,0,0,0.3030631188118812,7.747922437673131,0.0,2.4206349206349205,0.0,4.224376731301939,collision_intent:642;hipc_entry:1525;state:630,160,749,0.14196675900277,completed,,,
33,HIPC,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,hipc_gilbert_elliott_drop_0_30_rho_0_8,,coverage,666,666,0,361,309,0,0,0,2960,6926,1953,680,2280,1346,1614,0,0,0.28556806550665303,8.199445983379501,0.0,2.4234234234234235,0.0,4.470914127423823,collision_intent:680;hipc_clear_bundle:1;hipc_entry:1613;state:666,168,772,0.10457063711911352,completed,,,
34,HIPC,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,hipc_gilbert_elliott_drop_0_30_rho_0_8,,coverage,759,759,0,361,402,0,0,0,3211,7309,2322,771,2440,1530,1681,0,0,0.31729980869089913,8.894736842105264,0.0,2.214756258234519,0.0,4.6565096952908585,collision_intent:771;hipc_clear_bundle:1;hipc_entry:1680;state:759,193,827,0.061634349030470936,completed,,,
35,HIPC,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,hipc_gilbert_elliott_drop_0_30_rho_0_8,,coverage,618,618,0,361,261,0,0,0,2801,6441,1959,630,2171,1248,1553,0,0,0.3009216589861751,7.759002770083103,0.0,2.51294498381877,0.0,4.301939058171745,collision_intent:630;hipc_clear_bundle:3;hipc_entry:1550;state:618,156,728,0.12396121883656508,completed,,,
36,HIPC,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,hipc_gilbert_elliott_drop_0_30_rho_0_8,,coverage,716,716,0,361,359,0,0,0,3102,7132,2172,733,2369,1449,1653,0,0,0.3057002111189303,8.592797783933518,0.0,2.308659217877095,0.0,4.578947368421052,collision_intent:733;hipc_clear_bundle:1;hipc_entry:1652;state:716,182,831,0.15304709141274242,completed,,,
