trial_id,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,total_team_steps,steps_before_first_clue,post_clue_steps_to_find,unique_cells_searched,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,post_clue_messages_sent_total,post_clue_allocation_messages_sent_total,message_drop_fraction,messages_per_unique_cell,messages_per_post_clue_step,allocation_messages_per_step,allocation_messages_per_post_clue_step,allocation_messages_per_unique_cell,messages_sent_by_topic,max_steps_any_robot,max_messages_any_robot,workload_gini_unique_cells_contributed,trial_status
0,HIPC,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,hipc_gilbert_elliott_drop_0_10_rho_0_8,,coverage,455,455,0,361,98,0,0,0,2142,5826,597,461,1681,916,1226,0,0,0.11845238095238095,5.933518005540166,0.0,2.6945054945054947,0.0,3.3961218836565097,collision_intent:461;hipc_entry:1226;state:455,116,569,0.07271468144044313,completed
1,HIPC,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,hipc_gilbert_elliott_drop_0_10_rho_0_8,,coverage,454,454,0,361,97,0,0,0,2082,5769,474,458,1624,912,1170,0,0,0.0973505853357979,5.767313019390581,0.0,2.5770925110132157,0.0,3.2409972299168976,collision_intent:458;hipc_entry:1170;state:454,114,546,0.08240997229916891,completed
2,HIPC,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,hipc_gilbert_elliott_drop_0_10_rho_0_8,,coverage,464,464,0,361,107,0,0,0,2165,5956,536,471,1694,935,1230,0,0,0.10553258515455799,5.997229916897507,0.0,2.6508620689655173,0.0,3.407202216066482,collision_intent:471;hipc_clear_bundle:1;hipc_entry:1229;state:464,117,573,0.11011080332409962,completed
3,HIPC,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,hipc_gilbert_elliott_drop_0_10_rho_0_8,,coverage,478,478,0,361,121,0,0,0,2120,5861,496,490,1630,968,1152,0,0,0.10149375895232249,5.872576177285318,0.0,2.410041841004184,0.0,3.1911357340720223,collision_intent:490;hipc_entry:1152;state:478,121,549,0.05609418282548484,completed
4,HIPC,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,hipc_gilbert_elliott_drop_0_10_rho_0_8,,coverage,527,527,0,361,170,0,0,0,2319,6413,542,529,1790,1056,1263,0,0,0.10096870342771982,6.423822714681441,0.0,2.396584440227704,0.0,3.4986149584487536,collision_intent:529;hipc_entry:1263;state:527,133,631,0.14473684210526305,completed
5,HIPC,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,hipc_gilbert_elliott_drop_0_10_rho_0_8,,coverage,483,483,0,361,126,0,0,0,2188,5965,593,489,1699,972,1216,0,0,0.11648006285602043,6.0609418282548475,0.0,2.5175983436853,0.0,3.3684210526315788,collision_intent:489;hipc_entry:1216;state:483,122,570,0.07686980609418281,completed
6,HIPC,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,hipc_gilbert_elliott_drop_0_10_rho_0_8,,coverage,480,480,0,361,123,0,0,0,2150,6069,378,493,1657,973,1177,0,0,0.07608695652173914,5.955678670360111,0.0,2.4520833333333334,0.0,3.260387811634349,collision_intent:493;hipc_entry:1177;state:480,121,583,0.08518005540166196,completed
7,HIPC,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,hipc_gilbert_elliott_drop_0_10_rho_0_8,,coverage,477,477,0,361,120,0,0,0,2180,5975,563,481,1699,958,1222,0,0,0.11050049067713444,6.038781163434903,0.0,2.561844863731656,0.0,3.3850415512465375,collision_intent:481;hipc_entry:1222;state:477,123,567,0.06855955678670367,completed
8,HIPC,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,hipc_gilbert_elliott_drop_0_10_rho_0_8,,coverage,432,432,0,361,75,0,0,0,1905,5329,384,446,1459,878,1027,0,0,0.08777142857142857,5.2770083102493075,0.0,2.377314814814815,0.0,2.844875346260388,collision_intent:446;hipc_clear_bundle:1;hipc_entry:1026;state:432,109,527,0.022853185595567815,completed
9,HIPC,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,hipc_gilbert_elliott_drop_0_10_rho_0_8,,coverage,512,512,0,361,155,0,0,0,2255,6172,590,518,1737,1030,1225,0,0,0.11328725038402458,6.246537396121884,0.0,2.392578125,0.0,3.3933518005540164,collision_intent:518;hipc_clear_bundle:1;hipc_entry:1224;state:512,130,621,0.14473684210526305,completed
