trial_id,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,robot_id,steps_total,steps_after_first_clue,unique_cells_contributed,system_revisits_by_robot,task_cell_replans,path_replans,collision_prevention_events,messages_sent,protected_messages_sent,unprotected_messages_sent,core_messages_sent,allocation_messages_sent,post_clue_messages_sent,messages_sent_by_topic,messages_delivered_to_robot,messages_dropped_to_robot,trial_status
0,HIPC,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,hipc_gilbert_elliott_drop_0_10_rho_0_8,,coverage,00,112,0,82,31,0,0,0,525,113,412,225,300,0,collision_intent:113;hipc_entry:300;state:112,1474,142,completed
0,HIPC,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,hipc_gilbert_elliott_drop_0_10_rho_0_8,,coverage,01,114,0,75,40,0,0,0,514,116,398,230,284,0,collision_intent:116;hipc_entry:284;state:114,1448,179,completed
0,HIPC,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,hipc_gilbert_elliott_drop_0_10_rho_0_8,,coverage,02,113,0,100,14,0,0,0,534,115,419,228,306,0,collision_intent:115;hipc_entry:306;state:113,1473,135,completed
0,HIPC,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,hipc_gilbert_elliott_drop_0_10_rho_0_8,,coverage,03,116,0,104,13,0,0,0,569,117,452,233,336,0,collision_intent:117;hipc_entry:336;state:116,1431,141,completed
1,HIPC,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,hipc_gilbert_elliott_drop_0_10_rho_0_8,,coverage,00,112,0,102,11,0,0,0,527,112,415,224,303,0,collision_intent:112;hipc_entry:303;state:112,1459,95,completed
1,HIPC,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,hipc_gilbert_elliott_drop_0_10_rho_0_8,,coverage,01,114,0,104,11,0,0,0,546,114,432,228,318,0,collision_intent:114;hipc_entry:318;state:114,1394,142,completed
1,HIPC,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,hipc_gilbert_elliott_drop_0_10_rho_0_8,,coverage,02,114,0,85,30,0,0,0,510,116,394,230,280,0,collision_intent:116;hipc_entry:280;state:114,1466,105,completed
1,HIPC,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,hipc_gilbert_elliott_drop_0_10_rho_0_8,,coverage,03,114,0,70,45,0,0,0,499,116,383,230,269,0,collision_intent:116;hipc_entry:269;state:114,1450,132,completed
2,HIPC,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,hipc_gilbert_elliott_drop_0_10_rho_0_8,,coverage,00,117,0,106,12,0,0,0,573,118,455,235,338,0,collision_intent:118;hipc_entry:338;state:117,1470,121,completed
2,HIPC,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,hipc_gilbert_elliott_drop_0_10_rho_0_8,,coverage,01,114,0,60,55,0,0,0,490,118,372,232,258,0,collision_intent:118;hipc_clear_bundle:1;hipc_entry:257;state:114,1515,159,completed
