scenario,metric,comm_model,comm_level_pct,eligible_paired_trials
Bayesian clue-informed search,max_agent_steps,bernoulli,5,385
Bayesian clue-informed search,max_agent_steps,bernoulli,10,385
Bayesian clue-informed search,max_agent_steps,bernoulli,20,385
Bayesian clue-informed search,max_agent_steps,bernoulli,30,386
Bayesian clue-informed search,max_agent_steps,bernoulli,40,386
Bayesian clue-informed search,max_agent_steps,bernoulli,50,386
Bayesian clue-informed search,max_agent_steps,bernoulli,60,386
Bayesian clue-informed search,max_agent_steps,bernoulli,70,385
Bayesian clue-informed search,max_agent_steps,gilbert_elliott,5,385
Bayesian clue-informed search,max_agent_steps,gilbert_elliott,10,386
Bayesian clue-informed search,max_agent_steps,gilbert_elliott,20,385
Bayesian clue-informed search,max_agent_steps,gilbert_elliott,30,385
Bayesian clue-informed search,max_agent_steps,gilbert_elliott,40,384
Bayesian clue-informed search,max_agent_steps,gilbert_elliott,50,385
Bayesian clue-informed search,max_agent_steps,gilbert_elliott,60,385
Bayesian clue-informed search,max_agent_steps,gilbert_elliott,70,386
Bayesian clue-informed search,max_agent_steps,rayleigh_style,5,386
Bayesian clue-informed search,max_agent_steps,rayleigh_style,10,385
Bayesian clue-informed search,max_agent_steps,rayleigh_style,20,386
Bayesian clue-informed search,max_agent_steps,rayleigh_style,30,386
Bayesian clue-informed search,max_agent_steps,rayleigh_style,40,385
Bayesian clue-informed search,max_agent_steps,rayleigh_style,50,386
Bayesian clue-informed search,max_agent_steps,rayleigh_style,60,386
Bayesian clue-informed search,max_agent_steps,rayleigh_style,70,385
Bayesian clue-informed search,total_team_steps,bernoulli,5,385
Bayesian clue-informed search,total_team_steps,bernoulli,10,385
Bayesian clue-informed search,total_team_steps,bernoulli,20,385
Bayesian clue-informed search,total_team_steps,bernoulli,30,386
Bayesian clue-informed search,total_team_steps,bernoulli,40,386
Bayesian clue-informed search,total_team_steps,bernoulli,50,386
Bayesian clue-informed search,total_team_steps,bernoulli,60,386
Bayesian clue-informed search,total_team_steps,bernoulli,70,385
Bayesian clue-informed search,total_team_steps,gilbert_elliott,5,385
Bayesian clue-informed search,total_team_steps,gilbert_elliott,10,386
Bayesian clue-informed search,total_team_steps,gilbert_elliott,20,385
Bayesian clue-informed search,total_team_steps,gilbert_elliott,30,385
Bayesian clue-informed search,total_team_steps,gilbert_elliott,40,384
Bayesian clue-informed search,total_team_steps,gilbert_elliott,50,385
Bayesian clue-informed search,total_team_steps,gilbert_elliott,60,385
Bayesian clue-informed search,total_team_steps,gilbert_elliott,70,386
Bayesian clue-informed search,total_team_steps,rayleigh_style,5,386
Bayesian clue-informed search,total_team_steps,rayleigh_style,10,385
Bayesian clue-informed search,total_team_steps,rayleigh_style,20,386
Bayesian clue-informed search,total_team_steps,rayleigh_style,30,386
Bayesian clue-informed search,total_team_steps,rayleigh_style,40,385
Bayesian clue-informed search,total_team_steps,rayleigh_style,50,386
Bayesian clue-informed search,total_team_steps,rayleigh_style,60,386
Bayesian clue-informed search,total_team_steps,rayleigh_style,70,385
Bayesian clue-informed search,team_messages_per_step,bernoulli,5,385
Bayesian clue-informed search,team_messages_per_step,bernoulli,10,385
Bayesian clue-informed search,team_messages_per_step,bernoulli,20,385
Bayesian clue-informed search,team_messages_per_step,bernoulli,30,386
Bayesian clue-informed search,team_messages_per_step,bernoulli,40,386
Bayesian clue-informed search,team_messages_per_step,bernoulli,50,386
Bayesian clue-informed search,team_messages_per_step,bernoulli,60,386
Bayesian clue-informed search,team_messages_per_step,bernoulli,70,385
Bayesian clue-informed search,team_messages_per_step,gilbert_elliott,5,385
Bayesian clue-informed search,team_messages_per_step,gilbert_elliott,10,386
Bayesian clue-informed search,team_messages_per_step,gilbert_elliott,20,385
Bayesian clue-informed search,team_messages_per_step,gilbert_elliott,30,385
Bayesian clue-informed search,team_messages_per_step,gilbert_elliott,40,384
Bayesian clue-informed search,team_messages_per_step,gilbert_elliott,50,385
Bayesian clue-informed search,team_messages_per_step,gilbert_elliott,60,385
Bayesian clue-informed search,team_messages_per_step,gilbert_elliott,70,386
Bayesian clue-informed search,team_messages_per_step,rayleigh_style,5,386
Bayesian clue-informed search,team_messages_per_step,rayleigh_style,10,385
Bayesian clue-informed search,team_messages_per_step,rayleigh_style,20,386
Bayesian clue-informed search,team_messages_per_step,rayleigh_style,30,386
Bayesian clue-informed search,team_messages_per_step,rayleigh_style,40,385
Bayesian clue-informed search,team_messages_per_step,rayleigh_style,50,386
Bayesian clue-informed search,team_messages_per_step,rayleigh_style,60,386
Bayesian clue-informed search,team_messages_per_step,rayleigh_style,70,385
Coverage area search,max_agent_steps,bernoulli,5,100
Coverage area search,max_agent_steps,bernoulli,10,100
Coverage area search,max_agent_steps,bernoulli,20,100
Coverage area search,max_agent_steps,bernoulli,30,100
Coverage area search,max_agent_steps,bernoulli,40,100
Coverage area search,max_agent_steps,bernoulli,50,100
Coverage area search,max_agent_steps,bernoulli,60,100
Coverage area search,max_agent_steps,bernoulli,70,100
Coverage area search,max_agent_steps,gilbert_elliott,5,100
Coverage area search,max_agent_steps,gilbert_elliott,10,100
Coverage area search,max_agent_steps,gilbert_elliott,20,94
Coverage area search,max_agent_steps,gilbert_elliott,30,85
Coverage area search,max_agent_steps,gilbert_elliott,40,77
Coverage area search,max_agent_steps,gilbert_elliott,50,41
Coverage area search,max_agent_steps,gilbert_elliott,60,24
Coverage area search,max_agent_steps,gilbert_elliott,70,17
