mission,comm_model,comm_label,degradation_pct,algorithm,attempted_trials,completed_trials,failed_trials,completion_rate,failure_rate,completion_ci95_wilson_low,completion_ci95_wilson_high,failure_reasons,six_way_paired_n_continuous_metrics,continuous_metric_scope
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_30_rho_0_8,30,DGA,100,93,7,0.93,0.07,0.862504852609265,0.965680738932727,RuntimeError: scheduler-event safety cap before 361-cell coverage (n=7),85,conditional on completion and six-way paired eligibility
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_40_rho_0_8,40,CBAA,100,91,9,0.91,0.09,0.837737871472837,0.951927459997435,RuntimeError: scheduler-event safety cap before 361-cell coverage (n=9),77,conditional on completion and six-way paired eligibility
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_40_rho_0_8,40,ACBBA,100,100,0,1,0,0.963006501793014,1,none,77,conditional on completion and six-way paired eligibility
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_40_rho_0_8,40,PI,100,96,4,0.96,0.04,0.901629285641121,0.984336696008452,RuntimeError: scheduler-event safety cap before 361-cell coverage (n=4),77,conditional on completion and six-way paired eligibility
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_40_rho_0_8,40,HIPC,100,98,2,0.98,0.02,0.929988209271456,0.994498032449838,RuntimeError: scheduler-event safety cap before 361-cell coverage (n=2),77,conditional on completion and six-way paired eligibility
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_40_rho_0_8,40,DMCHBA,100,100,0,1,0,0.963006501793014,1,none,77,conditional on completion and six-way paired eligibility
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_40_rho_0_8,40,DGA,100,88,12,0.88,0.12,0.801879005732886,0.930005935629805,RuntimeError: scheduler-event safety cap before 361-cell coverage (n=12),77,conditional on completion and six-way paired eligibility
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_50_rho_0_8,50,CBAA,100,82,18,0.82,0.18,0.733326416136993,0.882997745010536,RuntimeError: scheduler-event safety cap before 361-cell coverage (n=18),41,conditional on completion and six-way paired eligibility
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_50_rho_0_8,50,ACBBA,100,100,0,1,0,0.963006501793014,1,none,41,conditional on completion and six-way paired eligibility
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_50_rho_0_8,50,PI,100,76,24,0.76,0.24,0.667676636501855,0.833086744430512,RuntimeError: scheduler-event safety cap before 361-cell coverage (n=24),41,conditional on completion and six-way paired eligibility
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_50_rho_0_8,50,HIPC,100,93,7,0.93,0.07,0.862504852609265,0.965680738932727,RuntimeError: scheduler-event safety cap before 361-cell coverage (n=7),41,conditional on completion and six-way paired eligibility
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_50_rho_0_8,50,DMCHBA,100,96,4,0.96,0.04,0.901629285641121,0.984336696008452,RuntimeError: scheduler-event safety cap before 361-cell coverage (n=4),41,conditional on completion and six-way paired eligibility
Full Grid Search (FGS),gilbert_elliott,gilbert_elliott_drop_0_50_rho_0_8,50,DGA,100,79,21,0.79,0.21,0.700200311659101,0.858343459380847,RuntimeError: scheduler-event safety cap before 361-cell coverage (n=21),41,conditional on completion and six-way paired eligibility
