scenario,metric,comm_model,comm_level_pct,algorithm,eligible_paired_trials,raw_mean,mean_paired_deviation_pct,ci95_low,ci95_high,ci_method
Bayesian clue-informed search,max_agent_steps,bernoulli,5,CBAA,385,54.57402597402597,0.893658288533162,-1.5318153338087255,3.3191319108750497,normal_approximation_on_paired_trial_deviations
Bayesian clue-informed search,max_agent_steps,bernoulli,5,ACBBA,385,51.763636363636365,-2.0195059071356027,-5.6184695011250625,1.579457686853857,normal_approximation_on_paired_trial_deviations
Bayesian clue-informed search,max_agent_steps,bernoulli,5,PI,385,51.97402597402598,-3.75930857392289,-6.315293664893787,-1.2033234829519932,normal_approximation_on_paired_trial_deviations
Bayesian clue-informed search,max_agent_steps,bernoulli,5,HIPC,385,54.394805194805194,-0.3673072604727963,-2.9527638426085,2.218149321662907,normal_approximation_on_paired_trial_deviations
Bayesian clue-informed search,max_agent_steps,bernoulli,5,DMCHBA,385,50.8,-2.096535877715086,-5.459896197555091,1.2668244421249186,normal_approximation_on_paired_trial_deviations
Bayesian clue-informed search,max_agent_steps,bernoulli,5,DGA,385,56.16883116883117,7.3489993307132115,2.9186285315766094,11.779370129849813,normal_approximation_on_paired_trial_deviations
Bayesian clue-informed search,max_agent_steps,bernoulli,10,CBAA,385,56.10649350649351,-0.46756666656821505,-3.186766664618684,2.251633331482254,normal_approximation_on_paired_trial_deviations
Bayesian clue-informed search,max_agent_steps,bernoulli,10,ACBBA,385,54.43896103896104,-2.382499592581925,-5.560493794804119,0.7954946096402682,normal_approximation_on_paired_trial_deviations
Bayesian clue-informed search,max_agent_steps,bernoulli,10,PI,385,55.18961038961039,-3.1090801718380336,-5.688273736881525,-0.5298866067945416,normal_approximation_on_paired_trial_deviations
Bayesian clue-informed search,max_agent_steps,bernoulli,10,HIPC,385,55.85194805194805,-2.3797775901877714,-4.748661642763006,-0.01089353761253653,normal_approximation_on_paired_trial_deviations
Bayesian clue-informed search,max_agent_steps,bernoulli,10,DMCHBA,385,53.23376623376623,-0.8702711195434117,-4.548572005526638,2.808029766439814,normal_approximation_on_paired_trial_deviations
Bayesian clue-informed search,max_agent_steps,bernoulli,10,DGA,385,60.58701298701299,9.209195140719357,4.641452046547099,13.776938234891617,normal_approximation_on_paired_trial_deviations
Bayesian clue-informed search,max_agent_steps,bernoulli,20,CBAA,385,64.36623376623376,2.9199264002136283,0.31762362690938817,5.522229173517868,normal_approximation_on_paired_trial_deviations
Bayesian clue-informed search,max_agent_steps,bernoulli,20,ACBBA,385,60.093506493506496,-1.2056925146254045,-4.288253862703298,1.8768688334524892,normal_approximation_on_paired_trial_deviations
Bayesian clue-informed search,max_agent_steps,bernoulli,20,PI,385,63.054545454545455,0.8105739609732063,-1.9044996848280624,3.5256476067744753,normal_approximation_on_paired_trial_deviations
Bayesian clue-informed search,max_agent_steps,bernoulli,20,HIPC,385,62.176623376623375,-0.9248943341937442,-3.4395159124022783,1.5897272440147896,normal_approximation_on_paired_trial_deviations
Bayesian clue-informed search,max_agent_steps,bernoulli,20,DMCHBA,385,54.72207792207792,-6.663616800605391,-10.206891997983115,-3.120341603227667,normal_approximation_on_paired_trial_deviations
Bayesian clue-informed search,max_agent_steps,bernoulli,20,DGA,385,61.76883116883117,5.063703288237707,0.4223222948350722,9.705084281640342,normal_approximation_on_paired_trial_deviations
Bayesian clue-informed search,max_agent_steps,bernoulli,30,CBAA,386,69.56735751295336,3.429986922569782,0.6652725114820539,6.19470133365751,normal_approximation_on_paired_trial_deviations
Bayesian clue-informed search,max_agent_steps,bernoulli,30,ACBBA,386,62.145077720207254,-5.855635820846623,-8.566493098356883,-3.1447785433363635,normal_approximation_on_paired_trial_deviations
Bayesian clue-informed search,max_agent_steps,bernoulli,30,PI,386,68.50259067357513,0.32010932910222,-2.2991238773535136,2.939342535557954,normal_approximation_on_paired_trial_deviations
Bayesian clue-informed search,max_agent_steps,bernoulli,30,HIPC,386,68.28497409326425,1.010149091830741,-1.6003020882801375,3.6206002719416195,normal_approximation_on_paired_trial_deviations
Bayesian clue-informed search,max_agent_steps,bernoulli,30,DMCHBA,386,58.66062176165803,-6.569098976342679,-10.299379042436236,-2.838818910249123,normal_approximation_on_paired_trial_deviations
