scenario,grid_size,target_cells_per_robot,comm_label,attempted_block_n,common_block_eligible_n,excluded_block_n,algorithm_count,algorithm_order,friedman_chi_square,df,p_value,kendall_w,eligibility_rule
CLIPS,19,85,bernoulli_025,50,50,0,6,"CBAA,ACBBA,PI,HIPC,DMCHBA,DGA",6.31321370309943,5,0.27692362431934,0.0252528548123977,Friedman ranks use only common complete finite six-algorithm trial blocks
CLIPS,19,140,ideal,50,50,0,6,"CBAA,ACBBA,PI,HIPC,DMCHBA,DGA",0.999999999999939,5,0.962565773247301,0.00399999999999976,Friedman ranks use only common complete finite six-algorithm trial blocks
CLIPS,19,140,bernoulli_025,50,50,0,6,"CBAA,ACBBA,PI,HIPC,DMCHBA,DGA",10.5724033358606,5,0.0605489461217369,0.0422896133434425,Friedman ranks use only common complete finite six-algorithm trial blocks
CLIPS,19,220,ideal,50,50,0,6,"CBAA,ACBBA,PI,HIPC,DMCHBA,DGA",9.3549712407559,5,0.0957160577141571,0.0374198849630236,Friedman ranks use only common complete finite six-algorithm trial blocks
CLIPS,19,220,bernoulli_025,50,49,1,6,"CBAA,ACBBA,PI,HIPC,DMCHBA,DGA",4.76348547717831,5,0.445421231843099,0.0194427978660339,Friedman ranks use only common complete finite six-algorithm trial blocks
CLIPS,25,50,ideal,50,50,0,6,"CBAA,ACBBA,PI,HIPC,DMCHBA,DGA",19.1931438127091,5,0.00176922116638789,0.0767725752508363,Friedman ranks use only common complete finite six-algorithm trial blocks
CLIPS,25,50,bernoulli_025,50,50,0,6,"CBAA,ACBBA,PI,HIPC,DMCHBA,DGA",30.5033557046981,5,1.17380587765226e-05,0.122013422818793,Friedman ranks use only common complete finite six-algorithm trial blocks
CLIPS,25,85,ideal,50,50,0,6,"CBAA,ACBBA,PI,HIPC,DMCHBA,DGA",2.87381158167689,5,0.719432820059727,0.0114952463267076,Friedman ranks use only common complete finite six-algorithm trial blocks
CLIPS,25,85,bernoulli_025,50,50,0,6,"CBAA,ACBBA,PI,HIPC,DMCHBA,DGA",3.78079864061181,5,0.581387158465384,0.0151231945624472,Friedman ranks use only common complete finite six-algorithm trial blocks
CLIPS,25,140,ideal,50,50,0,6,"CBAA,ACBBA,PI,HIPC,DMCHBA,DGA",5.50718849840263,5,0.357158279777335,0.0220287539936105,Friedman ranks use only common complete finite six-algorithm trial blocks
CLIPS,25,140,bernoulli_025,50,48,2,6,"CBAA,ACBBA,PI,HIPC,DMCHBA,DGA",11.6151809355692,5,0.0404585950111191,0.0483965872315382,Friedman ranks use only common complete finite six-algorithm trial blocks
CLIPS,25,220,ideal,50,50,0,6,"CBAA,ACBBA,PI,HIPC,DMCHBA,DGA",5.87977707006373,5,0.318093492779531,0.0235191082802549,Friedman ranks use only common complete finite six-algorithm trial blocks
CLIPS,25,220,bernoulli_025,50,50,0,6,"CBAA,ACBBA,PI,HIPC,DMCHBA,DGA",4.31372549019603,5,0.505186083542515,0.0172549019607841,Friedman ranks use only common complete finite six-algorithm trial blocks
CLIPS,34,50,ideal,50,50,0,6,"CBAA,ACBBA,PI,HIPC,DMCHBA,DGA",16.8628246753247,5,0.00476743694157955,0.067451298701299,Friedman ranks use only common complete finite six-algorithm trial blocks
CLIPS,34,50,bernoulli_025,50,37,13,6,"CBAA,ACBBA,PI,HIPC,DMCHBA,DGA",16.8390052356022,5,0.00481546859898974,0.0910216499221739,Friedman ranks use only common complete finite six-algorithm trial blocks
CLIPS,34,85,ideal,50,50,0,6,"CBAA,ACBBA,PI,HIPC,DMCHBA,DGA",2.05391040242967,5,0.841636354123577,0.00821564160971867,Friedman ranks use only common complete finite six-algorithm trial blocks
CLIPS,34,85,bernoulli_025,50,41,9,6,"CBAA,ACBBA,PI,HIPC,DMCHBA,DGA",20.5719733079123,5,0.000975595106536331,0.100351089306889,Friedman ranks use only common complete finite six-algorithm trial blocks
CLIPS,34,140,ideal,50,50,0,6,"CBAA,ACBBA,PI,HIPC,DMCHBA,DGA",11.7536115569823,5,0.0383243706855222,0.0470144462279291,Friedman ranks use only common complete finite six-algorithm trial blocks
CLIPS,34,140,bernoulli_025,50,45,5,6,"CBAA,ACBBA,PI,HIPC,DMCHBA,DGA",7.38432483474984,5,0.193590283295641,0.0328192214877771,Friedman ranks use only common complete finite six-algorithm trial blocks
CLIPS,34,220,ideal,50,50,0,6,"CBAA,ACBBA,PI,HIPC,DMCHBA,DGA",7.2132301196341,5,0.205258976406154,0.0288529204785364,Friedman ranks use only common complete finite six-algorithm trial blocks
CLIPS,34,220,bernoulli_025,50,45,5,6,"CBAA,ACBBA,PI,HIPC,DMCHBA,DGA",5.49290220820189,5,0.358724807262152,0.0244128987031195,Friedman ranks use only common complete finite six-algorithm trial blocks
CV,14,50,ideal,50,50,0,6,"CBAA,ACBBA,PI,HIPC,DMCHBA,DGA",179.195869837297,5,0,0.716783479349187,Friedman ranks use only common complete finite six-algorithm trial blocks
CV,14,50,bernoulli_025,50,50,0,6,"CBAA,ACBBA,PI,HIPC,DMCHBA,DGA",144.465256797583,5,0,0.577861027190332,Friedman ranks use only common complete finite six-algorithm trial blocks
CV,14,85,ideal,50,50,0,6,"CBAA,ACBBA,PI,HIPC,DMCHBA,DGA",126.456869009585,5,0,0.505827476038339,Friedman ranks use only common complete finite six-algorithm trial blocks
CV,14,85,bernoulli_025,50,50,0,6,"CBAA,ACBBA,PI,HIPC,DMCHBA,DGA",78.8115501519757,5,1.4432899320127e-15,0.315246200607903,Friedman ranks use only common complete finite six-algorithm trial blocks
CV,14,140,ideal,50,50,0,6,"CBAA,ACBBA,PI,HIPC,DMCHBA,DGA",30.9444844989185,5,9.60665544980088e-06,0.123777937995674,Friedman ranks use only common complete finite six-algorithm trial blocks
CV,14,140,bernoulli_025,50,50,0,6,"CBAA,ACBBA,PI,HIPC,DMCHBA,DGA",22.57003257329,5,0.000407811103883549,0.09028013029316,Friedman ranks use only common complete finite six-algorithm trial blocks
CV,14,220,ideal,50,50,0,6,"CBAA,ACBBA,PI,HIPC,DMCHBA,DGA",48.2375271149677,5,3.17665527216349e-09,0.192950108459871,Friedman ranks use only common complete finite six-algorithm trial blocks
CV,14,220,bernoulli_025,50,50,0,6,"CBAA,ACBBA,PI,HIPC,DMCHBA,DGA",48.2375271149677,5,3.17665527216349e-09,0.192950108459871,Friedman ranks use only common complete finite six-algorithm trial blocks
CV,19,50,ideal,50,50,0,6,"CBAA,ACBBA,PI,HIPC,DMCHBA,DGA",209.628606507059,5,0,0.838514426028238,Friedman ranks use only common complete finite six-algorithm trial blocks
CV,19,50,bernoulli_025,50,50,0,6,"CBAA,ACBBA,PI,HIPC,DMCHBA,DGA",193.737922705314,5,0,0.774951690821256,Friedman ranks use only common complete finite six-algorithm trial blocks
CV,19,85,ideal,50,50,0,6,"CBAA,ACBBA,PI,HIPC,DMCHBA,DGA",182.544416243655,5,0,0.730177664974619,Friedman ranks use only common complete finite six-algorithm trial blocks
CV,19,85,bernoulli_025,50,50,0,6,"CBAA,ACBBA,PI,HIPC,DMCHBA,DGA",160.904733373277,5,0,0.643618933493109,Friedman ranks use only common complete finite six-algorithm trial blocks
CV,19,140,ideal,50,50,0,6,"CBAA,ACBBA,PI,HIPC,DMCHBA,DGA",137.881194409149,5,0,0.551524777636595,Friedman ranks use only common complete finite six-algorithm trial blocks
CV,19,140,bernoulli_025,50,50,0,6,"CBAA,ACBBA,PI,HIPC,DMCHBA,DGA",73.3374157991428,5,2.06501482580279e-14,0.293349663196571,Friedman ranks use only common complete finite six-algorithm trial blocks
CV,19,220,ideal,50,50,0,6,"CBAA,ACBBA,PI,HIPC,DMCHBA,DGA",53.9700511322133,5,2.12574069458071e-10,0.215880204528853,Friedman ranks use only common complete finite six-algorithm trial blocks
CV,19,220,bernoulli_025,50,50,0,6,"CBAA,ACBBA,PI,HIPC,DMCHBA,DGA",24.667097608274,5,0.000161541813741839,0.0986683904330959,Friedman ranks use only common complete finite six-algorithm trial blocks
CV,25,50,ideal,50,48,2,6,"CBAA,ACBBA,PI,HIPC,DMCHBA,DGA",213.702265372168,5,0,0.890426105717368,Friedman ranks use only common complete finite six-algorithm trial blocks
CV,25,50,bernoulli_025,50,48,2,6,"CBAA,ACBBA,PI,HIPC,DMCHBA,DGA",195.625798212005,5,0,0.815107492550021,Friedman ranks use only common complete finite six-algorithm trial blocks
CV,25,85,ideal,50,50,0,6,"CBAA,ACBBA,PI,HIPC,DMCHBA,DGA",214.185975609756,5,0,0.856743902439024,Friedman ranks use only common complete finite six-algorithm trial blocks
