comm_model,comm_level_raw,comm_level_pct,algorithm,attempted_trial_blocks,eligible_common_six_algorithm_blocks,excluded_trial_blocks,mean_revisits_per_team_step,median_revisits_per_team_step,standard_deviation_revisits_per_team_step,ci95_low,ci95_high
bernoulli,0.05,5,ACBBA,500,385,115,0.0978333334323069,0.0855263157894737,0.0812411545516897,0.0898995510348023,0.106168703212931
bernoulli,0.05,5,CBAA,500,385,115,0.129793679262613,0.121405750798722,0.0973702674604044,0.120283623589717,0.139449001458087
bernoulli,0.05,5,DGA,500,385,115,0.132232827855961,0.104046242774566,0.112851506453619,0.121297829149118,0.143618530403513
bernoulli,0.05,5,DMCHBA,500,385,115,0.0768883600027797,0.0693430656934307,0.0622382992879152,0.0707214167714156,0.0831192071758603
bernoulli,0.05,5,HIPC,500,385,115,0.123249801281338,0.118110236220472,0.0960846730966233,0.113958849290405,0.132772698104082
bernoulli,0.05,5,PI,500,385,115,0.109598656815781,0.100436681222707,0.0890251181194811,0.100777201757704,0.118435598736193
bernoulli,0.1,10,ACBBA,500,385,115,0.127334017553687,0.122377622377622,0.099343929848226,0.117547623862997,0.137189522033147
bernoulli,0.1,10,CBAA,500,385,115,0.166283547088442,0.164893617021277,0.119732134654757,0.154215242299391,0.17817380669625
bernoulli,0.1,10,DGA,500,385,115,0.162556832412458,0.144578313253012,0.129730847867617,0.149742130560656,0.175207911021336
bernoulli,0.1,10,DMCHBA,500,385,115,0.0927352316913389,0.0816993464052288,0.0740885503284067,0.0855080519783797,0.100075045795381
bernoulli,0.1,10,HIPC,500,385,115,0.153230088585408,0.150326797385621,0.116284280007037,0.141715493160627,0.16481418706804
bernoulli,0.1,10,PI,500,385,115,0.149588914985084,0.139442231075697,0.114621651997977,0.13809741077894,0.160685656057197
bernoulli,0.2,20,ACBBA,500,385,115,0.18446780356085,0.188235294117647,0.131368231521229,0.171270567929217,0.197813669297809
bernoulli,0.2,20,CBAA,500,385,115,0.223264222515527,0.232704402515723,0.152046214853446,0.207952287455509,0.23843145527872
bernoulli,0.2,20,DGA,500,385,115,0.176913441821145,0.142857142857143,0.148085312481543,0.162011842562206,0.192157290388
bernoulli,0.2,20,DMCHBA,500,385,115,0.112037841377117,0.0987654320987654,0.0950960542448342,0.10269750953143,0.121846718590814
bernoulli,0.2,20,HIPC,500,385,115,0.211593262330669,0.217543859649123,0.149788044891916,0.196653040767138,0.226933693470091
bernoulli,0.2,20,PI,500,385,115,0.207376632203238,0.2125,0.146636018613326,0.192528102749146,0.222200066851619
bernoulli,0.3,30,ACBBA,500,386,114,0.208976135423289,0.216290588882774,0.146720957951697,0.194289993385295,0.2237568456249
bernoulli,0.3,30,CBAA,500,386,114,0.260468716944963,0.277281746031746,0.171148399592601,0.243305921028976,0.277840206361777
bernoulli,0.3,30,DGA,500,386,114,0.205846732317181,0.177952261306533,0.165107322442444,0.189622870043598,0.222349868234252
bernoulli,0.3,30,DMCHBA,500,386,114,0.138782565456302,0.124389250814332,0.113952244399146,0.127711003730257,0.150241276361466
bernoulli,0.3,30,HIPC,500,386,114,0.25148207265551,0.277772437437919,0.17304828264509,0.234481010714341,0.268913822786545
bernoulli,0.3,30,PI,500,386,114,0.245633617617908,0.266615316901408,0.167084895389064,0.228878678835346,0.262577023107845
bernoulli,0.4,40,ACBBA,500,386,114,0.239030218317848,0.246770773086563,0.166448907731768,0.222668824066567,0.256042634438814
bernoulli,0.4,40,CBAA,500,386,114,0.272123283610057,0.295920530924666,0.184959896550918,0.254102472277595,0.29039033902381
bernoulli,0.4,40,DGA,500,386,114,0.207381442666035,0.161919404434374,0.169934251723705,0.190558548506851,0.224750459187645
bernoulli,0.4,40,DMCHBA,500,386,114,0.149204968541236,0.119701492537313,0.127806156940692,0.136563561212552,0.162316981157673
bernoulli,0.4,40,HIPC,500,386,114,0.260535143559715,0.272077922077922,0.188083164393284,0.242283652007933,0.279652533835715
bernoulli,0.4,40,PI,500,386,114,0.265935039666739,0.279689944531361,0.183149408721559,0.248283197422982,0.284245104886374
bernoulli,0.5,50,ACBBA,500,386,114,0.252796621964139,0.261516276470471,0.185561554431676,0.234071971066834,0.271386891468631
bernoulli,0.5,50,CBAA,500,386,114,0.28887924210628,0.313706901014703,0.201056854966729,0.268720719403474,0.309054595161105
