scenario,metric,algorithm_key,comm_label,horizon,mean_delta_from_trial_baseline,selected_for_main_benchmark
Collaborative Visit (CV),total_team_steps,acbba,ideal,1,-5.57027777777778,0
Collaborative Visit (CV),total_team_steps,acbba,ideal,2,-14.6436111111111,0
Collaborative Visit (CV),total_team_steps,acbba,ideal,3,-16.4936111111111,1
Collaborative Visit (CV),total_team_steps,acbba,ideal,5,-17.4669444444444,0
Collaborative Visit (CV),total_team_steps,acbba,ideal,8,-19.0636111111111,0
Collaborative Visit (CV),total_team_steps,acbba,ideal,12,-19.7636111111111,0
Collaborative Visit (CV),total_team_steps,acbba,bernoulli_025,1,10.5363888888889,0
Collaborative Visit (CV),total_team_steps,acbba,bernoulli_025,2,8.57305555555556,0
Collaborative Visit (CV),total_team_steps,acbba,bernoulli_025,3,13.7330555555556,1
Collaborative Visit (CV),total_team_steps,acbba,bernoulli_025,5,20.1830555555556,0
Collaborative Visit (CV),total_team_steps,acbba,bernoulli_025,8,19.6263888888889,0
Collaborative Visit (CV),total_team_steps,acbba,bernoulli_025,12,20.3497222222222,0
Collaborative Visit (CV),total_team_steps,dga,ideal,1,-7.05138888888889,0
Collaborative Visit (CV),total_team_steps,dga,ideal,2,-3.96472222222222,0
Collaborative Visit (CV),total_team_steps,dga,ideal,3,-4.50138888888889,1
Collaborative Visit (CV),total_team_steps,dga,ideal,5,-4.46138888888889,0
Collaborative Visit (CV),total_team_steps,dga,ideal,8,-4.22472222222222,0
Collaborative Visit (CV),total_team_steps,dga,ideal,12,-3.84472222222222,0
Collaborative Visit (CV),total_team_steps,dga,bernoulli_025,1,1.02194444444444,0
Collaborative Visit (CV),total_team_steps,dga,bernoulli_025,2,4.12194444444444,0
Collaborative Visit (CV),total_team_steps,dga,bernoulli_025,3,4.74527777777778,1
Collaborative Visit (CV),total_team_steps,dga,bernoulli_025,5,6.62861111111111,0
Collaborative Visit (CV),total_team_steps,dga,bernoulli_025,8,5.85527777777778,0
Collaborative Visit (CV),total_team_steps,dga,bernoulli_025,12,5.67527777777778,0
Collaborative Visit (CV),total_team_steps,dmchba,ideal,1,-4.88916666666667,0
Collaborative Visit (CV),total_team_steps,dmchba,ideal,2,-4.4125,0
Collaborative Visit (CV),total_team_steps,dmchba,ideal,3,-4.35583333333333,1
Collaborative Visit (CV),total_team_steps,dmchba,ideal,5,-4.33916666666667,0
Collaborative Visit (CV),total_team_steps,dmchba,ideal,8,-4.5825,0
Collaborative Visit (CV),total_team_steps,dmchba,ideal,12,-4.6625,0
Collaborative Visit (CV),total_team_steps,dmchba,bernoulli_025,1,3.27083333333333,0
Collaborative Visit (CV),total_team_steps,dmchba,bernoulli_025,2,4.77416666666667,0
Collaborative Visit (CV),total_team_steps,dmchba,bernoulli_025,3,4.81416666666667,1
Collaborative Visit (CV),total_team_steps,dmchba,bernoulli_025,5,4.8575,0
Collaborative Visit (CV),total_team_steps,dmchba,bernoulli_025,8,4.8375,0
Collaborative Visit (CV),total_team_steps,dmchba,bernoulli_025,12,4.6875,0
Collaborative Visit (CV),total_team_steps,hipc,ideal,1,10.1877777777778,0
Collaborative Visit (CV),total_team_steps,hipc,ideal,2,0.781111111111111,0
Collaborative Visit (CV),total_team_steps,hipc,ideal,3,-5.47555555555556,0
Collaborative Visit (CV),total_team_steps,hipc,ideal,5,-10.5722222222222,0
Collaborative Visit (CV),total_team_steps,hipc,ideal,8,-11.6422222222222,1
Collaborative Visit (CV),total_team_steps,hipc,ideal,12,-12.2255555555556,0
Collaborative Visit (CV),total_team_steps,hipc,bernoulli_025,1,20.1877777777778,0
Collaborative Visit (CV),total_team_steps,hipc,bernoulli_025,2,9.59111111111111,0
Collaborative Visit (CV),total_team_steps,hipc,bernoulli_025,3,3.48111111111111,0
Collaborative Visit (CV),total_team_steps,hipc,bernoulli_025,5,-1.16888888888889,0
Collaborative Visit (CV),total_team_steps,hipc,bernoulli_025,8,-1.98555555555556,1
Collaborative Visit (CV),total_team_steps,hipc,bernoulli_025,12,-1.15888888888889,0
Collaborative Visit (CV),total_team_steps,pi,ideal,1,-7.25305555555556,0
Collaborative Visit (CV),total_team_steps,pi,ideal,2,-15.2030555555556,0
Collaborative Visit (CV),total_team_steps,pi,ideal,3,-21.4163888888889,0
Collaborative Visit (CV),total_team_steps,pi,ideal,5,-24.4830555555556,1
Collaborative Visit (CV),total_team_steps,pi,ideal,8,-24.8863888888889,0
Collaborative Visit (CV),total_team_steps,pi,ideal,12,-25.7797222222222,0
Collaborative Visit (CV),total_team_steps,pi,bernoulli_025,1,19.1002777777778,0
Collaborative Visit (CV),total_team_steps,pi,bernoulli_025,2,15.1969444444444,0
Collaborative Visit (CV),total_team_steps,pi,bernoulli_025,3,20.4469444444444,0
Collaborative Visit (CV),total_team_steps,pi,bernoulli_025,5,19.2569444444444,1
Collaborative Visit (CV),total_team_steps,pi,bernoulli_025,8,22.3802777777778,0
Collaborative Visit (CV),total_team_steps,pi,bernoulli_025,12,22.6402777777778,0
Clue-Informed Probabilistic Search (CLIPS),post_clue_steps_to_find,acbba,ideal,1,-18.3296221322537,0
Clue-Informed Probabilistic Search (CLIPS),post_clue_steps_to_find,acbba,ideal,2,-17.0138326585695,0
Clue-Informed Probabilistic Search (CLIPS),post_clue_steps_to_find,acbba,ideal,3,-24.0705128205128,0
Clue-Informed Probabilistic Search (CLIPS),post_clue_steps_to_find,acbba,ideal,5,-23.3984480431849,0
Clue-Informed Probabilistic Search (CLIPS),post_clue_steps_to_find,acbba,ideal,8,-22.4794197031039,1
Clue-Informed Probabilistic Search (CLIPS),post_clue_steps_to_find,acbba,ideal,12,-18.8235492577598,0
Clue-Informed Probabilistic Search (CLIPS),post_clue_steps_to_find,acbba,bernoulli_025,1,23.8080296896086,0
Clue-Informed Probabilistic Search (CLIPS),post_clue_steps_to_find,acbba,bernoulli_025,2,29.2574224021592,0
Clue-Informed Probabilistic Search (CLIPS),post_clue_steps_to_find,acbba,bernoulli_025,3,23.6825236167341,0
Clue-Informed Probabilistic Search (CLIPS),post_clue_steps_to_find,acbba,bernoulli_025,5,19.4841430499325,0
Clue-Informed Probabilistic Search (CLIPS),post_clue_steps_to_find,acbba,bernoulli_025,8,14.6784750337382,1
Clue-Informed Probabilistic Search (CLIPS),post_clue_steps_to_find,acbba,bernoulli_025,12,13.2047908232119,0
Clue-Informed Probabilistic Search (CLIPS),post_clue_steps_to_find,dga,ideal,1,-16.0700680272109,0
Clue-Informed Probabilistic Search (CLIPS),post_clue_steps_to_find,dga,ideal,2,-13.3149659863946,0
Clue-Informed Probabilistic Search (CLIPS),post_clue_steps_to_find,dga,ideal,3,-13.9761904761905,1
Clue-Informed Probabilistic Search (CLIPS),post_clue_steps_to_find,dga,ideal,5,-19.1231292517007,0
Clue-Informed Probabilistic Search (CLIPS),post_clue_steps_to_find,dga,ideal,8,-19.2455782312925,0
Clue-Informed Probabilistic Search (CLIPS),post_clue_steps_to_find,dga,ideal,12,-16.4619047619048,0
Clue-Informed Probabilistic Search (CLIPS),post_clue_steps_to_find,dga,bernoulli_025,1,15.921768707483,0
Clue-Informed Probabilistic Search (CLIPS),post_clue_steps_to_find,dga,bernoulli_025,2,14.1707482993197,0
Clue-Informed Probabilistic Search (CLIPS),post_clue_steps_to_find,dga,bernoulli_025,3,16.7585034013605,1
Clue-Informed Probabilistic Search (CLIPS),post_clue_steps_to_find,dga,bernoulli_025,5,17.6156462585034,0
Clue-Informed Probabilistic Search (CLIPS),post_clue_steps_to_find,dga,bernoulli_025,8,16.5013605442177,0
Clue-Informed Probabilistic Search (CLIPS),post_clue_steps_to_find,dga,bernoulli_025,12,17.2238095238095,0
Clue-Informed Probabilistic Search (CLIPS),post_clue_steps_to_find,dmchba,ideal,1,-9.23785425101214,0
Clue-Informed Probabilistic Search (CLIPS),post_clue_steps_to_find,dmchba,ideal,2,-8.14068825910931,0
Clue-Informed Probabilistic Search (CLIPS),post_clue_steps_to_find,dmchba,ideal,3,-14.6062753036437,0
Clue-Informed Probabilistic Search (CLIPS),post_clue_steps_to_find,dmchba,ideal,5,-16.1204453441296,1
Clue-Informed Probabilistic Search (CLIPS),post_clue_steps_to_find,dmchba,ideal,8,-12.0151821862348,0
Clue-Informed Probabilistic Search (CLIPS),post_clue_steps_to_find,dmchba,ideal,12,-9.61032388663968,0
Clue-Informed Probabilistic Search (CLIPS),post_clue_steps_to_find,dmchba,bernoulli_025,1,15.418016194332,0
Clue-Informed Probabilistic Search (CLIPS),post_clue_steps_to_find,dmchba,bernoulli_025,2,20.0334008097166,0
Clue-Informed Probabilistic Search (CLIPS),post_clue_steps_to_find,dmchba,bernoulli_025,3,7.41396761133603,0
Clue-Informed Probabilistic Search (CLIPS),post_clue_steps_to_find,dmchba,bernoulli_025,5,5.15890688259109,1
Clue-Informed Probabilistic Search (CLIPS),post_clue_steps_to_find,dmchba,bernoulli_025,8,11.6325910931174,0
Clue-Informed Probabilistic Search (CLIPS),post_clue_steps_to_find,dmchba,bernoulli_025,12,10.0738866396761,0
Clue-Informed Probabilistic Search (CLIPS),post_clue_steps_to_find,hipc,ideal,1,-26.1534552845528,0
Clue-Informed Probabilistic Search (CLIPS),post_clue_steps_to_find,hipc,ideal,2,-21.9989837398374,0
Clue-Informed Probabilistic Search (CLIPS),post_clue_steps_to_find,hipc,ideal,3,-21.5274390243902,0
Clue-Informed Probabilistic Search (CLIPS),post_clue_steps_to_find,hipc,ideal,5,-23.8363821138211,1
Clue-Informed Probabilistic Search (CLIPS),post_clue_steps_to_find,hipc,ideal,8,-18.3201219512195,0
