scenario,trial_id,algorithm,comm_model,comm_level_raw,system_trial_status,trial_summary_status,first_clue_robot,total_team_steps,system_revisits,revisits_per_team_step,base_eligible,rate_metric_eligible,common_six_algorithm_block_eligible
Clue-Informed Probabilistic Search (CLIPS),0,ACBBA,bernoulli,0.05,completed,completed,0,151,5,0.033112582781457,1,1,1
Clue-Informed Probabilistic Search (CLIPS),0,CBAA,bernoulli,0.05,completed,completed,0,153,0,0,1,1,1
Clue-Informed Probabilistic Search (CLIPS),0,DGA,bernoulli,0.05,completed,completed,0,161,6,0.0372670807453416,1,1,1
Clue-Informed Probabilistic Search (CLIPS),0,DMCHBA,bernoulli,0.05,completed,completed,0,236,9,0.038135593220339,1,1,1
Clue-Informed Probabilistic Search (CLIPS),0,HIPC,bernoulli,0.05,completed,completed,0,153,0,0,1,1,1
Clue-Informed Probabilistic Search (CLIPS),0,PI,bernoulli,0.05,completed,completed,0,153,0,0,1,1,1
Clue-Informed Probabilistic Search (CLIPS),1,ACBBA,bernoulli,0.05,completed,completed,0,148,13,0.0878378378378378,1,1,1
Clue-Informed Probabilistic Search (CLIPS),1,CBAA,bernoulli,0.05,completed,completed,0,92,1,0.0108695652173913,1,1,1
Clue-Informed Probabilistic Search (CLIPS),1,DGA,bernoulli,0.05,completed,completed,0,78,1,0.0128205128205128,1,1,1
Clue-Informed Probabilistic Search (CLIPS),1,DMCHBA,bernoulli,0.05,completed,completed,0,241,14,0.0580912863070539,1,1,1
Clue-Informed Probabilistic Search (CLIPS),1,HIPC,bernoulli,0.05,completed,completed,0,109,6,0.055045871559633,1,1,1
Clue-Informed Probabilistic Search (CLIPS),1,PI,bernoulli,0.05,completed,completed,0,92,3,0.0326086956521739,1,1,1
Clue-Informed Probabilistic Search (CLIPS),10,ACBBA,bernoulli,0.05,completed,completed,2,241,41,0.170124481327801,1,1,1
Clue-Informed Probabilistic Search (CLIPS),10,CBAA,bernoulli,0.05,completed,completed,2,227,19,0.0837004405286344,1,1,1
Clue-Informed Probabilistic Search (CLIPS),10,DGA,bernoulli,0.05,completed,completed,2,321,61,0.190031152647975,1,1,1
Clue-Informed Probabilistic Search (CLIPS),10,DMCHBA,bernoulli,0.05,completed,completed,2,227,25,0.110132158590308,1,1,1
