scenario,grid_size,grid_cells,target_cells_per_robot,robot_count,comm_label,algorithm,attempted_block_n,raw_completed_n,raw_failed_n,finite_max_agent_step_n,common_block_eligible_n,excluded_from_continuous_n,condition_mean_max_agent_steps,condition_median_max_agent_steps,condition_sd_max_agent_steps,condition_ci95_low,condition_ci95_high,eligibility_rule,condition_rank,condition_best_mean,percent_above_condition_best,is_leader,is_top_two
CLIPS,14,196,50,4,ideal,CBAA,50,50,0,50,50,0,26.78,24,15.5659099001764,22.35621735344,31.20378264656,all six named algorithms completed with finite maximum-agent steps,5,25.38,5.51615445232467,0,0
CLIPS,14,196,50,4,ideal,ACBBA,50,50,0,50,50,0,25.72,23,16.061158623416,21.1554692236071,30.2845307763929,all six named algorithms completed with finite maximum-agent steps,2,25.38,1.33963750985028,0,1
CLIPS,14,196,50,4,ideal,PI,50,50,0,50,50,0,26.74,26,15.393889590831,22.3651049844374,31.1148950155626,all six named algorithms completed with finite maximum-agent steps,4,25.38,5.3585500394011,0,0
CLIPS,14,196,50,4,ideal,HIPC,50,50,0,50,50,0,25.38,23,15.0643382102994,21.0987624505088,29.6612375494912,all six named algorithms completed with finite maximum-agent steps,1,25.38,0,1,1
CLIPS,14,196,50,4,ideal,DMCHBA,50,50,0,50,50,0,26.68,26.5,15.005359586712,22.4155239898737,30.9444760101263,all six named algorithms completed with finite maximum-agent steps,3,25.38,5.12214342001576,0,0
CLIPS,14,196,50,4,ideal,DGA,50,50,0,50,50,0,29.68,25,20.5291629301403,23.8456764492946,35.5143235507053,all six named algorithms completed with finite maximum-agent steps,6,25.38,16.9424743892829,0,0
CLIPS,14,196,50,4,bernoulli_025,CBAA,50,50,0,50,50,0,34.86,26.5,26.4459479555055,27.3441447504416,42.3758552495584,all six named algorithms completed with finite maximum-agent steps,6,26.86,29.7840655249442,0,0
CLIPS,14,196,50,4,bernoulli_025,ACBBA,50,50,0,50,50,0,31.54,22.5,22.6834561668514,25.0934330856056,37.9865669143944,all six named algorithms completed with finite maximum-agent steps,2,26.86,17.4236783320923,0,1
CLIPS,14,196,50,4,bernoulli_025,PI,50,50,0,50,50,0,33.44,26,24.3839693073887,26.5101525983358,40.3698474016642,all six named algorithms completed with finite maximum-agent steps,5,26.86,24.4973938942666,0,0
CLIPS,14,196,50,4,bernoulli_025,HIPC,50,50,0,50,50,0,32.96,28,23.9540035425038,26.1523475166869,39.7676524833131,all six named algorithms completed with finite maximum-agent steps,4,26.86,22.7103499627699,0,0
CLIPS,14,196,50,4,bernoulli_025,DMCHBA,50,50,0,50,50,0,26.86,23,17.217705647243,21.9667821962025,31.7532178037975,all six named algorithms completed with finite maximum-agent steps,1,26.86,0,1,1
CLIPS,14,196,50,4,bernoulli_025,DGA,50,50,0,50,50,0,32.5,26.5,22.4901338913084,26.1083746684122,38.8916253315878,all six named algorithms completed with finite maximum-agent steps,3,26.86,20.9977661950856,0,0
CLIPS,14,196,85,3,ideal,CBAA,50,50,0,50,50,0,37,35,21.6427392736064,30.8492015541271,43.1507984458729,all six named algorithms completed with finite maximum-agent steps,4,33.78,9.53226761397276,0,0
CLIPS,14,196,85,3,ideal,ACBBA,50,50,0,50,50,0,33.78,32.5,19.1995854547085,28.3235381869503,39.2364618130497,all six named algorithms completed with finite maximum-agent steps,1,33.78,0,1,1
CLIPS,14,196,85,3,ideal,PI,50,50,0,50,50,0,35.86,33.5,21.0684114062659,29.8724237280489,41.8475762719511,all six named algorithms completed with finite maximum-agent steps,2,33.78,6.15748963883954,0,1
CLIPS,14,196,85,3,ideal,HIPC,50,50,0,50,50,0,36.98,37.5,21.5107851449225,30.8667025025688,43.0932974974312,all six named algorithms completed with finite maximum-agent steps,3,33.78,9.47306098283006,0,0
CLIPS,14,196,85,3,ideal,DMCHBA,50,50,0,50,50,0,37.28,34.5,21.9629000724366,31.0382128618466,43.5217871381534,all six named algorithms completed with finite maximum-agent steps,5,33.78,10.3611604499704,0,0
CLIPS,14,196,85,3,ideal,DGA,50,50,0,50,50,0,39.66,41,21.4024698174233,33.577485378046,45.7425146219539,all six named algorithms completed with finite maximum-agent steps,6,33.78,17.4067495559503,0,0
CLIPS,14,196,85,3,bernoulli_025,CBAA,50,50,0,50,50,0,44.58,43,27.3175506118058,36.8164380162794,52.3435619837206,all six named algorithms completed with finite maximum-agent steps,6,41.64,7.06051873198847,0,0
CLIPS,14,196,85,3,bernoulli_025,ACBBA,50,50,0,50,50,0,44.12,37.5,28.488909406709,36.0235415301106,52.2164584698894,all six named algorithms completed with finite maximum-agent steps,4,41.64,5.95581171950047,0,0
CLIPS,14,196,85,3,bernoulli_025,PI,50,50,0,50,50,0,43.28,38.5,28.529998533588,35.1718641294565,51.3881358705435,all six named algorithms completed with finite maximum-agent steps,3,41.64,3.93852065321806,0,0
CLIPS,14,196,85,3,bernoulli_025,HIPC,50,50,0,50,50,0,44.22,40.5,27.3647247979092,36.4430312609282,51.9969687390718,all six named algorithms completed with finite maximum-agent steps,5,41.64,6.19596541786743,0,0
CLIPS,14,196,85,3,bernoulli_025,DMCHBA,50,50,0,50,50,0,41.64,41.5,25.5644523604515,34.3746630266893,48.9053369733107,all six named algorithms completed with finite maximum-agent steps,1,41.64,0,1,1
CLIPS,14,196,85,3,bernoulli_025,DGA,50,50,0,50,50,0,42.58,36.5,29.8684804174732,34.0914717869183,51.0685282130816,all six named algorithms completed with finite maximum-agent steps,2,41.64,2.25744476464937,0,1
CLIPS,14,196,140,2,ideal,CBAA,50,49,1,49,48,2,48.7291666666667,47.5,30.7887376364837,39.7890491771502,57.6692841561832,all six named algorithms completed with finite maximum-agent steps,4,47.2916666666667,3.03964757709251,0,0
CLIPS,14,196,140,2,ideal,ACBBA,50,50,0,50,48,2,47.2916666666667,43.5,30.0276173117089,38.5725554817114,56.0107778516219,all six named algorithms completed with finite maximum-agent steps,1,47.2916666666667,0,1,1
CLIPS,14,196,140,2,ideal,PI,50,50,0,50,48,2,48.7083333333333,46.5,30.7978711155207,39.7655637579586,57.6511029087081,all six named algorithms completed with finite maximum-agent steps,3,47.2916666666667,2.9955947136564,0,0
CLIPS,14,196,140,2,ideal,HIPC,50,49,1,49,48,2,50.375,47.5,31.7098716088036,41.1674130860026,59.5825869139974,all six named algorithms completed with finite maximum-agent steps,5,47.2916666666667,6.51982378854626,0,0
CLIPS,14,196,140,2,ideal,DMCHBA,50,50,0,50,48,2,48.625,45,31.1315841536356,39.5853302592546,57.6646697407454,all six named algorithms completed with finite maximum-agent steps,2,47.2916666666667,2.8193832599119,0,1
CLIPS,14,196,140,2,ideal,DGA,50,50,0,50,48,2,51,45,35.2800347372821,40.7557457759562,61.2442542240438,all six named algorithms completed with finite maximum-agent steps,6,47.2916666666667,7.84140969162996,0,0
CLIPS,14,196,140,2,bernoulli_025,CBAA,50,47,3,47,47,3,55.3191489361702,49,36.7867570589216,44.5181524305864,66.120145441754,all six named algorithms completed with finite maximum-agent steps,6,51.1276595744681,8.19808572617562,0,0
CLIPS,14,196,140,2,bernoulli_025,ACBBA,50,50,0,50,47,3,54,47,38.1256503864695,42.8058896863947,65.1941103136053,all six named algorithms completed with finite maximum-agent steps,5,51.1276595744681,5.61797752808989,0,0
CLIPS,14,196,140,2,bernoulli_025,PI,50,50,0,50,47,3,51.6808510638298,46,37.3759434273709,40.7068629597594,62.6548391679001,all six named algorithms completed with finite maximum-agent steps,2,51.1276595744681,1.08198085726175,0,1
CLIPS,14,196,140,2,bernoulli_025,HIPC,50,50,0,50,47,3,52.7234042553191,49,35.3342438458659,42.348881605895,63.0979269047433,all six named algorithms completed with finite maximum-agent steps,4,51.1276595744681,3.1210986267166,0,0
CLIPS,14,196,140,2,bernoulli_025,DMCHBA,50,50,0,50,47,3,51.1276595744681,47,33.5459561622279,41.2781978590919,60.9771212898442,all six named algorithms completed with finite maximum-agent steps,1,51.1276595744681,0,1,1
CLIPS,14,196,140,2,bernoulli_025,DGA,50,50,0,50,47,3,51.936170212766,47,33.8817664542059,41.9881109019458,61.8842295235861,all six named algorithms completed with finite maximum-agent steps,3,51.1276595744681,1.58135663753642,0,0
CLIPS,14,196,220,1,ideal,CBAA,50,50,0,50,50,0,103.88,100.5,64.7776857523374,85.4703854028952,122.289614597105,all six named algorithms completed with finite maximum-agent steps,2.5,100.32,3.54864433811803,0,0
CLIPS,14,196,220,1,ideal,ACBBA,50,50,0,50,50,0,106.44,99.5,62.8945213538233,88.5655748033344,124.314425196666,all six named algorithms completed with finite maximum-agent steps,5.5,100.32,6.10047846889953,0,0
CLIPS,14,196,220,1,ideal,PI,50,50,0,50,50,0,100.32,86,63.4470500753605,82.2885478781025,118.351452121898,all six named algorithms completed with finite maximum-agent steps,1,100.32,0,1,1
CLIPS,14,196,220,1,ideal,HIPC,50,50,0,50,50,0,103.88,100.5,64.7776857523374,85.4703854028952,122.289614597105,all six named algorithms completed with finite maximum-agent steps,2.5,100.32,3.54864433811803,0,0
CLIPS,14,196,220,1,ideal,DMCHBA,50,50,0,50,50,0,104.92,107,64.1754101296293,86.6815502410106,123.158449758989,all six named algorithms completed with finite maximum-agent steps,4,100.32,4.58532695374802,0,0
CLIPS,14,196,220,1,ideal,DGA,50,50,0,50,50,0,106.44,118,64.9185235035236,87.990359756873,124.889640243127,all six named algorithms completed with finite maximum-agent steps,5.5,100.32,6.10047846889953,0,0
CLIPS,14,196,220,1,bernoulli_025,CBAA,50,50,0,50,50,0,103.88,100.5,64.7776857523374,85.4703854028952,122.289614597105,all six named algorithms completed with finite maximum-agent steps,2.5,100.32,3.54864433811803,0,0
CLIPS,14,196,220,1,bernoulli_025,ACBBA,50,50,0,50,50,0,106.44,99.5,62.8945213538233,88.5655748033344,124.314425196666,all six named algorithms completed with finite maximum-agent steps,5.5,100.32,6.10047846889953,0,0
CLIPS,14,196,220,1,bernoulli_025,PI,50,50,0,50,50,0,100.32,86,63.4470500753605,82.2885478781025,118.351452121898,all six named algorithms completed with finite maximum-agent steps,1,100.32,0,1,1
CLIPS,14,196,220,1,bernoulli_025,HIPC,50,50,0,50,50,0,103.88,100.5,64.7776857523374,85.4703854028952,122.289614597105,all six named algorithms completed with finite maximum-agent steps,2.5,100.32,3.54864433811803,0,0
