mission,scenario,comm_model,metric,method,algorithm_a,algorithm_b,previous_eligibility_n,common_six_eligible_n,trajectories_excluded_by_common_six
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,max_agent_steps,PRDS,DGA,,385,383,2
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,max_agent_steps,PRDA,CBAA,ACBBA,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,max_agent_steps,PRDA,CBAA,PI,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,max_agent_steps,PRDA,CBAA,HIPC,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,max_agent_steps,PRDA,CBAA,DMCHBA,383,383,0
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,max_agent_steps,PRDA,CBAA,DGA,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,max_agent_steps,PRDA,ACBBA,PI,385,383,2
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,max_agent_steps,PRDA,ACBBA,HIPC,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,max_agent_steps,PRDA,ACBBA,DMCHBA,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,max_agent_steps,PRDA,ACBBA,DGA,385,383,2
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,max_agent_steps,PRDA,PI,HIPC,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,max_agent_steps,PRDA,PI,DMCHBA,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,max_agent_steps,PRDA,PI,DGA,385,383,2
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,max_agent_steps,PRDA,HIPC,DMCHBA,383,383,0
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,max_agent_steps,PRDA,HIPC,DGA,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,max_agent_steps,PRDA,DMCHBA,DGA,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,total_team_steps,PRDS,CBAA,,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,total_team_steps,PRDS,ACBBA,,385,383,2
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,total_team_steps,PRDS,PI,,385,383,2
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,total_team_steps,PRDS,HIPC,,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,total_team_steps,PRDS,DMCHBA,,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,total_team_steps,PRDS,DGA,,385,383,2
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,total_team_steps,PRDA,CBAA,ACBBA,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,total_team_steps,PRDA,CBAA,PI,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,total_team_steps,PRDA,CBAA,HIPC,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,total_team_steps,PRDA,CBAA,DMCHBA,383,383,0
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,total_team_steps,PRDA,CBAA,DGA,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,total_team_steps,PRDA,ACBBA,PI,385,383,2
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,total_team_steps,PRDA,ACBBA,HIPC,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,total_team_steps,PRDA,ACBBA,DMCHBA,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,total_team_steps,PRDA,ACBBA,DGA,385,383,2
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,total_team_steps,PRDA,PI,HIPC,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,total_team_steps,PRDA,PI,DMCHBA,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,total_team_steps,PRDA,PI,DGA,385,383,2
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,total_team_steps,PRDA,HIPC,DMCHBA,383,383,0
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,total_team_steps,PRDA,HIPC,DGA,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,total_team_steps,PRDA,DMCHBA,DGA,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,team_messages_per_step,PRDS,CBAA,,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,team_messages_per_step,PRDS,ACBBA,,385,383,2
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,team_messages_per_step,PRDS,PI,,385,383,2
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,team_messages_per_step,PRDS,HIPC,,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,team_messages_per_step,PRDS,DMCHBA,,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,team_messages_per_step,PRDS,DGA,,385,383,2
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,team_messages_per_step,PRDA,CBAA,ACBBA,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,team_messages_per_step,PRDA,CBAA,PI,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,team_messages_per_step,PRDA,CBAA,HIPC,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,team_messages_per_step,PRDA,CBAA,DMCHBA,383,383,0
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,team_messages_per_step,PRDA,CBAA,DGA,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,team_messages_per_step,PRDA,ACBBA,PI,385,383,2
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,team_messages_per_step,PRDA,ACBBA,HIPC,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,team_messages_per_step,PRDA,ACBBA,DMCHBA,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,team_messages_per_step,PRDA,ACBBA,DGA,385,383,2
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,team_messages_per_step,PRDA,PI,HIPC,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,team_messages_per_step,PRDA,PI,DMCHBA,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,team_messages_per_step,PRDA,PI,DGA,385,383,2
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,team_messages_per_step,PRDA,HIPC,DMCHBA,383,383,0
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,team_messages_per_step,PRDA,HIPC,DGA,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,team_messages_per_step,PRDA,DMCHBA,DGA,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,max_agent_messages,PRDS,CBAA,,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,max_agent_messages,PRDS,ACBBA,,385,383,2
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,max_agent_messages,PRDS,PI,,385,383,2
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,max_agent_messages,PRDS,HIPC,,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,max_agent_messages,PRDS,DMCHBA,,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,max_agent_messages,PRDS,DGA,,385,383,2
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,max_agent_messages,PRDA,CBAA,ACBBA,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,max_agent_messages,PRDA,CBAA,PI,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,max_agent_messages,PRDA,CBAA,HIPC,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,max_agent_messages,PRDA,CBAA,DMCHBA,383,383,0
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,max_agent_messages,PRDA,CBAA,DGA,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,max_agent_messages,PRDA,ACBBA,PI,385,383,2
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,max_agent_messages,PRDA,ACBBA,HIPC,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,max_agent_messages,PRDA,ACBBA,DMCHBA,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,max_agent_messages,PRDA,ACBBA,DGA,385,383,2
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,max_agent_messages,PRDA,PI,HIPC,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,max_agent_messages,PRDA,PI,DMCHBA,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,max_agent_messages,PRDA,PI,DGA,385,383,2
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,max_agent_messages,PRDA,HIPC,DMCHBA,383,383,0
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,max_agent_messages,PRDA,HIPC,DGA,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,max_agent_messages,PRDA,DMCHBA,DGA,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,messages_per_unique_cell,PRDS,CBAA,,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,messages_per_unique_cell,PRDS,ACBBA,,385,383,2
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,messages_per_unique_cell,PRDS,PI,,385,383,2
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,messages_per_unique_cell,PRDS,HIPC,,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,messages_per_unique_cell,PRDS,DMCHBA,,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,messages_per_unique_cell,PRDS,DGA,,385,383,2
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,messages_per_unique_cell,PRDA,CBAA,ACBBA,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,messages_per_unique_cell,PRDA,CBAA,PI,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,messages_per_unique_cell,PRDA,CBAA,HIPC,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,messages_per_unique_cell,PRDA,CBAA,DMCHBA,383,383,0
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,messages_per_unique_cell,PRDA,CBAA,DGA,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,messages_per_unique_cell,PRDA,ACBBA,PI,385,383,2
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,messages_per_unique_cell,PRDA,ACBBA,HIPC,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,messages_per_unique_cell,PRDA,ACBBA,DMCHBA,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,messages_per_unique_cell,PRDA,ACBBA,DGA,385,383,2
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,messages_per_unique_cell,PRDA,PI,HIPC,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,messages_per_unique_cell,PRDA,PI,DMCHBA,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,messages_per_unique_cell,PRDA,PI,DGA,385,383,2
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,messages_per_unique_cell,PRDA,HIPC,DMCHBA,383,383,0
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,messages_per_unique_cell,PRDA,HIPC,DGA,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,messages_per_unique_cell,PRDA,DMCHBA,DGA,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,unique_cell_contribution_gini,PRDS,CBAA,,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,unique_cell_contribution_gini,PRDS,ACBBA,,385,383,2
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,unique_cell_contribution_gini,PRDS,PI,,385,383,2
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,unique_cell_contribution_gini,PRDS,HIPC,,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,unique_cell_contribution_gini,PRDS,DMCHBA,,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,unique_cell_contribution_gini,PRDS,DGA,,385,383,2
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,unique_cell_contribution_gini,PRDA,CBAA,ACBBA,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,unique_cell_contribution_gini,PRDA,CBAA,PI,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,unique_cell_contribution_gini,PRDA,CBAA,HIPC,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,unique_cell_contribution_gini,PRDA,CBAA,DMCHBA,383,383,0
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,unique_cell_contribution_gini,PRDA,CBAA,DGA,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,unique_cell_contribution_gini,PRDA,ACBBA,PI,385,383,2
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,unique_cell_contribution_gini,PRDA,ACBBA,HIPC,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,unique_cell_contribution_gini,PRDA,ACBBA,DMCHBA,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,unique_cell_contribution_gini,PRDA,ACBBA,DGA,385,383,2
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,unique_cell_contribution_gini,PRDA,PI,HIPC,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,unique_cell_contribution_gini,PRDA,PI,DMCHBA,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,unique_cell_contribution_gini,PRDA,PI,DGA,385,383,2
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,unique_cell_contribution_gini,PRDA,HIPC,DMCHBA,383,383,0
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,unique_cell_contribution_gini,PRDA,HIPC,DGA,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,unique_cell_contribution_gini,PRDA,DMCHBA,DGA,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,team_task_replans,PRDS,CBAA,,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,team_task_replans,PRDS,ACBBA,,385,383,2
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,team_task_replans,PRDS,PI,,385,383,2
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,team_task_replans,PRDS,HIPC,,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,team_task_replans,PRDS,DMCHBA,,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,team_task_replans,PRDS,DGA,,385,383,2
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,team_task_replans,PRDA,CBAA,ACBBA,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,team_task_replans,PRDA,CBAA,PI,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,team_task_replans,PRDA,CBAA,HIPC,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,team_task_replans,PRDA,CBAA,DMCHBA,383,383,0
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,team_task_replans,PRDA,CBAA,DGA,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,team_task_replans,PRDA,ACBBA,PI,385,383,2
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,team_task_replans,PRDA,ACBBA,HIPC,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,team_task_replans,PRDA,ACBBA,DMCHBA,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,team_task_replans,PRDA,ACBBA,DGA,385,383,2
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,team_task_replans,PRDA,PI,HIPC,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,team_task_replans,PRDA,PI,DMCHBA,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,team_task_replans,PRDA,PI,DGA,385,383,2
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,team_task_replans,PRDA,HIPC,DMCHBA,383,383,0
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,team_task_replans,PRDA,HIPC,DGA,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,team_task_replans,PRDA,DMCHBA,DGA,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,team_path_replans,PRDS,CBAA,,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,team_path_replans,PRDS,ACBBA,,385,383,2
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,team_path_replans,PRDS,PI,,385,383,2
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,team_path_replans,PRDS,HIPC,,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,team_path_replans,PRDS,DMCHBA,,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,team_path_replans,PRDS,DGA,,385,383,2
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,team_path_replans,PRDA,CBAA,ACBBA,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,team_path_replans,PRDA,CBAA,PI,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,team_path_replans,PRDA,CBAA,HIPC,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,team_path_replans,PRDA,CBAA,DMCHBA,383,383,0
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,team_path_replans,PRDA,CBAA,DGA,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,team_path_replans,PRDA,ACBBA,PI,385,383,2
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,team_path_replans,PRDA,ACBBA,HIPC,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,team_path_replans,PRDA,ACBBA,DMCHBA,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,team_path_replans,PRDA,ACBBA,DGA,385,383,2
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,team_path_replans,PRDA,PI,HIPC,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,team_path_replans,PRDA,PI,DMCHBA,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,team_path_replans,PRDA,PI,DGA,385,383,2
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,team_path_replans,PRDA,HIPC,DMCHBA,383,383,0
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,team_path_replans,PRDA,HIPC,DGA,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,team_path_replans,PRDA,DMCHBA,DGA,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,system_cell_revisits,PRDS,CBAA,,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,system_cell_revisits,PRDS,ACBBA,,385,383,2
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,system_cell_revisits,PRDS,PI,,385,383,2
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,system_cell_revisits,PRDS,HIPC,,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,system_cell_revisits,PRDS,DMCHBA,,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,system_cell_revisits,PRDS,DGA,,385,383,2
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,system_cell_revisits,PRDA,CBAA,ACBBA,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,system_cell_revisits,PRDA,CBAA,PI,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,system_cell_revisits,PRDA,CBAA,HIPC,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,system_cell_revisits,PRDA,CBAA,DMCHBA,383,383,0
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,system_cell_revisits,PRDA,CBAA,DGA,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,system_cell_revisits,PRDA,ACBBA,PI,385,383,2
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,system_cell_revisits,PRDA,ACBBA,HIPC,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,system_cell_revisits,PRDA,ACBBA,DMCHBA,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,system_cell_revisits,PRDA,ACBBA,DGA,385,383,2
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,system_cell_revisits,PRDA,PI,HIPC,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,system_cell_revisits,PRDA,PI,DMCHBA,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,system_cell_revisits,PRDA,PI,DGA,385,383,2
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,system_cell_revisits,PRDA,HIPC,DMCHBA,383,383,0
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,system_cell_revisits,PRDA,HIPC,DGA,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,system_cell_revisits,PRDA,DMCHBA,DGA,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,post_clue_steps_to_find,PRDS,CBAA,,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,post_clue_steps_to_find,PRDS,ACBBA,,385,383,2
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,post_clue_steps_to_find,PRDS,PI,,385,383,2
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,post_clue_steps_to_find,PRDS,HIPC,,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,post_clue_steps_to_find,PRDS,DMCHBA,,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,post_clue_steps_to_find,PRDS,DGA,,385,383,2
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,post_clue_steps_to_find,PRDA,CBAA,ACBBA,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,post_clue_steps_to_find,PRDA,CBAA,PI,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,post_clue_steps_to_find,PRDA,CBAA,HIPC,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,post_clue_steps_to_find,PRDA,CBAA,DMCHBA,383,383,0
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,post_clue_steps_to_find,PRDA,CBAA,DGA,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,post_clue_steps_to_find,PRDA,ACBBA,PI,385,383,2
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,post_clue_steps_to_find,PRDA,ACBBA,HIPC,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,post_clue_steps_to_find,PRDA,ACBBA,DMCHBA,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,post_clue_steps_to_find,PRDA,ACBBA,DGA,385,383,2
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,post_clue_steps_to_find,PRDA,PI,HIPC,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,post_clue_steps_to_find,PRDA,PI,DMCHBA,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,post_clue_steps_to_find,PRDA,PI,DGA,385,383,2
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,post_clue_steps_to_find,PRDA,HIPC,DMCHBA,383,383,0
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,post_clue_steps_to_find,PRDA,HIPC,DGA,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,gilbert_elliott,post_clue_steps_to_find,PRDA,DMCHBA,DGA,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,rayleigh_style,max_agent_steps,PRDS,CBAA,,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,rayleigh_style,max_agent_steps,PRDS,ACBBA,,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,rayleigh_style,max_agent_steps,PRDS,PI,,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,rayleigh_style,max_agent_steps,PRDS,HIPC,,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,rayleigh_style,max_agent_steps,PRDS,DMCHBA,,383,383,0
Clue-Informed Probabilistic Search (CLIPS),CLIPS,rayleigh_style,max_agent_steps,PRDS,DGA,,384,383,1
