mission,scenario,comm_model,metric,method,algorithm_a,algorithm_b,previous_eligibility_n,common_six_eligible_n,trajectories_excluded_by_common_six
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_messages_per_step,PRDS,HIPC,,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_messages_per_step,PRDS,DMCHBA,,383,383,0
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_messages_per_step,PRDS,DGA,,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_messages_per_step,PRDA,CBAA,ACBBA,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_messages_per_step,PRDA,CBAA,PI,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_messages_per_step,PRDA,CBAA,HIPC,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_messages_per_step,PRDA,CBAA,DMCHBA,383,383,0
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_messages_per_step,PRDA,CBAA,DGA,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_messages_per_step,PRDA,ACBBA,PI,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_messages_per_step,PRDA,ACBBA,HIPC,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_messages_per_step,PRDA,ACBBA,DMCHBA,383,383,0
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_messages_per_step,PRDA,ACBBA,DGA,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_messages_per_step,PRDA,PI,HIPC,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_messages_per_step,PRDA,PI,DMCHBA,383,383,0
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_messages_per_step,PRDA,PI,DGA,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_messages_per_step,PRDA,HIPC,DMCHBA,383,383,0
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_messages_per_step,PRDA,HIPC,DGA,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_messages_per_step,PRDA,DMCHBA,DGA,383,383,0
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,max_agent_messages,PRDS,CBAA,,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,max_agent_messages,PRDS,ACBBA,,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,max_agent_messages,PRDS,PI,,384,383,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,max_agent_messages,PRDS,HIPC,,384,383,1
