mission,scenario,comm_model,metric,method,algorithm_a,algorithm_b,legacy_six_way_complete_n,revised_complete_n,additional_trajectories
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,max_agent_messages,PRDS,PI,,383,384,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,max_agent_messages,PRDS,HIPC,,383,384,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,max_agent_messages,PRDS,DMCHBA,,383,383,0
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,max_agent_messages,PRDS,DGA,,383,384,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,max_agent_messages,PRDA,CBAA,ACBBA,383,384,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,max_agent_messages,PRDA,CBAA,PI,383,384,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,max_agent_messages,PRDA,CBAA,HIPC,383,384,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,max_agent_messages,PRDA,CBAA,DMCHBA,383,383,0
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,max_agent_messages,PRDA,CBAA,DGA,383,384,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,max_agent_messages,PRDA,ACBBA,PI,383,384,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,max_agent_messages,PRDA,ACBBA,HIPC,383,384,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,max_agent_messages,PRDA,ACBBA,DMCHBA,383,383,0
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,max_agent_messages,PRDA,ACBBA,DGA,383,384,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,max_agent_messages,PRDA,PI,HIPC,383,384,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,max_agent_messages,PRDA,PI,DMCHBA,383,383,0
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,max_agent_messages,PRDA,PI,DGA,383,384,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,max_agent_messages,PRDA,HIPC,DMCHBA,383,383,0
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,max_agent_messages,PRDA,HIPC,DGA,383,384,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,max_agent_messages,PRDA,DMCHBA,DGA,383,383,0
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,messages_per_unique_cell,PRDS,CBAA,,383,384,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,messages_per_unique_cell,PRDS,ACBBA,,383,384,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,messages_per_unique_cell,PRDS,PI,,383,384,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,messages_per_unique_cell,PRDS,HIPC,,383,384,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,messages_per_unique_cell,PRDS,DMCHBA,,383,383,0
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,messages_per_unique_cell,PRDS,DGA,,383,384,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,messages_per_unique_cell,PRDA,CBAA,ACBBA,383,384,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,messages_per_unique_cell,PRDA,CBAA,PI,383,384,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,messages_per_unique_cell,PRDA,CBAA,HIPC,383,384,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,messages_per_unique_cell,PRDA,CBAA,DMCHBA,383,383,0
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,messages_per_unique_cell,PRDA,CBAA,DGA,383,384,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,messages_per_unique_cell,PRDA,ACBBA,PI,383,384,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,messages_per_unique_cell,PRDA,ACBBA,HIPC,383,384,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,messages_per_unique_cell,PRDA,ACBBA,DMCHBA,383,383,0
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,messages_per_unique_cell,PRDA,ACBBA,DGA,383,384,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,messages_per_unique_cell,PRDA,PI,HIPC,383,384,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,messages_per_unique_cell,PRDA,PI,DMCHBA,383,383,0
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,messages_per_unique_cell,PRDA,PI,DGA,383,384,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,messages_per_unique_cell,PRDA,HIPC,DMCHBA,383,383,0
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,messages_per_unique_cell,PRDA,HIPC,DGA,383,384,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,messages_per_unique_cell,PRDA,DMCHBA,DGA,383,383,0
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,unique_cell_contribution_gini,PRDS,CBAA,,383,384,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,unique_cell_contribution_gini,PRDS,ACBBA,,383,384,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,unique_cell_contribution_gini,PRDS,PI,,383,384,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,unique_cell_contribution_gini,PRDS,HIPC,,383,384,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,unique_cell_contribution_gini,PRDS,DMCHBA,,383,383,0
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,unique_cell_contribution_gini,PRDS,DGA,,383,384,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,unique_cell_contribution_gini,PRDA,CBAA,ACBBA,383,384,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,unique_cell_contribution_gini,PRDA,CBAA,PI,383,384,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,unique_cell_contribution_gini,PRDA,CBAA,HIPC,383,384,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,unique_cell_contribution_gini,PRDA,CBAA,DMCHBA,383,383,0
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,unique_cell_contribution_gini,PRDA,CBAA,DGA,383,384,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,unique_cell_contribution_gini,PRDA,ACBBA,PI,383,384,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,unique_cell_contribution_gini,PRDA,ACBBA,HIPC,383,384,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,unique_cell_contribution_gini,PRDA,ACBBA,DMCHBA,383,383,0
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,unique_cell_contribution_gini,PRDA,ACBBA,DGA,383,384,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,unique_cell_contribution_gini,PRDA,PI,HIPC,383,384,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,unique_cell_contribution_gini,PRDA,PI,DMCHBA,383,383,0
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,unique_cell_contribution_gini,PRDA,PI,DGA,383,384,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,unique_cell_contribution_gini,PRDA,HIPC,DMCHBA,383,383,0
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,unique_cell_contribution_gini,PRDA,HIPC,DGA,383,384,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,unique_cell_contribution_gini,PRDA,DMCHBA,DGA,383,383,0
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_task_replans,PRDS,CBAA,,383,384,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_task_replans,PRDS,ACBBA,,383,384,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_task_replans,PRDS,PI,,383,384,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_task_replans,PRDS,HIPC,,383,384,1
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,team_task_replans,PRDS,DMCHBA,,383,383,0
