grid_size,robot_count,grid_cells,default_adaptive_cap,conservative_lower_cap,adaptive_over_lower,formula
14,1,196,5000,5000,1,"max(5000, ceil(10000*grid_size^2*robot_count/(19^2*4)))"
14,2,196,5000,5000,1,"max(5000, ceil(10000*grid_size^2*robot_count/(19^2*4)))"
14,3,196,5000,5000,1,"max(5000, ceil(10000*grid_size^2*robot_count/(19^2*4)))"
14,4,196,5430,5000,1.086,"max(5000, ceil(10000*grid_size^2*robot_count/(19^2*4)))"
19,2,361,5000,5000,1,"max(5000, ceil(10000*grid_size^2*robot_count/(19^2*4)))"
19,3,361,7500,5000,1.5,"max(5000, ceil(10000*grid_size^2*robot_count/(19^2*4)))"
19,4,361,10000,5000,2,"max(5000, ceil(10000*grid_size^2*robot_count/(19^2*4)))"
19,5,361,12500,5000,2.5,"max(5000, ceil(10000*grid_size^2*robot_count/(19^2*4)))"
19,8,361,20000,5000,4,"max(5000, ceil(10000*grid_size^2*robot_count/(19^2*4)))"
25,3,625,12985,5000,2.597,"max(5000, ceil(10000*grid_size^2*robot_count/(19^2*4)))"
25,5,625,21642,5000,4.3284,"max(5000, ceil(10000*grid_size^2*robot_count/(19^2*4)))"
25,8,625,34627,5000,6.9254,"max(5000, ceil(10000*grid_size^2*robot_count/(19^2*4)))"
25,13,625,56268,5000,11.2536,"max(5000, ceil(10000*grid_size^2*robot_count/(19^2*4)))"
34,6,1156,48034,5000,9.6068,"max(5000, ceil(10000*grid_size^2*robot_count/(19^2*4)))"
34,9,1156,72050,5000,14.41,"max(5000, ceil(10000*grid_size^2*robot_count/(19^2*4)))"
34,14,1156,112078,5000,22.4156,"max(5000, ceil(10000*grid_size^2*robot_count/(19^2*4)))"
34,24,1156,192133,5000,38.4266,"max(5000, ceil(10000*grid_size^2*robot_count/(19^2*4)))"
