algorithm,mean_total_team_steps,mean_unique_cell_contribution_gini,impaired_condition_count
CBAA,96.4196666666667,0.0751916061266783,24
ACBBA,99.92075,0.10919523700454,24
PI,105.44425,0.176338620411441,24
HIPC,68.9359166666667,0.348244450598255,24
DMCHBA,89.9878333333333,0.0748986874020449,24
DGA,85.18125,0.0986552779027213,24
