campaign,mission,campaign_family,attempted_n,successful_n,failed_n,event_cap_failure_n,stagnation_failure_n,unrecovered_output_n,other_failure_n,conservative_lower_cap,recorded_cap_min,recorded_cap_max,successful_step_n,mean_success_total_team_steps,median_success_total_team_steps,p95_success_total_team_steps,max_success_total_team_steps,mean_success_max_agent_steps,p95_success_max_agent_steps,max_success_max_agent_steps,lower_cap_over_mean_team_steps,lower_cap_over_p95_team_steps,lower_cap_over_max_team_steps,successful_exact_event_n,mean_success_events_processed,median_success_events_processed,p95_success_events_processed,max_success_events_processed,lower_cap_over_mean_success_events,lower_cap_over_p95_success_events,lower_cap_over_max_success_events,mean_events_per_team_step,interpretation
CLIPS core,CLIPS,core,75000,74999,1,1,0,0,0,5000,10000,10000,74999,198.283030440406,154,519,1226,51.0254270056934,134,413,25.2164796397075,9.63391136801541,4.07830342577488,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,cap/step is an upper-bound proxy; successful event counts were not exported
CV core,CV,core,75000,75000,0,0,0,0,0,5000,NaN,NaN,75000,90.07732,86,141,313,28.52248,45,125,55.5078681292916,35.4609929078014,15.9744408945687,75000,255.081493333333,233,400.5,1845,19.6015788313821,12.4843945068664,2.710027100271,2.94264424046814,exact successful scheduler-event counts available
FGS core,FGS,core,15000,14576,424,424,0,0,0,5000,10000,100000,14576,630.170348518112,580,1010,1431,170.893660812294,284,1256,7.93436252873185,4.95049504950495,3.49406009783368,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,cap/step is an upper-bound proxy; successful event counts were not exported
CLIPS grid-density,CLIPS,grid-density,9600,9500,100,100,0,0,0,5000,5000,5000,9500,293.771473684211,173,1006,3315,55.3710526315789,168,471,17.0200323989754,4.97017892644135,1.50829562594268,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,cap/step is an upper-bound proxy; successful event counts were not exported
CV grid-density,CV,grid-density,9600,9536,64,55,9,0,0,5000,5000,5000,9536,116.598783557047,89,286,863,34.0642827181208,58,105,42.8820940276251,17.4825174825175,5.79374275782155,9536,680.934354026846,358.5,2359.1,9230,7.34285173076005,2.11945233351702,0.541711809317443,5.71869129805447,exact successful scheduler-event counts available
FGS grid-density,FGS,grid-density,9600,8683,917,871,0,46,0,5000,5000,192133,8683,843.037774962571,648,2418.35,4473,164.431072210066,338,1188,5.93093233600593,2.06752537887403,1.11781801922647,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,cap/step is an upper-bound proxy; successful event counts were not exported
CLIPS horizon,CLIPS,other sensitivity,18000,17996,4,4,0,0,0,5000,5000,10000,17996,182.103411869304,156,430.700000000001,912,46.3971438097355,109.700000000001,284,27.4569265269368,11.6090085906663,5.48245614035088,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,cap/step is an upper-bound proxy; successful event counts were not exported
CLIPS top-k,CLIPS,other sensitivity,21600,20959,641,641,0,0,0,5000,10000,10000,20959,185.380647931676,148,476.549999999999,1171,50.7483658571497,130,451,26.9715315799457,10.4920784807471,4.26985482493595,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,cap/step is an upper-bound proxy; successful event counts were not exported
FGS horizon,FGS,other sensitivity,3000,2996,4,4,0,0,0,5000,10000,10000,2996,545.668224299065,514,765,981,139.569759679573,194,262,9.16307708117459,6.5359477124183,5.09683995922528,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,cap/step is an upper-bound proxy; successful event counts were not exported
CV DGA iterations,CV,other sensitivity,3600,3600,0,0,0,0,0,5000,NaN,NaN,3600,76.3811111111111,75,106,190,22.9005555555556,31,49,65.461210595988,47.1698113207547,26.3157894736842,3600,193.32,187,265,806,25.8638526794951,18.8679245283019,6.20347394540943,2.5582813588031,exact successful scheduler-event counts available
CV horizon,CV,other sensitivity,18000,18000,0,0,0,0,0,5000,NaN,NaN,18000,79.1505555555556,76,120,208,27.4887777777778,45,99,63.1707505387061,41.6666666666667,24.0384615384615,18000,229.738611111111,211,364,919,21.7638644885069,13.7362637362637,5.44069640914037,3.01342610193494,exact successful scheduler-event counts available
CV top-k,CV,other sensitivity,21600,21600,0,0,0,0,0,5000,NaN,NaN,21600,76.3618055555555,73,115,213,27.6997685185185,42,87,65.4777602968325,43.4782608695652,23.4741784037559,21600,239.077222222222,221,355,1318,20.9137447454216,14.0845070422535,3.79362670713202,3.24835642973109,exact successful scheduler-event counts available
