mission,scenario,comm_model,comm_label,degradation_pct,metric,algorithm,attempted_trial_n,six_way_paired_n,eligible_n,mean,median,sd,ci95_low,ci95_high,source_column,scope,ci_method,panel_model
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_2,20,total_team_steps,CBAA,500,385,385,251.961038961039,217,158.695318794384,236.058999749385,267.863078172693,total_team_steps,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,bernoulli
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_2,20,total_team_steps,ACBBA,500,385,385,236.467532467532,215,146.69229632973,221.768254215316,251.166810719749,total_team_steps,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,bernoulli
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_2,20,total_team_steps,PI,500,385,385,248.012987012987,219,160.788883120273,231.901162520612,264.124811505362,total_team_steps,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,bernoulli
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_2,20,total_team_steps,HIPC,500,385,385,244.542857142857,217,154.909580001337,229.020167285611,260.065547000103,total_team_steps,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,bernoulli
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_2,20,total_team_steps,DMCHBA,500,385,385,215.558441558442,201,132.600855238814,202.271193922369,228.845689194514,total_team_steps,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,bernoulli
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_2,20,total_team_steps,DGA,500,385,385,242.963636363636,199,161.283826320483,226.802216166504,259.125056560768,total_team_steps,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,bernoulli
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_3,30,total_team_steps,CBAA,500,386,386,272.235751295337,235,177.387444076314,254.483856064095,289.987646526579,total_team_steps,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,bernoulli
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_3,30,total_team_steps,ACBBA,500,386,386,244.142487046632,212.5,160.028416009226,228.127781553749,260.157192539515,total_team_steps,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,bernoulli
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_3,30,total_team_steps,PI,500,386,386,269.222797927461,234,181.698914929883,251.039435974977,287.406159879945,total_team_steps,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,bernoulli
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_3,30,total_team_steps,HIPC,500,386,386,268.243523316062,234.5,174.846508633488,250.745910004295,285.74113662783,total_team_steps,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,bernoulli
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_3,30,total_team_steps,DMCHBA,500,386,386,230.818652849741,201,143.146780592595,216.493362438115,245.143943261367,total_team_steps,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,bernoulli
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_3,30,total_team_steps,DGA,500,386,386,261.49481865285,217,178.445178671954,243.637071545665,279.352565760035,total_team_steps,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,bernoulli
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_4,40,total_team_steps,CBAA,500,386,386,274.139896373057,227,189.17814352763,255.208057079524,293.07173566659,total_team_steps,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,bernoulli
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_4,40,total_team_steps,ACBBA,500,386,386,259.979274611399,231,177.099735890428,242.256171528325,277.702377694473,total_team_steps,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,bernoulli
Clue-Informed Probabilistic Search (CLIPS),CLIPS,bernoulli,bernoulli_drop_0_4,40,total_team_steps,PI,500,386,386,275.507772020725,226,189.728147804454,256.520891524306,294.494652517145,total_team_steps,six-way paired and conditional on mission completion,two-sided 95% Student-t interval for the mean,bernoulli
